bank_hex,class,disassembly_priority,western_mean_similarity,JP_semantic,western_semantic,note
15,MIXED,4,0.90946,maps 11-12 + battle engine 9 + diploma/trainer sight + garbage,maps 11-12 + battle engine 9 + diploma/trainer sight,
16,HIGH_SIMILARITY,3,0.950488,maps 13-14 + battle engine 10 + Saffron guards + garbage,maps 13-14 + battle engine 10 + Saffron guards,
17,MIXED,4,0.620581,maps 15-16 + starter dex + hidden events 3 + garbage,maps 15-16 + starter dex + hidden events 3,
18,HIGH_SIMILARITY,3,0.955115,maps 17-18 + fossils + hidden events 4 + garbage,maps 17-18 + Cinnabar fossils + hidden events 4,
19,NEAR_IDENTICAL,2,0.99834,tilesets 1 + garbage,tilesets 1,
1A,LOCALIZATION_HEAVY,5,0.375781,battle engine 11 + version gfx + tilesets 2 + garbage,battle engine 11 + tilesets 2,
1B,EXACT_COMMON,1,1.0,tilesets 3,tilesets 3,
1C,LOCALIZATION_HEAVY,5,0.228534,splash/Hall of Fame/animations/palettes/save + garbage,splash/Hall of Fame/animations/palettes/save,
1D,LOCALIZATION_HEAVY,5,0.415387,maps 19-21 + itemfinder/vending + garbage,maps 19-21 + itemfinder/vending,
1E,HIGH_SIMILARITY,3,0.989258,battle animations/evolution/TM prices + garbage,battle animations/evolution/TM prices,
1F,NEAR_IDENTICAL,2,0.999854,audio 3 + garbage,audio 3,
20,LOCALIZATION_HEAVY,5,0.247729,,text 1,
21,LOCALIZATION_HEAVY,5,0.243677,,text 2,
22,LOCALIZATION_HEAVY,5,0.227612,,text 3,
23,LOCALIZATION_HEAVY,5,0.260376,,text 4,
24,LOCALIZATION_HEAVY,5,0.271124,,text 5,
25,LOCALIZATION_HEAVY,5,0.278418,,text 6,
26,LOCALIZATION_HEAVY,5,0.255609,,text 7,
27,LOCALIZATION_HEAVY,5,0.290381,,text 8,
28,LOCALIZATION_HEAVY,5,0.277209,,text 9,
29,LOCALIZATION_HEAVY,5,0.264886,,text 10,
2A,MIXED,4,0.949554,,text 11,
2B,LOCALIZATION_HEAVY,5,0.184949,,Pokédex text,
2C,MIXED,4,0.903113,,move names,
2D,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
2E,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
2F,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
30,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
31,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
32,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
33,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
34,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
35,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
36,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
37,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
38,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
39,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
3A,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
3B,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
3C,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
3D,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
3E,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
3F,PADDING,99,1.0,,padding / unused 1 MiB tail,Five Western ROMs: full 16 KiB zero-filled bank; JP has no corresponding bank.
