version,move_id,move_name_gs_korean,bank_hex,bank_offset_hex,cpu_address_hex,file_offset_hex,record_length,description,next_count,raw_hex,record_raw_hex,undefined_code_count
KOREAN_GOLD,15,풀베기,0x6D,0x047D,0x447D,0x1B447D,52,날카로운 낫과 손톱을 사용하여<NEXT>적을 가르고 베며 공격,1,02 3f 09 0b 03 fe 07 4e 7f 02 44 01 6a 7f 06 05 09 b9 07 8b 7f 05 b7 07 4b 0a 6f 07 09 59 07 cb 07 8b 7f 01 01 04 33 01 4d 7f 05 03 04 87 7f 01 68 01 3d,02 3f 09 0b 03 fe 07 4e 7f 02 44 01 6a 7f 06 05 09 b9 07 8b 7f 05 b7 07 4b 0a 6f 07 09 59 07 cb 07 8b 7f 01 01 04 33 01 4d 7f 05 03 04 87 7f 01 68 01 3d 50,0
KOREAN_GOLD,16,바람일으키기,0x6D,0x04B1,0x44B1,0x1B44B1,50,날개로 강한 바람을 일으켜<NEXT>적에게 타격을 주는 공격,1,02 3f 01 13 03 fe 7f 01 0d 0a 71 7f 04 d9 03 c7 07 8b 7f 07 9f 07 88 09 31 59 07 cb 07 01 01 34 7f 09 88 01 3d 07 8b 7f 08 06 02 c2 7f 01 68 01 3d,02 3f 01 13 03 fe 7f 01 0d 0a 71 7f 04 d9 03 c7 07 8b 7f 07 9f 07 88 09 31 59 07 cb 07 01 01 34 7f 09 88 01 3d 07 8b 7f 08 06 02 c2 7f 01 68 01 3d 50,0
KOREAN_GOLD,17,날개치기,0x6D,0x04E3,0x44E3,0x1B44E3,51,날개를 크게 펼쳐서<NEXT>그대로 적에게 몸통박치기를 한다,1,02 3f 01 13 04 36 7f 09 79 01 34 7f 0a 1e 08 c4 05 dd 59 01 a7 02 eb 03 fe 7f 07 cb 07 01 01 34 7f 04 96 09 bb 04 da 09 01 01 b2 04 36 7f 0a 71 02 d9,02 3f 01 13 04 36 7f 09 79 01 34 7f 0a 1e 08 c4 05 dd 59 01 a7 02 eb 03 fe 7f 07 cb 07 01 01 34 7f 04 96 09 bb 04 da 09 01 01 b2 04 36 7f 0a 71 02 d9 50,0
KOREAN_GOLD,18,날려버리기,0x6D,0x0516,0x4516,0x1B4516,53,강한 바람으로 적을 날려버림<NEXT>날려버리면 전투는 끝난다,1,01 0d 0a 71 7f 04 d9 03 c7 07 88 03 fe 7f 07 cb 07 8b 7f 02 3f 03 f1 04 f6 04 42 59 02 3f 03 f1 04 f6 04 3e 04 89 7f 07 cc 09 c5 02 c2 7f 02 31 02 3d 02 d9,01 0d 0a 71 7f 04 d9 03 c7 07 88 03 fe 7f 07 cb 07 8b 7f 02 3f 03 f1 04 f6 04 42 59 02 3f 03 f1 04 f6 04 3e 04 89 7f 07 cc 09 c5 02 c2 7f 02 31 02 3d 02 d9 50,0
KOREAN_GOLD,19,공중날기,0x6D,0x054B,0x454B,0x1B454B,42,1턴째 하늘로 날아올라<NEXT>다음 턴에 적을 공격,1,f7 09 9f 08 40 7f 0a 6f 02 c3 03 fe 7f 02 3f 06 c6 07 23 03 c3 59 02 d9 07 8d 7f 09 9f 07 01 7f 07 cb 07 8b 7f 01 68 01 3d,f7 09 9f 08 40 7f 0a 6f 02 c3 03 fe 7f 02 3f 06 c6 07 23 03 c3 59 02 d9 07 8d 7f 09 9f 07 01 7f 07 cb 07 8b 7f 01 68 01 3d 50,0
KOREAN_GOLD,20,조이기,0x6D,0x0575,0x4575,0x1B4575,57,2-5턴 동안에 긴 몸이나<NEXT>넝쿨을 사용하여 적을 힘껏 조른다,1,f8 0b 68 fb 09 9f 7f 03 1f 06 c8 07 01 7f 01 b4 7f 04 96 07 9c 02 3a 59 02 75 09 60 07 8b 7f 05 b7 07 4b 0a 6f 07 09 7f 07 cb 07 8b 7f 0a fb 01 df 7f 07 e6 04 35 02 d9,f8 0b 68 fb 09 9f 7f 03 1f 06 c8 07 01 7f 01 b4 7f 04 96 07 9c 02 3a 59 02 75 09 60 07 8b 7f 05 b7 07 4b 0a 6f 07 09 7f 07 cb 07 8b 7f 0a fb 01 df 7f 07 e6 04 35 02 d9 50,0
KOREAN_GOLD,21,힘껏치기,0x6D,0x05AE,0x45AE,0x1B45AE,39,긴 꼬리랑 넝쿨 등을<NEXT>적에게 휘둘러 공격,1,01 b4 7f 01 ef 04 3e 03 cb 7f 02 75 09 60 7f 03 4e 07 8b 59 07 cb 07 01 01 34 7f 0a d6 03 31 03 df 7f 01 68 01 3d,01 b4 7f 01 ef 04 3e 03 cb 7f 02 75 09 60 7f 03 4e 07 8b 59 07 cb 07 01 01 34 7f 0a d6 03 31 03 df 7f 01 68 01 3d 50,0
KOREAN_GOLD,22,덩쿨채찍,0x6D,0x05D5,0x45D5,0x1B45D5,46,채찍 같은 가늘고 긴 덩쿨을<NEXT>적에게 휘둘러 공격,1,08 a4 08 8f 7f 01 10 07 8a 7f 01 01 02 c3 01 4d 7f 01 b4 7f 03 02 09 60 07 8b 59 07 cb 07 01 01 34 7f 0a d6 03 31 03 df 7f 01 68 01 3d,08 a4 08 8f 7f 01 10 07 8a 7f 01 01 02 c3 01 4d 7f 01 b4 7f 03 02 09 60 07 8b 59 07 cb 07 01 01 34 7f 0a d6 03 31 03 df 7f 01 68 01 3d 50,0
KOREAN_GOLD,23,짓밟기,0x6D,0x0603,0x4603,0x1B4603,55,커다란 다리로 밟아서 공격<NEXT>적의 기세가 꺾이는 일도 있다,1,09 1f 02 d9 03 c5 7f 02 d9 04 3e 03 fe 7f 04 e2 06 c6 05 dd 7f 01 68 01 3d 59 07 cb 07 97 7f 01 b2 05 ec 01 01 7f 01 da 07 9c 02 c2 7f 07 9f 03 15 7f 07 a6 02 d9,09 1f 02 d9 03 c5 7f 02 d9 04 3e 03 fe 7f 04 e2 06 c6 05 dd 7f 01 68 01 3d 59 07 cb 07 97 7f 01 b2 05 ec 01 01 7f 01 da 07 9c 02 c2 7f 07 9f 03 15 7f 07 a6 02 d9 50,0
KOREAN_GOLD,24,두번치기,0x6D,0x063A,0x463A,0x1B463A,45,2개의 다리를 이용하여 적을<NEXT>2회 연속으로 공격,1,f8 01 13 07 97 7f 02 d9 04 3e 04 36 7f 07 9c 07 4b 0a 6f 07 09 7f 07 cb 07 8b 59 f8 0a b8 7f 07 0c 06 03 07 88 03 fe 7f 01 68 01 3d,f8 01 13 07 97 7f 02 d9 04 3e 04 36 7f 07 9c 07 4b 0a 6f 07 09 7f 07 cb 07 8b 59 f8 0a b8 7f 07 0c 06 03 07 88 03 fe 7f 01 68 01 3d 50,0
KOREAN_GOLD,25,메가톤킥,0x6D,0x0667,0x4667,0x1B4667,43,엄청낭 힘이 담긴 킥으로<NEXT>적을 걷어차서 공격,1,06 f6 08 bb 02 46 7f 0a fb 07 9c 7f 02 e3 01 b4 7f 09 81 07 88 03 fe 59 07 cb 07 8b 7f 01 28 06 ee 08 97 05 dd 7f 01 68 01 3d,06 f6 08 bb 02 46 7f 0a fb 07 9c 7f 02 e3 01 b4 7f 09 81 07 88 03 fe 59 07 cb 07 8b 7f 01 28 06 ee 08 97 05 dd 7f 01 68 01 3d 50,0
KOREAN_GOLD,26,점프킥,0x6D,0x0692,0x4692,0x1B4692,54,힘차게 점프해서 연속 킥 공격<NEXT>실패하면 데미지를 입는다,1,0a fb 08 97 01 34 7f 07 d1 0a 61 0a 78 05 dd 7f 07 0c 06 03 7f 09 81 7f 01 68 01 3d 59 06 67 0a 00 0a 6f 04 89 7f 03 05 04 cc 08 26 04 36 7f 07 a4 02 c2 02 d9,0a fb 08 97 01 34 7f 07 d1 0a 61 0a 78 05 dd 7f 07 0c 06 03 7f 09 81 7f 01 68 01 3d 59 06 67 0a 00 0a 6f 04 89 7f 03 05 04 cc 08 26 04 36 7f 07 a4 02 c2 02 d9 50,0
KOREAN_GOLD,27,돌려차기,0x6D,0x06C8,0x46C8,0x1B46C8,59,몸을 재빠르게 한번 회전시켜서<NEXT>그 힘으로 연속킥 공격을 한다,1,04 96 07 8b 7f 07 b7 05 6c 04 33 01 34 7f 0a 71 04 f8 7f 0a b8 07 cc 06 63 09 31 05 dd 59 01 a7 7f 0a fb 07 88 03 fe 7f 07 0c 06 03 09 81 7f 01 68 01 3d 07 8b 7f 0a 71 02 d9,04 96 07 8b 7f 07 b7 05 6c 04 33 01 34 7f 0a 71 04 f8 7f 0a b8 07 cc 06 63 09 31 05 dd 59 01 a7 7f 0a fb 07 88 03 fe 7f 07 0c 06 03 09 81 7f 01 68 01 3d 07 8b 7f 0a 71 02 d9 50,0
KOREAN_GOLD,28,모래뿌리기,0x6D,0x0703,0x4703,0x1B4703,50,적의 얼굴 등에 모래를 뿌려서<NEXT>명중률을 낮게 만든다,1,07 cb 07 97 7f 06 f3 01 8c 7f 03 4e 07 01 7f 04 90 03 d1 04 36 7f 05 a1 03 f1 05 dd 59 04 8d 08 0f 04 2c 07 8b 7f 02 47 01 34 7f 04 48 03 47 02 d9,07 cb 07 97 7f 06 f3 01 8c 7f 03 4e 07 01 7f 04 90 03 d1 04 36 7f 05 a1 03 f1 05 dd 59 04 8d 08 0f 04 2c 07 8b 7f 02 47 01 34 7f 04 48 03 47 02 d9 50,0
KOREAN_GOLD,29,박치기,0x6D,0x0735,0x4735,0x1B4735,49,머리로 들이박는 공격으로<NEXT>적의 기세를 꺾기도 한다,1,04 73 04 3e 03 fe 7f 03 49 07 9c 04 da 02 c2 7f 01 68 01 3d 07 88 03 fe 59 07 cb 07 97 7f 01 b2 05 ec 04 36 7f 01 da 01 b2 03 15 7f 0a 71 02 d9,04 73 04 3e 03 fe 7f 03 49 07 9c 04 da 02 c2 7f 01 68 01 3d 07 88 03 fe 59 07 cb 07 97 7f 01 b2 05 ec 04 36 7f 01 da 01 b2 03 15 7f 0a 71 02 d9 50,0
KOREAN_GOLD,30,뿔찌르기,0x6D,0x0766,0x4766,0x1B4766,45,끝이 뾰족한 뿔을 사용해서<NEXT>적을 찔러 공격한다,1,02 31 07 9c 7f 05 9f 07 e7 0a 71 7f 05 a4 07 8b 7f 05 b7 07 4b 0a 78 05 dd 59 07 cb 07 8b 7f 08 91 03 df 7f 01 68 01 3d 0a 71 02 d9,02 31 07 9c 7f 05 9f 07 e7 0a 71 7f 05 a4 07 8b 7f 05 b7 07 4b 0a 78 05 dd 59 07 cb 07 8b 7f 08 91 03 df 7f 01 68 01 3d 0a 71 02 d9 50,0
KOREAN_GOLD,31,마구찌르기,0x6D,0x0793,0x4793,0x1B4793,47,끝이 뾰족한 뿔을 사용해서<NEXT>2-5회 연속으로 공격,1,02 31 07 9c 7f 05 9f 07 e7 0a 71 7f 05 a4 07 8b 7f 05 b7 07 4b 0a 78 05 dd 59 f8 0b 68 fb 0a b8 7f 07 0c 06 03 07 88 03 fe 7f 01 68 01 3d,02 31 07 9c 7f 05 9f 07 e7 0a 71 7f 05 a4 07 8b 7f 05 b7 07 4b 0a 78 05 dd 59 f8 0b 68 fb 0a b8 7f 07 0c 06 03 07 88 03 fe 7f 01 68 01 3d 50,0
KOREAN_GOLD,32,뿔드릴,0x6D,0x07C2,0x47C2,0x1B47C2,55,뿔을 드릴처럼 회전시켜서<NEXT>적을 찔러 전투불능으로 만든다,1,05 a4 07 8b 7f 03 45 04 41 08 b3 03 e3 7f 0a b8 07 cc 06 63 09 31 05 dd 59 07 cb 07 8b 7f 08 91 03 df 7f 07 cc 09 c5 05 32 02 c9 07 88 03 fe 7f 04 48 03 47 02 d9,05 a4 07 8b 7f 03 45 04 41 08 b3 03 e3 7f 0a b8 07 cc 06 63 09 31 05 dd 59 07 cb 07 8b 7f 08 91 03 df 7f 07 cc 09 c5 05 32 02 c9 07 88 03 fe 7f 04 48 03 47 02 d9 50,0
KOREAN_GOLD,33,몸통박치기,0x6D,0x07F9,0x47F9,0x1B47F9,42,몸 전체를 사용해<NEXT>적에게 부딪쳐서 공격한다,1,04 96 7f 07 cc 08 bc 04 36 7f 05 b7 07 4b 0a 78 59 07 cb 07 01 01 34 7f 05 2e 03 6a 08 c4 05 dd 7f 01 68 01 3d 0a 71 02 d9,04 96 7f 07 cc 08 bc 04 36 7f 05 b7 07 4b 0a 78 59 07 cb 07 01 01 34 7f 05 2e 03 6a 08 c4 05 dd 7f 01 68 01 3d 0a 71 02 d9 50,0
KOREAN_GOLD,34,누르기,0x6D,0x0823,0x4823,0x1B4823,47,몸 전체로 쓰러지며 공격<NEXT>적을 마비시키기도 한다,1,04 96 7f 07 cc 08 bc 03 fe 7f 06 b2 03 df 08 26 04 87 7f 01 68 01 3d 59 07 cb 07 8b 7f 04 46 05 61 06 63 09 80 01 b2 03 15 7f 0a 71 02 d9,04 96 7f 07 cc 08 bc 03 fe 7f 06 b2 03 df 08 26 04 87 7f 01 68 01 3d 59 07 cb 07 8b 7f 04 46 05 61 06 63 09 80 01 b2 03 15 7f 0a 71 02 d9 50,0
KOREAN_GOLD,35,김밥말이,0x6D,0x0852,0x4852,0x1B4852,64,2-5턴 동안에 긴 몸이랑 덩쿨을<NEXT>사용하여 적을 꼼짝 못하게 만든다,1,f8 0b 68 fb 09 9f 7f 03 1f 06 c8 07 01 7f 01 b4 7f 04 96 07 9c 03 cb 7f 03 02 09 60 07 8b 59 05 b7 07 4b 0a 6f 07 09 7f 07 cb 07 8b 7f 01 f4 08 36 7f 04 98 0a 6f 01 34 7f 04 48 03 47 02 d9,f8 0b 68 fb 09 9f 7f 03 1f 06 c8 07 01 7f 01 b4 7f 04 96 07 9c 03 cb 7f 03 02 09 60 07 8b 59 05 b7 07 4b 0a 6f 07 09 7f 07 cb 07 8b 7f 01 f4 08 36 7f 04 98 0a 6f 01 34 7f 04 48 03 47 02 d9 50,0
KOREAN_GOLD,36,돌진,0x6D,0x0892,0x4892,0x1B4892,62,탄력을 이용하여 적에게 부딪친다<NEXT>자신도 약간은 데미지를 입는다,1,09 8a 03 f2 07 8b 7f 07 9c 07 4b 0a 6f 07 09 7f 07 cb 07 01 01 34 7f 05 2e 03 6a 09 03 02 d9 59 07 aa 06 65 03 15 7f 06 e0 01 03 07 8a 7f 03 05 04 cc 08 26 04 36 7f 07 a4 02 c2 02 d9,09 8a 03 f2 07 8b 7f 07 9c 07 4b 0a 6f 07 09 7f 07 cb 07 01 01 34 7f 05 2e 03 6a 09 03 02 d9 59 07 aa 06 65 03 15 7f 06 e0 01 03 07 8a 7f 03 05 04 cc 08 26 04 36 7f 07 a4 02 c2 02 d9 50,0
KOREAN_GOLD,37,난동부리기,0x6D,0x08D0,0x48D0,0x1B48D0,60,2-3턴 동안에 난동을 부린다<NEXT>난동부린 뒤에는 혼란상태가 된다,1,f8 0b 68 f9 09 9f 7f 03 1f 06 c8 07 01 7f 02 3d 03 1f 07 8b 7f 05 2e 04 40 02 d9 59 02 3d 03 1f 05 2e 04 40 7f 03 3a 07 01 02 c2 7f 0a a5 03 c5 05 c3 09 92 01 01 7f 03 28 02 d9,f8 0b 68 f9 09 9f 7f 03 1f 06 c8 07 01 7f 02 3d 03 1f 07 8b 7f 05 2e 04 40 02 d9 59 02 3d 03 1f 05 2e 04 40 7f 03 3a 07 01 02 c2 7f 0a a5 03 c5 05 c3 09 92 01 01 7f 03 28 02 d9 50,0
KOREAN_GOLD,38,이판사판태클,0x6D,0x090C,0x490C,0x1B490C,60,목숨을 걸고 적에게 몸통박치기<NEXT>자신도 약간은 데미지를 입는다,1,04 91 06 2b 07 8b 7f 01 29 01 4d 7f 07 cb 07 01 01 34 7f 04 96 09 bb 04 da 09 01 01 b2 59 07 aa 06 65 03 15 7f 06 e0 01 03 07 8a 7f 03 05 04 cc 08 26 04 36 7f 07 a4 02 c2 02 d9,04 91 06 2b 07 8b 7f 01 29 01 4d 7f 07 cb 07 01 01 34 7f 04 96 09 bb 04 da 09 01 01 b2 59 07 aa 06 65 03 15 7f 06 e0 01 03 07 8a 7f 03 05 04 cc 08 26 04 36 7f 07 a4 02 c2 02 d9 50,0
KOREAN_GOLD,39,꼬리흔들기,0x6D,0x0948,0x4948,0x1B4948,55,적에게 꼬리를 흔들어 방심하게<NEXT>만들어서 방어력을 낮춘다,1,07 cb 07 01 01 34 7f 01 ef 04 3e 04 36 7f 0a e7 03 49 06 ee 7f 04 e6 06 69 0a 6f 01 34 59 04 48 03 49 06 ee 05 dd 7f 04 e6 06 ee 03 f2 07 8b 7f 02 47 08 e1 02 d9,07 cb 07 01 01 34 7f 01 ef 04 3e 04 36 7f 0a e7 03 49 06 ee 7f 04 e6 06 69 0a 6f 01 34 59 04 48 03 49 06 ee 05 dd 7f 04 e6 06 ee 03 f2 07 8b 7f 02 47 08 e1 02 d9 50,0
KOREAN_GOLD,40,독침,0x6D,0x097F,0x497F,0x1B497F,55,독이 있는 바늘과 뿔로 공격<NEXT>적을 독에 중독시키기도 한다,1,03 16 07 9c 7f 07 a6 02 c2 7f 04 d9 02 c3 01 6a 7f 05 a4 03 fe 7f 01 68 01 3d 59 07 cb 07 8b 7f 03 16 07 01 7f 08 0f 03 16 06 63 09 80 01 b2 03 15 7f 0a 71 02 d9,03 16 07 9c 7f 07 a6 02 c2 7f 04 d9 02 c3 01 6a 7f 05 a4 03 fe 7f 01 68 01 3d 59 07 cb 07 8b 7f 03 16 07 01 7f 08 0f 03 16 06 63 09 80 01 b2 03 15 7f 0a 71 02 d9 50,0
KOREAN_GOLD,41,더블니들,0x6D,0x09B6,0x49B6,0x1B49B6,47,양손의 바늘을 사용해서<NEXT>적을 두번 연속으로 공격,1,06 e7 06 05 07 97 7f 04 d9 02 c3 07 8b 7f 05 b7 07 4b 0a 78 05 dd 59 07 cb 07 8b 7f 03 2e 04 f8 7f 07 0c 06 03 07 88 03 fe 7f 01 68 01 3d,06 e7 06 05 07 97 7f 04 d9 02 c3 07 8b 7f 05 b7 07 4b 0a 78 05 dd 59 07 cb 07 8b 7f 03 2e 04 f8 7f 07 0c 06 03 07 88 03 fe 7f 01 68 01 3d 50,0
KOREAN_GOLD,42,바늘미사일,0x6D,0x09E5,0x49E5,0x1B49E5,53,날카로운 바늘을 적에게 발사해서<NEXT>2-5회 연속으로 공격,1,02 3f 09 0b 03 fe 07 4e 7f 04 d9 02 c3 07 8b 7f 07 cb 07 01 01 34 7f 04 df 05 b7 0a 78 05 dd 59 f8 0b 68 fb 0a b8 7f 07 0c 06 03 07 88 03 fe 7f 01 68 01 3d,02 3f 09 0b 03 fe 07 4e 7f 04 d9 02 c3 07 8b 7f 07 cb 07 01 01 34 7f 04 df 05 b7 0a 78 05 dd 59 f8 0b 68 fb 0a b8 7f 07 0c 06 03 07 88 03 fe 7f 01 68 01 3d 50,0
KOREAN_GOLD,43,째려보기,0x6D,0x0A1A,0x4A1A,0x1B4A1A,56,적을 노려봐서 겁을 내게 만들어<NEXT>방어력을 떨어뜨리게 한다,1,07 cb 07 8b 7f 02 8b 03 f1 05 21 05 dd 7f 01 2c 07 8b 7f 02 4b 01 34 7f 04 48 03 49 06 ee 59 04 e6 06 ee 03 f2 07 8b 7f 03 83 06 ee 03 af 04 3e 01 34 7f 0a 71 02 d9,07 cb 07 8b 7f 02 8b 03 f1 05 21 05 dd 7f 01 2c 07 8b 7f 02 4b 01 34 7f 04 48 03 49 06 ee 59 04 e6 06 ee 03 f2 07 8b 7f 03 83 06 ee 03 af 04 3e 01 34 7f 0a 71 02 d9 50,0
