national_dex,species,logical_state,state_kind,xy_scope,oras_scope,gen3_battle_target_required,archive_mapping_status,notes,source_reference
666,Vivillon,Monsoon Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,Savanna Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,Sun Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,Ocean Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,Jungle Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,Fancy Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
666,Vivillon,Poké Ball Pattern,pattern,supported-gen6,supported-gen6,yes,unresolved,All 20 Generation VI Vivillon patterns are distinct visual states.,https://bulbapedia.bulbagarden.net/wiki/Vivillon_(Pok%C3%A9mon)
667,Litleo,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
668,Pyroar,Male,gender,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_with_gender_differences
668,Pyroar,Female,gender,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_with_gender_differences
669,Flabébé,Red Flower,flower-color,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/Flab%C3%A9b%C3%A9_(Pok%C3%A9mon)
669,Flabébé,Yellow Flower,flower-color,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/Flab%C3%A9b%C3%A9_(Pok%C3%A9mon)
669,Flabébé,Orange Flower,flower-color,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/Flab%C3%A9b%C3%A9_(Pok%C3%A9mon)
669,Flabébé,Blue Flower,flower-color,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/Flab%C3%A9b%C3%A9_(Pok%C3%A9mon)
669,Flabébé,White Flower,flower-color,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/Flab%C3%A9b%C3%A9_(Pok%C3%A9mon)
670,Floette,Red Flower,flower-color,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/Floette_(Pok%C3%A9mon)
670,Floette,Yellow Flower,flower-color,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/Floette_(Pok%C3%A9mon)
670,Floette,Orange Flower,flower-color,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/Floette_(Pok%C3%A9mon)
670,Floette,Blue Flower,flower-color,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/Floette_(Pok%C3%A9mon)
670,Floette,White Flower,flower-color,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/Floette_(Pok%C3%A9mon)
670,Floette,Eternal Flower,special-form,supported-gen6,supported-gen6,yes,unresolved,Present in Generation VI game data but not legitimately obtainable in Generation VI; preserve as a data-defined visual state.,https://bulbapedia.bulbagarden.net/wiki/Floette_(Pok%C3%A9mon)
671,Florges,Red Flower,flower-color,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/Florges_(Pok%C3%A9mon)
671,Florges,Yellow Flower,flower-color,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/Florges_(Pok%C3%A9mon)
671,Florges,Orange Flower,flower-color,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/Florges_(Pok%C3%A9mon)
671,Florges,Blue Flower,flower-color,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/Florges_(Pok%C3%A9mon)
671,Florges,White Flower,flower-color,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/Florges_(Pok%C3%A9mon)
672,Skiddo,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
673,Gogoat,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
674,Pancham,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
675,Pangoro,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
676,Furfrou,Natural Form,trim,supported-gen6,supported-gen6,yes,unresolved,Natural Form plus nine Generation VI trims; retain every distinct visual state.,https://bulbapedia.bulbagarden.net/wiki/Furfrou_(Pok%C3%A9mon)
676,Furfrou,Heart Trim,trim,supported-gen6,supported-gen6,yes,unresolved,Natural Form plus nine Generation VI trims; retain every distinct visual state.,https://bulbapedia.bulbagarden.net/wiki/Furfrou_(Pok%C3%A9mon)
676,Furfrou,Star Trim,trim,supported-gen6,supported-gen6,yes,unresolved,Natural Form plus nine Generation VI trims; retain every distinct visual state.,https://bulbapedia.bulbagarden.net/wiki/Furfrou_(Pok%C3%A9mon)
676,Furfrou,Diamond Trim,trim,supported-gen6,supported-gen6,yes,unresolved,Natural Form plus nine Generation VI trims; retain every distinct visual state.,https://bulbapedia.bulbagarden.net/wiki/Furfrou_(Pok%C3%A9mon)
676,Furfrou,Debutante Trim,trim,supported-gen6,supported-gen6,yes,unresolved,Natural Form plus nine Generation VI trims; retain every distinct visual state.,https://bulbapedia.bulbagarden.net/wiki/Furfrou_(Pok%C3%A9mon)
676,Furfrou,Matron Trim,trim,supported-gen6,supported-gen6,yes,unresolved,Natural Form plus nine Generation VI trims; retain every distinct visual state.,https://bulbapedia.bulbagarden.net/wiki/Furfrou_(Pok%C3%A9mon)
676,Furfrou,Dandy Trim,trim,supported-gen6,supported-gen6,yes,unresolved,Natural Form plus nine Generation VI trims; retain every distinct visual state.,https://bulbapedia.bulbagarden.net/wiki/Furfrou_(Pok%C3%A9mon)
676,Furfrou,La Reine Trim,trim,supported-gen6,supported-gen6,yes,unresolved,Natural Form plus nine Generation VI trims; retain every distinct visual state.,https://bulbapedia.bulbagarden.net/wiki/Furfrou_(Pok%C3%A9mon)
676,Furfrou,Kabuki Trim,trim,supported-gen6,supported-gen6,yes,unresolved,Natural Form plus nine Generation VI trims; retain every distinct visual state.,https://bulbapedia.bulbagarden.net/wiki/Furfrou_(Pok%C3%A9mon)
676,Furfrou,Pharaoh Trim,trim,supported-gen6,supported-gen6,yes,unresolved,Natural Form plus nine Generation VI trims; retain every distinct visual state.,https://bulbapedia.bulbagarden.net/wiki/Furfrou_(Pok%C3%A9mon)
677,Espurr,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
678,Meowstic,Male,gender,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_with_gender_differences
678,Meowstic,Female,gender,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_with_gender_differences
679,Honedge,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
680,Doublade,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
681,Aegislash,Shield Forme,battle-form,supported-gen6,supported-gen6,yes,unresolved,Battle-visible form; requires an independent logical target.,https://bulbapedia.bulbagarden.net/wiki/Aegislash_(Pok%C3%A9mon)
681,Aegislash,Blade Forme,battle-form,supported-gen6,supported-gen6,yes,unresolved,Battle-visible form; requires an independent logical target.,https://bulbapedia.bulbagarden.net/wiki/Aegislash_(Pok%C3%A9mon)
682,Spritzee,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
683,Aromatisse,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
684,Swirlix,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
685,Slurpuff,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
686,Inkay,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
687,Malamar,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
688,Binacle,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
689,Barbaracle,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
690,Skrelp,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
691,Dragalge,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
692,Clauncher,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
693,Clawitzer,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
694,Helioptile,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
695,Heliolisk,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
696,Tyrunt,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
697,Tyrantrum,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
698,Amaura,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
699,Aurorus,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
700,Sylveon,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
701,Hawlucha,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
702,Dedenne,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
703,Carbink,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
704,Goomy,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
705,Sliggoo,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
706,Goodra,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
707,Klefki,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
708,Phantump,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
709,Trevenant,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
710,Pumpkaboo,Small Size,size-form,supported-gen6,supported-gen6,yes,unresolved,Use Generation VI-era names Small/Average/Large/Super Size; later naming is not backported.,https://bulbapedia.bulbagarden.net/wiki/Pumpkaboo_(Pok%C3%A9mon)
710,Pumpkaboo,Average Size,size-form,supported-gen6,supported-gen6,yes,unresolved,Use Generation VI-era names Small/Average/Large/Super Size; later naming is not backported.,https://bulbapedia.bulbagarden.net/wiki/Pumpkaboo_(Pok%C3%A9mon)
710,Pumpkaboo,Large Size,size-form,supported-gen6,supported-gen6,yes,unresolved,Use Generation VI-era names Small/Average/Large/Super Size; later naming is not backported.,https://bulbapedia.bulbagarden.net/wiki/Pumpkaboo_(Pok%C3%A9mon)
710,Pumpkaboo,Super Size,size-form,supported-gen6,supported-gen6,yes,unresolved,Use Generation VI-era names Small/Average/Large/Super Size; later naming is not backported.,https://bulbapedia.bulbagarden.net/wiki/Pumpkaboo_(Pok%C3%A9mon)
711,Gourgeist,Small Size,size-form,supported-gen6,supported-gen6,yes,unresolved,Use Generation VI-era names Small/Average/Large/Super Size; later naming is not backported.,https://bulbapedia.bulbagarden.net/wiki/Gourgeist_(Pok%C3%A9mon)
711,Gourgeist,Average Size,size-form,supported-gen6,supported-gen6,yes,unresolved,Use Generation VI-era names Small/Average/Large/Super Size; later naming is not backported.,https://bulbapedia.bulbagarden.net/wiki/Gourgeist_(Pok%C3%A9mon)
711,Gourgeist,Large Size,size-form,supported-gen6,supported-gen6,yes,unresolved,Use Generation VI-era names Small/Average/Large/Super Size; later naming is not backported.,https://bulbapedia.bulbagarden.net/wiki/Gourgeist_(Pok%C3%A9mon)
711,Gourgeist,Super Size,size-form,supported-gen6,supported-gen6,yes,unresolved,Use Generation VI-era names Small/Average/Large/Super Size; later naming is not backported.,https://bulbapedia.bulbagarden.net/wiki/Gourgeist_(Pok%C3%A9mon)
712,Bergmite,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
713,Avalugg,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
714,Noibat,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
715,Noivern,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
716,Xerneas,Neutral Mode,mode,supported-gen6,supported-gen6,no,unresolved,"Out-of-battle visual mode; retain as provenance/source state, not the canonical Gen III battle sprite.",https://bulbapedia.bulbagarden.net/wiki/Xerneas_(Pok%C3%A9mon)
716,Xerneas,Active Mode,mode,supported-gen6,supported-gen6,yes,unresolved,Xerneas appears in Active Mode in battles; canonical Gen III battle target.,https://bulbapedia.bulbagarden.net/wiki/Xerneas_(Pok%C3%A9mon)
717,Yveltal,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
718,Zygarde,50% Forme,gen6-only-form,supported-gen6,supported-gen6,yes,unresolved,Generation VI has only the 50% Forme. 10% and Complete Formes were introduced in Sun/Moon and are excluded.,https://bulbapedia.bulbagarden.net/wiki/Zygarde_(Pok%C3%A9mon)
719,Diancie,Diancie,base-form,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/Diancie_(Pok%C3%A9mon)
719,Diancie,Mega Diancie,mega-evolution,not-in-XY,ORAS-only,yes,unresolved,Mega Diancie was introduced in Omega Ruby and Alpha Sapphire.,https://bulbapedia.bulbagarden.net/wiki/Diancie_(Pok%C3%A9mon)
720,Hoopa,Hoopa Confined,base-form,supported-gen6,supported-gen6,yes,unresolved,,https://bulbapedia.bulbagarden.net/wiki/Hoopa_(Pok%C3%A9mon)
720,Hoopa,Hoopa Unbound,alternate-form,not-in-XY,ORAS-only,yes,unresolved,Hoopa Unbound was introduced in ORAS; transformation uses the Prison Bottle.,https://bulbapedia.bulbagarden.net/wiki/Hoopa_(Pok%C3%A9mon)
721,Volcanion,Default,default,supported-gen6,supported-gen6,yes,unresolved,,
