bank_hex,bank_dec,order,section,category,pret_aggregator,reference_commit
17,23,2,Maps 16,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
17,23,3,Hidden Events 3,events/scripts,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
18,24,0,Maps 17,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
18,24,1,Cinnabar Lab Fossils,events/scripts,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
18,24,2,Maps 18,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
18,24,3,Hidden Events 4,events/scripts,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
19,25,0,Tilesets 1,graphics,gfx/tilesets.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
1A,26,0,Version Graphics,graphics,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
1A,26,1,Tilesets 2,graphics,gfx/tilesets.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
1B,27,0,Tilesets 3,graphics,gfx/tilesets.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
1C,28,0,bank1C,mixed engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
1D,29,0,Maps 19,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
1D,29,1,Itemfinder 1,events/scripts,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
1D,29,2,Maps 20,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
1D,29,3,Vending Machine,events/scripts,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
1D,29,4,Maps 21,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
1D,29,5,Itemfinder 2,events/scripts,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
1E,30,0,bank1E,mixed engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
1F,31,0,Sound Effect Headers 3,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
1F,31,1,Music Headers 3,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
1F,31,2,Sound Effects 3,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
1F,31,3,Audio Engine 3,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
1F,31,4,Music 3,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
20,32,0,Sound Effect Headers 4,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
20,32,1,Music Headers 4,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
20,32,2,Sound Effects 4,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
20,32,3,Surfing Pikachu Graphics,graphics,gfx/surfing_pikachu.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
20,32,4,Audio Engine 4,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
20,32,5,Music 4,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
21,33,0,Pikachu Cries 1,audio,audio/pikachu_cries.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
22,34,0,Pikachu Cries 2,audio,audio/pikachu_cries.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
23,35,0,Pikachu Cries 3,audio,audio/pikachu_cries.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
24,36,0,Pikachu Cries 4,audio,audio/pikachu_cries.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
25,37,0,Pikachu Cries 5,audio,audio/pikachu_cries.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
26,38,0,Text 1,text,text.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
27,39,0,Text 2,text,text.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
28,40,0,Text 3,text,text.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
29,41,0,Text 4,text,text.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
2A,42,0,Text 5,text,text.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
2B,43,0,Text 6,text,text.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
2C,44,0,Text 7,text,text.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
2D,45,0,Text 8,text,text.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
2E,46,0,Pokédex Text,text,text.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
2F,47,0,Move Names,text,text.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
2F,47,1,BG Map Attributes (Debug),cgb graphics attributes,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
2F,47,2,BG Map Attributes,cgb graphics attributes,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
30,48,0,bank30,garbage/padding,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
31,49,0,Pikachu Cries 6,audio,audio/pikachu_cries.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
32,50,0,Pikachu Cries 7,audio,audio/pikachu_cries.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
33,51,0,Pikachu Cries 8,audio,audio/pikachu_cries.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
34,52,0,Pikachu Cries 9,audio,audio/pikachu_cries.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
35,53,0,Pikachu Cries 10,audio,audio/pikachu_cries.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
36,54,0,Pikachu Cries 11,audio,audio/pikachu_cries.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
37,55,0,Pikachu Cries 12,audio,audio/pikachu_cries.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
38,56,0,Pikachu Cries 13,audio,audio/pikachu_cries.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
39,57,0,Pikachu Graphics 1,graphics,gfx/pikachu.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
3A,58,0,bank3A,mixed engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
3C,60,0,Pikachu PCM,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
3C,60,1,bank3C,mixed engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
3C,60,2,Tilesets 4,graphics,gfx/tilesets.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
3C,60,3,Try Pikachu Movement,events/scripts,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
3C,60,4,Pikachu Graphics 2,graphics,gfx/pikachu.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
3C,60,5,Credits,events/scripts,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
3C,60,6,Maps 22,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
3C,60,7,Hidden Events Core,events/scripts,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
3D,61,0,Battle Engine 8,battle engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
3D,61,1,Pics 7,pokemon/trainer graphics,gfx/pics.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
3D,61,2,Battle Engine 9,battle engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
3E,62,0,Surfing Minigame,minigame/feature engine,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
3F,63,0,Overworld Pikachu,pikachu engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
3F,63,1,NPC Sprites 3,overworld graphics,gfx/sprites.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
