ID,Event / System,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class
PH10-023,Erika / Rainbow Badge,Celadon Gym awards Rainbow Badge under Gen II rules.,Preserved.,"HGSS awards Rainbow Badge + TM19, increments Kanto badge counter and adds leader-phone/rematch availability logic.",Retain source-specific trainer/TM data; phone/rematch must not make the Leader disappear during first challenge.,Gym difference
PH10-024,Janine / Soul Badge,Fuchsia Gym uses Janine plus disguised trainers and awards Soul Badge.,Preserved.,"HGSS expands the disguise reveal logic, awards Soul Badge + TM84 and adds rematch schedule state.",Preserve disguise puzzle identity and expand object-state tracking rather than simplifying the Gym.,Gym difference
PH10-025,Sabrina / Marsh Badge,Saffron Gym retains teleport-pad identity and awards Marsh Badge.,Preserved.,HGSS awards Marsh Badge + TM48 and has post-badge/rematch schedule logic.,"Preserve teleport topology; keep first battle, TM retry and rematch states independent.",Gym difference
PH10-026,Blaine / Volcano Badge location,Cinnabar Gym is gone after the eruption; Blaine operates from Seafoam Islands.,Same major Kanto world change.,"HGSS reconstructs a larger Seafoam Gym with trainers, awards Volcano Badge + TM50.",Preserve the destroyed-Cinnabar premise while using expandable Seafoam map data; do not restore the old RBY Gym as the main Gen II-era location.,map/Gym difference
PH10-027,Blue on Cinnabar — GSC rule,Talking to Blue on Cinnabar immediately sends him back to Viridian Gym; no Kanto-badge-count check is performed.,Same source-family behavior unless a Crystal-specific difference is proven later.,Different: HGSS checks Kanto badge counter and refuses progression below 7.,Provide explicit `GSC_ORDERING` and `HGSS_ORDERING`; never mislabel the 7-badge requirement as a GSC rule.,ordering conflict
PH10-028,Blue on Cinnabar — HGSS seven-badge gate,Absent as a count gate.,Absent in the Gen II source family.,`T09` compares `VAR_UNK_4135` against 7; at 7+ Blue leaves for Viridian and updates hide/scene flags.,In HGSS mode require seven Kanto badges before Blue returns; in GSC mode conversation alone is sufficient.,HGSS progression rule
PH10-029,Blue / Earth Badge,Viridian Gym awards Earth Badge and marks the final Kanto Leader victory.,Same.,"HGSS awards Earth Badge + TM92, increments the badge counter, and advances Oak/postgame variables.",Preserve Earth Badge as semantic completion fact; keep source-specific TM and aftermath.,Gym difference
PH10-030,HGSS Kanto badge counter,Gen II can derive completion directly from badge bitfield/`VAR_BADGES`; no equivalent dedicated remake counter is required.,Same family.,Every Kanto Leader script increments `VAR_UNK_4135`; Blue checks 7 and the upgraded League checks 8.,"Target should maintain a semantic Kanto-badge count derived from badge bits or a validated counter, with consistency checks on load.",state architecture
PH10-031,Gym TM retry behavior,Gen II Leader rewards generally follow their own source scripts; no generic remake-style retry framework applies to all Kanto Leaders.,Same family.,"HGSS stores separate flags such as `FLAG_GOT_TM80_FROM_BROCK`, allowing later collection if the Bag was full.",Backport the robust retry pattern for any one-time reward without changing which source reward is owed.,robustness improvement
PH10-032,Leader phone/rematch system,No HGSS-style Gym Leader phone rematch framework.,"Crystal phone system exists, but not the full HGSS Leader-rematch architecture.","HGSS Leaders have contact registration, weekday/time availability, temporary absence from Gyms and Fighting Dojo rematch records.",Add as an HGSS system layer after phone/save expansion; first-story challenge eligibility must remain independent.,HGSS system expansion
PH10-033,Fighting Dojo rematches,Absent as the HGSS Leader-rematch hub.,Absent.,Registered Leaders can appear at Saffron Fighting Dojo for stronger rematch teams.,Backport as optional postgame content; do not replace ordinary Gym rematches/first battles.,HGSS postgame
PH10-034,Elite Four/Champion upgraded teams,GSC keeps its Gen II League data unless another source-specific rematch rule applies.,Crystal preserves its own League data.,Will/Koga/Bruno/Karen/Lance scripts compare `VAR_UNK_4135` to 8; at 8 they select `_2` upgraded trainer records.,Unlock HGSS upgraded League when all eight Kanto badges are held; preserve original first-League records as a separate tier.,HGSS battle progression
PH10-035,Oak evaluates Kanto completion — GSC,Oak reads total badge state; at all 16 badges he sets `EVENT_OPENED_MT_SILVER`.,Same core postgame gate.,Different implementation chain after Earth Badge leads to Oak and Mt. Silver unlock.,Preserve the GSC direct 16-badge rule as authoritative in GSC mode.,postgame gate
PH10-036,Oak / Mt. Silver unlock — HGSS,No Rock Climb HM08 reward exists in Gen II.,No Gen II Rock Climb system.,"Oak Lab checks the post-Earth-Badge state, gives HM08, sets `VAR_UNK_4110=2`, `FLAG_UNLOCKED_MT_SILVER`, then `FLAG_GOT_HM08`.",Separate `MT_SILVER_ACCESS_GRANTED` from `ROCK_CLIMB_OBTAINED`; do not make GSC mode depend on a field move that did not exist there.,postgame conflict
PH10-037,Reception Gate Mt. Silver branch,"After Oak opens Mt. Silver, the western branch of the League gate becomes accessible.",Same core geography.,HGSS uses dedicated `FLAG_UNLOCKED_MT_SILVER`/west-Kanto gate state in the shared Reception Gate.,Use one semantic gate entitlement and source-specific NPC/object flags.,world gate
PH10-038,Mt. Silver area preservation,"Mt. Silver is a full high-level postgame area, not only the Red room.",Same.,HGSS greatly expands cave topology and adds Gen IV field systems/content.,Port the entire area floor-by-floor; never compress the project to a direct Red warp.,map preservation
PH10-039,Moltres in Mt. Silver,Not a Gen II Mt. Silver static legendary event.,Same source family.,HGSS adds a Lv.50 Moltres static encounter in Mt. Silver Cave.,Add as HGSS-only optional content with its own encounter/caught flags.,HGSS static encounter
PH10-040,Articuno in Seafoam,Not present as a GSC static Kanto bird encounter.,Same source family.,HGSS adds Lv.50 Articuno in Seafoam Islands.,Backport as HGSS optional legendary content; do not rewrite Gen II historical source data.,HGSS static encounter
PH10-041,Zapdos at Power Plant,Not present as a GSC static Kanto bird encounter.,Same source family.,HGSS adds Lv.50 Zapdos near the restored Power Plant; Blue defeat clears its hide flag in the checked script chain.,Keep encounter availability independent from the Machine Part reward and record exact unlock predicate.,HGSS static encounter
PH10-042,Mewtwo in Cerulean Cave,Cerulean Cave/Mewtwo are not part of the GSC Kanto content set.,Same source family.,HGSS restores Cerulean Cave and a Lv.70 Mewtwo static encounter with caught-state tracking.,Treat cave restoration and Mewtwo as HGSS additions that coexist with all GSC Kanto content.,HGSS restored content
PH10-043,Steven in Vermilion / version roamer,Absent.,Absent.,Vermilion script checks game version: HeartGold branch announces/creates Latias roamer; SoulSilver branch announces/creates Latios roamer.,Keep one shared script/state machine with version-dependent species; never duplicate the event merely because ROM script bytes match.,version branch
PH10-044,HGSS Suicune/Eusine Vermilion scene,Gold/Silver do not contain the Crystal-style Eusine/Suicune pursuit system.,Crystal has its own Suicune story culminating at Tin/Bell Tower.,"HGSS Vermilion contains Suicune + Eusine movement, then clears the next Route 14 Suicune state.","For Crystal target, if Suicune was already captured, convert Kanto chase into Eusine epilogue; otherwise allow the HGSS pursuit branch. Never undo Crystal capture canon.",cross-version integration
PH10-045,Route 25 Suicune continuation,Absent in G/S.,Crystal source uses a different Johto-centered Suicune progression.,Cerulean Gym/Route 25 scripts participate in the HGSS Kanto Suicune sequence.,Keep `CRYSTAL_SUICUNE_CAPTURED` and `HGSS_SUICUNE_CHASE_STAGE` independent.,cross-version integration
PH10-046,Red location,Red waits at the summit/end of Mt. Silver as the final postgame superboss.,Preserved.,HGSS retains Red on Mt. Silver with a remade summit map.,"Preserve location, silence motif, and optional superboss status.",legacy-preserved finale
PH10-047,Red GSC party,"Lv81 Pikachu, Lv73 Espeon, Lv75 Snorlax, Lv77 Venusaur, Lv77 Charizard, Lv77 Blastoise.",Crystal source family preserves the Gen II Red concept/data family.,HGSS replaces Espeon with Lapras and raises the team dramatically.,Keep a selectable/verifiable GSC Red record; do not silently overwrite with HGSS data.,trainer data conflict
PH10-048,Red HGSS party,Not applicable.,Not applicable.,"Lv88 Pikachu (Light Ball), Lv80 Lapras, Lv82 Snorlax, Lv84 Venusaur, Lv84 Charizard, Lv84 Blastoise with authored Gen IV moves/items/abilities.",Store as a separate HGSS battle tier using the Gen IV battle engine features.,HGSS trainer data
PH10-049,Red victory aftermath — GSC,"After victory, Red disappears, party is healed and credits run.",Same finale family.,"HGSS hides Red, sets completion variables, grants Legend Ribbon to every party Pokémon and invokes credits.",Preserve GSC ending flow; add HGSS ribbon/start-Pokémon rewards as explicit remake additions.,finale aftermath
PH10-050,Kanto starter unlock after Red,No equivalent Red-win Kanto starter-ball unlock in Gen II.,Absent.,"On first qualifying Red win, HGSS clears Oak Lab Bulbasaur/Charmander/Squirtle ball hide flags.",Backport only after species-choice UI/event storage is available; label as HGSS addition.,HGSS reward
PH10-051,Legend Ribbon after Red,No Legend Ribbon system.,No Gen II ribbon system.,HGSS loops over the party and gives `RIBBON_LEGEND` after Red victory.,Requires ribbon/save-structure expansion; never emulate with an unrelated flag.,HGSS reward/system
PH10-052,Red loss path,Normal battle loss/whiteout handling applies.,Same family.,HGSS Red script explicitly calls WhiteOut on loss.,Regression-test loss without setting completion/ribbon/starter-unlock states.,boundary condition
PH10-053,HG/SS shared script bytes,Not applicable.,Not applicable.,All 23 Phase 10 Korean HG/SS field-script members checked directly are byte-identical even where runtime version branches exist.,"Treat byte equality as shared implementation evidence only, not evidence of identical version behavior/content.",ROM verification
PH10-054,Save/load integrity for Kanto state,Legacy event flags/badge bits must survive save/load.,Same.,"HGSS adds many hide flags, scene vars, badge counter, caught flags, phone contacts and one-time reward flags.",Create a Kanto state audit that reconstructs derived counters from authoritative badge bits and validates mutually exclusive actor flags after load.,save architecture
PH10-055,Phase 10 completion criterion,Kanto is complete only when legacy maps/events and Red progression still function.,Crystal-specific side content must also remain available.,"HGSS additions include expanded Gyms, rematches, restored legends, Kanto roamers, Suicune chase and Red aftermath.","Do not mark Phase 10 implementation complete until story, optional content, save/reload, whiteout, transport and version branches pass regression tests.",verification
