ID,Event / System,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class
PH7-028,Card Key shutter persistence,Using the key permanently opens the 3F shutter for the event.,Crystal uses EVENT_USED_THE_CARD_KEY_IN_THE_RADIO_TOWER and map-block callback.,HGSS 3F checks ITEM_CARD_KEY and its own scene/object state.,Persist a global CARD_KEY_SHUTTER_OPEN fact; map rendering derives from it after reload.,state hardening
PH7-029,Second Radio Tower ascent,Card Key route exposes the remaining Executive/boss path.,Same.,HGSS second ascent leads through named commanders toward the Observation Deck.,Preserve two-pass pacing and all intervening trainers/side NPC states.,story topology
PH7-030,4F commander identity after return,Anonymous EXECUTIVEM_2 is the 'fortress' Executive in GSC data.,Same.,4F occupation data uses TRAINER_EXECUTIVE_PROTON_PROTON_2.,Retain the anonymous GSC record and Proton. The integrated route may place both in sequence only with explicit project-modification metadata.,legacy actor + named executive
PH7-031,5F female Executive / Ariana,"GSC has EXECUTIVEF_1 on 5F, with dialogue referring back to the Mahogany hideout.",Crystal retains the same anonymous female Executive.,HGSS 5F zone data places TRAINER_EXECUTIVE_ARIANA_ARIANA.,Preserve EXECUTIVEF_1 and add Ariana as a named commander. Do not delete the original trainer/dialogue record because HGSS supplies a name.,legacy actor + named executive
PH7-032,Final Rocket commander,Final tower boss is unnamed EXECUTIVEM_1 on Radio Tower 5F and disbands Team Rocket after defeat.,Crystal uses the same generic final-boss role.,Final commander is Archer on the newly distinct Observation Deck/6F.,"Keep EXECUTIVEM_1 as legacy final-boss data and add Archer as the integrated named final commander. If legacy battle remains playable, relocate it before the Observatory ascent and label that placement project-authored.",legacy actor + named executive
PH7-033,Observation Deck / 6F,No distinct HGSS-style Observation Deck final-boss map.,No distinct HGSS-style Observation Deck final-boss map.,HGSS D23R0106 is the final Observation Deck space and contains the Archer battle plus Director arrival.,Add the HGSS Observation Deck as map expansion; do not shrink another Radio Tower floor to make room.,map expansion
PH7-034,Archer defeat and Team Rocket disband,"Anonymous final Executive states that he will disband Team Rocket, mirroring Giovanni's earlier disbandment.",Same.,Archer is defeated; FLAG_ROCKET_TAKEOVER_ACTIVE is cleared and post-takeover state is advanced.,"One atomic RADIO_TOWER_CLEARED transaction must remove Rockets, restore civilians, restore normal audio/objects and mark Team Rocket disbanded.",atomic story transition
PH7-035,Gold/Silver Director reward,Gold gives Rainbow Wing; Silver gives Silver Wing after the Radio Tower is saved.,Not applicable: Crystal changes this reward.,HGSS mirrors the version split: HeartGold gives Rainbow Wing and SoulSilver gives Silver Wing.,Preserve the version-specific wing route for Gold/Silver and HGSS. Keep reward provenance separately so duplicate wings are not granted accidentally.,version reward
PH7-036,Crystal Director reward,Gold/Silver use version wings.,"Crystal instead gives CLEAR_BELL, sets the Tin Tower entrance story state, and sets the Team Rocket disbanded event.",HGSS does not replace its version wing with Clear Bell here.,Crystal's Clear Bell branch remains intact and is never overwritten by the HGSS wing reward. It feeds the Crystal Suicune/Tin Tower route.,Crystal-exclusive story preservation
PH7-037,HGSS runtime version branch in common script,Separate Gold/Silver version logic exists in Gen II.,Crystal is a different script/reward path.,Uploaded Korean HG/SS have the same D23R0106 script bytes; the script calls GetGameVersion and gives Rainbow Wing for HG or Silver Wing for SS.,"Represent reward selection as runtime version data, not duplicated hard-coded script copies.",verified implementation detail
PH7-038,Radio Tower 3F post-clear TM,Post-clear woman gives Sunny Day TM in the Gen II event flow.,Crystal gives TM Sunny Day and retries if it cannot be accepted.,HGSS 3F uses ITEM_TM11; Gen IV TM11 is Sunny Day.,"One shared Sunny Day reward fact, with generation-specific TM ID/namespace handling.",direct preservation / TM namespace
PH7-039,DJ Mary post-clear reward,Gen II/Crystal Mary rewards PINK_BOW.,Crystal retains Pink Bow.,HGSS 4F script rewards BRIGHTPOWDER after takeover.,"Preserve both authored rewards: Pink Bow and BrightPowder. They require the held-item system/expanded item namespace, with separate claimed flags.",reward divergence
PH7-040,Blackthorn progression release,Clearing the Radio Tower advances the world toward the eastern Johto / Blackthorn segment.,Same.,HGSS final script explicitly changes Blackthorn Gym guard visibility/state after the takeover.,"Make BLACKTHORN_STORY_RELEASED an output of the atomic Radio Tower clear transaction, not a floor-local side effect.",next-arc handoff
PH7-041,Kimono Girl / mascot-story separation,G/S wings lead toward their mascot encounters under Gen II rules.,Crystal Clear Bell feeds the Crystal Tin Tower/Suicune story.,"HGSS has Kimono Girl beats during the story, but the later five-Kimono-Girl sequence and mascot ritual have additional prerequisites.",Do not jump directly from Archer defeat to the HGSS mascot ritual. Preserve the wing reward now; Phase 8 resolves Clair/Dragon's Den/Elm/Kimono-Girl prerequisites separately.,future-story isolation
PH7-042,Radio Tower clear post-state integrity,Civilians and normal tower functions return after Rockets leave.,Same; Crystal-specific Buena and ordinary Radio Tower services resume.,"HGSS restores Director/Petrel visibility flags, clears takeover activity and normalizes later world states.","Verify whiteout, save/reload, elevator/stairs, Card Key shutter, costume state, NPC visibility, music and repeated conversations in all pre/during/post states.",verification architecture
