ID,Event / System,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class
PH8-033,G/S mascot access model,Rainbow Wing alone makes Ho-Oh appear at Tin Tower roof; Silver Wing alone makes Lugia appear in its Whirl Islands chamber. These are not mandatory pre-League ritual battles.,Crystal changes the legendary narrative.,HGSS adds mandatory primary-mascot ritual flow.,Preserve the G/S optional legendary-access rule as a valid source mode. Do not falsely document the HGSS ritual as a G/S requirement.,progression divergence
PH8-034,G/S Ho-Oh levels,"Gold: Lv.40. Silver: Lv.70, selected by version in the same Tin Tower roof script.",Crystal: different fixed level.,HGSS: different version levels and ritual.,"Store encounter level as version/source data, not a single 'Gen II/IV Ho-Oh level'.",version encounter data
PH8-035,G/S Lugia levels,"Gold: Lv.70. Silver: Lv.40, selected by version in the same chamber script.",Crystal: different fixed level.,HGSS: different version levels and ritual.,Store independently from Ho-Oh and from remake values.,version encounter data
PH8-036,Crystal Suicune climax,No fixed Tin Tower Suicune climax.,"Tin Tower 1F stages Raikou/Entei, then a fixed Lv.40 Suicune battle, followed by Eusine and sages; it also clears/records prior Cianwood/Route42/Route36 waypoints.",HGSS continues Suicune into Kanto instead of using this as the Johto climax.,Keep the Crystal Suicune encounter as its own legendary branch with one global Suicune caught/resolved state.,Crystal-exclusive legendary branch
PH8-037,Crystal Ho-Oh unlock,Rainbow Wing is Radio Tower reward in Gold.,"After the Crystal beast/Suicune/E4 conditions, Tin Tower NPC state can provide Rainbow Wing and reveal the upper tower route.","HeartGold receives Rainbow Wing at Radio Tower, but ritual additionally needs Clear Bell/Kimono state.",Do not collapse Crystal's later Rainbow Wing qualification into the HGSS Radio Tower reward condition.,legendary unlock divergence
PH8-038,Crystal Ho-Oh encounter,Gold/Silver use Lv.40/Lv.70.,Ho-Oh is Lv.60 at Tin Tower roof when Rainbow Wing conditions are met.,HGSS uses Lv.45 in HG and Lv.70 as the secondary mascot in SS.,Retain Crystal Lv.60 as an independent source value.,version encounter data
PH8-039,Crystal Lugia encounter,Gold/Silver use Lv.70/Lv.40.,Lugia is Lv.60 in the Whirl Islands chamber when Silver Wing is available.,HGSS uses Lv.45 in SS and Lv.70 as the secondary mascot in HG.,Retain Crystal Lv.60 independently.,version encounter data
PH8-040,HGSS ritual destination selection,No Kimono ritual destination.,No HGSS ritual destination selection.,"After the Dance Theater sequence, runtime version selects Bell Tower summit for HeartGold or Whirl Islands bottom for SoulSilver by clearing the appropriate Kimono-Girl hide flag.",One version dispatcher selects the primary ritual; do not duplicate the entire state machine per ROM where data can be parameterized.,verified runtime version branch
PH8-041,HeartGold Ho-Oh ritual,No five-Kimono ritual.,No five-Kimono ritual.,"Five Kimono Girls perform the Clear Bell cinematic at Bell Tower summit, reveal Ho-Oh, and the primary encounter is Lv.45 in HeartGold.","Backport choreography, sound hooks, camera/effect state and actor positions as one scripted cinematic module; degrade visuals only where target hardware requires.",HGSS cinematic backport
PH8-042,SoulSilver Lugia ritual,No five-Kimono ritual.,No five-Kimono ritual.,"Five Kimono Girls perform the Tidal Bell cinematic at Whirl Islands bottom, reveal Lugia, and the primary encounter is Lv.45 in SoulSilver.",Use the same ritual framework with destination/effect/audio parameters; preserve SS-specific waterfall/wave presentation.,HGSS cinematic backport
PH8-043,HGSS secondary mascot levels,Both mascots can be encountered according to G/S wing rules and version levels.,Both are Lv.60 under Crystal rules.,"HeartGold Lugia is Lv.70; SoulSilver Ho-Oh is Lv.70. The opposite wing is later obtainable in Pewter, without rerunning the primary Kimono ritual.",Keep secondary-mascot access as a later independent state. Do not force five-Kimono ritual a second time.,postgame/secondary legendary
PH8-044,Pewter opposite-wing handoff,Wing distribution differs from HGSS.,Wing distribution differs from HGSS.,"Pewter script uses runtime version: HG receives Silver Wing and reveals Lugia; SS receives Rainbow Wing and reveals Ho-Oh, while ritual-girl flags stay hidden.",Preserve as later HGSS content and keep its reward flag distinct from the Radio Tower primary wing.,HGSS later legendary access
PH8-045,HGSS New Bark east-exit gate,After eight badges the player can proceed toward Route 27 without resolving a mandatory mascot ritual.,Crystal likewise does not use the HGSS mascot gate.,Dragon Shrine sets `VAR_SCENE_NEW_BARK_EAST_EXIT=1`; Elm later sets it to 2. Scene 2's friend event physically moves the player west and does not clear itself. Ho-Oh/Lugia resolution sets the scene to 3.,"This is a real HGSS pre-League gate. Preserve it in HGSS-integrated story mode, while retaining G/S/Crystal original progression modes separately.",critical progression divergence
PH8-046,Mascot resolved vs caught,G/S encounter flags primarily track whether the fixed encounter was fought.,Crystal similarly distinguishes encounter progression from species ownership.,HGSS primary scripts set the post-ritual story state after a non-whiteout static encounter outcome; a separate `FLAG_CAUGHT_HO_OH` / `FLAG_CAUGHT_LUGIA` is only set on catch.,Use separate `MASCOT_ENCOUNTER_RESOLVED` and `MASCOT_CAUGHT`. League progression must follow the correct source rule and never require a catch when the original only requires resolution.,state-model hardening
PH8-047,Whiteout at primary mascot,No mandatory-pre-League ritual lock.,No HGSS-style lock.,HGSS checks static encounter outcome; whiteout restores the legendary visibility/encounter state rather than completing the story.,"Verify loss → reload → ritual/encounter retry without duplicate items, dancers or story advancement.",boundary-condition requirement
PH8-048,Legendary branch namespace,G/S wing branches are optional legendary content.,"Crystal Clear Bell → Suicune branch, later Rainbow/Silver Wing encounters.",HGSS wing + ritual-bell + Kimono branch gates the primary mascot before Route 27.,"Maintain separate namespaces: `GS_LEGENDARY`, `CRYSTAL_SUICUNE`, `CRYSTAL_MASCOTS`, `HGSS_PRIMARY_RITUAL`, `HGSS_SECONDARY_MASCOT`, plus global per-species caught/resolved facts.",global architecture
PH8-049,Integrated canonical-vs-compatibility behavior,Original G/S allows League progression without mandatory mascot resolution.,Crystal allows its own story ordering.,HGSS requires primary mascot resolution before eastbound New Bark progression.,"Default HGSS-story integration may use the HGSS gate, but source-compatibility/testing mode must still reproduce G/S and Crystal ordering. Documentation must label this as an integration choice, not Gen II canon.",project integration rule
PH8-050,Phase 8 League handoff,Rising Badge + normal eastward route leads toward Route 27/Tohjo Falls/League.,Same after Crystal-specific legendary options.,Rising Badge → Elm/Master Ball → Kimono Girls → primary mascot resolved → New Bark east exit scene 3 → Route 27.,Expose one `JOHTO_LEAGUE_ROUTE_RELEASED` semantic fact whose prerequisites are selected by source/integration mode; Phase 9 starts from the Route 27/League route.,next-arc handoff
