block,start,end,distinct_payloads,same_offset_equality_groups
65,0x00410000,0x0041FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
66,0x00420000,0x0042FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
67,0x00430000,0x0043FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
68,0x00440000,0x0044FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
69,0x00450000,0x0045FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
70,0x00460000,0x0046FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
71,0x00470000,0x0047FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
72,0x00480000,0x0048FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
73,0x00490000,0x0049FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
74,0x004A0000,0x004AFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
75,0x004B0000,0x004BFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
76,0x004C0000,0x004CFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
77,0x004D0000,0x004DFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
78,0x004E0000,0x004EFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
79,0x004F0000,0x004FFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
80,0x00500000,0x0050FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
81,0x00510000,0x0051FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
82,0x00520000,0x0052FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
83,0x00530000,0x0053FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
84,0x00540000,0x0054FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
85,0x00550000,0x0055FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
86,0x00560000,0x0056FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
87,0x00570000,0x0057FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
88,0x00580000,0x0058FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
89,0x00590000,0x0059FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
90,0x005A0000,0x005AFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
91,0x005B0000,0x005BFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
92,0x005C0000,0x005CFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
93,0x005D0000,0x005DFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
94,0x005E0000,0x005EFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
95,0x005F0000,0x005FFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
96,0x00600000,0x0060FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
97,0x00610000,0x0061FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
98,0x00620000,0x0062FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
99,0x00630000,0x0063FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
100,0x00640000,0x0064FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
101,0x00650000,0x0065FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
102,0x00660000,0x0066FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
103,0x00670000,0x0067FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
104,0x00680000,0x0068FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
105,0x00690000,0x0069FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
106,0x006A0000,0x006AFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
107,0x006B0000,0x006BFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
108,0x006C0000,0x006CFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
109,0x006D0000,0x006DFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
110,0x006E0000,0x006EFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
111,0x006F0000,0x006FFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
112,0x00700000,0x0070FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
113,0x00710000,0x0071FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
114,0x00720000,0x0072FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
115,0x00730000,0x0073FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
116,0x00740000,0x0074FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
117,0x00750000,0x0075FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
118,0x00760000,0x0076FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
119,0x00770000,0x0077FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
120,0x00780000,0x0078FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
121,0x00790000,0x0079FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
122,0x007A0000,0x007AFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
123,0x007B0000,0x007BFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
124,0x007C0000,0x007CFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
125,0x007D0000,0x007DFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
126,0x007E0000,0x007EFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
127,0x007F0000,0x007FFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
128,0x00800000,0x0080FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
129,0x00810000,0x0081FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
130,0x00820000,0x0082FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
131,0x00830000,0x0083FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
132,0x00840000,0x0084FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
133,0x00850000,0x0085FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
134,0x00860000,0x0086FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
135,0x00870000,0x0087FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
136,0x00880000,0x0088FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
137,0x00890000,0x0089FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
138,0x008A0000,0x008AFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
139,0x008B0000,0x008BFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
140,0x008C0000,0x008CFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
141,0x008D0000,0x008DFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
142,0x008E0000,0x008EFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
143,0x008F0000,0x008FFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
144,0x00900000,0x0090FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
145,0x00910000,0x0091FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
146,0x00920000,0x0092FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
147,0x00930000,0x0093FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
148,0x00940000,0x0094FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
149,0x00950000,0x0095FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
150,0x00960000,0x0096FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
151,0x00970000,0x0097FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
152,0x00980000,0x0098FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
153,0x00990000,0x0099FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
154,0x009A0000,0x009AFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
155,0x009B0000,0x009BFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
156,0x009C0000,0x009CFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
157,0x009D0000,0x009DFFFF,3,DEU;ENG+FRA+ITA+ESP;JPN
158,0x009E0000,0x009EFFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
159,0x009F0000,0x009FFFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
160,0x00A00000,0x00A0FFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
161,0x00A10000,0x00A1FFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
162,0x00A20000,0x00A2FFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
163,0x00A30000,0x00A3FFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
164,0x00A40000,0x00A4FFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
165,0x00A50000,0x00A5FFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
166,0x00A60000,0x00A6FFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
167,0x00A70000,0x00A7FFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
168,0x00A80000,0x00A8FFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
169,0x00A90000,0x00A9FFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
170,0x00AA0000,0x00AAFFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
171,0x00AB0000,0x00ABFFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
172,0x00AC0000,0x00ACFFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
173,0x00AD0000,0x00ADFFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
174,0x00AE0000,0x00AEFFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
175,0x00AF0000,0x00AFFFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
176,0x00B00000,0x00B0FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
177,0x00B10000,0x00B1FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
178,0x00B20000,0x00B2FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
179,0x00B30000,0x00B3FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
180,0x00B40000,0x00B4FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
181,0x00B50000,0x00B5FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
182,0x00B60000,0x00B6FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
183,0x00B70000,0x00B7FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
184,0x00B80000,0x00B8FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
185,0x00B90000,0x00B9FFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
186,0x00BA0000,0x00BAFFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
187,0x00BB0000,0x00BBFFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
188,0x00BC0000,0x00BCFFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
189,0x00BD0000,0x00BDFFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
190,0x00BE0000,0x00BEFFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
191,0x00BF0000,0x00BFFFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
192,0x00C00000,0x00C0FFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
193,0x00C10000,0x00C1FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
194,0x00C20000,0x00C2FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
195,0x00C30000,0x00C3FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
196,0x00C40000,0x00C4FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
197,0x00C50000,0x00C5FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
198,0x00C60000,0x00C6FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
199,0x00C70000,0x00C7FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
200,0x00C80000,0x00C8FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
201,0x00C90000,0x00C9FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
202,0x00CA0000,0x00CAFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
203,0x00CB0000,0x00CBFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
204,0x00CC0000,0x00CCFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
205,0x00CD0000,0x00CDFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
206,0x00CE0000,0x00CEFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
207,0x00CF0000,0x00CFFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
208,0x00D00000,0x00D0FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
209,0x00D10000,0x00D1FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
210,0x00D20000,0x00D2FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
211,0x00D30000,0x00D3FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
212,0x00D40000,0x00D4FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
213,0x00D50000,0x00D5FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
214,0x00D60000,0x00D6FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
215,0x00D70000,0x00D7FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
216,0x00D80000,0x00D8FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
217,0x00D90000,0x00D9FFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
218,0x00DA0000,0x00DAFFFF,5,DEU+ITA;ENG;ESP;FRA;JPN
219,0x00DB0000,0x00DBFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
220,0x00DC0000,0x00DCFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
221,0x00DD0000,0x00DDFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
222,0x00DE0000,0x00DEFFFF,6,DEU;ENG;ESP;FRA;ITA;JPN
223,0x00DF0000,0x00DFFFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
224,0x00E00000,0x00E0FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
225,0x00E10000,0x00E1FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
226,0x00E20000,0x00E2FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
227,0x00E30000,0x00E3FFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
228,0x00E40000,0x00E4FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
229,0x00E50000,0x00E5FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
230,0x00E60000,0x00E6FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
231,0x00E70000,0x00E7FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
232,0x00E80000,0x00E8FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
233,0x00E90000,0x00E9FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
234,0x00EA0000,0x00EAFFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
235,0x00EB0000,0x00EBFFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
236,0x00EC0000,0x00ECFFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
237,0x00ED0000,0x00EDFFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
238,0x00EE0000,0x00EEFFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
239,0x00EF0000,0x00EFFFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
240,0x00F00000,0x00F0FFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
241,0x00F10000,0x00F1FFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
242,0x00F20000,0x00F2FFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
243,0x00F30000,0x00F3FFFF,2,ENG+FRA+DEU+ITA+ESP;JPN
244,0x00F40000,0x00F4FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
245,0x00F50000,0x00F5FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
246,0x00F60000,0x00F6FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
247,0x00F70000,0x00F7FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
248,0x00F80000,0x00F8FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
249,0x00F90000,0x00F9FFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
250,0x00FA0000,0x00FAFFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
251,0x00FB0000,0x00FBFFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
252,0x00FC0000,0x00FCFFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
253,0x00FD0000,0x00FDFFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
254,0x00FE0000,0x00FEFFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
255,0x00FF0000,0x00FFFFFF,1,JPN+ENG+FRA+DEU+ITA+ESP
