release,word_differences,both_rom_pointer_differences,one_sided_rom_pointer_differences,pointer_delta_decimal,pointer_delta_hex,count
JPN,15853,97,1078,1006,+0x3EE,1
JPN,15853,97,1078,1092,+0x444,1
JPN,15853,97,1078,116,+0x74,1
JPN,15853,97,1078,1072,+0x430,1
JPN,15853,97,1078,152,+0x98,1
JPN,15853,97,1078,132,+0x84,1
JPN,15853,97,1078,214,+0xD6,1
JPN,15853,97,1078,208,+0xD0,1
JPN,15853,97,1078,320,+0x140,1
FRA,530,152,0,36820,+0x8FD4,94
FRA,530,152,0,16180,+0x3F34,22
FRA,530,152,0,31536,+0x7B30,6
FRA,530,152,0,31600,+0x7B70,5
FRA,530,152,0,16672,+0x4120,4
FRA,530,152,0,16673,+0x4121,4
FRA,530,152,0,17272,+0x4378,3
FRA,530,152,0,16671,+0x411F,3
FRA,530,152,0,17054,+0x429E,2
FRA,530,152,0,17900,+0x45EC,1
FRA,530,152,0,31603,+0x7B73,1
FRA,530,152,0,17356,+0x43CC,1
FRA,530,152,0,-624,-0x270,1
FRA,530,152,0,16669,+0x411D,1
FRA,530,152,0,17288,+0x4388,1
FRA,530,152,0,17032,+0x4288,1
FRA,530,152,0,17057,+0x42A1,1
FRA,530,152,0,17052,+0x429C,1
DEU,526,152,0,89408,+0x15D40,94
DEU,526,152,0,69796,+0x110A4,22
DEU,526,152,0,69604,+0x10FE4,8
DEU,526,152,0,84336,+0x14970,6
DEU,526,152,0,84416,+0x149C0,5
DEU,526,152,0,69120,+0x10E00,3
DEU,526,152,0,69603,+0x10FE3,3
DEU,526,152,0,70072,+0x111B8,1
DEU,526,152,0,84419,+0x149C3,1
DEU,526,152,0,68924,+0x10D3C,1
DEU,526,152,0,-920,-0x398,1
DEU,526,152,0,69600,+0x10FE0,1
DEU,526,152,0,70856,+0x114C8,1
DEU,526,152,0,70622,+0x113DE,1
DEU,526,152,0,70620,+0x113DC,1
DEU,526,152,0,70610,+0x113D2,1
DEU,526,152,0,70611,+0x113D3,1
DEU,526,152,0,70623,+0x113DF,1
ITA,522,152,0,3980,+0xF8C,94
ITA,522,152,0,-14764,-0x39AC,22
ITA,522,152,0,-1596,-0x63C,6
ITA,522,152,0,-1536,-0x600,6
ITA,522,152,0,-14492,-0x389C,4
ITA,522,152,0,-14495,-0x389F,4
ITA,522,152,0,-14620,-0x391C,3
ITA,522,152,0,-14491,-0x389B,3
ITA,522,152,0,-13412,-0x3464,2
ITA,522,152,0,-13714,-0x3592,2
ITA,522,152,0,-14740,-0x3994,1
ITA,522,152,0,-936,-0x3A8,1
ITA,522,152,0,-14493,-0x389D,1
ITA,522,152,0,-13717,-0x3595,1
ITA,522,152,0,-13721,-0x3599,1
ITA,522,152,0,-13718,-0x3596,1
ESP,529,152,0,30604,+0x778C,94
ESP,529,152,0,9524,+0x2534,22
ESP,529,152,0,25188,+0x6264,6
ESP,529,152,0,25276,+0x62BC,5
ESP,529,152,0,10784,+0x2A20,4
ESP,529,152,0,10787,+0x2A23,4
ESP,529,152,0,10972,+0x2ADC,3
ESP,529,152,0,10786,+0x2A22,3
ESP,529,152,0,11268,+0x2C04,1
ESP,529,152,0,25278,+0x62BE,1
ESP,529,152,0,10748,+0x29FC,1
ESP,529,152,0,-664,-0x298,1
ESP,529,152,0,10785,+0x2A21,1
ESP,529,152,0,11840,+0x2E40,1
ESP,529,152,0,11493,+0x2CE5,1
ESP,529,152,0,11491,+0x2CE3,1
ESP,529,152,0,11488,+0x2CE0,1
ESP,529,152,0,11487,+0x2CDF,1
ESP,529,152,0,11484,+0x2CDC,1
