move_id,original_gs_korean,latest_korean,final_korean,name_changed,change_category,verification_status,source_agreement,pkhex_source,pkhex_commit,pokeapi_source,pokeapi_commit,source_accessed_date,original_encoded_length_bytes,latest_encoded_length_bytes,record_byte_delta_with_terminator,latest_encoded_hex,bank_hex,cpu_address_hex,file_offset_hex,original_raw_hex,original_gs_korean_description,description_cpu_address_hex,description_next_count
11,찝기,찝기,찝기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,4,4,0,08 93 01 b2,0x6C,0x56A9,0x1B16A9,08 93 01 b2,커다란 집게가위를 사용<NEXT>적을 찝어서 공격,0x43C4,1
12,가위자르기,가위자르기,가위자르기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,10,10,0,01 01 07 77 07 aa 04 33 01 b2,0x6C,0x56AE,0x1B16AE,01 01 07 77 07 aa 04 33 01 b2,커다란 집게가위를 사용하여<NEXT>집어올려 전투불능으로 만든다,0x43EC,1
13,칼바람,칼바람,칼바람,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,6,6,0,09 0e 04 d9 03 c7,0x6C,0x56B9,0x1B16B9,09 0e 04 d9 03 c7,1턴째에서 바람의 칼날을 만들어<NEXT>다음 턴에서 적을 공격,0x4424,1
14,칼춤,칼춤,칼춤,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,4,4,0,09 0e 08 e3,0x6C,0x56C0,0x1B16C0,09 0e 08 e3,싸움의 춤을 춰서<NEXT>공격력을 팍 올린다,0x4459,1
15,풀베기,풀베기,풀베기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,6,6,0,0a 3e 05 03 01 b2,0x6C,0x56C5,0x1B16C5,0a 3e 05 03 01 b2,날카로운 낫과 손톱을 사용하여<NEXT>적을 가르고 베며 공격,0x447D,1
16,바람일으키기,바람일으키기,바람일으키기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,12,12,0,04 d9 03 c7 07 9f 07 88 09 80 01 b2,0x6C,0x56CC,0x1B16CC,04 d9 03 c7 07 9f 07 88 09 80 01 b2,날개로 강한 바람을 일으켜<NEXT>적에게 타격을 주는 공격,0x44B1,1
17,날개치기,날개치기,날개치기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,8,8,0,02 3f 01 13 09 01 01 b2,0x6C,0x56D9,0x1B16D9,02 3f 01 13 09 01 01 b2,날개를 크게 펼쳐서<NEXT>그대로 적에게 몸통박치기를 한다,0x44E3,1
18,날려버리기,날려버리기,날려버리기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,10,10,0,02 3f 03 f1 04 f6 04 3e 01 b2,0x6C,0x56E2,0x1B16E2,02 3f 03 f1 04 f6 04 3e 01 b2,강한 바람으로 적을 날려버림<NEXT>날려버리면 전투는 끝난다,0x4516,1
19,공중날기,공중날기,공중날기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,8,8,0,01 68 08 0f 02 3f 01 b2,0x6C,0x56ED,0x1B16ED,01 68 08 0f 02 3f 01 b2,1턴째 하늘로 날아올라<NEXT>다음 턴에 적을 공격,0x454B,1
20,조이기,조이기,조이기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,6,6,0,07 e6 07 9c 01 b2,0x6C,0x56F6,0x1B16F6,07 e6 07 9c 01 b2,2-5턴 동안에 긴 몸이나<NEXT>넝쿨을 사용하여 적을 힘껏 조른다,0x4575,1
21,힘껏치기,힘껏치기,힘껏치기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,8,8,0,0a fb 01 df 09 01 01 b2,0x6C,0x56FD,0x1B16FD,0a fb 01 df 09 01 01 b2,긴 꼬리랑 넝쿨 등을<NEXT>적에게 휘둘러 공격,0x45AE,1
22,덩쿨채찍,덩굴채찍,덩굴채찍,True,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,8,8,0,03 02 01 8c 08 a4 08 8f,0x6C,0x5706,0x1B1706,03 02 09 60 08 a4 08 8f,채찍 같은 가늘고 긴 덩쿨을<NEXT>적에게 휘둘러 공격,0x45D5,1
23,짓밟기,짓밟기,짓밟기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,6,6,0,08 2e 04 e2 01 b2,0x6C,0x570F,0x1B170F,08 2e 04 e2 01 b2,커다란 다리로 밟아서 공격<NEXT>적의 기세가 꺾이는 일도 있다,0x4603,1
24,두번치기,두번차기,두번차기,True,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,8,8,0,03 2e 04 f8 08 97 01 b2,0x6C,0x5716,0x1B1716,03 2e 04 f8 09 01 01 b2,2개의 다리를 이용하여 적을<NEXT>2회 연속으로 공격,0x463A,1
25,메가톤킥,메가톤킥,메가톤킥,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,8,8,0,04 7e 01 01 09 b6 09 81,0x6C,0x571F,0x1B171F,04 7e 01 01 09 b6 09 81,엄청낭 힘이 담긴 킥으로<NEXT>적을 걷어차서 공격,0x4667,1
26,점프킥,점프킥,점프킥,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,6,6,0,07 d1 0a 61 09 81,0x6C,0x5728,0x1B1728,07 d1 0a 61 09 81,힘차게 점프해서 연속 킥 공격<NEXT>실패하면 데미지를 입는다,0x4692,1
27,돌려차기,돌려차기,돌려차기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,8,8,0,03 19 03 f1 08 97 01 b2,0x6C,0x572F,0x1B172F,03 19 03 f1 08 97 01 b2,몸을 재빠르게 한번 회전시켜서<NEXT>그 힘으로 연속킥 공격을 한다,0x46C8,1
28,모래뿌리기,모래뿌리기,모래뿌리기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,10,10,0,04 90 03 d1 05 a1 04 3e 01 b2,0x6C,0x5738,0x1B1738,04 90 03 d1 05 a1 04 3e 01 b2,적의 얼굴 등에 모래를 뿌려서<NEXT>명중률을 낮게 만든다,0x4703,1
29,박치기,박치기,박치기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,6,6,0,04 da 09 01 01 b2,0x6C,0x5743,0x1B1743,04 da 09 01 01 b2,머리로 들이박는 공격으로<NEXT>적의 기세를 꺾기도 한다,0x4735,1
30,뿔찌르기,뿔찌르기,뿔찌르기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,8,8,0,05 a4 08 8e 04 33 01 b2,0x6C,0x574A,0x1B174A,05 a4 08 8e 04 33 01 b2,끝이 뾰족한 뿔을 사용해서<NEXT>적을 찔러 공격한다,0x4766,1
31,마구찌르기,마구찌르기,마구찌르기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,10,10,0,04 46 01 88 08 8e 04 33 01 b2,0x6C,0x5753,0x1B1753,04 46 01 88 08 8e 04 33 01 b2,끝이 뾰족한 뿔을 사용해서<NEXT>2-5회 연속으로 공격,0x4793,1
32,뿔드릴,뿔드릴,뿔드릴,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,6,6,0,05 a4 03 45 04 41,0x6C,0x575E,0x1B175E,05 a4 03 45 04 41,뿔을 드릴처럼 회전시켜서<NEXT>적을 찔러 전투불능으로 만든다,0x47C2,1
33,몸통박치기,몸통박치기,몸통박치기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,10,10,0,04 96 09 bb 04 da 09 01 01 b2,0x6C,0x5765,0x1B1765,04 96 09 bb 04 da 09 01 01 b2,몸 전체를 사용해<NEXT>적에게 부딪쳐서 공격한다,0x47F9,1
34,누르기,누르기,누르기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,6,6,0,02 a9 04 33 01 b2,0x6C,0x5770,0x1B1770,02 a9 04 33 01 b2,몸 전체로 쓰러지며 공격<NEXT>적을 마비시키기도 한다,0x4823,1
35,김밥말이,김밥말이,김밥말이,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,8,8,0,01 b8 04 e4 04 4b 07 9c,0x6C,0x5777,0x1B1777,01 b8 04 e4 04 4b 07 9c,2-5턴 동안에 긴 몸이랑 덩쿨을<NEXT>사용하여 적을 꼼짝 못하게 만든다,0x4852,1
36,돌진,돌진,돌진,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,4,4,0,03 19 08 28,0x6C,0x5780,0x1B1780,03 19 08 28,탄력을 이용하여 적에게 부딪친다<NEXT>자신도 약간은 데미지를 입는다,0x4892,1
37,난동부리기,난동부리기,난동부리기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,10,10,0,02 3d 03 1f 05 2e 04 3e 01 b2,0x6C,0x5785,0x1B1785,02 3d 03 1f 05 2e 04 3e 01 b2,2-3턴 동안에 난동을 부린다<NEXT>난동부린 뒤에는 혼란상태가 된다,0x48D0,1
38,이판사판태클,이판사판태클,이판사판태클,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,12,12,0,07 9c 09 f7 05 b7 09 f7 09 92 09 7c,0x6C,0x5790,0x1B1790,07 9c 09 f7 05 b7 09 f7 09 92 09 7c,목숨을 걸고 적에게 몸통박치기<NEXT>자신도 약간은 데미지를 입는다,0x490C,1
39,꼬리흔들기,꼬리흔들기,꼬리흔들기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,10,10,0,01 ef 04 3e 0a e7 03 49 01 b2,0x6C,0x579D,0x1B179D,01 ef 04 3e 0a e7 03 49 01 b2,적에게 꼬리를 흔들어 방심하게<NEXT>만들어서 방어력을 낮춘다,0x4948,1
40,독침,독침,독침,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,https://github.com/kwsch/PKHeX/blob/master/PKHeX.Core/Resources/text/other/ko/text_Moves_ko.txt,556e2c142cdee41dbd092c2f9e7efc17e9456938,https://github.com/PokeAPI/pokeapi/blob/master/data/v2/csv/move_names.csv,8fe210b21c9abbe73de93670f3d5a346c80a3625,2026-09-10,4,4,0,03 16 09 07,0x6C,0x57A8,0x1B17A8,03 16 09 07,독이 있는 바늘과 뿔로 공격<NEXT>적을 독에 중독시키기도 한다,0x497F,1
