release_id,bank_hex,offset_start,offset_end_exclusive,sha1,sha256,entropy_bits_per_byte,zero_fraction,ff_fraction,most_common_byte,most_common_fraction,all_zero,all_ff
JP-JA-HV0,0A,0x028000,0x02C000,e2228c5b805beee48b2e1489c7c1282c96d6fda2,c9a5c018aceadf4a5a44358847d47de5bdcde38a9ff3871e390651774e7c70b7,7.821027,0.002502,0.019165,0xFF,0.019165,False,False
JP-JA-HV0,0B,0x02C000,0x030000,df2da00a2535ea70186f90f7792eb2c55c0bd3b9,2ad5e1ec5e4aeb70dfa0e1bf3d46640164177b612991231af1fe9ee78e9b59e2,7.810269,0.013672,0.022583,0xFF,0.022583,False,False
JP-JA-HV0,0C,0x030000,0x034000,646b718c30c60121331f2db4fc244b1d48ed8ca9,54e7bc733afce3b4a5f24e634d70e247ac93674f82daa13ff34fe95128ea4bd0,7.815353,0.001892,0.018677,0xFF,0.018677,False,False
JP-JA-HV0,0D,0x034000,0x038000,3aba8b2bc8369e347cf275af8f0a924fe7cb2a1e,5346501cd6bfa430978376ddc7b727b3267294813b71bdc8637703ec8004d94a,7.804504,0.018311,0.026917,0xFF,0.026917,False,False
JP-JA-HV0,0E,0x038000,0x03C000,69e954f1cfdb580b7233c7da806428546aa7971e,527cce29cab0b0c4a38e1112962979f19b215ca22af87551656c4fe5442ff8b1,7.139959,0.123352,0.022766,0x00,0.123352,False,False
JP-JA-HV0,0F,0x03C000,0x040000,d3a40caff3d0863fa573190be730c62310a093f1,1f5858d3d72e486b8e3b57abb41e9e42a3e92f772b28cf475b3eefe253c45b28,7.083385,0.018005,0.003967,0xCD,0.048523,False,False
JP-JA-HV0,10,0x040000,0x044000,4e39c442afc4b87b3bf4e183e08869205e10b27e,4bb39f14e857177522e2b061218fd7ccfa3c7e6356066e4b449c448a7b045704,6.926023,0.089905,0.026123,0x00,0.089905,False,False
JP-JA-HV0,11,0x044000,0x048000,b51b49dd69864efe1d2b3147c8e08bae3acc2ae3,136665c8411daf7696112d4e4f6665234c14c0e254831473d5c5d0ad67628bce,7.211063,0.021606,0.020569,0x01,0.048889,False,False
JP-JA-HV0,12,0x048000,0x04C000,61df00cf006290c81d0474cbea485b593045816f,8f9eb95e2e62b13e0a7c6d7be042d2b5c27f3ac97ca6bc954a8cbaa31f7c4777,7.126985,0.024475,0.013184,0x7F,0.063049,False,False
JP-JA-HV0,13,0x04C000,0x050000,fad644712faccf84abda5aee8846dabeb9f7546a,0806463772ce7c8c6da66705ce5dd43a61215ead15f0160b2085ab9d3573f864,7.836431,0.002136,0.019958,0xFF,0.019958,False,False
JP-JA-HV0,14,0x050000,0x054000,ad3e5ea5db776f005b70582e2f595ebb80349f4e,1da951d1746ea295d477eb63ac67d27b1d08e5438809afcfaed12e6117ec2825,7.290576,0.020691,0.010132,0x7F,0.046631,False,False
JP-JA-HV0,15,0x054000,0x058000,04730d346be6a74f4b0b0546fedbbc99de61443d,b2162a5e10eae5cdfdf51559cf2d18065509426f0490b73d0a3630898e025028,7.154434,0.024414,0.007874,0x7F,0.050354,False,False
JP-JA-HV0,16,0x058000,0x05C000,c948152db434eb6bf106dc101eb0d159fd2192e2,90698ee1eca80d5192cf2747ac5be5533b053b8b5e608a032386208e305e73dd,7.173252,0.023499,0.008240,0x7F,0.061584,False,False
JP-JA-HV0,17,0x05C000,0x060000,0fac544bd6f5dfd7ed736d9d61c935391b7555a3,d7f70ca4e5a91c045b9eecb9f1166481076220a7caeac7be96ea7ed8aa33c4ca,7.100665,0.022949,0.012146,0x7F,0.069702,False,False
JP-JA-HV0,18,0x060000,0x064000,406068f3e1530dc4332e8511ef98de7edba8718e,ef867943c3717bfda4954ff414a787b20e66663c02e0fcbb0f0340f030893621,7.046184,0.023499,0.011414,0x7F,0.057190,False,False
JP-JA-HV0,19,0x064000,0x068000,2ff9dfdcc4e131f90f816058e1815f27f2e36bd0,5e08f1072eba382ee82d1193a01ad21e4497d7d6cb78c7b73329aeaf9f8d3940,6.506266,0.091614,0.097290,0xFF,0.097290,False,False
JP-JA-HV0,1A,0x068000,0x06C000,56036658f41b5e1b2a1582ddade0c19b010b4fc4,f746f9123ab496af34fd210da8767b376c62282e4ac298f90ee9a4f041d8aec8,6.371368,0.063293,0.078979,0x01,0.093018,False,False
JP-JA-HV0,1B,0x06C000,0x070000,682b94550690d2e4c4103fe93753ed74ab38fc72,467f81554dc60b70c05127425e915d4f727b303ea88caa4e988b7dbfaeb4dc8e,6.201428,0.086670,0.110474,0xFF,0.110474,False,False
JP-JA-HV0,1C,0x070000,0x074000,7b6e17254e6b33add162f0b050e9e0dacba7eed4,6c1fcb47a5ac834e518a9b07f251db289d166cd9eaef28fd81f89197b28920c3,6.884681,0.135071,0.024109,0x00,0.135071,False,False
JP-JA-HV0,1D,0x074000,0x078000,ca13e04be321fdacb465d795cf6e34a7781b597b,e51ffc2d06cdcbdf43b56f75d59159159f4a1bb983277de4e95b886a22d09f72,7.084328,0.019531,0.010681,0x7F,0.066345,False,False
JP-JA-HV0,1E,0x078000,0x07C000,b4f66792c3927068d94b1f18b5788e7922aa99ff,d91c8387c055be0820fb7acd20db0e916c8db975650f62c2a0743d83d76b9e3b,6.802547,0.133362,0.036560,0x00,0.133362,False,False
JP-JA-HV0,1F,0x07C000,0x080000,e6f56f437aa0818bbca734936d91644434ff803c,6a45a1d44566365cb736a7f3679f6776a7a63b03a9d1196fedcd191b6bf683e4,7.066824,0.024658,0.017456,0xC0,0.046387,False,False
