ID,Event / System,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision
PH12-037,Goldenrod Lottery cadence,"Lucky Channel number changes weekly, on the …",Same weekly Lucky Number Show.,Lottery Corner number changes daily.,Maintain separate `LOTTERY_CYCLE=weekly` and `daily` source modes; do…
PH12-038,Gen II Lottery prizes,"PP Up for last 2 digits, Exp. Share for last…",Same core prize ladder.,Different HGSS daily prize ladder.,Preserve both prize tables by ruleset.
PH12-039,HGSS Lottery prizes,Not applicable.,Not applicable.,"Ultra Ball (1 digit), PP Up (2), Exp. Share (3), Max Revi…",Use daily Loto ID and HGSS digit ladder.
PH12-040,HGSS Loto ID day advancement,Weekly source rule.,Weekly source rule.,"Day rollover calls `Save_LCRNGAdvanceLotoID(save, days)`.",Advance the lottery RNG by actual elapsed forward days through the RT…
PH12-041,Goldenrod Tunnel weekday shops,"Bargain shop, haircut brothers and herb shop…",Same core schedule; Crystal has its own roof…,HGSS preserves Tunnel weekday services and daily haircut …,Keep vendor visibility schedule and per-cycle purchase/service flags …
PH12-042,Haircut schedule,Older/younger brother schedule is weekday-ba…,Same core.,Older: Tue/Thu/Sat; younger: Sun/Wed/Fri; closed Monday; …,Represent service provider schedule in data and retain `DAILY_GOT_HAI…
PH12-043,Monday bargain shop,Monday morning recurring bargain vendor.,Same.,Preserved; each listed item is a per-week purchase opport…,"Use weekly purchase bits and Monday-morning visibility, not permanent…"
PH12-044,Weekend herb shop,Herb shop weekend schedule.,Same.,Saturday/Sunday Herb Shop remains scheduled content.,Store vendor schedule independently from story/Rocket tunnel states.
PH12-045,Crystal Department Store rooftop sale,Gold/Silver do not have Crystal's rooftop ex…,Crystal rooftop sale is phone-triggered by T…,HGSS Department Store uses a different 6F daily raffle sy…,Preserve Crystal rooftop sale as its own legacy facility; do not repl…
PH12-046,HGSS Dept Store 6F daily raffle,Absent.,Absent in this HGSS form.,"Day-specific first-prize TM, second-prize Ball and random…",Add as HGSS recurring facility with weekday-indexed prize table.
PH12-047,Pokémon Music weekday dispatcher,Gen II radio has Pokémon March/Lullaby and o…,Crystal retains and expands radio programmin…,HGSS `pokemon_music.c` selects track from RTC weekday and…,"Use one data/dispatcher layer tied to RTC, not map-script time checks."
PH12-048,HGSS Pokémon Music pre-National Dex,Legacy March/Lullaby exist in Gen II radio.,Same family.,Sun/Mon/Wed/Fri resolve to March (unless Sunday GB Sounds…,Preserve the verified code branch exactly.
PH12-049,HGSS Pokémon Music post-National Dex,No Hoenn/Sinnoh Sound.,No HGSS Sound system.,Wednesday becomes Hoenn Sound; Thursday becomes Sinnoh So…,Backport encounter-modifying broadcasts only after encounter engine s…
PH12-050,Buena Password weekly/daily interactions,Absent in Gold/Silver.,Crystal introduces Buena/Blue Card and weekl…,HGSS retains Buena and daily RTC integration; day rollove…,Keep Crystal and HGSS password-cycle provenance distinct while sharin…
PH12-051,Photo Album save block,Absent.,Absent.,Dedicated `SAVE_PHOTO_ALBUM`; maximum 36 photos.,Allocate album storage independent of event flags.
PH12-052,Photo record contents,Absent.,Absent.,Each 0x84-byte photo stores map/coordinates/date/time/pla…,Preserve full metadata; a screenshot bitmap is not a substitute for t…
PH12-053,Photo write transaction,Absent.,Absent.,Field photo task stamps RTC hour/minute and writes to a s…,Use checked empty-slot handling and persist metadata atomically.
PH12-054,Cameron photo opportunities,Absent.,Absent.,Cameron appears across Johto/Kanto on weekday/location sc…,Drive Cameron placement from schedule data and keep album capacity in…
PH12-055,NPC/Gym Leader photographs,Absent.,Absent.,Many leaders and NPCs have scheduled photo opportunities;…,Resolve actor priority from authoritative schedule state; do not dupl…
PH12-056,Lt. Surge in-game trade,Absent.,Absent.,"After his contact requirements, Surge offers foreign Pika…","Keep phone/contact eligibility, actor availability and one-time trade…"
PH12-057,Brock in-game trade,Absent.,Absent.,Brock offers Rhyhorn `Hornlette` for Bonsly; source uses …,Preserve requested species and received Pokémon metadata; never gener…
PH12-058,Jasmine in-game trade,Absent.,Absent.,Jasmine offers Steelix `Rusty` for any player Pokémon aft…,Support a wildcard requested Pokémon while protecting Eggs/invalid se…
PH12-059,Steven postgame trade,Absent.,Absent.,Separate from Gym Leaders: Steven can trade Beldum `Iron`…,Document separately so 'Gym Leader trades' does not swallow other HGS…
PH12-060,NPC trade data model,Gen II has source-era in-game trades with si…,Crystal retains Gen II trade framework.,"HGSS NPC trade records include species, IVs, personality/…",Expand trade table rather than reducing new trades to species-for-spe…
PH12-061,HGSS phonebook size,Gen II phonebook/contact set is smaller and …,Crystal contact set differs and adds Crystal…,HGSS defines exactly 75 phone contacts (IDs 0–74).,Create a contact table large enough for all HGSS contacts while retai…
PH12-062,Phone contact behavior classes,Trainer rematch/news/gift and story calls al…,Crystal expands specialized calls.,HGSS mixes Mom/Elm/Oak/friend/Kurt/Day Care/Buena/Bill/Ba…,"Dispatch behavior by contact type/script, not by assuming every regis…"
PH12-063,Gen II phone swarms,Phone trainers can announce special swarms s…,Crystal retains source-specific phone swarm …,HGSS adds its own mass-outbreak system after postgame unl…,Preserve Gen II phone swarms separately from HGSS mass outbreaks.
PH12-064,HGSS mass-outbreak announcement,Absent in HGSS form.,Absent in HGSS form.,Postgame outbreak system is globally enabled by Oak and c…,"Keep feature unlock, current species/location/cycle and announcement …"
PH12-065,Phone gifts,Multiple phone contacts offer gifts under so…,Crystal retains/changes contact gift tables.,HGSS phonebook includes a `gift` field and specialized sc…,Use per-contact pending-gift state plus bag-safe claim semantics; do …
PH12-066,Phone news/information calls,Some contacts primarily report rumors/news o…,Same with Crystal additions.,HGSS retains ordinary chat/news contacts alongside specia…,Represent content category separately from contact registration and r…
PH12-067,Friday Union Cave Lapras,Lv20 Lapras appears on B2F every Friday.,Same Lv20 recurring Friday encounter.,"HGSS retains recurring Friday Lv20 Lapras, with Gen IV mo…",Keep weekly recurrence and `resolved_this_cycle` separate from Pokéde…
PH12-068,HGSS Lapras battle data,Gen II moves: Growl/Sing/Mist/Body Slam at t…,Same source-era special encounter family.,HGSS Lv20 moves listed as Confuse Ray/Ice Shard/Water Pul…,Use source-specific encounter Pokémon generation rather than a generi…
PH12-069,Photo/weekly actor collision rule,Not applicable.,Not applicable.,"Leader photo NPCs, phone-registration NPCs and Dojo-remat…",One authoritative actor-state resolver chooses exactly one active pla…
PH12-070,Phase 12 integration rule,Original G/S recurring shops/phone/trees/lot…,"Crystal Battle Tower, Buena, rooftop sale an…","HGSS adds Pokéathlon, full Frontier, Johto Safari Zone, P…",Integrate by subsystem with independent save namespaces; never replac…
