expanded_johto_dex,hgss_johto_dex,national_dex,identifier,internal_id_hex,storage_species_byte_hex,ext_selector,id_class
140,138,52,MEOWTH,0x4D,0x4D,,KANTO_LEGACY
141,139,53,PERSIAN,0x90,0x90,,KANTO_LEGACY
142,140,54,PSYDUCK,0x2F,0x2F,,KANTO_LEGACY
143,141,55,GOLDUCK,0x80,0x80,,KANTO_LEGACY
144,142,66,MACHOP,0x6A,0x6A,,KANTO_LEGACY
145,143,67,MACHOKE,0x29,0x29,,KANTO_LEGACY
146,144,68,MACHAMP,0x7E,0x7E,,KANTO_LEGACY
147,145,236,TYROGUE,0xEC,0xEC,,JOHTO_RECLAIMED_8BIT
148,146,106,HITMONLEE,0x2B,0x2B,,KANTO_LEGACY
149,147,107,HITMONCHAN,0x2C,0x2C,,KANTO_LEGACY
150,148,237,HITMONTOP,0xED,0xED,,JOHTO_RECLAIMED_8BIT
151,149,203,GIRAFARIG,0xCB,0xCB,,JOHTO_RECLAIMED_8BIT
152,150,128,TAUROS,0x3C,0x3C,,KANTO_LEGACY
153,151,241,MILTANK,0xF1,0xF1,,JOHTO_RECLAIMED_8BIT
154,152,240,MAGBY,0xF0,0xF0,,JOHTO_RECLAIMED_8BIT
155,153,126,MAGMAR,0x33,0x33,,KANTO_LEGACY
156,,467,MAGMORTAR,0x109,0xFC,9,GEN4_EXTENDED_ESCAPE_FC
157,154,238,SMOOCHUM,0xEE,0xEE,,JOHTO_RECLAIMED_8BIT
158,155,124,JYNX,0x48,0x48,,KANTO_LEGACY
159,156,239,ELEKID,0xEF,0xEF,,JOHTO_RECLAIMED_8BIT
160,157,125,ELECTABUZZ,0x35,0x35,,KANTO_LEGACY
161,,466,ELECTIVIRE,0x108,0xFC,8,GEN4_EXTENDED_ESCAPE_FC
162,158,122,MR_MIME,0x2A,0x2A,,KANTO_LEGACY
163,159,235,SMEARGLE,0xEB,0xEB,,JOHTO_RECLAIMED_8BIT
164,160,83,FARFETCHD,0x40,0x40,,KANTO_LEGACY
165,161,177,NATU,0x8C,0x8C,,JOHTO_RECLAIMED_8BIT
166,162,178,XATU,0x92,0x92,,JOHTO_RECLAIMED_8BIT
167,163,211,QWILFISH,0xD3,0xD3,,JOHTO_RECLAIMED_8BIT
168,164,72,TENTACOOL,0x18,0x18,,KANTO_LEGACY
169,165,73,TENTACRUEL,0x9B,0x9B,,KANTO_LEGACY
170,166,98,KRABBY,0x4E,0x4E,,KANTO_LEGACY
171,167,99,KINGLER,0x8A,0x8A,,KANTO_LEGACY
172,168,213,SHUCKLE,0xD5,0xD5,,JOHTO_RECLAIMED_8BIT
173,169,120,STARYU,0x1B,0x1B,,KANTO_LEGACY
174,170,121,STARMIE,0x98,0x98,,KANTO_LEGACY
175,171,90,SHELLDER,0x17,0x17,,KANTO_LEGACY
176,172,91,CLOYSTER,0x8B,0x8B,,KANTO_LEGACY
177,173,222,CORSOLA,0xDE,0xDE,,JOHTO_RECLAIMED_8BIT
178,174,223,REMORAID,0xDF,0xDF,,JOHTO_RECLAIMED_8BIT
179,175,224,OCTILLERY,0xE0,0xE0,,JOHTO_RECLAIMED_8BIT
180,176,170,CHINCHOU,0x73,0x73,,JOHTO_RECLAIMED_8BIT
181,177,171,LANTURN,0x79,0x79,,JOHTO_RECLAIMED_8BIT
182,178,86,SEEL,0x3A,0x3A,,KANTO_LEGACY
183,179,87,DEWGONG,0x78,0x78,,KANTO_LEGACY
184,180,108,LICKITUNG,0x0B,0x0B,,KANTO_LEGACY
185,181,463,LICKILICKY,0x105,0xFC,5,GEN4_EXTENDED_ESCAPE_FC
186,182,114,TANGELA,0x1E,0x1E,,KANTO_LEGACY
187,183,465,TANGROWTH,0x107,0xFC,7,GEN4_EXTENDED_ESCAPE_FC
188,184,133,EEVEE,0x66,0x66,,KANTO_LEGACY
189,185,134,VAPOREON,0x69,0x69,,KANTO_LEGACY
190,186,135,JOLTEON,0x68,0x68,,KANTO_LEGACY
191,187,136,FLAREON,0x67,0x67,,KANTO_LEGACY
192,188,196,ESPEON,0xC4,0xC4,,JOHTO_RECLAIMED_8BIT
193,189,197,UMBREON,0xC5,0xC5,,JOHTO_RECLAIMED_8BIT
194,,470,LEAFEON,0x10C,0xFC,12,GEN4_EXTENDED_ESCAPE_FC
195,,471,GLACEON,0x10D,0xFC,13,GEN4_EXTENDED_ESCAPE_FC
196,190,116,HORSEA,0x5C,0x5C,,KANTO_LEGACY
197,191,117,SEADRA,0x5D,0x5D,,KANTO_LEGACY
198,192,230,KINGDRA,0xE6,0xE6,,JOHTO_RECLAIMED_8BIT
199,193,207,GLIGAR,0xCF,0xCF,,JOHTO_RECLAIMED_8BIT
200,,472,GLISCOR,0x10E,0xFC,14,GEN4_EXTENDED_ESCAPE_FC
201,194,225,DELIBIRD,0xE1,0xE1,,JOHTO_RECLAIMED_8BIT
202,195,220,SWINUB,0xDC,0xDC,,JOHTO_RECLAIMED_8BIT
203,196,221,PILOSWINE,0xDD,0xDD,,JOHTO_RECLAIMED_8BIT
204,197,473,MAMOSWINE,0x10F,0xFC,15,GEN4_EXTENDED_ESCAPE_FC
205,198,216,TEDDIURSA,0xD8,0xD8,,JOHTO_RECLAIMED_8BIT
206,199,217,URSARING,0xD9,0xD9,,JOHTO_RECLAIMED_8BIT
207,200,231,PHANPY,0xE7,0xE7,,JOHTO_RECLAIMED_8BIT
208,201,232,DONPHAN,0xE8,0xE8,,JOHTO_RECLAIMED_8BIT
209,202,226,MANTINE,0xE2,0xE2,,JOHTO_RECLAIMED_8BIT
210,203,227,SKARMORY,0xE3,0xE3,,JOHTO_RECLAIMED_8BIT
211,204,84,DODUO,0x46,0x46,,KANTO_LEGACY
212,205,85,DODRIO,0x74,0x74,,KANTO_LEGACY
213,206,77,PONYTA,0xA3,0xA3,,KANTO_LEGACY
214,207,78,RAPIDASH,0xA4,0xA4,,KANTO_LEGACY
215,208,104,CUBONE,0x11,0x11,,KANTO_LEGACY
216,209,105,MAROWAK,0x91,0x91,,KANTO_LEGACY
217,210,115,KANGASKHAN,0x02,0x02,,KANTO_LEGACY
218,211,111,RHYHORN,0x12,0x12,,KANTO_LEGACY
219,212,112,RHYDON,0x01,0x01,,KANTO_LEGACY
220,,464,RHYPERIOR,0x106,0xFC,6,GEN4_EXTENDED_ESCAPE_FC
221,213,198,MURKROW,0xC6,0xC6,,JOHTO_RECLAIMED_8BIT
222,,430,HONCHKROW,0x102,0xFC,2,GEN4_EXTENDED_ESCAPE_FC
223,214,228,HOUNDOUR,0xE4,0xE4,,JOHTO_RECLAIMED_8BIT
224,215,229,HOUNDOOM,0xE5,0xE5,,JOHTO_RECLAIMED_8BIT
225,216,218,SLUGMA,0xDA,0xDA,,JOHTO_RECLAIMED_8BIT
226,217,219,MAGCARGO,0xDB,0xDB,,JOHTO_RECLAIMED_8BIT
227,218,215,SNEASEL,0xD7,0xD7,,JOHTO_RECLAIMED_8BIT
228,,461,WEAVILE,0x103,0xFC,3,GEN4_EXTENDED_ESCAPE_FC
229,219,200,MISDREAVUS,0xC8,0xC8,,JOHTO_RECLAIMED_8BIT
230,,429,MISMAGIUS,0x101,0xFC,1,GEN4_EXTENDED_ESCAPE_FC
231,220,137,PORYGON,0xAA,0xAA,,KANTO_LEGACY
232,221,233,PORYGON2,0xE9,0xE9,,JOHTO_RECLAIMED_8BIT
233,,474,PORYGON_Z,0x110,0xFC,16,GEN4_EXTENDED_ESCAPE_FC
234,222,113,CHANSEY,0x28,0x28,,KANTO_LEGACY
235,223,242,BLISSEY,0xF2,0xF2,,JOHTO_RECLAIMED_8BIT
236,224,131,LAPRAS,0x13,0x13,,KANTO_LEGACY
237,225,138,OMANYTE,0x62,0x62,,KANTO_LEGACY
238,226,139,OMASTAR,0x63,0x63,,KANTO_LEGACY
239,227,140,KABUTO,0x5A,0x5A,,KANTO_LEGACY
240,228,141,KABUTOPS,0x5B,0x5B,,KANTO_LEGACY
241,229,142,AERODACTYL,0xAB,0xAB,,KANTO_LEGACY
242,230,143,SNORLAX,0x84,0x84,,KANTO_LEGACY
243,231,1,BULBASAUR,0x99,0x99,,KANTO_LEGACY
244,232,2,IVYSAUR,0x09,0x09,,KANTO_LEGACY
245,233,3,VENUSAUR,0x9A,0x9A,,KANTO_LEGACY
246,234,4,CHARMANDER,0xB0,0xB0,,KANTO_LEGACY
247,235,5,CHARMELEON,0xB2,0xB2,,KANTO_LEGACY
248,236,6,CHARIZARD,0xB4,0xB4,,KANTO_LEGACY
249,237,7,SQUIRTLE,0xB1,0xB1,,KANTO_LEGACY
250,238,8,WARTORTLE,0xB3,0xB3,,KANTO_LEGACY
251,239,9,BLASTOISE,0x1C,0x1C,,KANTO_LEGACY
252,240,144,ARTICUNO,0x4A,0x4A,,KANTO_LEGACY
253,241,145,ZAPDOS,0x4B,0x4B,,KANTO_LEGACY
254,242,146,MOLTRES,0x49,0x49,,KANTO_LEGACY
255,243,243,RAIKOU,0xF3,0xF3,,JOHTO_RECLAIMED_8BIT
256,244,244,ENTEI,0xF4,0xF4,,JOHTO_RECLAIMED_8BIT
257,245,245,SUICUNE,0xF5,0xF5,,JOHTO_RECLAIMED_8BIT
258,246,147,DRATINI,0x58,0x58,,KANTO_LEGACY
259,247,148,DRAGONAIR,0x59,0x59,,KANTO_LEGACY
260,248,149,DRAGONITE,0x42,0x42,,KANTO_LEGACY
261,249,246,LARVITAR,0xF6,0xF6,,JOHTO_RECLAIMED_8BIT
262,250,247,PUPITAR,0xF7,0xF7,,JOHTO_RECLAIMED_8BIT
263,251,248,TYRANITAR,0xF8,0xF8,,JOHTO_RECLAIMED_8BIT
264,252,249,LUGIA,0xF9,0xF9,,JOHTO_RECLAIMED_8BIT
265,253,250,HO_OH,0xFA,0xFA,,JOHTO_RECLAIMED_8BIT
266,254,150,MEWTWO,0x83,0x83,,KANTO_LEGACY
267,255,151,MEW,0x15,0x15,,KANTO_LEGACY
268,256,251,CELEBI,0xFB,0xFB,,JOHTO_RECLAIMED_8BIT
