slot_index_zero_based,item_id_decimal,item_id_hex,slot_kind,original_gs_korean,latest_korean,final_korean,original_gs_korean_description,description_cpu_address_hex,canonical_identifier,canonical_english,change_category,verification_status,source_agreement
39,40,0x28,NAMED_ITEM,기력의 덩어리,기력의덩어리,기력의덩어리,체력을 전체 상태로<NEXT>기절상태에서 회복시켜준다,0x46E2,max-revive,Max Revive,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
40,41,0x29,NAMED_ITEM,이펙트 가드,이펙트가드,이펙트가드,사용한 전투중에서만<NEXT>능력을 떨어뜨리지 않게된다,0x470F,guard-spec,Guard Spec.,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
41,42,0x2A,NAMED_ITEM,실버 스프레이,실버스프레이,실버스프레이,200보 이내에서 약한 포켓몬과<NEXT>만나지 않게된다,0x473E,super-repel,Super Repel,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
42,43,0x2B,NAMED_ITEM,골드 스프레이,골드스프레이,골드스프레이,250보 이내에서 약한 포켓몬과<NEXT>만나지 않게된다,0x476B,max-repel,Max Repel,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
43,44,0x2C,NAMED_ITEM,크리티컬 커터,크리티컬커터,크리티컬커터,사용한 전투중에서만<NEXT>급소에 명중시키기 쉽게된다,0x4798,dire-hit,Dire Hit,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
44,45,0x2D,UNUSED_OR_INTERNAL,?,?,?,?,0x47C7,,,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE
45,46,0x2E,NAMED_ITEM,맛있는 물,맛있는물,맛있는물,은빛 산에서 손에 넣었다<NEXT>체력을 50 회복시켜준다,0x47CA,fresh-water,Fresh Water,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
46,47,0x2F,NAMED_ITEM,미네랄 사이다,미네랄사이다,미네랄사이다,시원하고 상쾌한 맛이다<NEXT>체력을 60 회복시켜준다,0x47F9,soda-pop,Soda Pop,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
47,48,0x30,NAMED_ITEM,후르츠 밀크,후르츠밀크,후르츠밀크,매우 달콤하다<NEXT>체력을 80 회복시켜준다,0x4827,lemonade,Lemonade,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
48,49,0x31,NAMED_ITEM,플러스파워,플러스파워,플러스파워,사용한 전투중에서만<NEXT>공격력이 올라간다,0x484C,x-attack,X Attack,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
49,50,0x32,UNUSED_OR_INTERNAL,?,?,?,?,0x4872,,,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE
50,51,0x33,NAMED_ITEM,디펜드 업,디펜드업,디펜드업,사용한 전투중에서만<NEXT>방어력이 올라간다,0x4875,x-defense,X Defense,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
51,52,0x34,NAMED_ITEM,스피드 업,스피드업,스피드업,사용한 전투중에서만<NEXT>스피드가 올라간다,0x489B,x-speed,X Speed,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
52,53,0x35,NAMED_ITEM,스페셜 업,스페셜업,스페셜업,사용한 전투중에서만<NEXT>특수공격력이 올라간다,0x48C1,x-sp-atk,X Sp. Atk,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
53,54,0x36,NAMED_ITEM,동전 케이스,동전케이스,동전케이스,손에 넣은 동전을<NEXT>9999개까지 지닐 수 있게된다,0x48EB,coin-case,Coin Case,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
54,55,0x37,NAMED_ITEM,다우징 머신,다우징머신,다우징머신,보이지 않는 도구에 반응해서<NEXT>소리로 가르쳐준다,0x4918,dowsing-machine,Dowsing Machine,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
55,56,0x38,UNUSED_OR_INTERNAL,?,?,?,?,0x4946,,,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE
56,57,0x39,NAMED_ITEM,학습장치,학습장치,학습장치,지니고 있는 것만으로도 경험치를<NEXT>나누어 받을 수 있다,0x4949,exp-share,Exp. Share,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
57,58,0x3A,NAMED_ITEM,낡은 낚싯대,낡은낚싯대,낡은낚싯대,물가에서 사용하면<NEXT>포켓몬을 낚을 수 있다,0x497D,old-rod,Old Rod,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
58,59,0x3B,NAMED_ITEM,좋은 낚싯대,좋은낚싯대,좋은낚싯대,포켓몬을 낚기 위한 도구<NEXT>약간 좋은 낚싯대,0x49A5,good-rod,Good Rod,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
59,60,0x3C,NAMED_ITEM,은빛 나뭇잎,은빛잎사귀,은빛잎사귀,은빛의 신비한 잎사귀,0x49CE,silver-leaf,Silver Leaf,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
60,61,0x3D,NAMED_ITEM,대단한 낚싯대,대단한낚싯대,대단한낚싯대,포켓몬을 낚기 위한 도구<NEXT>최고의 낚싯대로서 유명하다,0x49E3,super-rod,Super Rod,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
61,62,0x3E,NAMED_ITEM,포인트 업,포인트업,포인트업,기술포인트의 최대치가 올라간다,0x4A16,pp-up,PP Up,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
62,63,0x3F,NAMED_ITEM,PP 에이드,PP에이드,PP에이드,한가지의 기술포인트를<NEXT>10 회복시켜준다,0x4A35,ether,Ether,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
63,64,0x40,NAMED_ITEM,PP 회복,PP회복,PP회복,한가지의 기술포인트를<NEXT>전부 회복시켜준다,0x4A5B,max-ether,Max Ether,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
64,65,0x41,NAMED_ITEM,PP 에이더,PP에이더,PP에이더,모든 기술포인트를<NEXT>10 회복시켜준다,0x4A83,elixir,Elixir,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
65,66,0x42,NAMED_ITEM,빨간 비늘,빨간비늘,빨간비늘,분노의 호수에 나타난<NEXT>빨간 갸라도스의 비늘,0x4AA5,red-scale,Red Scale,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
66,67,0x43,NAMED_ITEM,비전 신약,비전신약,비전신약,어떠한 포켓몬이라도 건강해진다,0x4ACF,secret-potion,Secret Potion,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
67,68,0x44,NAMED_ITEM,승선 티켓,승선티켓,승선티켓,쾌속선 아쿠아호에<NEXT>승선하기 위한 물건,0x4AEE,ss-ticket,S.S. Ticket,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
68,69,0x45,NAMED_ITEM,이상한 알,이상한알,이상한알,포켓몬 할아버지가 맡긴 것<NEXT>어떤 알인지 모른다,0x4B13,mystery-egg,Mystery Egg,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
69,70,0x46,NAMED_ITEM,크리스탈 방울,크리스탈방울,크리스탈방울,?,0x4B40,clear-bell,Clear Bell,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
70,71,0x47,NAMED_ITEM,은빛 날개,은빛깃털,은빛깃털,은빛으로 빛나는 신비한 날개,0x4B43,silver-wing,Silver Wing,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
71,72,0x48,NAMED_ITEM,튼튼 밀크,튼튼밀크,튼튼밀크,영양만점<NEXT>체력을 100 회복시켜준다,0x4B5F,moomoo-milk,Moomoo Milk,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
72,73,0x49,NAMED_ITEM,선제공격 손톱,선제공격손톱,선제공격손톱,지니게 하면 가끔씩<NEXT>선제공격을 할 수 있다,0x4B80,quick-claw,Quick Claw,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
73,74,0x4A,NAMED_ITEM,해독열매,복슝열매,복슝열매,지니게 하면 자신이<NEXT>중독상태를 회복시킨다,0x4BA9,pecha-berry,Pecha Berry,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
74,75,0x4B,NAMED_ITEM,금빛 나뭇잎,금빛잎사귀,금빛잎사귀,금빛의 이상한 잎사귀,0x4BD2,gold-leaf,Gold Leaf,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
75,76,0x4C,NAMED_ITEM,부드러운 모래,부드러운모래,부드러운모래,지니게하면 땅타입의<NEXT>기술의 위력이 올라간다,0x4BE7,soft-sand,Soft Sand,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
76,77,0x4D,NAMED_ITEM,예리한 부리,예리한부리,예리한부리,지니게 하면 비행타입의<NEXT>기술의 위력이 올라간다,0x4C12,sharp-beak,Sharp Beak,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
77,78,0x4E,NAMED_ITEM,마비치료열매,버치열매,버치열매,지니게 하면 자신이<NEXT>마비상태를 회복시킨다,0x4C40,cheri-berry,Cheri Berry,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
78,79,0x4F,NAMED_ITEM,불탄 나무열매,배리열매,배리열매,지니게 하면 자신이<NEXT>얼음상태를 회복시킨다,0x4C69,aspear-berry,Aspear Berry,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
79,80,0x50,NAMED_ITEM,얼은 나무열매,복분열매,복분열매,지니게 하면 자신이<NEXT>화상상태를 회복시킨다,0x4C92,rawst-berry,Rawst Berry,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
80,81,0x51,NAMED_ITEM,독바늘,독바늘,독바늘,지니게 하면 독타입의<NEXT>기술의 위력이 올라간다,0x4CBB,poison-barb,Poison Barb,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
81,82,0x52,NAMED_ITEM,왕의 징표석,왕의징표석,왕의징표석,지니게 하면 가끔씩<NEXT>싸울 상대의 포켓몬이 기가 꺾인다,0x4CE7,kings-rock,King’s Rock,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
82,83,0x53,NAMED_ITEM,쓴맛 나무열매,시몬열매,시몬열매,지니게 하면 자신이<NEXT>혼란상태를 회복시킨다,0x4D1B,persim-berry,Persim Berry,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
83,84,0x54,NAMED_ITEM,박하열매,유루열매,유루열매,지니게 하면 자신이<NEXT>졸음상태를 회복시킨다,0x4D44,chesto-berry,Chesto Berry,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
84,85,0x55,NAMED_ITEM,빨간 규토리,빨간규토리,빨간규토리,빨간색 규토리,0x4D6D,red-apricorn,Red Apricorn,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
85,86,0x56,NAMED_ITEM,작은 버섯,작은버섯,작은버섯,보통의 버섯<NEXT>싸게 팔린다,0x4D7B,tiny-mushroom,Tiny Mushroom,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
86,87,0x57,NAMED_ITEM,큰 버섯,큰버섯,큰버섯,진귀한 버섯<NEXT>비싸게 팔린다,0x4D93,big-mushroom,Big Mushroom,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
87,88,0x58,NAMED_ITEM,은빛 가루,은빛가루,은빛가루,지니게 하면 벌레타입의<NEXT>기술의 위력이 올라간다,0x4DAD,silver-powder,Silver Powder,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
88,89,0x59,NAMED_ITEM,파란 규토리,파란규토리,파란규토리,파란색 규토리,0x4DDB,blue-apricorn,Blue Apricorn,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
89,90,0x5A,UNUSED_OR_INTERNAL,?,?,?,?,0x4DE9,,,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE
90,91,0x5B,NAMED_ITEM,부적 금화,부적금화,부적금화,지니게 한 포켓몬을 싸움에<NEXT>내보내면 받을 수 있는 돈이 2배,0x4DEC,amulet-coin,Amulet Coin,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
91,92,0x5C,NAMED_ITEM,노랑 규토리,노랑규토리,노랑규토리,노란색 규토리,0x4E25,yellow-apricorn,Yellow Apricorn,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
92,93,0x5D,NAMED_ITEM,초록 규토리,초록규토리,초록규토리,녹색 규토리,0x4E33,green-apricorn,Green Apricorn,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
93,94,0x5E,NAMED_ITEM,순결의 부적,순결의부적,순결의부적,지니게 하면 야생포켓몬과<NEXT>마주치기 어렵게 된다,0x4E3F,cleanse-tag,Cleanse Tag,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
94,95,0x5F,NAMED_ITEM,신비의 물방울,신비의물방울,신비의물방울,지니게 하면 물타입의<NEXT>기술의 위력이 올라간다,0x4E6D,mystic-water,Mystic Water,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
95,96,0x60,NAMED_ITEM,휘어진 스푼,휘어진스푼,휘어진스푼,지니게 하면 에스퍼타입의<NEXT>기술의 위력이 올라간다,0x4E99,twisted-spoon,Twisted Spoon,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
96,97,0x61,NAMED_ITEM,하얀 규토리,하얀규토리,하얀규토리,하얀색 규토리,0x4EC9,white-apricorn,White Apricorn,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
97,98,0x62,NAMED_ITEM,검은띠,검은띠,검은띠,지니게 하면 격투타입의<NEXT>기술의 위력이 올라간다,0x4ED7,black-belt,Black Belt,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
98,99,0x63,NAMED_ITEM,검은 규토리,검은규토리,검은규토리,검은색 규토리,0x4F05,black-apricorn,Black Apricorn,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI
99,100,0x64,UNUSED_OR_INTERNAL,?,?,?,?,0x4F13,,,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE
