item_id_decimal,item_id_hex,original_gs_korean,latest_korean,change_category,verification_status,source_agreement,original_encoded_length_bytes,latest_encoded_length_bytes,record_byte_delta_with_terminator,cpu_address_hex
44,0x2C,크리티컬 커터,크리티컬커터,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,12,-1,0x41AE
46,0x2E,맛있는 물,맛있는물,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x41BF
47,0x2F,미네랄 사이다,미네랄사이다,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,12,-1,0x41C9
48,0x30,후르츠 밀크,후르츠밀크,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x41D7
51,0x33,디펜드 업,디펜드업,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x41F1
52,0x34,스피드 업,스피드업,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x41FB
53,0x35,스페셜 업,스페셜업,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x4205
54,0x36,동전 케이스,동전케이스,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x420F
55,0x37,다우징 머신,다우징머신,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x421B
58,0x3A,낡은 낚싯대,낡은낚싯대,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x4233
59,0x3B,좋은 낚싯대,좋은낚싯대,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x423F
60,0x3C,은빛 나뭇잎,은빛잎사귀,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x424B
61,0x3D,대단한 낚싯대,대단한낚싯대,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,12,-1,0x4257
62,0x3E,포인트 업,포인트업,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x4265
63,0x3F,PP 에이드,PP에이드,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x426F
64,0x40,PP 회복,PP회복,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,7,6,-1,0x4279
65,0x41,PP 에이더,PP에이더,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x4281
66,0x42,빨간 비늘,빨간비늘,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x428B
67,0x43,비전 신약,비전신약,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x4295
68,0x44,승선 티켓,승선티켓,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x429F
69,0x45,이상한 알,이상한알,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x42A9
70,0x46,크리스탈 방울,크리스탈방울,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,12,-1,0x42B3
71,0x47,은빛 날개,은빛깃털,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x42C1
72,0x48,튼튼 밀크,튼튼밀크,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x42CB
73,0x49,선제공격 손톱,선제공격손톱,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,12,-1,0x42D5
74,0x4A,해독열매,복슝열매,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,8,8,0,0x42E3
75,0x4B,금빛 나뭇잎,금빛잎사귀,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x42EC
76,0x4C,부드러운 모래,부드러운모래,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,12,-1,0x42F8
77,0x4D,예리한 부리,예리한부리,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x4306
78,0x4E,마비치료열매,버치열매,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,12,8,-4,0x4312
79,0x4F,불탄 나무열매,배리열매,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,8,-5,0x431F
80,0x50,얼은 나무열매,복분열매,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,8,-5,0x432D
82,0x52,왕의 징표석,왕의징표석,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x4342
83,0x53,쓴맛 나무열매,시몬열매,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,8,-5,0x434E
84,0x54,박하열매,유루열매,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,8,8,0,0x435C
85,0x55,빨간 규토리,빨간규토리,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x4365
86,0x56,작은 버섯,작은버섯,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x4371
87,0x57,큰 버섯,큰버섯,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,7,6,-1,0x437B
88,0x58,은빛 가루,은빛가루,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x4383
89,0x59,파란 규토리,파란규토리,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x438D
91,0x5B,부적 금화,부적금화,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x439C
92,0x5C,노랑 규토리,노랑규토리,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x43A6
93,0x5D,초록 규토리,초록규토리,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x43B2
94,0x5E,순결의 부적,순결의부적,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x43BE
95,0x5F,신비의 물방울,신비의물방울,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,12,-1,0x43CA
96,0x60,휘어진 스푼,휘어진스푼,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x43D8
97,0x61,하얀 규토리,하얀규토리,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x43E4
99,0x63,검은 규토리,검은규토리,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x43F7
101,0x65,담홍 규토리,담홍규토리,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x4406
102,0x66,검은 안경,검은안경,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x4412
103,0x67,맛있는 꼬리,맛있는꼬리,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x441C
107,0x6B,녹지않는 얼음,녹지않는얼음,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,12,-1,0x4440
109,0x6D,기적의 열매,리샘열매,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,8,-3,0x4453
111,0x6F,큰 진주,큰진주,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,7,6,-1,0x4464
112,0x70,변함없는 돌,변함없는돌,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x446C
113,0x71,저주의 부적,저주의부적,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x4478
114,0x72,분노의 호두과자,분노의호두과자,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,15,14,-1,0x4484
117,0x75,기적의 씨,기적의씨,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x44A2
118,0x76,굵은 뼈,굵은뼈,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,7,6,-1,0x44AC
119,0x77,기합의 머리띠,기합의머리띠,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,12,-1,0x44B4
121,0x79,힘의 가루,힘의가루,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x44C5
122,0x7A,힘의 뿌리,힘의뿌리,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x44CF
125,0x7D,딱딱한 돌,딱딱한돌,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x44E9
126,0x7E,행복의 알,행복의알,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x44F3
131,0x83,별의 모래,별의모래,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x4517
132,0x84,별의 조각,별의조각,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x4521
133,0x85,지하의 열쇠,지하의열쇠,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x452B
134,0x86,정기권,리니어패스,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,6,10,4,0x4537
140,0x8C,초점 렌즈,초점렌즈,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x4559
144,0x90,용의 이빨,용의이빨,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x4572
146,0x92,먹다 남은 음식,먹다남은음식,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,14,12,-2,0x457F
150,0x96,이상한 나무열매,과사열매,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,15,8,-7,0x4597
151,0x97,용의 비늘,용의비늘,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x45A7
156,0x9C,성스러운 분말,성스러운분말,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,12,-1,0x45C8
158,0x9E,꽃무늬 메일,꽃무늬메일,SPACING_NORMALIZATION,PROJECT_ORTHOGRAPHY_NORMALIZATION,NO_CURRENT_MIRROR_ROW,11,10,-1,0x45DD
164,0xA4,프랜드볼,프렌드볼,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,8,8,0,0x460C
169,0xA9,태양의 돌,태양의돌,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x463B
170,0xAA,물방울 리본,물방울무늬 리본,NEW_TRANSLATION,NEW_TRANSLATION_NO_CURRENT_OFFICIAL_ROW,NO_CURRENT_MIRROR_ROW,11,15,4,0x4645
173,0xAD,나무열매,오랭열매,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,8,8,0,0x465F
174,0xAE,황금열매,자뭉열매,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,8,8,0,0x4668
175,0xAF,꼬부기 물뿌리개,꼬부기물뿌리개,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,15,14,-1,0x4671
178,0xB2,무지개빛 날개,무지갯빛깃털,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,12,-1,0x468B
181,0xB5,파도타기 메일,파도타기메일,SPACING_NORMALIZATION,PROJECT_ORTHOGRAPHY_NORMALIZATION,NO_CURRENT_MIRROR_ROW,13,12,-1,0x46A5
182,0xB6,옥빛 메일,옥빛메일,SPACING_NORMALIZATION,PROJECT_ORTHOGRAPHY_NORMALIZATION,NO_CURRENT_MIRROR_ROW,9,8,-1,0x46B3
183,0xB7,초상화 메일,초상화메일,SPACING_NORMALIZATION,PROJECT_ORTHOGRAPHY_NORMALIZATION,NO_CURRENT_MIRROR_ROW,11,10,-1,0x46BD
184,0xB8,러브리 메일,러브리메일,SPACING_NORMALIZATION,PROJECT_ORTHOGRAPHY_NORMALIZATION,NO_CURRENT_MIRROR_ROW,11,10,-1,0x46C9
185,0xB9,브이브이 메일,브이브이메일,SPACING_NORMALIZATION,PROJECT_ORTHOGRAPHY_NORMALIZATION,NO_CURRENT_MIRROR_ROW,13,12,-1,0x46D5
186,0xBA,변신 메일,변신메일,SPACING_NORMALIZATION,PROJECT_ORTHOGRAPHY_NORMALIZATION,NO_CURRENT_MIRROR_ROW,9,8,-1,0x46E3
187,0xBB,푸른하늘 메일,푸른하늘메일,SPACING_NORMALIZATION,PROJECT_ORTHOGRAPHY_NORMALIZATION,NO_CURRENT_MIRROR_ROW,13,12,-1,0x46ED
188,0xBC,음표 메일,음표메일,SPACING_NORMALIZATION,PROJECT_ORTHOGRAPHY_NORMALIZATION,NO_CURRENT_MIRROR_ROW,9,8,-1,0x46FB
189,0xBD,환상의 메일,환상의메일,SPACING_NORMALIZATION,PROJECT_ORTHOGRAPHY_NORMALIZATION,NO_CURRENT_MIRROR_ROW,11,10,-1,0x4705
