generation,game_id,platform_id,package_kind,release_id,technical_id,market,language,header_version,preservation_label,dump_id,size_bytes,sha1,cgb_flag,sgb_flag,canonical_library_path,project_role
GEN-01,YELLOW,GB,CART,JP-JA-HV3,,JP,ja,3,Rev D,USER-UPLOAD-a40298a8,1048576,a40298a8123613ee60cd7aab204d788b8425976e,0x00,0x03,LIBRARY/GEN-01/YELLOW/SOURCE/GB/CART/JP-JA-HV3,translation_source
GEN-01,YELLOW,GB,CART,US-EU-EN-HV0,,US-EU,en,0,Rev 0,USER-UPLOAD-cc7d0326,1048576,cc7d03262ebfaf2f06772c1a480c7d9d5f4a38e1,0x80,0x03,LIBRARY/GEN-01/YELLOW/SOURCE/GB/CART/US-EU-EN-HV0,translation_source
GEN-02,CRYSTAL,GBC,CART,JP-JA-HV0,BXTJ,JP,ja,0,Rev 0,PROJECT-95127b90,2097152,95127b901bbce2407daf43cce9f45d4c27ef635d,0xC0,0x00,LIBRARY/GEN-02/CRYSTAL/SOURCE/GBC/CART/JP-JA-HV0,translation_source
GEN-02,CRYSTAL,GBC,CART,US-EU-EN-HV0,BYTE,US-EU,en,0,Rev 0,PROJECT-f4cd194b,2097152,f4cd194bdee0d04ca4eac29e09b8e4e9d818c133,0xC0,0x00,LIBRARY/GEN-02/CRYSTAL/SOURCE/GBC/CART/US-EU-EN-HV0,translation_source
GEN-02,CRYSTAL,GBC,CART,US-EU-EN-HV1,BYTE,US-EU,en,1,Rev A,PROJECT-f2f52230,2097152,f2f52230b536214ef7c9924f483392993e226cfb,0xC0,0x00,LIBRARY/GEN-02/CRYSTAL/SOURCE/GBC/CART/US-EU-EN-HV1,translation_source
GEN-02,GOLD,GBC,CART,AAUJ-HV0,AAUJ,JP,ja,0,Rev 0,PROJECT-8814f103,1048576,8814f1039450a5d3684b1389f588ccd7ee7c3436,0x80,0x03,LIBRARY/GEN-02/GOLD/SOURCE/GBC/CART/AAUJ-HV0,translation_source
GEN-02,GOLD,GBC,CART,AAUJ-HV1,AAUJ,JP,ja,1,Rev A,PROJECT-a2224022,1048576,a222402235d484ee8e39f3f31bae57cf13daf585,0x80,0x03,LIBRARY/GEN-02/GOLD/SOURCE/GBC/CART/AAUJ-HV1,translation_source
GEN-02,GOLD,GBC,CART,AAUK-HV0,AAUK,KR,ko,0,Rev 0,PROJECT-c0ff3999,2097152,c0ff3999e1093e1af59ef3eea3f1bfd7c1f18a65,0xC0,0x00,LIBRARY/GEN-02/GOLD/SOURCE/GBC/CART/AAUK-HV0,translation_source_and_hangul_implementation_reference
GEN-02,GOLD,GBC,CART,AAUE-HV0,AAUE,US-EU,en,0,Rev 0,PROJECT-d8b8a360,2097152,d8b8a3600a465308c9953dfa04f0081c05bdcb94,0x80,0x03,LIBRARY/GEN-02/GOLD/SOURCE/GBC/CART/AAUE-HV0,translation_source
GEN-02,SILVER,GBC,CART,AAXJ-HV0,AAXJ,JP,ja,0,Rev 0,PROJECT-fa8c5105,1048576,fa8c51059c1642faa570db56ef089f54d1d2011f,0x80,0x03,LIBRARY/GEN-02/SILVER/SOURCE/GBC/CART/AAXJ-HV0,translation_source
GEN-02,SILVER,GBC,CART,AAXJ-HV1,AAXJ,JP,ja,1,Rev A,PROJECT-a11d5ddc,1048576,a11d5ddc26eb826086593f82370b15d16404d33e,0x80,0x03,LIBRARY/GEN-02/SILVER/SOURCE/GBC/CART/AAXJ-HV1,translation_source
GEN-02,SILVER,GBC,CART,AAXK-HV0,AAXK,KR,ko,0,Rev 0,PROJECT-cb22d7e0,2097152,cb22d7e03a74dc3a563fde6be8626626b2b392e7,0xC0,0x00,LIBRARY/GEN-02/SILVER/SOURCE/GBC/CART/AAXK-HV0,translation_source_and_hangul_implementation_reference
GEN-02,SILVER,GBC,CART,AAXE-HV0,AAXE,US-EU,en,0,Rev 0,PROJECT-49b163f7,2097152,49b163f7e57702bc939d642a18f591de55d92dae,0x80,0x03,LIBRARY/GEN-02/SILVER/SOURCE/GBC/CART/AAXE-HV0,translation_source
