slot_index_zero_based,item_id_decimal,item_id_hex,slot_kind,pret_gen2_english_label,original_gs_korean,latest_korean,final_korean,name_changed,change_category,verification_status,source_agreement,canonical_identifier,canonical_english,pokeapi_korean,pkhex_korean,pkhex_item_index,original_encoded_length_bytes,latest_encoded_length_bytes,record_byte_delta_with_terminator,latest_encoded_hex,bank_hex,cpu_address_hex,file_offset_hex,original_raw_hex,original_gs_korean_description,description_cpu_address_hex
10,11,0x0B,NAMED_ITEM,ICE HEAL,얼음상태 치료제,얼음상태치료제,얼음상태치료제,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,ice-heal,Ice Heal,얼음상태치료제,얼음상태치료제,20,15,14,-1,06 f3 07 8d 05 c3 09 92 09 01 04 11 07 d6,0x6C,0x4052,0x1B0052,06 f3 07 8d 05 c3 09 92 7f 09 01 04 11 07 d6,얼음상태를 치료하여 회복시킨다,0x434B
11,12,0x0C,NAMED_ITEM,AWAKENING,잠깨는 약,잠깨는약,잠깨는약,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,awakening,Awakening,잠깨는약,잠깨는약,21,9,8,-1,07 b1 01 ca 02 c2 06 e0,0x6C,0x4062,0x1B0062,07 b1 01 ca 02 c2 7f 06 e0,졸음상태를 치료하여 회복시킨다,0x436A
12,13,0x0D,NAMED_ITEM,PARLYZ HEAL,마비 치료제,마비치료제,마비치료제,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,paralyze-heal,Paralyze Heal,마비치료제,마비치료제,22,11,10,-1,04 46 05 61 09 01 04 11 07 d6,0x6C,0x406C,0x1B006C,04 46 05 61 7f 09 01 04 11 07 d6,마비상태를 치료하여 회복시킨다,0x4389
13,14,0x0E,NAMED_ITEM,FULL RESTORE,회복약,회복약,회복약,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,full-restore,Full Restore,회복약,회복약,23,6,6,0,0a b8 05 19 06 e0,0x6C,0x4078,0x1B0078,0a b8 05 19 06 e0,모든 상태 이상과<NEXT>체력을 전부 회복시킨다,0x43A8
14,15,0x0F,NAMED_ITEM,MAX POTION,풀 회복약,풀회복약,풀회복약,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,max-potion,Max Potion,풀회복약,풀회복약,24,9,8,-1,0a 3e 0a b8 05 19 06 e0,0x6C,0x407F,0x1B007F,0a 3e 7f 0a b8 05 19 06 e0,체력을 전부 회복시킨다,0x43D0
15,16,0x10,NAMED_ITEM,HYPER POTION,고급 상처약,고급상처약,고급상처약,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,hyper-potion,Hyper Potion,고급상처약,고급상처약,25,11,10,-1,01 4d 01 ae 05 c3 08 b3 06 e0,0x6C,0x4089,0x1B0089,01 4d 01 ae 7f 05 c3 08 b3 06 e0,체력을 200 회복시킨다,0x43E7
16,17,0x11,NAMED_ITEM,SUPER POTION,좋은 상처약,좋은상처약,좋은상처약,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,super-potion,Super Potion,좋은상처약,좋은상처약,26,11,10,-1,07 f1 07 8a 05 c3 08 b3 06 e0,0x6C,0x4095,0x1B0095,07 f1 07 8a 7f 05 c3 08 b3 06 e0,체력을 50 회복시킨다,0x43FD
17,18,0x12,NAMED_ITEM,POTION,상처약,상처약,상처약,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,potion,Potion,상처약,상처약,17,6,6,0,05 c3 08 b3 06 e0,0x6C,0x40A1,0x1B00A1,05 c3 08 b3 06 e0,체력을 20 회복시킨다,0x4412
18,19,0x13,NAMED_ITEM,ESCAPE ROPE,동굴탈출 로프,동굴탈출로프,동굴탈출로프,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,escape-rope,Escape Rope,동굴탈출로프,동굴탈출로프,78,13,12,-1,03 1f 01 8c 09 8b 08 e2 03 fe 0a 61,0x6C,0x40A8,0x1B00A8,03 1f 01 8c 09 8b 08 e2 7f 03 fe 0a 61,동굴 등지에서 빠져나올 수 있다,0x4427
19,20,0x14,NAMED_ITEM,REPEL,벌레회피스프레이,벌레회피스프레이,벌레회피스프레이,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,repel,Repel,벌레회피스프레이,벌레회피스프레이,79,16,16,0,04 fa 03 e9 0a b8 0a 67 06 4a 0a 61 03 e9 07 9c,0x6C,0x40B6,0x1B00B6,04 fa 03 e9 0a b8 0a 67 06 4a 0a 61 03 e9 07 9c,100보 동안에 약한 포켓몬이랑<NEXT>만나지 않게된다,0x4446
20,21,0x15,NAMED_ITEM,MAX ELIXER,PP 맥스,PP맥스,PP맥스,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,max-elixir,Max Elixir,PP맥스,PP맥스,41,7,6,-1,8f 8f 04 66 06 4a,0x6C,0x40C7,0x1B00C7,8f 8f 7f 04 66 06 4a,포켓몬 1마리의 모든 기술<NEXT>포인트를 전부 회복시켜준다,0x4473
21,22,0x16,NAMED_ITEM,FIRE STONE,불꽃의 돌,불꽃의돌,불꽃의돌,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,fire-stone,Fire Stone,불꽃의돌,불꽃의돌,82,9,8,-1,05 32 01 f9 07 97 03 19,0x6C,0x40CF,0x1B00CF,05 32 01 f9 07 97 7f 03 19,특정 포켓몬을 진화시킨다,0x44A7
22,23,0x17,NAMED_ITEM,THUNDERSTONE,천둥의 돌,천둥의돌,천둥의돌,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,thunder-stone,Thunder Stone,천둥의돌,천둥의돌,83,9,8,-1,08 b5 03 35 07 97 03 19,0x6C,0x40D9,0x1B00D9,08 b5 03 35 07 97 7f 03 19,특정 포켓몬을 진화시킨다,0x44C0
23,24,0x18,NAMED_ITEM,WATER STONE,물의 돌,물의돌,물의돌,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,water-stone,Water Stone,물의돌,물의돌,84,7,6,-1,04 b0 07 97 03 19,0x6C,0x40E3,0x1B00E3,04 b0 07 97 7f 03 19,특정 포켓몬을 진화시킨다,0x44D9
24,25,0x19,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x40EB,0x1B00EB,0b 67,?,0x44F2
25,26,0x1A,NAMED_ITEM,HP UP,맥스 업,맥스업,맥스업,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,hp-up,HP Up,맥스업,맥스업,45,7,6,-1,04 66 06 4a 06 f7,0x6C,0x40EE,0x1B00EE,04 66 06 4a 7f 06 f7,체력의 기초포인트를 올려준다,0x44F5
26,27,0x1B,NAMED_ITEM,PROTEIN,타우린,타우린,타우린,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,protein,Protein,타우린,타우린,46,6,6,0,09 88 07 4c 04 40,0x6C,0x40F6,0x1B00F6,09 88 07 4c 04 40,공격의 기초포인트를 올려준다,0x4512
27,28,0x1C,NAMED_ITEM,IRON,사포닌,사포닌,사포닌,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,iron,Iron,사포닌,사포닌,47,6,6,0,05 b7 0a 27 02 d1,0x6C,0x40FD,0x1B00FD,05 b7 0a 27 02 d1,방어의 기초포인트를 올려준다,0x452F
28,29,0x1D,NAMED_ITEM,CARBOS,알칼로이드,알칼로이드,알칼로이드,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,carbos,Carbos,알칼로이드,알칼로이드,48,10,10,0,06 cb 09 0e 03 fe 07 9c 03 45,0x6C,0x4104,0x1B0104,06 cb 09 0e 03 fe 07 9c 03 45,스피드의 기초포인트를 올려준다,0x454C
29,30,0x1E,NAMED_ITEM,LUCKY PUNCH,럭키 펀치,럭키펀치,럭키펀치,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,lucky-punch,Lucky Punch,럭키펀치,럭키펀치,256,9,8,-1,03 e0 09 80 0a 0d 09 01,0x6C,0x410F,0x1B010F,03 e0 09 80 7f 0a 0d 09 01,럭키에게 지니게 하면<NEXT>급소를 맞추기 쉽게된다,0x456B
30,31,0x1F,NAMED_ITEM,CALCIUM,리보플라빈,리보플라빈,리보플라빈,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,calcium,Calcium,리보플라빈,리보플라빈,49,10,10,0,04 3e 05 18 0a 63 03 c3 05 63,0x6C,0x4119,0x1B0119,04 3e 05 18 0a 63 03 c3 05 63,특수공격 특수방어의<NEXT>기초포인트를 올려준다,0x4597
31,32,0x20,NAMED_ITEM,RARE CANDY,이상한 사탕,이상한사탕,이상한사탕,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,rare-candy,Rare Candy,이상한사탕,이상한사탕,50,11,10,-1,07 9c 05 c3 0a 71 05 b7 09 91,0x6C,0x4124,0x1B0124,07 9c 05 c3 0a 71 7f 05 b7 09 91,포켓몬의 레벨을 1 올려준다,0x45C1
32,33,0x21,NAMED_ITEM,X ACCURACY,잘-맞히기,잘-맞히기,잘-맞히기,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,x-accuracy,X Accuracy,잘-맞히기,잘-맞히기,60,10,10,0,07 af 0b 68 04 62 0a f7 01 b2,0x6C,0x4130,0x1B0130,07 af 0b 68 04 62 0a f7 01 b2,사용한 전투중에서만<NEXT>기술이 명중하기 쉽게된다,0x45DC
33,34,0x22,NAMED_ITEM,LEAF STONE,잎사귀 돌,리프의돌,리프의돌,True,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,leaf-stone,Leaf Stone,리프의돌,리프의돌,85,9,8,-1,04 3e 0a 61 07 97 03 19,0x6C,0x413B,0x1B013B,07 a9 05 b7 01 9d 7f 03 19,특정 포켓몬을 진화시킨다,0x4609
34,35,0x23,NAMED_ITEM,METAL POWDER,금속 파우더,금속파우더,금속파우더,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,metal-powder,Metal Powder,금속파우더,금속파우더,257,11,10,-1,01 ad 06 03 09 f4 07 4c 02 f5,0x6C,0x4145,0x1B0145,01 ad 06 03 7f 09 f4 07 4c 02 f5,메타몽에게 지니게하면<NEXT>방어력이 올라간다,0x4622
35,36,0x24,NAMED_ITEM,NUGGET,금구슬,금구슬,금구슬,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,nugget,Nugget,금구슬,금구슬,92,6,6,0,01 ad 01 88 06 4d,0x6C,0x4151,0x1B0151,01 ad 01 88 06 4d,순금성분<NEXT>비싸게 팔린다,0x464A
36,37,0x25,NAMED_ITEM,# DOLL,삐삐인형,삐삐인형,삐삐인형,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,poke-doll,Poké Doll,삐삐인형,삐삐인형,63,8,8,0,05 af 05 af 07 9e 0a 9c,0x6C,0x4158,0x1B0158,05 af 05 af 07 9e 0a 9c,우연히 만난 야생 포켓몬에게서<NEXT>반드시 도망칠 수 있다,0x4661
37,38,0x26,NAMED_ITEM,FULL HEAL,만병통치제,만병통치제,만병통치제,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,full-heal,Full Heal,만병통치제,만병통치제,27,10,10,0,04 48 05 14 09 bb 09 01 07 d6,0x6C,0x4161,0x1B0161,04 48 05 14 09 bb 09 01 07 d6,모든 상태 이상을<NEXT>회복시켜준다,0x4695
38,39,0x27,NAMED_ITEM,REVIVE,기력의 조각,기력의조각,기력의조각,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,revive,Revive,기력의조각,기력의조각,28,11,10,-1,01 b2 03 f2 07 97 07 e6 01 02,0x6C,0x416C,0x1B016C,01 b2 03 f2 07 97 7f 07 e6 01 02,체력을 절반인 상태로<NEXT>기절상태에서 회복시켜준다,0x46B3
39,40,0x28,NAMED_ITEM,MAX REVIVE,기력의 덩어리,기력의덩어리,기력의덩어리,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,max-revive,Max Revive,기력의덩어리,기력의덩어리,29,13,12,-1,01 b2 03 f2 07 97 03 02 06 ee 04 3e,0x6C,0x4178,0x1B0178,01 b2 03 f2 07 97 7f 03 02 06 ee 04 3e,체력을 전체 상태로<NEXT>기절상태에서 회복시켜준다,0x46E2
40,41,0x29,NAMED_ITEM,GUARD SPEC.,이펙트 가드,이펙트가드,이펙트가드,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,guard-spec,Guard Spec.,이펙트가드,이펙트가드,55,11,10,-1,07 9c 0a 15 09 de 01 01 03 45,0x6C,0x4186,0x1B0186,07 9c 0a 15 09 de 7f 01 01 03 45,사용한 전투중에서만<NEXT>능력을 떨어뜨리지 않게된다,0x470F
41,42,0x2A,NAMED_ITEM,SUPER REPEL,실버 스프레이,실버스프레이,실버스프레이,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,super-repel,Super Repel,실버스프레이,실버스프레이,76,13,12,-1,06 67 04 f6 06 4a 0a 61 03 e9 07 9c,0x6C,0x4192,0x1B0192,06 67 04 f6 7f 06 4a 0a 61 03 e9 07 9c,200보 이내에서 약한 포켓몬과<NEXT>만나지 않게된다,0x473E
42,43,0x2B,NAMED_ITEM,MAX REPEL,골드 스프레이,골드스프레이,골드스프레이,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,max-repel,Max Repel,골드스프레이,골드스프레이,77,13,12,-1,01 61 03 45 06 4a 0a 61 03 e9 07 9c,0x6C,0x41A0,0x1B01A0,01 61 03 45 7f 06 4a 0a 61 03 e9 07 9c,250보 이내에서 약한 포켓몬과<NEXT>만나지 않게된다,0x476B
43,44,0x2C,NAMED_ITEM,DIRE HIT,크리티컬 커터,크리티컬커터,크리티컬커터,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,dire-hit,Dire Hit,크리티컬커터,크리티컬커터,56,13,12,-1,09 79 04 3e 09 ec 09 23 09 1f 09 9d,0x6C,0x41AE,0x1B01AE,09 79 04 3e 09 ec 09 23 7f 09 1f 09 9d,사용한 전투중에서만<NEXT>급소에 명중시키기 쉽게된다,0x4798
44,45,0x2D,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x41BC,0x1B01BC,0b 67,?,0x47C7
45,46,0x2E,NAMED_ITEM,FRESH WATER,맛있는 물,맛있는물,맛있는물,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,fresh-water,Fresh Water,맛있는물,맛있는물,30,9,8,-1,04 60 07 a6 02 c2 04 b0,0x6C,0x41BF,0x1B01BF,04 60 07 a6 02 c2 7f 04 b0,은빛 산에서 손에 넣었다<NEXT>체력을 50 회복시켜준다,0x47CA
46,47,0x2F,NAMED_ITEM,SODA POP,미네랄 사이다,미네랄사이다,미네랄사이다,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,soda-pop,Soda Pop,미네랄사이다,미네랄사이다,31,13,12,-1,04 cc 02 77 03 c6 05 b7 07 9c 02 d9,0x6C,0x41C9,0x1B01C9,04 cc 02 77 03 c6 7f 05 b7 07 9c 02 d9,시원하고 상쾌한 맛이다<NEXT>체력을 60 회복시켜준다,0x47F9
47,48,0x30,NAMED_ITEM,LEMONADE,후르츠 밀크,후르츠밀크,후르츠밀크,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,lemonade,Lemonade,후르츠밀크,후르츠밀크,32,11,10,-1,0a c4 04 33 08 f7 04 d0 09 79,0x6C,0x41D7,0x1B01D7,0a c4 04 33 08 f7 7f 04 d0 09 79,매우 달콤하다<NEXT>체력을 80 회복시켜준다,0x4827
48,49,0x31,NAMED_ITEM,X ATTACK,플러스파워,플러스파워,플러스파워,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,x-attack,X Attack,플러스파워,플러스파워,57,10,10,0,0a 63 03 df 06 4a 09 f4 07 66,0x6C,0x41E3,0x1B01E3,0a 63 03 df 06 4a 09 f4 07 66,사용한 전투중에서만<NEXT>공격력이 올라간다,0x484C
49,50,0x32,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x41EE,0x1B01EE,0b 67,?,0x4872
50,51,0x33,NAMED_ITEM,X DEFEND,디펜드 업,디펜드업,디펜드업,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,x-defense,X Defense,디펜드업,디펜드업,58,9,8,-1,03 60 0a 16 03 45 06 f7,0x6C,0x41F1,0x1B01F1,03 60 0a 16 03 45 7f 06 f7,사용한 전투중에서만<NEXT>방어력이 올라간다,0x4875
51,52,0x34,NAMED_ITEM,X SPEED,스피드 업,스피드업,스피드업,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,x-speed,X Speed,스피드업,스피드업,59,9,8,-1,06 4a 0a 67 03 45 06 f7,0x6C,0x41FB,0x1B01FB,06 4a 0a 67 03 45 7f 06 f7,사용한 전투중에서만<NEXT>스피드가 올라간다,0x489B
52,53,0x35,NAMED_ITEM,X SPECIAL,스페셜 업,스페셜업,스페셜업,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,x-sp-atk,X Sp. Atk,스페셜업,스페셜업,61,9,8,-1,06 4a 0a 14 05 f8 06 f7,0x6C,0x4205,0x1B0205,06 4a 0a 14 05 f8 7f 06 f7,사용한 전투중에서만<NEXT>특수공격력이 올라간다,0x48C1
53,54,0x36,NAMED_ITEM,COIN CASE,동전 케이스,동전케이스,동전케이스,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,coin-case,Coin Case,동전케이스,동전케이스,444,11,10,-1,03 1f 07 cc 09 29 07 9c 06 4a,0x6C,0x420F,0x1B020F,03 1f 07 cc 7f 09 29 07 9c 06 4a,손에 넣은 동전을<NEXT>9999개까지 지닐 수 있게된다,0x48EB
54,55,0x37,NAMED_ITEM,ITEMFINDER,다우징 머신,다우징머신,다우징머신,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,dowsing-machine,Dowsing Machine,다우징머신,다우징머신,471,11,10,-1,02 d9 07 4c 08 31 04 73 06 65,0x6C,0x421B,0x1B021B,02 d9 07 4c 08 31 7f 04 73 06 65,보이지 않는 도구에 반응해서<NEXT>소리로 가르쳐준다,0x4918
55,56,0x38,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x4227,0x1B0227,0b 67,?,0x4946
56,57,0x39,NAMED_ITEM,EXP.SHARE,학습장치,학습장치,학습장치,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,exp-share,Exp. Share,학습장치,학습장치,216,8,8,0,0a 70 06 60 07 b5 09 01,0x6C,0x422A,0x1B022A,0a 70 06 60 07 b5 09 01,지니고 있는 것만으로도 경험치를<NEXT>나누어 받을 수 있다,0x4949
57,58,0x3A,NAMED_ITEM,OLD ROD,낡은 낚싯대,낡은낚싯대,낡은낚싯대,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,old-rod,Old Rod,낡은낚싯대,낡은낚싯대,445,11,10,-1,02 40 07 8a 02 3c 06 6b 02 eb,0x6C,0x4233,0x1B0233,02 40 07 8a 7f 02 3c 06 6b 02 eb,물가에서 사용하면<NEXT>포켓몬을 낚을 수 있다,0x497D
58,59,0x3B,NAMED_ITEM,GOOD ROD,좋은 낚싯대,좋은낚싯대,좋은낚싯대,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,good-rod,Good Rod,좋은낚싯대,좋은낚싯대,446,11,10,-1,07 f1 07 8a 02 3c 06 6b 02 eb,0x6C,0x423F,0x1B023F,07 f1 07 8a 7f 02 3c 06 6b 02 eb,포켓몬을 낚기 위한 도구<NEXT>약간 좋은 낚싯대,0x49A5
59,60,0x3C,NAMED_ITEM,SILVER LEAF,은빛 나뭇잎,은빛잎사귀,은빛잎사귀,True,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,silver-leaf,Silver Leaf,은빛잎사귀,은빛잎사귀,891,11,10,-1,07 8a 05 6b 07 a9 05 b7 01 9d,0x6C,0x424B,0x1B024B,07 8a 05 6b 7f 02 3a 04 b5 07 a9,은빛의 신비한 잎사귀,0x49CE
