rom,bank_dec,bank_hex,file_start,file_end,role,sha1,entropy,zero_bytes,ff_bytes,trailing_00,trailing_ff,longest_00_start,longest_00_len,longest_ff_start,longest_ff_len,same_position_vs_EN_pct,western_all5_same_pct,EN_source_free_bytes
JP_AO,27,1B,06C000,06FFFF,tilesets 3,682b94550690d2e4c4103fe93753ed74ab38fc72,6.201428,1420,1810,0,0,2840,80,3E60,19,,,
JP_AO,28,1C,070000,073FFF,credits/splash/HOF/etc + garbage,7b6e17254e6b33add162f0b050e9e0dacba7eed4,6.884681,2213,395,0,1,32CD,258,0FB6,16,,,
JP_AO,29,1D,074000,077FFF,maps 19-21 + itemfinder/vending/hidden items + garbage,ca13e04be321fdacb465d795cf6e34a7781b597b,7.084328,320,175,0,1,0A24,2,08D1,2,,,
JP_AO,30,1E,078000,07BFFF,battle animation/status/effects/evolution/TM prices + garbage,b4f66792c3927068d94b1f18b5788e7922aa99ff,6.802547,2185,599,1,0,04B3,15,0B59,16,,,
JP_AO,31,1F,07C000,07FFFF,audio 3 + garbage,e6f56f437aa0818bbca734936d91644434ff803c,7.066824,404,286,1,0,04DD,3,0000,3,,,
DE_BLUE,0,00,000000,003FFF,ROM0 / interrupts / header / home engine,bf5661ca44cdee2e1827016ef556aa36e17108cc,7.118842,537,159,64,0,00BE,67,210D,3,62.536621,29.553223,
DE_BLUE,1,01,004000,007FFF,system engine / menus / naming / marts / Pokédex display,18e2ff1ec7781f862bb0992bdc2a9dc791bb03fd,7.014147,1496,84,953,0,3C47,953,026F,8,17.663574,14.208984,
DE_BLUE,2,02,008000,00BFFF,audio headers + SFX + audio engine 1 + music 1,798122e37bba533e8814747f105ad37117986a06,6.978258,396,255,12,0,3FF4,12,0000,3,99.951172,99.914551,
DE_BLUE,3,03,00C000,00FFFF,overworld core / items / hidden-event dispatch / field logic,ccee9b6b5b6ec513ff27eb6bc45f5b22dc010025,7.135723,1301,264,957,0,3C43,957,2D17,6,46.917725,45.336914,
DE_BLUE,4,04,010000,013FFF,NPC sprites 1 + font + battle engine 1,09f7fc7b6cd92d2ac10e4ef757dd3c6cda104518,6.238121,3805,369,1362,0,3AAE,1362,170C,4,63.201904,61.859131,
DE_BLUE,5,05,014000,017FFF,NPC sprites 2 + battle engine 2,1031cbe0426a95e76bd18b519bcde126209e7e9b,6.244994,978,177,176,0,3F50,176,2CA8,4,96.978760,96.929932,
DE_BLUE,6,06,018000,01BFFF,maps 1-2 + play time + doors/ledges,b2a22d6798088c6ae633a9034f7f60933d7bd15f,5.195565,6554,147,6371,0,271D,6371,02E2,2,72.015381,71.832275,
DE_BLUE,7,07,01C000,01FFFF,maps 3-4 + Pokémon names + hidden events 1,82eb3afbf415e16abd3bdeac198befe77f3e68a8,5.694355,5117,218,4929,0,2CBF,4929,0052,2,89.270020,58.770752,
DE_BLUE,8,08,020000,023FFF,audio headers + SFX + audio engine 2 + music 2,af6ac20e70c189535140727b75a536563229a79f,7.027123,458,284,163,0,3F5D,163,0000,3,38.214111,32.720947,
DE_BLUE,9,09,024000,027FFF,Pokémon pics 1 + battle engine 3,f9f9d123ed48dfe0366c43192bd7ad105be030fd,7.817177,88,233,77,0,3FB3,77,2906,4,97.302246,96.844482,
DE_BLUE,10,0A,028000,02BFFF,Pokémon pics 2 + battle engine 4,adc20a64213648943b2bfeb82c5bfa53b0147c4b,7.809071,270,255,260,0,3EFC,260,0572,3,99.902344,99.902344,
DE_BLUE,11,0B,02C000,02FFFF,Pokémon pics 3 + battle engine 5,1e9c6f9b6af6d91a196bcc795b4b23fdfff59c55,7.746934,638,331,196,0,3C28,356,08A2,3,99.822998,99.822998,
DE_BLUE,12,0C,030000,033FFF,Pokémon pics 4 + battle engine 6,e4674f6718c051310376275dd11609411739b498,7.815409,123,280,112,0,3F90,112,09CD,3,99.877930,99.877930,
DE_BLUE,13,0D,034000,037FFF,Pokémon pics 5 + slot machines,12cd5f0c9d22fdb916cdb615878d08de0c1aa81f,7.748914,622,399,376,0,3E88,376,11E2,5,98.992920,83.569336,
DE_BLUE,14,0E,038000,03BFFF,battle engine 7 + move/base-stat/cry/evolution data,d1f451c3e75dacd7826147e41d386b6a400e8a81,6.790958,3053,368,1042,0,3BEE,1042,2A8C,8,51.025391,46.472168,
DE_BLUE,15,0F,03C000,03FFFF,battle core + battle effects,3aff39922f22d26a3e4ed106261333a3bf185ded,6.870752,1298,54,1081,0,3BC7,1081,0010,1,29.016113,27.172852,
DE_BLUE,16,10,040000,043FFF,Pokédex menu + trade/intro movies,9a5690d5d644d4b7bac665749d2f0b1cb2ae8749,4.760896,7773,430,6299,0,2765,6299,1ECA,17,46.887207,42.895508,
DE_BLUE,17,11,044000,047FFF,maps 5-6 + Pokédex rating + hidden-event core,6c589d675fcb3b03e211c6260fe7a78bb3e706e9,6.020380,4122,326,3925,0,30AB,3925,0064,2,95.367432,93.847656,
DE_BLUE,18,12,048000,04BFFF,maps 7-8 + screen effects,ff9a68088f8649b88a66e48c3d08d234e33f62f6,4.774817,7446,202,7278,0,2392,7278,02FB,2,61.199951,58.825684,
DE_BLUE,19,13,04C000,04FFFF,trainer pics + maps 9 + predefs,af89cd758dd741ea937d86334fcd43b93be29210,7.832048,119,327,94,0,3FA2,94,2BE7,4,99.291992,99.224854,
