bank,role_reference,sha1,entropy,unique_bytes,zero_fraction,ff_fraction,nonzero_bytes,trailing_zero_run,trailing_ff_run,all_zero,all_ff
0D,Effect Commands,0354fc9a016920b633a0e726ebd4685b95e6ecb3,6.893772,256,0.010925,0.006042,16205,19,0,False,False
0E,Enemy Trainers,49e6e3cfb58784bd8f18f008da3c383acd0ecfbc,7.329174,256,0.056824,0.031677,15453,58,0,False,False
0F,Battle Core,4a6191b12ab84c04d00987e9a5f0b71cc473979c,7.003987,256,0.032898,0.008728,15845,261,0,False,False
10,Pokedex/moves/evolution,2dc761e4c55ea0245ee77a87d21ea7137a2541e4,7.305549,256,0.069824,0.018860,15240,7,0,False,False
11,Pokedex Entries/Pokemon Mail,c1302d513a7801b49ef2db014764a46363e65b3c,6.792662,254,0.019287,0.000854,16068,85,0,False,False
12,Pic pointers/Pics 1,b65c28dde3ecbbcbbc223b42416f7e8826aea84d,7.202108,256,0.036743,0.051453,15782,0,1,False,False
13,Map Scripts 1,1993ab110a881e8f22eca8f9305477c988729458,6.954328,255,0.069702,0.019409,15242,28,0,False,False
14,Party/base stats/names,3eb86af3efc1c8fd15a649bd38653c2dcda4adc1,6.973741,256,0.135010,0.007446,14172,77,0,False,False
15,Pics 2,0a6ca06f1a533b3c3845cd0e9982d0699c8f3424,7.057159,256,0.041565,0.059021,15703,0,1,False,False
16,Pics 3,3f98bcc7c85af26f069c2f56ecba9916bc94a5f5,7.022225,256,0.048340,0.052307,15592,49,0,False,False
17,Pics 4,cf7baab77197097c7ed98e259eff863f843b0728,6.985775,256,0.047852,0.057068,15600,0,1,False,False
18,Pics 5,538533e53fce2678d1bf3f21cc4455ef6290ab92,6.899643,256,0.058899,0.063538,15419,55,0,False,False
19,Pics 6,e5f402342da3d6bfcff0e310f10d51540247a410,6.888738,256,0.053223,0.063782,15512,66,0,False,False
1A,Pics 7,888932a8543366177745272a3cf27a384120fd5a,6.922676,256,0.046997,0.059753,15614,3,0,False,False
1B,Pics 8,4261b2e228ddc4d1249b6a5e7d45ed21a1aba5e5,6.926080,256,0.051270,0.060486,15544,0,1,False,False
1C,Pics 9,5e5127de41054b462500695f632931ff93d510e7,6.904637,256,0.049988,0.061157,15565,0,1,False,False
1D,Pics 10,5b61fbe83de9575bf926f2191eac83b7db8e8966,6.853561,256,0.052124,0.058044,15530,33,0,False,False
1E,Pics 11,41f722e88a8a8563bb35881678a4241e0e95d4fe,6.847395,256,0.058655,0.060120,15423,58,0,False,False
1F,Unown Pics,60a0aac6f84e436583ba4b8424f67c80ea8644db,7.098644,256,0.045105,0.051758,15645,0,1,False,False
20,Trainer Pics,950ad30b853d5587c687440b1b991553d3263eed,7.042235,256,0.040955,0.058777,15713,38,0,False,False
21,Printer/HOF/Credits,ad5a35599a4a675b8683c9bcfd55031393b537d5,6.793577,256,0.104797,0.078369,14667,2,0,False,False
22,Map Scripts 2,c6d0c3eef729c44a9e53e62e0e530978758237a1,6.976286,255,0.066040,0.020630,15302,53,0,False,False
23,Field moves/Sprite anims/icons,d087fae573b6f7cf8cc96e66e534a12348698dcd,6.641066,255,0.165833,0.014648,13667,893,0,False,False
24,Phone/RTC/Pokegear,b79a250ca79dbb376a0b4e491e010c359024f161,7.175246,256,0.053284,0.015747,15511,228,0,False,False
25,Maps/Events,8a61b9d1ed222506c1ccd54759cfa6cea4aab3f6,6.930066,256,0.086853,0.002014,14961,510,0,False,False
26,Map Scripts 3,e53d1ad125e750db7b80128a5cb66239a5bc6e9e,6.922343,252,0.063232,0.023865,15348,37,0,False,False
27,Map Scripts 4,fd65944657f10cfb12b3f315f2ed3e623dafab02,6.962361,256,0.068054,0.025085,15269,5,0,False,False
28,Map Scripts 5,7aed3703c8db645faeb1996d01b6921cec207a55,7.020325,256,0.076355,0.019592,15133,5,0,False,False
29,Map Scripts 6,f179837281ddf10babf3da16344119e14954caf7,6.974104,253,0.071960,0.023376,15205,3,0,False,False
2A,Map Blocks 1,ab92aa28bb7fa3a0daf96b184a25270814eeedd6,5.808409,128,0.005188,0.000000,16299,85,0,False,False
2B,Map Blocks 2,0b18ffd50dd2d67d531be687004fcd1985fba5ae,5.739295,124,0.010132,0.000000,16218,166,0,False,False
2C,Map Scripts 7,4a21de6d345bcf4ff6ed17a019a974c1a70b03e2,6.967495,254,0.060913,0.019775,15386,3,0,False,False
2D,Map Scripts 8,b031f248d2c4a1128237cfb6724a478414ae6b98,6.909906,253,0.075989,0.032471,15139,2,0,False,False
2E,Pics 14/bank2E,fc2304a8f1560f9f4f61133beb217866f1877c91,6.408830,256,0.197144,0.034058,13154,392,0,False,False
2F,Map Scripts 9,a6ec63acf3d9b838511124698c49c9ef949c146b,7.011737,256,0.066711,0.019226,15291,32,0,False,False
30,Sprites 1,8655cd6b958c5d53da5dc7aed0aae9e6eb09b731,6.082367,209,0.045654,0.008972,15636,64,0,False,False
31,Sprites 2,527f5b3b31a35184bd3a954889740de8e77d2e27,5.976379,254,0.177979,0.010376,13468,693,0,False,False
32,Battle anim BG/The End,b576991a42a81b03437dd41303f4ce71b6a056a1,6.445953,255,0.130371,0.022522,14248,694,0,False,False
33,Move Animations/Extra Songs 2,e5d6a994b5fe3aaa7a20ea7d2b94ad9f11c056c8,6.503545,256,0.138550,0.009460,14114,483,0,False,False
34,Map Scripts 10,b9da0704ec5f549285558c5f8f36e5a260b1e065,7.020434,255,0.066833,0.028381,15289,10,0,False,False
35,Map Scripts 11,01dabce44c044985ec405deb5a4e3820a4789a1a,7.024804,255,0.065430,0.029175,15312,20,0,False,False
36,Standard/Phone/Map Scripts 12,25067faef95c2d6ba6277296625524bed2a54e28,6.988410,256,0.071167,0.014465,15218,40,0,False,False
37,Map Blocks 3/Tileset 5,fd4efbe19c7c2b8f26537b555877b535c64b3dda,6.494348,255,0.101501,0.029480,14721,366,0,False,False
38,Diploma/minigames/Bills PC,9ef5019700ae5373c641a4a8dbe46e9d0a7dfcad,7.092489,256,0.067932,0.032532,15271,234,0,False,False
39,Copyright/Title/Options/Font/Intro,8f25c63772bf193a1975a1cb0ca10ae36124b888,7.078793,256,0.064148,0.067871,15333,32,0,False,False
3A,Audio/Songs 1,cef82990dfa03b3d56b97c2de3f4029cc2ad5cbe,6.998168,255,0.034607,0.010437,15817,73,0,False,False
3B,Songs 2,0817a94053fbd6b83cd3640b2286817814f3346c,6.374539,247,0.075989,0.007812,15139,267,0,False,False
3C,Songs 3/SFX/Cries,5d36c19cdbe4ed8014d67d2a43e981ac5f7ab136,6.699448,256,0.100830,0.034912,14732,138,0,False,False
3D,Songs 4,bd5b998ef17a222cf209971ec62df27223e0607f,6.525259,247,0.067383,0.009094,15280,269,0,False,False
3E,Font/collision/time capsule/etc,29788b35a84ff520d18b33a41de54f10e018785a,5.496141,256,0.100464,0.271912,14738,168,0,False,False
3F,Debug/tileset anims/NPC trade/etc,7f4995df77bd462fd82bddd03ce15a0eeb6416f5,4.353729,256,0.530823,0.035767,7687,8120,0,False,False
