bank,role_reference,sha1,entropy,unique_bytes,zero_fraction,ff_fraction,nonzero_bytes,trailing_zero_run,trailing_ff_run,all_zero,all_ff
27,unassigned/padding/unknown,46c799654a9747174d612bb7d4acfb426bbed4f9,1.007664,165,0.904785,0.000244,1560,14816,0,False,False
28,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
29,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
2A,Map Blocks 1,ab92aa28bb7fa3a0daf96b184a25270814eeedd6,5.808409,128,0.005188,0.000000,16299,85,0,False,False
2B,Map Blocks 2,0b18ffd50dd2d67d531be687004fcd1985fba5ae,5.739295,124,0.010132,0.000000,16218,166,0,False,False
2C,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
2D,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
2E,Pics 14/bank2E,68e0c8c0fab255feb13d8b0542e8206d4cf205a6,6.085136,256,0.251892,0.033325,12257,1236,0,False,False
2F,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
30,Sprites 1,8655cd6b958c5d53da5dc7aed0aae9e6eb09b731,6.082367,209,0.045654,0.008972,15636,64,0,False,False
31,Sprites 2/bank31,dc8dac4be2b3935ffcaf5e3ac215b7d82775e9eb,5.928801,255,0.184265,0.010315,13365,802,0,False,False
32,Battle anim BG/The End,b416b360c570da11a07e3dbc3e6a1b166cae113d,6.493790,256,0.122009,0.023621,14385,582,0,False,False
33,Move Animations/Extra Songs 2,d591e4abed54756411ce98bcf227a2cf3667a5fb,6.514770,255,0.135559,0.009216,14163,438,0,False,False
34,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
35,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
36,Font Inversed,730b3ec9e81c9b0c75f017cfe421c842a3a8a4de,0.628378,84,0.937500,0.016846,1024,15360,0,False,False
37,Map Blocks 3/Tileset Data 5,fd4efbe19c7c2b8f26537b555877b535c64b3dda,6.494348,255,0.101501,0.029480,14721,366,0,False,False
38,Diploma/minigames/Bills PC,d9265902d313be2d6aff92f2f9111edb5fa719fd,6.647588,256,0.173950,0.026672,13534,2063,0,False,False
39,Copyright/Title Screen 2,e2f9e117684d3d4bb9118f015e8d317f6afc7e1c,6.444783,256,0.206726,0.046448,12997,2447,0,False,False
3A,Audio/Songs 1,edde7e931d62985a367a7c55ad2f7ea52869e704,6.998338,255,0.034607,0.010437,15817,73,0,False,False
3B,Songs 2,0817a94053fbd6b83cd3640b2286817814f3346c,6.374539,247,0.075989,0.007812,15139,267,0,False,False
3C,Songs 3/SFX/Cries,5d36c19cdbe4ed8014d67d2a43e981ac5f7ab136,6.699448,256,0.100830,0.034912,14732,138,0,False,False
3D,Songs 4,bd5b998ef17a222cf209971ec62df27223e0607f,6.525259,247,0.067383,0.009094,15280,269,0,False,False
3E,Font/collision/time capsule/etc,b9c369f84cd458fc3332be3d58576f271a44d0b2,5.325512,256,0.116333,0.278625,14478,168,0,False,False
3F,Debug dummy/tileset anims/NPC trade/etc,4226e681b7bf60920cefa603688f2fa22e7a33a0,4.100662,256,0.562439,0.036438,7169,8672,0,False,False
40,Standard Scripts,aa22c1fa256ab96f0110a0d003cd0de3032eb3b6,4.438581,233,0.428101,0.000061,9370,6649,0,False,False
41,Phone Scripts,302feeb3d65ab964ac55c76dd73f6fa69382e868,4.193864,221,0.473267,0.000000,8630,7294,0,False,False
42,Map Scripts 1,4d943c75da77ffbdedd341b5ee05e4d12066c915,3.923683,211,0.521423,0.008911,7841,8085,0,False,False
43,Map Scripts 2,10703c62fa6894a504dd7741874d4984e9b0dea3,5.645688,240,0.177551,0.009766,13475,2429,0,False,False
44,Map Scripts 3,3ecbbf2dba70e7648e2e808cc0619f0bcb77ef3e,5.684594,238,0.182617,0.011108,13392,2456,0,False,False
45,Map Scripts 4,a76c318f9f8fbbe24779b86aef187e5b9b6a85f2,5.626741,245,0.242310,0.006836,12414,3273,0,False,False
46,Map Scripts 5,21bee0d31298c11ea8ee783658e237d2136cd2fd,4.686183,239,0.424683,0.010010,9426,6433,0,False,False
47,Map Scripts 6,b825065991559ec2c3d8f0da07503fc83d877088,1.613794,186,0.844238,0.004639,2552,13604,0,False,False
48,Map Scripts 7,76df047bad0e75e4b66716a2300484bb539c0826,4.914568,240,0.355469,0.009521,10560,5389,0,False,False
49,Map Scripts 8,9da64a203b87db273c7cac7b795448bebafd89e1,4.198279,217,0.471802,0.006409,8654,7403,0,False,False
4A,Map Scripts 9,dcc0e24c3ec1cde24fc2db036f6893b788c4be64,4.247414,230,0.475708,0.009338,8590,7400,0,False,False
4B,Map Scripts 10,463419a89ec8e1e9e5b655bc8d197034ca3007eb,5.264740,242,0.291992,0.010010,11600,4290,0,False,False
4C,Map Scripts 11,35b066b0b05c71bbe210804296241f4b26254069,4.339012,230,0.446899,0.011597,9062,6943,0,False,False
4D,Map Scripts 12,b0775bc7705252e6dfebdfe7a0ac6b96e01bda96,4.288099,244,0.469971,0.010620,8684,7319,0,False,False
4E,Map Scripts 13,40a5742bd6823a2d93807c0f100eb0f72556dcbf,4.401663,217,0.435303,0.009949,9252,6798,0,False,False
4F,Map Scripts 14,c622e82fa3aa4224dea6968c14d4e54e5937ce00,4.727083,234,0.382141,0.012390,10123,5873,0,False,False
50,Map Scripts 15,91586638493e478d968761ccf30f2e32ec04a781,3.481194,216,0.584229,0.007996,6812,9280,0,False,False
51,Map Scripts 16,b2f8996f00e3113229a4fc862eef88765848e13f,4.021193,217,0.482666,0.009094,8476,7566,0,False,False
52,Map Scripts 17,9465a9bb3f5f4542e20ddc5b531def8a290fc194,3.783434,204,0.518066,0.007263,7896,8236,0,False,False
53,Map Scripts 18,36277a734352b7af0d20ae4a03f1dde240fdce1d,4.074663,215,0.479553,0.008118,8527,7508,0,False,False
54,Map Scripts 19,50f15f25e3dfda856f2bf2e290d26117b351e56e,3.566878,221,0.566589,0.006897,7101,8977,0,False,False
55,Map Scripts 20,f88748e3118990fc0b8986905efc16da6a6d1d55,3.223888,208,0.622803,0.004456,6180,9994,0,False,False
56,Map Scripts 21,86ecfcb6a1d35a14d9f9937854420929ef114401,3.371368,193,0.576233,0.005371,6943,9255,0,False,False
57,Map Scripts 22,7b45286815e84b1af855b75b51fbac714e7ab804,5.778649,234,0.166626,0.015747,13654,2046,0,False,False
58,unassigned/padding/unknown,79f4efc3c790ad0c50431e0eb9eb0b5351cbbc90,4.238884,219,0.443237,0.004395,9122,6976,0,False,False
59,Map Scripts 23,6529ebad3fa83e882cf98842ea26bd2d56149af2,4.191688,210,0.450500,0.006958,9003,7062,0,False,False
5A,Map Scripts 24,ae673bc059b5c0f974d17f59f1f01b584ff73c59,4.088494,200,0.488037,0.006287,8388,7662,0,False,False
5B,Map Scripts 25,a63ece2385f55086186dbdf2594a36a15f1229f4,5.080985,245,0.341492,0.008301,10789,5022,0,False,False
5C,Map Scripts 26,42d02e42806a20d59a80c2f5d15e3e136795e5f5,3.191821,209,0.638550,0.006836,5922,10089,0,False,False
5D,Map Scripts 27,6310df066e12de29046bc2741aa7d8bc0f003e74,3.977422,207,0.490112,0.010559,8354,7685,0,False,False
5E,Map Scripts 28,1e654d9c3b9afd51aca4d68e62ae31b6219259d4,5.216947,239,0.294617,0.015259,11557,4201,0,False,False
5F,Map Scripts 29,0eb6cc24390e245d05a2154f880907b120151540,2.626083,180,0.702820,0.005737,4869,11306,0,False,False
60,Map Scripts 30,f4899e1f553caf4361c499f0536bed413612cbcd,4.944418,227,0.320190,0.003662,11138,4823,0,False,False
61,Map Scripts 31,b7d1ee4735488d95a236acf92e94c9bc3a643e8a,3.503677,196,0.580017,0.007874,6881,9222,0,False,False
62,Map Scripts 32,67365889a884df1159ca6a07283814bc7dc96155,2.304968,171,0.745544,0.003967,4169,12033,0,False,False
63,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
64,Text 1,5258e14e31d9c22fc1ae812d270806eb275e5e3e,3.875187,109,0.457092,0.000000,8895,7115,0,False,False
65,Text 2,b96cb7fbcb1c4151ad823c9fdf85d2b754ecf2a3,3.967117,102,0.438599,0.000366,9198,6872,0,False,False
66,Text 3,5e346848c09076fa8df79c5d020a19b4aa358155,1.618394,96,0.821838,0.000000,2919,13353,0,False,False
67,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
68,Pokedex 001-064,53b4d1728b75ac7bc0edaa831a8a4b8b725e8fb1,3.094757,118,0.583618,0.000000,6822,9523,0,False,False
69,Pokedex 065-128,03f67b4f1e443ef0a6ae12d28a457e79fe761def,3.160666,119,0.574585,0.000000,6970,9395,0,False,False
6A,Pokedex 129-192,656ba520c34c076d8a34821f96e429565570c15e,3.153079,127,0.573242,0.000000,6992,9353,0,False,False
6B,Pokedex 193-251,c9b1462f12d61dc764f0452a03b70908b0676579,3.009629,128,0.600037,0.000000,6553,9811,0,False,False
6C,Names,6777423285687b470a2ec64064669c4256d0a1e8,3.153833,48,0.507446,0.000305,8070,8314,0,False,False
6D,Move Descriptions,1d79374e57622ac269800d008d8800a09267558c,3.601514,200,0.512085,0.000122,7994,8385,0,False,False
6E,Item Descriptions,90c82d4512f3c537c9d6a58ababe49ac18274a50,2.778313,182,0.674744,0.000305,5329,11054,0,False,False
6F,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
70,Tileset 6/Pokegear GFX/Credits Strings,cfb8ca8c5cbd2564fea29fdc36166d317463c85d,5.062079,256,0.414490,0.031555,9593,5150,0,False,False
71,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
72,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
73,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
74,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
75,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
76,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
77,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
78,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
79,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
7A,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
7B,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
7C,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
7D,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
7E,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
7F,Stadium 2 checksums,bcfb920c1d14002326dd03e49f14bf4b25309eab,0.394166,191,0.968323,0.000000,519,0,0,False,False
