bank_hex,relationship,differing_bytes,difference_ranges,gold_sha256,silver_sha256,gold_nonzero_bytes,silver_nonzero_bytes,gold_entropy,silver_entropy,gold_exact_nonblank_matches,silver_exact_nonblank_matches
0x1D,KR_VERSION_SPECIFIC,16121,252,e31ad4c88bf941d4542493c0f8fb4df82cc20a028e4f7e8c3ebf1de9028a18b7,0816cf0ea559a230cbe4dfbe295f5a4bac3fc98cedcb642b5bd8f47f4559c15b,15530,15570,6.853561,6.879891,JP_GOLD_0:0x1D JP_GOLD_A:0x1D,JP_SILVER_0:0x1D JP_SILVER_A:0x1D
0x1E,KR_VERSION_SPECIFIC,16097,271,bcb2d62c77e337a3dfe883305ebe963ed3a615695740402be02e21ed4f3d810c,dfab70a50319559681ed73c2d584ec1552fcc4ecbb52ee7943c10cb7400c1061,15423,15458,6.847395,6.802107,JP_GOLD_0:0x1E JP_GOLD_A:0x1E,JP_SILVER_0:0x1E JP_SILVER_A:0x1E
0x1F,KR_VERSION_SPECIFIC,15529,239,732a03e30c7e5ba8b1bc7f17003b27a68be80bfbcd3858c17605f02c75900093,0ad81caf559382a604dd912be5f136f751d090350cf70e0f03ce77c4beffdd7a,15645,15717,7.098644,7.081007,JP_GOLD_0:0x1F JP_GOLD_A:0x1F,JP_SILVER_0:0x1F JP_SILVER_A:0x1F
0x20,KR_VERSION_SPECIFIC,16086,279,0fd7d31027fd32d85717a831ab600156d181a175a096514ae8983606086c2652,7c31268004996e141d3d3cbe33994bc3744eb2bf1732f7cecc8b356affad5873,15713,15717,7.042235,7.042478,JP_GOLD_0:0x20 JP_GOLD_A:0x20,JP_SILVER_0:0x20 JP_SILVER_A:0x20
0x21,KR_VERSION_SPECIFIC,26,26,c5c31e4c5fdf93d371b969a0d40377311260ab630322c536a663cdf57a08e31e,91c643900f5fa3a44946f454050945a53668a410872a7c6369686a335016abce,14371,14371,6.688173,6.688173,,
0x22,BOTH_BLANK,0,0,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,0,0,-0.000000,-0.000000,,
0x23,KR_VERSION_SPECIFIC,9359,426,c98f0cf7ba8f5d93456cee901278649f36b74f2c9ff08400496c7605786a48db,e7ec0bd643e2c1e0a4ba5bf0547a1a6ed9633c99cc138c892ad8ea30555b4d58,14082,14047,6.752989,6.751937,,
0x24,KR_VERSION_SPECIFIC,1,1,d891ef490ba179e52b9ac6f4e2016f904eb018dab20b34fb9d36cf79bf0a3e23,a7e6827e4adb2b1ac186990409eb16dd99537bca0c24efb8e0f875644929fd28,15280,15280,7.048482,7.048437,,
0x25,KR_VERSION_SPECIFIC,7,5,4e6ad14379e8fb36c10618935f9ac8304da2da1cf47829ff2ef281759e6ef35a,3ae3cc6e8e167844698fce8da6df458dd436e48b13958de3fee6eb74c622f95f,14863,14865,6.875137,6.875140,,
0x26,KR_VERSION_SPECIFIC,1030,64,aae75b1cd4f370c8ccc5567183860619b6de606335cf069275d2268c989889f8,358906e5c58a8a1afb7b479328a332bfc7b719021c0e44e6deeee389c2679dc8,1821,1885,1.169809,1.190777,,
0x27,BOTH_BLANK,0,0,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,0,0,-0.000000,-0.000000,,
0x28,BOTH_BLANK,0,0,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,0,0,-0.000000,-0.000000,,
0x29,BOTH_BLANK,0,0,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,0,0,-0.000000,-0.000000,,
0x2A,KR_SHARED_IDENTICAL,0,0,d3e7c5b2611ead5571d43c4d0881de81cc1547e29d5aaa5e5c0696733c4e85bc,d3e7c5b2611ead5571d43c4d0881de81cc1547e29d5aaa5e5c0696733c4e85bc,16299,16299,5.808409,5.808409,KR_SILVER:0x2A JP_GOLD_0:0x2A JP_GOLD_A:0x2A JP_SILVER_0:0x2A JP_SILVER_A:0x2A EN_GOLD:0x2A EN_SILVER:0x2A,KR_GOLD:0x2A JP_GOLD_0:0x2A JP_GOLD_A:0x2A JP_SILVER_0:0x2A JP_SILVER_A:0x2A EN_GOLD:0x2A EN_SILVER:0x2A
0x2B,KR_SHARED_IDENTICAL,0,0,577de6a212219fd5296afdc565d1f5c8efcd6ed5a35ba26bf4d00683a95807b1,577de6a212219fd5296afdc565d1f5c8efcd6ed5a35ba26bf4d00683a95807b1,16218,16218,5.739061,5.739061,KR_SILVER:0x2B,KR_GOLD:0x2B
0x2C,BOTH_BLANK,0,0,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,0,0,-0.000000,-0.000000,,
0x2D,BOTH_BLANK,0,0,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,0,0,-0.000000,-0.000000,,
0x2E,KR_VERSION_SPECIFIC,6803,143,1bd629982142f6ce37bd0b022e358b7363ab78eb19d6309c7438a9184c345a23,7e40893ba28391455c51b4cfbd14077cb752bfe2302b1432838584e1f0c02161,12342,12444,6.100797,6.136849,,
0x2F,BOTH_BLANK,0,0,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,0,0,-0.000000,-0.000000,,
0x30,KR_SHARED_IDENTICAL,0,0,4a4bf9ecbb1b7a8fc36687f4d3a7428464d12353c17c27f096fa5e6bd2229ef5,4a4bf9ecbb1b7a8fc36687f4d3a7428464d12353c17c27f096fa5e6bd2229ef5,15636,15636,6.082367,6.082367,KR_SILVER:0x30 JP_GOLD_0:0x30 JP_GOLD_A:0x30 JP_SILVER_0:0x30 JP_SILVER_A:0x30 EN_GOLD:0x30 EN_SILVER:0x30,KR_GOLD:0x30 JP_GOLD_0:0x30 JP_GOLD_A:0x30 JP_SILVER_0:0x30 JP_SILVER_A:0x30 EN_GOLD:0x30 EN_SILVER:0x30
0x31,KR_SHARED_IDENTICAL,0,0,5afa04a6cb95a05dab04f5aca05334790bd9af063c8357894ab71a382add8f9a,5afa04a6cb95a05dab04f5aca05334790bd9af063c8357894ab71a382add8f9a,13365,13365,5.923318,5.923318,KR_SILVER:0x31,KR_GOLD:0x31
0x32,KR_SHARED_IDENTICAL,0,0,94929682dba8724be9af3698887e715680b24b0a60b14d253921ba3d4c8b4b39,94929682dba8724be9af3698887e715680b24b0a60b14d253921ba3d4c8b4b39,14353,14353,6.481917,6.481917,KR_SILVER:0x32,KR_GOLD:0x32
0x33,KR_SHARED_IDENTICAL,0,0,1d4d2e6b6e94b37baf735eb6490706171bfaff27df119ea1d914e2fd10338819,1d4d2e6b6e94b37baf735eb6490706171bfaff27df119ea1d914e2fd10338819,14142,14142,6.504498,6.504498,KR_SILVER:0x33,KR_GOLD:0x33
0x34,BOTH_BLANK,0,0,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,0,0,-0.000000,-0.000000,,
0x35,BOTH_BLANK,0,0,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,0,0,-0.000000,-0.000000,,
0x36,KR_SHARED_IDENTICAL,0,0,d0007a691d7c3c5f8dd55409a90779e554b0708bf4b542c5bcbcc013a233922c,d0007a691d7c3c5f8dd55409a90779e554b0708bf4b542c5bcbcc013a233922c,1022,1022,0.642255,0.642255,KR_SILVER:0x36,KR_GOLD:0x36
0x37,KR_SHARED_IDENTICAL,0,0,88f10cbfed5b30c41f4ccf66a44716609a1237d81f7e592ddd893a25deeb4233,88f10cbfed5b30c41f4ccf66a44716609a1237d81f7e592ddd893a25deeb4233,14721,14721,6.494348,6.494348,KR_SILVER:0x37 JP_GOLD_0:0x37 JP_GOLD_A:0x37 JP_SILVER_0:0x37 JP_SILVER_A:0x37 EN_GOLD:0x37 EN_SILVER:0x37,KR_GOLD:0x37 JP_GOLD_0:0x37 JP_GOLD_A:0x37 JP_SILVER_0:0x37 JP_SILVER_A:0x37 EN_GOLD:0x37 EN_SILVER:0x37
0x38,KR_SHARED_IDENTICAL,0,0,613e5c268ece649ec1ad9911c964fc508a878e3ee8351dd86575a2c630bf2c86,613e5c268ece649ec1ad9911c964fc508a878e3ee8351dd86575a2c630bf2c86,14603,14603,6.862450,6.862450,KR_SILVER:0x38,KR_GOLD:0x38
0x39,KR_VERSION_SPECIFIC,13304,183,8ebfcf4aee67158a86462e517d2aa9c9ed5d21c03744f9dad9da845348f00d3e,2f702239c586eb216c357e53c3f662d5ccc9d2ebf7421077824459c0399a4e91,13040,12680,6.437176,6.325577,,
0x3A,KR_SHARED_IDENTICAL,0,0,d3a26f48c0638d326cb0ad27be480f08fa5ec60abb616a0a340bf71a3a550937,d3a26f48c0638d326cb0ad27be480f08fa5ec60abb616a0a340bf71a3a550937,15817,15817,6.998364,6.998364,KR_SILVER:0x3A,KR_GOLD:0x3A
0x3B,KR_SHARED_IDENTICAL,0,0,68e6906258ba11cae661dadce943da3fa017c9cf71e3a30ab25d0add58968a68,68e6906258ba11cae661dadce943da3fa017c9cf71e3a30ab25d0add58968a68,15139,15139,6.374539,6.374539,KR_SILVER:0x3B JP_GOLD_0:0x3B JP_GOLD_A:0x3B JP_SILVER_0:0x3B JP_SILVER_A:0x3B EN_GOLD:0x3B EN_SILVER:0x3B,KR_GOLD:0x3B JP_GOLD_0:0x3B JP_GOLD_A:0x3B JP_SILVER_0:0x3B JP_SILVER_A:0x3B EN_GOLD:0x3B EN_SILVER:0x3B
0x3C,KR_SHARED_IDENTICAL,0,0,ba4fd7eb676c460e49148b570a47fcd00ba137826c66f967e9da36012bacfdd4,ba4fd7eb676c460e49148b570a47fcd00ba137826c66f967e9da36012bacfdd4,14732,14732,6.699448,6.699448,KR_SILVER:0x3C JP_GOLD_0:0x3C JP_GOLD_A:0x3C JP_SILVER_0:0x3C JP_SILVER_A:0x3C EN_GOLD:0x3C EN_SILVER:0x3C,KR_GOLD:0x3C JP_GOLD_0:0x3C JP_GOLD_A:0x3C JP_SILVER_0:0x3C JP_SILVER_A:0x3C EN_GOLD:0x3C EN_SILVER:0x3C
0x3D,KR_SHARED_IDENTICAL,0,0,c949b705d2cfbb923ff2af60f19fd9c47452f1e654c0ac56bb35e7429c9ad6ed,c949b705d2cfbb923ff2af60f19fd9c47452f1e654c0ac56bb35e7429c9ad6ed,15280,15280,6.525259,6.525259,KR_SILVER:0x3D JP_GOLD_0:0x3D JP_GOLD_A:0x3D JP_SILVER_0:0x3D JP_SILVER_A:0x3D EN_GOLD:0x3D EN_SILVER:0x3D,KR_GOLD:0x3D JP_GOLD_0:0x3D JP_GOLD_A:0x3D JP_SILVER_0:0x3D JP_SILVER_A:0x3D EN_GOLD:0x3D EN_SILVER:0x3D
0x3E,KR_SHARED_IDENTICAL,0,0,02aecb5cbf5c18c79432fc53665c3134eeb457ff45769de3610024ff8ca0026b,02aecb5cbf5c18c79432fc53665c3134eeb457ff45769de3610024ff8ca0026b,14458,14458,5.323376,5.323376,KR_SILVER:0x3E,KR_GOLD:0x3E
0x3F,KR_SHARED_IDENTICAL,0,0,ed58f9eb6dce22072af32f0564d084fbe0846aa5dc3b7ede51b551f1a72500d0,ed58f9eb6dce22072af32f0564d084fbe0846aa5dc3b7ede51b551f1a72500d0,7135,7135,4.044448,4.044448,KR_SILVER:0x3F,KR_GOLD:0x3F
0x40,KR_SHARED_IDENTICAL,0,0,ccf6f7d8e4b7f23f6f751e92ef1a09c164f1bf703cdb5e8f44c53f734d1b9604,ccf6f7d8e4b7f23f6f751e92ef1a09c164f1bf703cdb5e8f44c53f734d1b9604,10336,10336,4.863699,4.863699,KR_SILVER:0x40,KR_GOLD:0x40
0x41,KR_SHARED_IDENTICAL,0,0,e138a0fead33d53df480621904d0cf8a08564ee42ff6f3660172de7610fc9e7c,e138a0fead33d53df480621904d0cf8a08564ee42ff6f3660172de7610fc9e7c,7537,7537,3.890263,3.890263,KR_SILVER:0x41,KR_GOLD:0x41
0x42,KR_SHARED_IDENTICAL,0,0,826d4ae7e62323e21e0e18143410e3bf820f0063cf166500ead46cadcb4f5c89,826d4ae7e62323e21e0e18143410e3bf820f0063cf166500ead46cadcb4f5c89,7336,7336,3.790098,3.790098,KR_SILVER:0x42,KR_GOLD:0x42
0x43,KR_SHARED_IDENTICAL,0,0,2d897767a5a7a0f186ed097b08bd219ec3b0ff4773ee5ab3f6fea41d9757406b,2d897767a5a7a0f186ed097b08bd219ec3b0ff4773ee5ab3f6fea41d9757406b,11776,11776,5.457359,5.457359,KR_SILVER:0x43,KR_GOLD:0x43
0x44,KR_SHARED_IDENTICAL,0,0,ab2b966545f7111304097efc5ebae2c2d904354697f2cca111c133e2942229aa,ab2b966545f7111304097efc5ebae2c2d904354697f2cca111c133e2942229aa,11409,11409,5.323815,5.323815,KR_SILVER:0x44,KR_GOLD:0x44
0x45,KR_SHARED_IDENTICAL,0,0,4181c7855c897d2240ca9e3765801852a8d795d91429e69f7fcfb5490dc8806d,4181c7855c897d2240ca9e3765801852a8d795d91429e69f7fcfb5490dc8806d,10529,10529,5.142387,5.142387,KR_SILVER:0x45,KR_GOLD:0x45
0x46,KR_SHARED_IDENTICAL,0,0,b6694e19b8c050d59f97005fdcf3c696332c63552eeec755a4bdcab985bac5e8,b6694e19b8c050d59f97005fdcf3c696332c63552eeec755a4bdcab985bac5e8,8198,8198,4.267582,4.267582,KR_SILVER:0x46,KR_GOLD:0x46
0x47,KR_SHARED_IDENTICAL,0,0,3a936f012adbfa952481f4fe0e5e2fddb63827c8e293cc83e3a70f06b44c36b2,3a936f012adbfa952481f4fe0e5e2fddb63827c8e293cc83e3a70f06b44c36b2,2539,2539,1.589525,1.589525,KR_SILVER:0x47,KR_GOLD:0x47
0x48,KR_SHARED_IDENTICAL,0,0,5a7dfc5202b469288c18a94bdad7a99aabec01889949441cdb5a02a82304e1a0,5a7dfc5202b469288c18a94bdad7a99aabec01889949441cdb5a02a82304e1a0,9323,9323,4.615073,4.615073,KR_SILVER:0x48,KR_GOLD:0x48
0x49,KR_SHARED_IDENTICAL,0,0,20e61e27d1dd11feb9de8371dcbd6e4376bf76065240e4902f38d7f037437dd8,20e61e27d1dd11feb9de8371dcbd6e4376bf76065240e4902f38d7f037437dd8,7223,7223,3.801121,3.801121,KR_SILVER:0x49,KR_GOLD:0x49
0x4A,KR_SHARED_IDENTICAL,0,0,6927c99a4d0c10107713b35ef9642389a58482bb8ac9b2e76b5460fcd8ee5549,6927c99a4d0c10107713b35ef9642389a58482bb8ac9b2e76b5460fcd8ee5549,7469,7469,3.953141,3.953141,KR_SILVER:0x4A,KR_GOLD:0x4A
0x4B,KR_SHARED_IDENTICAL,0,0,94683a9c317de8140122d7b2b3d8b2c1a22dd8432f5f907ab2c95907bb1cbf45,94683a9c317de8140122d7b2b3d8b2c1a22dd8432f5f907ab2c95907bb1cbf45,10010,10010,4.919957,4.919957,KR_SILVER:0x4B,KR_GOLD:0x4B
0x4C,KR_SHARED_IDENTICAL,0,0,443be5f3f4b530f14d24ee8dca3b95e84131988b69e3013e2df73e2707eef54a,443be5f3f4b530f14d24ee8dca3b95e84131988b69e3013e2df73e2707eef54a,7218,7218,3.823643,3.823643,KR_SILVER:0x4C,KR_GOLD:0x4C
0x4D,KR_SHARED_IDENTICAL,0,0,d3cf791deb7ca5fc0fa862d0e1decc579536b60d8a9af2174b0566db17f656d4,d3cf791deb7ca5fc0fa862d0e1decc579536b60d8a9af2174b0566db17f656d4,7136,7136,3.813019,3.813019,KR_SILVER:0x4D,KR_GOLD:0x4D
0x4E,KR_SHARED_IDENTICAL,0,0,907f36a51acf25d66652ee140f30c35020bf844b12f5036dcbca5fdedd202bb7,907f36a51acf25d66652ee140f30c35020bf844b12f5036dcbca5fdedd202bb7,7515,7515,3.903647,3.903647,KR_SILVER:0x4E,KR_GOLD:0x4E
0x4F,KR_SHARED_IDENTICAL,0,0,6594028eaf3a9cd1ec145aa6a070592c1c771e3867704cc5a9295bd7f70b1393,6594028eaf3a9cd1ec145aa6a070592c1c771e3867704cc5a9295bd7f70b1393,8296,8296,4.216711,4.216711,KR_SILVER:0x4F,KR_GOLD:0x4F
0x50,KR_SHARED_IDENTICAL,0,0,9dab9843fb3a2086894f125151274f700bf4963d91d41e22db73fc49e7cc5a81,9dab9843fb3a2086894f125151274f700bf4963d91d41e22db73fc49e7cc5a81,6224,6224,3.356527,3.356527,KR_SILVER:0x50,KR_GOLD:0x50
0x51,KR_SHARED_IDENTICAL,0,0,d4f41a9e3e12f1fbe66de4450c3297507a92aef597cb16a6ff6a9f43656f52fd,d4f41a9e3e12f1fbe66de4450c3297507a92aef597cb16a6ff6a9f43656f52fd,7200,7200,3.725129,3.725129,KR_SILVER:0x51,KR_GOLD:0x51
0x52,KR_SHARED_IDENTICAL,0,0,00f72d16bc9de36ada88a8d3dead2d5ca96ef068048ef1e4df75f018605229eb,00f72d16bc9de36ada88a8d3dead2d5ca96ef068048ef1e4df75f018605229eb,6894,6894,3.561330,3.561330,KR_SILVER:0x52,KR_GOLD:0x52
0x53,KR_SHARED_IDENTICAL,0,0,2321c9893e3a6e357fe27c92639e90378141cb379dc31d113776590d73eb2ec9,2321c9893e3a6e357fe27c92639e90378141cb379dc31d113776590d73eb2ec9,7075,7075,3.677346,3.677346,KR_SILVER:0x53,KR_GOLD:0x53
0x54,KR_SHARED_IDENTICAL,0,0,b0c3837c230ba439eaf915dda466b7f8a0a36a2d2bfbd829b9d216f47d92e84d,b0c3837c230ba439eaf915dda466b7f8a0a36a2d2bfbd829b9d216f47d92e84d,6020,6020,3.269688,3.269688,KR_SILVER:0x54,KR_GOLD:0x54
