rom_a,sha1_a,rom_b,sha1_b,diff_bytes,same_bytes,diff_percent,different_banks,identical_banks,different_bank_list,first_diff,last_diff
Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,28e4b8531ea4ea1de5a396fccb0cfba51b06b149,"Pokemon - Edicion Amarilla - Edicion Especial Pikachu (Spain) (GBC,SGB Enhanced).gb",1dc242039218fba50928d1afb66b70565b6b9daf,599737,448839,57.195377,62,2,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000041,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,28e4b8531ea4ea1de5a396fccb0cfba51b06b149,"Pokemon - Gelbe Edition - Special Pikachu Edition (Germany) (GBC,SGB Enhanced).gb",42f3714eec6eca25200d42461ff08d57c98f6d1d,602159,446417,57.426357,62,2,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000041,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,28e4b8531ea4ea1de5a396fccb0cfba51b06b149,"Pokemon - Version Jaune - Edition Speciale Pikachu (France) (GBC,SGB Enhanced).gb",0aceec0ef7aa2ca5aa831554598d91f61a925591,598900,449676,57.115555,62,2,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000041,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,28e4b8531ea4ea1de5a396fccb0cfba51b06b149,"Pokemon - Versione Gialla - Speciale Edizione Pikachu (Italy) (GBC,SGB Enhanced).gb",05bb8e99f24d498613930949730afa8024e77d08,598866,449710,57.112312,62,2,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000041,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,28e4b8531ea4ea1de5a396fccb0cfba51b06b149,"Pokemon - Yellow Version - Special Pikachu Edition (USA, Europe) (GBC,SGB Enhanced).gb",cc7d03262ebfaf2f06772c1a480c7d9d5f4a38e1,595016,453560,56.745148,62,2,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000041,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,91864ecdf26d1c593bde4d9ed615520eb57d5e41,Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,a40298a8123613ee60cd7aab204d788b8425976e,245538,803038,23.416328,61,3,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000068,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,91864ecdf26d1c593bde4d9ed615520eb57d5e41,"Pokemon - Edicion Amarilla - Edicion Especial Pikachu (Spain) (GBC,SGB Enhanced).gb",1dc242039218fba50928d1afb66b70565b6b9daf,598835,449741,57.109356,62,2,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000041,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,91864ecdf26d1c593bde4d9ed615520eb57d5e41,"Pokemon - Gelbe Edition - Special Pikachu Edition (Germany) (GBC,SGB Enhanced).gb",42f3714eec6eca25200d42461ff08d57c98f6d1d,601441,447135,57.357883,62,2,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000041,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,91864ecdf26d1c593bde4d9ed615520eb57d5e41,"Pokemon - Version Jaune - Edition Speciale Pikachu (France) (GBC,SGB Enhanced).gb",0aceec0ef7aa2ca5aa831554598d91f61a925591,597969,450607,57.026768,62,2,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000041,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,91864ecdf26d1c593bde4d9ed615520eb57d5e41,"Pokemon - Versione Gialla - Speciale Edizione Pikachu (Italy) (GBC,SGB Enhanced).gb",05bb8e99f24d498613930949730afa8024e77d08,597922,450654,57.022285,62,2,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000041,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,91864ecdf26d1c593bde4d9ed615520eb57d5e41,"Pokemon - Yellow Version - Special Pikachu Edition (USA, Europe) (GBC,SGB Enhanced).gb",cc7d03262ebfaf2f06772c1a480c7d9d5f4a38e1,594115,454461,56.659222,62,2,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000041,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,a40298a8123613ee60cd7aab204d788b8425976e,"Pokemon - Edicion Amarilla - Edicion Especial Pikachu (Spain) (GBC,SGB Enhanced).gb",1dc242039218fba50928d1afb66b70565b6b9daf,498980,549596,47.586441,48,16,00 01 02 03 04 05 06 07 08 09 0A 0B 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 26 27 28 29 2A 2B 2C 2D 2E 2F 30 3A 3B 3C 3D 3E 3F,0x000041,0x0FFF3C
Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,a40298a8123613ee60cd7aab204d788b8425976e,"Pokemon - Gelbe Edition - Special Pikachu Edition (Germany) (GBC,SGB Enhanced).gb",42f3714eec6eca25200d42461ff08d57c98f6d1d,513983,534593,49.017239,48,16,00 01 02 03 04 05 06 07 08 09 0A 0B 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 26 27 28 29 2A 2B 2C 2D 2E 2F 30 3A 3B 3C 3D 3E 3F,0x000041,0x0FFF3C
Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,a40298a8123613ee60cd7aab204d788b8425976e,"Pokemon - Version Jaune - Edition Speciale Pikachu (France) (GBC,SGB Enhanced).gb",0aceec0ef7aa2ca5aa831554598d91f61a925591,495498,553078,47.254372,48,16,00 01 02 03 04 05 06 07 08 09 0A 0B 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 26 27 28 29 2A 2B 2C 2D 2E 2F 30 3A 3B 3C 3D 3E 3F,0x000041,0x0FFF3C
Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,a40298a8123613ee60cd7aab204d788b8425976e,"Pokemon - Versione Gialla - Speciale Edizione Pikachu (Italy) (GBC,SGB Enhanced).gb",05bb8e99f24d498613930949730afa8024e77d08,494377,554199,47.147465,48,16,00 01 02 03 04 05 06 07 08 09 0A 0B 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 26 27 28 29 2A 2B 2C 2D 2E 2F 30 3A 3B 3C 3D 3E 3F,0x000041,0x0FFF3C
Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,a40298a8123613ee60cd7aab204d788b8425976e,"Pokemon - Yellow Version - Special Pikachu Edition (USA, Europe) (GBC,SGB Enhanced).gb",cc7d03262ebfaf2f06772c1a480c7d9d5f4a38e1,507517,541059,48.400593,48,16,00 01 02 03 04 05 06 07 08 09 0A 0B 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 26 27 28 29 2A 2B 2C 2D 2E 2F 30 3A 3B 3C 3D 3E 3F,0x000041,0x0FFF3C
"Pokemon - Edicion Amarilla - Edicion Especial Pikachu (Spain) (GBC,SGB Enhanced).gb",1dc242039218fba50928d1afb66b70565b6b9daf,"Pokemon - Gelbe Edition - Special Pikachu Edition (Germany) (GBC,SGB Enhanced).gb",42f3714eec6eca25200d42461ff08d57c98f6d1d,288079,760497,27.473354,47,17,00 01 02 03 04 05 06 07 08 09 0A 0B 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1C 1D 1E 1F 20 26 27 28 29 2A 2B 2C 2D 2E 2F 30 3A 3B 3C 3D 3E 3F,0x000041,0x0FE1EF
"Pokemon - Edicion Amarilla - Edicion Especial Pikachu (Spain) (GBC,SGB Enhanced).gb",1dc242039218fba50928d1afb66b70565b6b9daf,"Pokemon - Version Jaune - Edition Speciale Pikachu (France) (GBC,SGB Enhanced).gb",0aceec0ef7aa2ca5aa831554598d91f61a925591,301433,747143,28.746891,47,17,00 01 02 03 04 05 06 07 08 09 0A 0B 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1C 1D 1E 1F 20 26 27 28 29 2A 2B 2C 2D 2E 2F 30 3A 3B 3C 3D 3E 3F,0x000041,0x0FE23F
"Pokemon - Edicion Amarilla - Edicion Especial Pikachu (Spain) (GBC,SGB Enhanced).gb",1dc242039218fba50928d1afb66b70565b6b9daf,"Pokemon - Versione Gialla - Speciale Edizione Pikachu (Italy) (GBC,SGB Enhanced).gb",05bb8e99f24d498613930949730afa8024e77d08,281634,766942,26.858711,47,17,00 01 02 03 04 05 06 07 08 09 0A 0B 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1C 1D 1E 1F 20 26 27 28 29 2A 2B 2C 2D 2E 2F 30 3A 3B 3C 3D 3E 3F,0x000041,0x0FE23F
"Pokemon - Edicion Amarilla - Edicion Especial Pikachu (Spain) (GBC,SGB Enhanced).gb",1dc242039218fba50928d1afb66b70565b6b9daf,"Pokemon - Yellow Version - Special Pikachu Edition (USA, Europe) (GBC,SGB Enhanced).gb",cc7d03262ebfaf2f06772c1a480c7d9d5f4a38e1,323307,725269,30.832958,47,17,00 01 02 03 04 05 06 07 08 09 0A 0B 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1C 1D 1E 1F 20 26 27 28 29 2A 2B 2C 2D 2E 2F 30 3A 3B 3C 3D 3E 3F,0x000041,0x0FE23F
"Pokemon - Gelbe Edition - Special Pikachu Edition (Germany) (GBC,SGB Enhanced).gb",42f3714eec6eca25200d42461ff08d57c98f6d1d,"Pokemon - Version Jaune - Edition Speciale Pikachu (France) (GBC,SGB Enhanced).gb",0aceec0ef7aa2ca5aa831554598d91f61a925591,314864,733712,30.027771,47,17,00 01 02 03 04 05 06 07 08 09 0A 0B 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1C 1D 1E 1F 20 26 27 28 29 2A 2B 2C 2D 2E 2F 30 3A 3B 3C 3D 3E 3F,0x000041,0x0FE23F
"Pokemon - Gelbe Edition - Special Pikachu Edition (Germany) (GBC,SGB Enhanced).gb",42f3714eec6eca25200d42461ff08d57c98f6d1d,"Pokemon - Versione Gialla - Speciale Edizione Pikachu (Italy) (GBC,SGB Enhanced).gb",05bb8e99f24d498613930949730afa8024e77d08,316602,731974,30.19352,47,17,00 01 02 03 04 05 06 07 08 09 0A 0B 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1C 1D 1E 1F 20 26 27 28 29 2A 2B 2C 2D 2E 2F 30 3A 3B 3C 3D 3E 3F,0x000041,0x0FE23F
"Pokemon - Gelbe Edition - Special Pikachu Edition (Germany) (GBC,SGB Enhanced).gb",42f3714eec6eca25200d42461ff08d57c98f6d1d,"Pokemon - Yellow Version - Special Pikachu Edition (USA, Europe) (GBC,SGB Enhanced).gb",cc7d03262ebfaf2f06772c1a480c7d9d5f4a38e1,315913,732663,30.127811,47,17,00 01 02 03 04 05 06 07 08 09 0A 0B 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1C 1D 1E 1F 20 26 27 28 29 2A 2B 2C 2D 2E 2F 30 3A 3B 3C 3D 3E 3F,0x000041,0x0FE23F
"Pokemon - Version Jaune - Edition Speciale Pikachu (France) (GBC,SGB Enhanced).gb",0aceec0ef7aa2ca5aa831554598d91f61a925591,"Pokemon - Versione Gialla - Speciale Edizione Pikachu (Italy) (GBC,SGB Enhanced).gb",05bb8e99f24d498613930949730afa8024e77d08,297856,750720,28.405762,47,17,00 01 02 03 04 05 06 07 08 09 0A 0B 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1C 1D 1E 1F 20 26 27 28 29 2A 2B 2C 2D 2E 2F 30 3A 3B 3C 3D 3E 3F,0x000041,0x0FE23F
"Pokemon - Version Jaune - Edition Speciale Pikachu (France) (GBC,SGB Enhanced).gb",0aceec0ef7aa2ca5aa831554598d91f61a925591,"Pokemon - Yellow Version - Special Pikachu Edition (USA, Europe) (GBC,SGB Enhanced).gb",cc7d03262ebfaf2f06772c1a480c7d9d5f4a38e1,329172,719404,31.392288,47,17,00 01 02 03 04 05 06 07 08 09 0A 0B 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1C 1D 1E 1F 20 26 27 28 29 2A 2B 2C 2D 2E 2F 30 3A 3B 3C 3D 3E 3F,0x000041,0x0FE23F
"Pokemon - Versione Gialla - Speciale Edizione Pikachu (Italy) (GBC,SGB Enhanced).gb",05bb8e99f24d498613930949730afa8024e77d08,"Pokemon - Yellow Version - Special Pikachu Edition (USA, Europe) (GBC,SGB Enhanced).gb",cc7d03262ebfaf2f06772c1a480c7d9d5f4a38e1,319832,728744,30.501556,46,18,00 01 02 03 04 05 06 07 08 09 0A 0B 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1C 1D 1E 20 26 27 28 29 2A 2B 2C 2D 2E 2F 30 3A 3B 3C 3D 3E 3F,0x00009E,0x0FE23F
