target,species,name,field,internal_species_id,offset,old,new
Pocket Monsters - Ruby (Japan).gba,315,Roselia / ロゼリア,ev_yield,363,0x1D318A,"[0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 2, 0]"
Pocket Monsters - Ruby (Japan).gba,355,Duskull / ヨマワル,ev_yield,361,0x1D3152,"[0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 1]"
Pocket Monsters - Ruby (Japan).gba,356,Dusclops / サマヨール,ev_yield,362,0x1D316E,"[0, 0, 1, 0, 0, 2]","[0, 0, 1, 0, 0, 1]"
"Pokemon - Emerald Version (USA, Europe).gba",193,Yanma / ヤンヤンマ,ev_yield,193,0x3218F2,"[0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 0]"
"Pokemon - Emerald Version (USA, Europe).gba",200,Misdreavus / ムウマ,ev_yield,200,0x3219B6,"[0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1]"
"Pokemon - Emerald Version (USA, Europe).gba",242,Blissey / ハピナス,ev_yield,242,0x321E4E,"[2, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0]"
"Pokemon - Emerald Version (USA, Europe).gba",315,Roselia / ロゼリア,ev_yield,363,0x322B8A,"[0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 2, 0]"
"Pokemon - Emerald Version (USA, Europe).gba",355,Duskull / ヨマワル,ev_yield,361,0x322B52,"[0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 1]"
"Pokemon - Emerald Version (USA, Europe).gba",356,Dusclops / サマヨール,ev_yield,362,0x322B6E,"[0, 0, 1, 0, 0, 2]","[0, 0, 1, 0, 0, 1]"
"Pokemon - Sapphire Version (USA, Europe) (Rev 2).gba",193,Yanma / ヤンヤンマ,ev_yield,193,0x2000E6,"[0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 0]"
"Pokemon - Sapphire Version (USA, Europe) (Rev 2).gba",200,Misdreavus / ムウマ,ev_yield,200,0x2001AA,"[0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1]"
"Pokemon - Sapphire Version (USA, Europe) (Rev 2).gba",242,Blissey / ハピナス,ev_yield,242,0x200642,"[2, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0]"
"Pokemon - Sapphire Version (USA, Europe) (Rev 2).gba",315,Roselia / ロゼリア,ev_yield,363,0x20137E,"[0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 2, 0]"
"Pokemon - Sapphire Version (USA, Europe) (Rev 2).gba",355,Duskull / ヨマワル,ev_yield,361,0x201346,"[0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 1]"
"Pokemon - Sapphire Version (USA, Europe) (Rev 2).gba",356,Dusclops / サマヨール,ev_yield,362,0x201362,"[0, 0, 1, 0, 0, 2]","[0, 0, 1, 0, 0, 1]"
"Pokemon - Fire Red Version (USA, Europe) (Rev 1).gba",193,Yanma / ヤンヤンマ,ev_yield,193,0x255D1A,"[0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 0]"
"Pokemon - Fire Red Version (USA, Europe) (Rev 1).gba",200,Misdreavus / ムウマ,ev_yield,200,0x255DDE,"[0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1]"
"Pokemon - Fire Red Version (USA, Europe) (Rev 1).gba",242,Blissey / ハピナス,ev_yield,242,0x256276,"[2, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0]"
"Pokemon - Fire Red Version (USA, Europe) (Rev 1).gba",315,Roselia / ロゼリア,ev_yield,363,0x256FB2,"[0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 2, 0]"
"Pokemon - Fire Red Version (USA, Europe) (Rev 1).gba",355,Duskull / ヨマワル,ev_yield,361,0x256F7A,"[0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 1]"
"Pokemon - Fire Red Version (USA, Europe) (Rev 1).gba",356,Dusclops / サマヨール,ev_yield,362,0x256F96,"[0, 0, 1, 0, 0, 2]","[0, 0, 1, 0, 0, 1]"
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,193,Yanma / ヤンヤンマ,ev_yield,193,0x255CF6,"[0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 0]"
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,200,Misdreavus / ムウマ,ev_yield,200,0x255DBA,"[0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1]"
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,242,Blissey / ハピナス,ev_yield,242,0x256252,"[2, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0]"
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,315,Roselia / ロゼリア,ev_yield,363,0x256F8E,"[0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 2, 0]"
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,355,Duskull / ヨマワル,ev_yield,361,0x256F56,"[0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 1]"
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,356,Dusclops / サマヨール,ev_yield,362,0x256F72,"[0, 0, 1, 0, 0, 2]","[0, 0, 1, 0, 0, 1]"
"Pokemon - Ruby Version (USA, Europe) (Rev 2).gba",193,Yanma / ヤンヤンマ,ev_yield,193,0x200156,"[0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 0]"
"Pokemon - Ruby Version (USA, Europe) (Rev 2).gba",200,Misdreavus / ムウマ,ev_yield,200,0x20021A,"[0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1]"
"Pokemon - Ruby Version (USA, Europe) (Rev 2).gba",242,Blissey / ハピナス,ev_yield,242,0x2006B2,"[2, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0]"
"Pokemon - Ruby Version (USA, Europe) (Rev 2).gba",315,Roselia / ロゼリア,ev_yield,363,0x2013EE,"[0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 2, 0]"
"Pokemon - Ruby Version (USA, Europe) (Rev 2).gba",355,Duskull / ヨマワル,ev_yield,361,0x2013B6,"[0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 1]"
"Pokemmon - Ruby Version (USA, Europe) (Rev 2).gba",356,Dusclops / サマヨール,ev_yield,362,0x2013D2","[0, 0, 1, 0, 0, 2]","[0, 0, 1, 0, 0, 1]"
Pocket Monsters - Sapphire (Japan).gba,193,Yanma / ヤンヤンマ,ev_yield,193,0x1D1E82,"[0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 0]"
Pocket Monsters - Sapphire (Japan).gba,200,Misdreavus / ムウマ,ev_yield,200,0x1D1F46,"[0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1]"
Pocket Monsters - Sapphire (Japan).gba,242,Blissey / ハピナス,ev_yield,242,0x1D23DE,"[2, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0]"
Pocket Monsters - Sapphire (Japan).gba,315,Roselia / ロゼリア,ev_yield,363,0x1D311A,[[0, 0, 0, 0, 1, 0]],[[0, 0, 0, 0, 2, 0]]
Pocket Monsters - Sapphire (Japan).gba,355,Duskull / ヨマワル,ev_yield,361,0x1D30E2,"[0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 1]"
Pocket Monsters - Sapphire (Japan).gba,356,Dusclops / サマヨール,ev_yield,362,0x1D30FE,"[0, 0, 1, 0, 0, 2]","[0, 0, 1, 0, 0, 1]"
Pocket Monsters - Emerald (Japan).gba,193,Yanma / ヤンヤンマ,ev_yield,193,0x2F227A,"[0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 0]"
Pocket Monsters - Emerald (Japan).gba,200,Misdreavus / ムウマ,ev_yield,200,0x2F233E,"[0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1]"
Pocket Monsters - Emerald (Japan).gba,242,Blissey / ハピナス,ev_yield,242,0x2F27D6,"[2, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0]"
Pocket Monsters - Emerald (Japan).gba,315,Roselia / ロゼリア,ev_yield,363,0x2F3512,"[0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 2, 0]"
Pocket Monsters - Emerald (Japan).gba,355,Duskull / ヨマワル,ev_yield,361,0x2F34DA,"[0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 1]"
Pocket Monsters - Emerald (Japan).gba,356,Dusclops / サマヨール,ev_yield,362,0x2F34F6,"[0, 0, 1, 0, 0, 2]","[0, 0, 1, 0, 0, 1]"
