bank_hex,tile_count,nonblank_tiles,blank_tiles,unique_nonblank_tiles,unique_nonblank_ratio,top_two_rows_blank_ratio,gold_silver_identical,font_candidate,bank_sha256
0x20,1024,1022,2,1022,1.0,0.0,False,False,0fd7d31027fd32d85717a831ab600156d181a175a096514ae8983606086c2652
0x21,1024,1018,6,992,0.9744597249508841,0.01768172888015717,False,False,c5c31e4c5fdf93d371b969a0d40377311260ab630322c536a663cdf57a08e31e
0x22,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x23,1024,996,28,993,0.9969879518072289,0.0050200803212851405,False,False,c98f0cf7ba8f5d93456cee901278649f36b74f2c9ff08400496c7605786a48db
0x24,1024,993,31,992,0.998992950654582,0.0030211480362537764,False,False,d891ef490ba179e52b9ac6f4e2016f904eb018dab20b34fb9d36cf79bf0a3e23
0x25,1024,987,37,987,1.0,0.0,False,False,4e6ad14379e8fb36c10618935f9ac8304da2da1cf47829ff2ef281759e6ef35a
0x26,1024,136,888,134,0.9852941176470589,0.0,False,False,aae75b1cd4f370c8ccc5567183860619b6de606335cf069275d2268c989889f8
0x27,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x28,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x29,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x2A,1024,1019,5,1009,0.9901864573110893,0.0,True,False,d3e7c5b2611ead5571d43c4d0881de81cc1547e29d5aaa5e5c0696733c4e85bc
0x2B,1024,1014,10,991,0.9773175542406312,0.0,True,False,577de6a212219fd5296afdc565d1f5c8efcd6ed5a35ba26bf4d00683a95807b1
0x2C,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x2D,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x2E,1024,809,215,809,1.0,0.006180469715698393,False,False,1bd629982142f6ce37bd0b022e358b7363ab78eb19d6309c7438a9184c345a23
0x2F,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x30,1024,1020,4,996,0.9764705882352941,0.027450980392156862,True,False,4a4bf9ecbb1b7a8fc36687f4d3a7428464d12353c17c27f096fa5e6bd2229ef5
0x31,1024,890,134,873,0.9808988764044944,0.051685393258426963,True,False,5afa04a6cb95a05dab04f5aca05334790bd9af063c8357894ab71a382add8f9a
0x32,1024,988,36,988,1.0,0.003036437246963563,True,False,94929682dba8724be9af3698887e715680b24b0a60b14d253921ba3d4c8b4b39
0x33,1024,996,28,992,0.9959839357429718,0.0,True,False,1d4d2e6b6e94b37baf735eb6490706171bfaff27df119ea1d914e2fd10338819
0x34,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x35,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x36,1024,64,960,62,0.96875,0.0,True,False,d0007a691d7c3c5f8dd55409a90779e554b0708bf4b542c5bcbcc013a233922c
0x37,1024,972,52,926,0.9526748971193416,0.0051440329218107,True,False,88f10cbfed5b30c41f4ccf66a44716609a1237d81f7e592ddd893a25deeb4233
0x38,1024,959,65,935,0.9749739311783108,0.006256517205422315,True,False,613e5c268ece649ec1ad9911c964fc508a878e3ee8351dd86575a2c630bf2c86
0x39,1024,869,155,848,0.9758342922899885,0.014959723820483314,False,False,8ebfcf4aee67158a86462e517d2aa9c9ed5d21c03744f9dad9da845348f00d3e
0x3A,1024,1020,4,1018,0.9980392156862745,0.0,True,False,d3a26f48c0638d326cb0ad27be480f08fa5ec60abb616a0a340bf71a3a550937
0x3B,1024,1008,16,996,0.9880952380952381,0.0,True,False,68e6906258ba11cae661dadce943da3fa017c9cf71e3a30ab25d0add58968a68
0x3C,1024,1015,9,1014,0.9990147783251232,0.003940886699507389,True,False,ba4fd7eb676c460e49148b570a47fcd00ba137826c66f967e9da36012bacfdd4
0x3D,1024,1008,16,1004,0.996031746031746,0.0,True,False,c949b705d2cfbb923ff2af60f19fd9c47452f1e654c0ac56bb35e7429c9ad6ed
0x3E,1024,997,27,887,0.8896690070210632,0.020060180541624874,True,False,02aecb5cbf5c18c79432fc53665c3134eeb457ff45769de3610024ff8ca0026b
0x3F,1024,482,542,475,0.9854771784232366,0.002074688796680498,True,False,ed58f9eb6dce22072af32f0564d084fbe0846aa5dc3b7ede51b551f1a72500d0
0x40,1024,671,353,662,0.9865871833084948,0.0,True,False,ccf6f7d8e4b7f23f6f751e92ef1a09c164f1bf703cdb5e8f44c53f734d1b9604
0x41,1024,500,524,497,0.994,0.0,True,False,e138a0fead33d53df480621904d0cf8a08564ee42ff6f3660172de7610fc9e7c
0x42,1024,488,536,487,0.9979508196721312,0.0,True,False,826d4ae7e62323e21e0e18143410e3bf820f0063cf166500ead46cadcb4f5c89
0x43,1024,766,258,759,0.9908616187989556,0.0,True,False,2d897767a5a7a0f186ed097b08bd219ec3b0ff4773ee5ab3f6fea41d9757406b
0x44,1024,747,277,745,0.9973226238286479,0.0,True,False,ab2b966545f7111304097efc5ebae2c2d904354697f2cca111c133e2942229aa
0x45,1024,703,321,703,1.0,0.0,True,False,4181c7855c897d2240ca9e3765801852a8d795d91429e69f7fcfb5490dc8806d
0x46,1024,546,478,546,1.0,0.0,True,False,b6694e19b8c050d59f97005fdcf3c696332c63552eeec755a4bdcab985bac5e8
0x47,1024,173,851,173,1.0,0.005780346820809248,True,False,3a936f012adbfa952481f4fe0e5e2fddb63827c8e293cc83e3a70f06b44c36b2
0x48,1024,610,414,610,1.0,0.0,True,False,5a7dfc5202b469288c18a94bdad7a99aabec01889949441cdb5a02a82304e1a0
0x49,1024,472,552,471,0.9978813559322034,0.0,True,False,20e61e27d1dd11feb9de8371dcbd6e4376bf76065240e4902f38d7f037437dd8
0x4A,1024,492,532,490,0.9959349593495935,0.0,True,False,6927c99a4d0c10107713b35ef9642389a58482bb8ac9b2e76b5460fcd8ee5549
0x4B,1024,657,367,657,1.0,0.0,True,False,94683a9c317de8140122d7b2b3d8b2c1a22dd8432f5f907ab2c95907bb1cbf45
0x4C,1024,475,549,475,1.0,0.002105263157894737,True,False,443be5f3f4b530f14d24ee8dca3b95e84131988b69e3013e2df73e2707eef54a
0x4D,1024,471,553,471,1.0,0.0,True,False,d3cf791deb7ca5fc0fa862d0e1decc579536b60d8a9af2174b0566db17f656d4
0x4E,1024,491,533,491,1.0,0.0,True,False,907f36a51acf25d66652ee140f30c35020bf844b12f5036dcbca5fdedd202bb7
0x4F,1024,543,481,541,0.996316758747698,0.0,True,False,6594028eaf3a9cd1ec145aa6a070592c1c771e3867704cc5a9295bd7f70b1393
0x50,1024,408,616,407,0.9975490196078431,0.0,True,False,9dab9843fb3a2086894f125151274f700bf4963d91d41e22db73fc49e7cc5a81
0x51,1024,472,552,472,1.0,0.0,True,False,d4f41a9e3e12f1fbe66de4450c3297507a92aef597cb16a6ff6a9f43656f52fd
0x52,1024,448,576,448,1.0,0.002232142857142857,True,False,00f72d16bc9de36ada88a8d3dead2d5ca96ef068048ef1e4df75f018605229eb
0x53,1024,464,560,464,1.0,0.0,True,False,2321c9893e3a6e357fe27c92639e90378141cb379dc31d113776590d73eb2ec9
0x54,1024,396,628,396,1.0,0.0025252525252525255,True,False,b0c3837c230ba439eaf915dda466b7f8a0a36a2d2bfbd829b9d216f47d92e84d
0x55,1024,365,659,365,1.0,0.0,True,False,52304c63f3dcd0d447dccc31408b87bc53c6a929ffc472039922bf015599c5e7
0x56,1024,837,187,811,0.9689366786140979,0.0,True,False,598314aa774884c4da26edf6b6e39a6c5530a073295e043743dc21ff623b7960
0x57,1024,799,225,799,1.0,0.0,True,False,1e57197b9a32a064caf0b9a1ebc4b4da5781888fa8d2360b203ad75e405fb87c
0x58,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x59,1024,464,560,464,1.0,0.0021551724137931034,True,False,8210d5c17b5f91ed5cf8c862f5d5f99896674c233242ade3214e7beadb384eb4
0x5A,1024,460,564,460,1.0,0.0,True,False,0bcd3b42dcafcf9f4da49eed37827d788d28cfe56963f72205d66989f9583373
0x5B,1024,644,380,642,0.9968944099378882,0.0,True,False,50f62ae6b0e429a2366c45749690ebc0810953492f5f3b2b55f8312884948b57
0x5C,1024,345,679,345,1.0,0.0,True,False,045dba2793e31c331b5960ad2d6f074dda81ec8fa3cc875388760b26d178ba19
0x5D,1024,446,578,446,1.0,0.0,True,False,a4b2e2e8df9f8a2d41661b8da5fa01bc7fa62ce68630fd919feed250ae5857b2
0x5E,1024,668,356,668,1.0,0.0014970059880239522,True,False,a76b5b172020c2bd48f9671f52dd456db089f1630e7b4cee079754ca04fd1b7c
0x5F,1024,259,765,259,1.0,0.0,True,False,8ba76fb79f16f5f8ea868ed6c8154c6f5e702f54525c56fbb8ef579b14583808
0x60,1024,635,389,635,1.0,0.0,True,False,8eb7d0a5e3ca5cfb4c94023727e7e0c87b15b8d8fa8aa78d0543108b21ecf04b
0x61,1024,378,646,377,0.9973544973544973,0.0026455026455026454,True,False,9840a2f74d1e98439872fb211be95fb28d758ab1aea16a9e49fbdd4e3461087c
0x62,1024,246,778,246,1.0,0.0,True,False,4d17bcde90ce5ee4260c9f2ed02d34c33abd02ea354de87b7e8f460427ba3d26
0x63,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x64,1024,622,402,620,0.9967845659163987,0.0,True,False,d8cca459d9451304b1984e2972863e44a2917b6efe79b128671dc86e91faa452
0x65,1024,652,372,648,0.9938650306748467,0.0,True,False,eb2e4d98df3a451971f8d39e86ff93c431575ffef436a0e6894cd30519f244d5
0x66,1024,188,836,188,1.0,0.0,True,False,32b74675902c871ba7ebbc36a679e5aa6c76ac408e25ce4da506a9d305ea832e
0x67,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x68,1024,677,347,677,1.0,0.0,False,False,885ee45fa5aeaf8d821228bf9b5b3fd723adc44d647f5c17b18cc486c61216fd
0x69,1024,649,375,649,1.0,0.0,False,False,dad698e835cbeb108a4f88bb00e727b8622c7fd72b6b4e3bb87cc65d59afb4a0
0x6A,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x6B,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x6C,1024,495,529,492,0.9939393939393939,0.0,True,False,80ddef8bda9351e49f891ffd18b97cebae56b368594b596d7ca02b49e8cb8416
0x6D,1024,814,210,805,0.9889434889434889,0.0,True,False,92245ccdc59deed52bc836539ef3b39623e8828b66b6e5c619eaaa18a311e75d
0x6E,1024,423,601,405,0.9574468085106383,0.0,True,False,4976d6dddf751eb7a2644997d23215978419708270c8595ab3385b8a7fe66d2a
0x6F,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x70,1024,307,717,307,1.0,0.006514657980456026,False,False,b267778732920909880b4cfab5ef0112fae6a6913301aa1d215d0d8a5fa73198
0x71,1024,507,517,417,0.8224852071005917,0.05128205128205128,True,False,8962c9c727849b3ec3b45755361010b2c9ed2300a37c7894885693708a0717db
0x72,1024,104,920,81,0.7788461538461539,0.0,True,False,c838b3c7525ed0b98b65c57b32829bc1ab9dd7c0247e2643dfc1401e88fa9f53
0x73,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x74,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x75,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x76,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x77,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x78,1024,769,255,769,1.0,1.0,True,True,a0c3d259d6c3d19e8f316c1bad884d3e5abc2915b7f09d5677307a1d0371baa2
0x79,1024,943,81,943,1.0,1.0,True,True,063268ec796bcebb221396924cfaf4f415efd9294c3497c8a303750b815d7b62
0x7A,1024,771,253,771,1.0,1.0,True,True,6fa2f8da746878ba2b6c193fbde5f271233aef5f25d1daa2e7ff8043dea13c76
0x7B,1024,94,930,94,1.0,0.0,True,False,2f285047743ab31b8457cbcd52c80efbbdf790db5dcfa9fd6fd17c870b4d0bfd
0x7C,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x7D,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x7E,1024,0,1024,0,0.0,0.0,True,False,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x7F,1024,126,898,125,0.9920634920634921,0.0,True,False,e5b4bc91880c7b5554ea877d43afc23a46eb263c4b746dbcdb8422ed14e03aab
