bank,survey_status,disassembly_status,semantic_status,rebuild_gate,notes
19,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
1A,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
1B,PASS1_DONE,DATA_ONLY_IDENTIFIED,SEMANTIC_ORDER_CONFIRMED,PENDING_EXACT_ASSET_BOUNDARIES,Six-ROM identical Tilesets 3 proof bank
1C,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
1D,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
1E,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
1F,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
20,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
21,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
22,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
23,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
24,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
25,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
26,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
27,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
28,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
29,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
2A,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
2B,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
2C,PASS1_DONE,QUEUED,QUEUED,PENDING,Must be surveyed+disassembled together before advancing
2D,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
2E,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
2F,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
30,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
31,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
32,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
33,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
34,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
35,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
36,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
37,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
38,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
39,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
3A,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
3B,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
3C,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
3D,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
3E,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
3F,PASS1_DONE,NOT_EXECUTABLE_ZERO_PADDING,CLASSIFIED,N/A,Western zero-filled padding; JP bank absent
