game,role,path,runtime_narc_id,members,record_size_if_uniform,min_size,max_size,size_variants,confidence
platinum,trainer_parties,poketool/trainer/trpoke.narc,,928,,8,108,16,medium-high
platinum,zone_events,fielddata/eventdata/zone_event.narc,,534,,16,1660,161,medium-high
heartgold,egg_moves,a/2/2/9,231,1,4092,4092,4092,1,high
heartgold,encounters_heartgold,a/0/3/7,37,142,196,196,196,1,high
heartgold,encounters_soulsilver,a/1/3/6,136,142,196,196,196,1,high
heartgold,evolution,a/0/3/4,34,508,44,44,44,1,high
heartgold,field_scripts,a/0/1/2,12,965,,4,8728,253,high
heartgold,growth,a/0/0/3,3,8,404,404,404,1,high
heartgold,headbutt,a/2/5/2,254,540,,4,1420,28,high
heartgold,item_data,a/0/1/7,17,514,34,34,34,1,high
heartgold,land_data,a/0/6/5,65,676,,2658,72696,642,high
heartgold,levelup_moves,a/0/3/3,33,508,,4,44,11,high
heartgold,map_matrix,a/0/4/1,41,288,,13,4003,14,high
heartgold,messages,a/0/2/7,27,822,,20,100706,640,high
heartgold,move_scripts,a/0/0/0,0,501,,4,24,3,high-inference
heartgold,move_table,a/0/1/1,11,471,16,16,16,1,high
heartgold,personal,a/0/0/2,2,508,44,44,44,1,high
heartgold,pokedex_encounter,a/1/3/3,133,3962,,4,2520,27,high
heartgold,pokedex_hw,a/0/7/5,75,2,,494,612,2,high
heartgold,trainer_data,a/0/5/5,55,738,20,20,20,1,high
heartgold,trainer_parties,a/0/5/6,56,738,,8,108,16,high
heartgold,zone_events,a/0/3/2,32,491,,16,1660,153,high
soulsilver,egg_moves,a/2/2/9,231,1,4092,4092,4092,1,high
soulsilver,encounters_heartgold,a/0/3/7,37,142,196,196,196,1,high
soulsilver,encounters_soulsilver,a/1/3/6,136,142,196,196,196,1,high
soulsilver,evolution,a/0/3/4,34,508,44,44,44,1,high
soulsilver,field_scripts,a/0/1/2,12,965,,4,8728,253,high
soulsilver,growth,a/0/0/3,3,8,404,404,404,1,high
soulsilver,headbutt,a/2/5/2,254,540,,4,1420,28,high
soulsilver,item_data,a/0/1/7,17,514,34,34,34,1,high
soulsilver,land_data,a/0/6/5,65,676,,2658,72696,642,high
soulsilver,levelup_moves,a/0/3/3,33,508,,4,44,11,high
soulsilver,map_matrix,a/0/4/1,41,288,,13,4003,14,high
soulsilver,messages,a/0/2/7,27,822,,20,100706,640,high
soulsilver,move_scripts,a/0/0/0,0,501,,4,24,3,high-inference
soulsilver,move_table,a/0/1/1,11,471,16,16,16,1,high
soulsilver,personal,a/0/0/2,2,508,44,44,44,1,high
soulsilver,pokedex_encounter,a/1/3/3,133,3962,,4,2520,27,high
soulsilver,pokedex_hw,a/0/7/5,75,2,,494,612,2,high
soulsilver,trainer_data,a/0/5/5,55,738,20,20,20,1,high
soulsilver,trainer_parties,a/0/5/6,56,738,,8,108,16,high
soulsilver,zone_events,a/0/3/2,32,491,,16,1660,153,high
