a,b,size_a,size_b,shared_bytes,diff_bytes_shared,diff_pct_shared,first_diff,last_diff,common_prefix_bytes,common_suffix_bytes,shared_bank_count,identical_aligned_banks,identical_aligned_bank_count,most_similar_bank,min_bank_diff_bytes,max_bank_diff_bytes
Pocket Monsters Gin (Japan) (Rev A).gbc,"Pokemon - Silver Version (USA, Europe).gbc",1048576,2097152,1048576,738001,70.38126,0x000009,0x0FE047,9,0,64,"0C,2A,2B,30,37,3B,3C,3D",8,12,0,16127
Pocket Monsters Gin (Japan) (Rev A).gbc,Pokemon - Version Argent (France).gbc,1048576,2097152,1048576,739656,70.539093,0x000009,0x0FE047,9,0,64,"0C,2A,2B,30,37,3B,3C,3D",8,12,0,16127
Pocket Monsters Gin (Japan) (Rev A).gbc,Pokemon - Versione Argento (Italy).gbc,1048576,2097152,1048576,747095,71.248531,0x000009,0x0FE047,9,0,64,"0C,2A,2B,30,37,3B,3C,3D",8,12,0,16127
Pocket Monsters Gin (Japan).gbc,Pokemon - Edicion Plata (Spain).gbc,1048576,2097152,1048576,754887,71.991634,0x000009,0x0FFFE3,9,0,64,"0C,2A,2B,30,37,3B,3C,3D",8,12,0,16127
Pocket Monsters Gin (Japan).gbc,Pokemon - Silberne Edition (Germany).gbc,1048576,2097152,1048576,754730,71.976662,0x000009,0x0FFFE3,9,0,64,"0C,2A,2B,30,37,3B,3C,3D",8,12,0,16127
Pocket Monsters Gin (Japan).gbc,"Pokemon - Silver Version (USA, Europe).gbc",1048576,2097152,1048576,746193,71.16251,0x000009,0x0FFFE3,9,0,64,"0C,2A,2B,30,37,3B,3C,3D",8,12,0,16127
Pocket Monsters Gin (Japan).gbc,Pokemon - Version Argent (France).gbc,1048576,2097152,1048576,747884,71.323776,0x000009,0x0FFFE3,9,0,64,"0C,2A,2B,30,37,3B,3C,3D",8,12,0,16127
Pocket Monsters Gin (Japan).gbc,Pokemon - Versione Argento (Italy).gbc,1048576,2097152,1048576,755228,72.024155,0x000009,0x0FFFE3,9,0,64,"0C,2A,2B,30,37,3B,3C,3D",8,12,0,16127
Pokemon - Edicion Plata (Spain).gbc,Pokemon - Silberne Edition (Germany).gbc,2097152,2097152,2097152,609441,29.060411,0x000009,0x1FFFFF,9,0,128,"0C,12,13,15,16,17,18,19,1A,1B,1C,1D,1E,1F,20,22,28,29,2A,2B,2C,2D,2F,30,34,35,37,3B,3C,3D,63,67,6F,71,72,73,74,75,76,77,78,79,7A,7B,7C,7D,7E",47,12,0,14738
Pokemon - Edicion Plata (Spain).gbc,"Pokemon - Silver Version (USA, Europe).gbc",2097152,2097152,2097152,606013,28.896952,0x000009,0x1FFFFF,9,0,128,"0C,12,13,15,16,17,18,19,1A,1B,1C,1D,1E,1F,20,22,28,29,2A,2B,2C,2D,2F,30,34,35,37,3B,3C,3D,63,67,6F,71,72,73,74,75,76,77,78,79,7A,7B,7C,7D,7E",47,12,0,16028
Pokemon - Edicion Plata (Spain).gbc,Pokemon - Version Argent (France).gbc,2097152,2097152,2097152,567265,27.049303,0x000009,0x1FFFFF,9,0,128,"0C,12,13,15,16,17,18,19,1A,1B,1C,1D,1E,1F,20,22,28,29,2A,2B,2C,2D,2F,30,34,35,37,3B,3C,3D,63,67,6F,71,72,73,74,75,76,77,78,79,7A,7B,7C,7D,7E",47,12,0,15255
Pokemon - Edicion Plata (Spain).gbc,Pokemon - Versione Argento (Italy).gbc,2097152,2097152,2097152,528534,25.202465,0x000009,0x1FFFFF,9,0,128,"0C,12,13,15,16,17,18,19,1A,1B,1C,1D,1E,1F,20,22,28,29,2A,2B,2C,2D,2F,30,34,35,36,37,3B,3C,3D,63,67,6F,71,72,73,74,75,76,77,78,79,7A,7B,7C,7D,7E",48,12,0,14970
Pokemon - Silberne Edition (Germany).gbc,"Pokemon - Silver Version (USA, Europe).gbc",2097152,2097152,2097152,641285,30.578852,0x000009,0x1FFFFF,9,0,128,"0C,12,13,15,16,17,18,19,1A,1B,1C,1D,1E,1F,20,22,28,29,2A,2B,2C,2D,2F,30,34,35,37,3B,3C,3D,63,67,6F,71,72,73,74,75,76,77,78,79,7A,7B,7C,7D,7E",47,12,0,16035
Pokemon - Silberne Edition (Germany).gbc,Pokemon - Version Argent (France).gbc,2097152,2097152,2097152,587226,28.001118,0x000009,0x1FFFFF,9,0,128,"0C,12,13,15,16,17,18,19,1A,1B,1C,1D,1E,1F,20,22,28,29,2A,2B,2C,2D,2F,30,34,35,36,37,3B,3C,3D,63,67,6F,71,72,73,74,75,76,77,78,79,7A,7B,7C,7D,7E",48,12,0,14967
Pokemon - Silberne Edition (Germany).gbc,Pokemon - Versione Argento (Italy).gbc,2097152,2097152,2097152,603513,28.777742,0x000009,0x1FFFFF,9,0,128,"0C,12,13,15,16,17,18,19,1A,1B,1C,1D,1E,1F,20,22,28,29,2A,2B,2C,2D,2F,30,34,35,37,3B,3C,3D,63,67,6F,71,72,73,74,75,76,77,78,79,7A,7B,7C,7D,7E",47,12,0,15243
"Pokemon - Silver Version (USA, Europe).gbc",Pokemon - Version Argent (France).gbc,2097152,2097152,2097152,607499,28.96781,0x000009,0x1FFFFF,9,0,128,"0C,12,13,15,16,17,18,19,1A,1B,1C,1D,1E,1F,20,22,28,29,2A,2B,2C,2D,2F,30,34,35,37,3B,3C,3D,63,67,6F,71,72,73,74,75,76,77,78,79,7A,7B,7C,7D,7E",47,12,0,16028
"Pokemon - Silver Version (USA, Europe).gbc",Pokemon - Versione Argento (Italy).gbc,2097152,2097152,2097152,609441,29.060411,0x000009,0x1FFFFF,9,0,128,"0C,12,13,15,16,17,18,19,1A,1B,1C,1D,1E,1F,20,22,28,29,2A,2B,2C,2D,2F,30,34,35,37,3B,3C,3D,63,67,6F,71,72,73,74,75,76,77,78,79,7A,7B,7C,7D,7E",47,12,0,16031
Pokemon - Version Argent (France).gbc,Pokemon - Versione Argento (Italy).gbc,2097152,2097152,2097152,568327,27.099943,0x000009,0x1FFFFF,9,0,128,"0C,12,13,15,16,17,18,19,1A,1B,1C,1D,1E,1F,20,22,28,29,2A,2B,2C,2D,2F,30,34,35,37,3B,3C,3D,63,67,6F,71,72,73,74,75,76,77,78,79,7A,7B,7C,7D,7E",47,12,0,13951
