file,game_code,byte,start,length,end,pointer_like_targets_inside
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,0x00,0x020BB24,14889,0x020F54C,5
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,0x00,0x021BE3C,14889,0x021F864,5
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,0x00,0x022C154,14889,0x022FB7C,6
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,0x00,0x01F7744,11818,0x01FA56D,1
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,0x00,0x0203944,11818,0x020676D,5
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,0x00,0x0213C5C,11818,0x0216A85,1
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,0x00,0x0223F74,11818,0x0226D9D,2
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,0x00,0x01FD4E4,7848,0x01FF38B,3
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,0x00,0x01F14B2,5806,0x01F2B5F,4
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,0x00,0x027DF04,4512,0x027F0A3,1
Pokemon - Leaf Green Version (USA).gba,BPGE,0xFF,0x0719B18,6186216,0x0CFFFFF,914
Pokemon - Leaf Green Version (USA).gba,BPGE,0xFF,0x0EB0E14,1372652,0x0FFFFFF,543
Pokemon - Leaf Green Version (USA).gba,BPGE,0x00,0x0355868,15616,0x0359567,5
Pokemon - Leaf Green Version (USA).gba,BPGE,0x00,0x020BAB4,14889,0x020F4DC,5
Pokemon - Leaf Green Version (USA).gba,BPGE,0x00,0x021BDCC,14889,0x021F7F4,5
Pokemon - Leaf Green Version (USA).gba,BPGE,0x00,0x022C0E4,14889,0x022FB0C,6
Pokemon - Leaf Green Version (USA).gba,BPGE,0x00,0x01F76D4,11818,0x01FA4FD,1
Pokemon - Leaf Green Version (USA).gba,BPGE,0x00,0x02038D4,11818,0x02066FD,5
Pokemon - Leaf Green Version (USA).gba,BPGE,0x00,0x0213BEC,11818,0x0216A15,2
Pokemon - Leaf Green Version (USA).gba,BPGE,0x00,0x0223F04,11818,0x0226D2D,2
Pokemon - Leaf Green Version (USA).gba,BPGE,0x00,0x01FD474,7848,0x01FF31B,3
Pokemon - Leaf Green Version (USA).gba,BPGE,0x00,0x01F1442,5806,0x01F2AEF,4
Pokemon - Leaf Green Version (USA).gba,BPGE,0x00,0x027DE94,4512,0x027F033,1
Pokemon - Version Vert Feuille (France).gba,BPGF,0xFF,0x070F2E0,6229280,0x0CFFFFF,916
Pokemon - Version Vert Feuille (France).gba,BPGF,0xFF,0x0EB2318,1367272,0x0FFFFFF,535
Pokemon - Version Vert Feuille (France).gba,BPGF,0x00,0x034FC58,15616,0x0353957,7
Pokemon - Version Vert Feuille (France).gba,BPGF,0x00,0x0205EC0,14889,0x02098E8,9
Pokemon - Version Vert Feuille (France).gba,BPGF,0x00,0x02161D8,14889,0x0219C00,8
Pokemon - Version Vert Feuille (France).gba,BPGF,0x00,0x02264F0,14889,0x0229F18,5
Pokemon - Version Vert Feuille (France).gba,BPGF,0x00,0x01F1AE0,11818,0x01F4909,6
Pokemon - Version Vert Feuille (France).gba,BPGF,0x00,0x01FDCE0,11818,0x0200B09,20
Pokemon - Version Vert Feuille (France).gba,BPGF,0x00,0x020DFF8,11818,0x0210E21,18
Pokemon - Version Vert Feuille (France).gba,BPGF,0x00,0x021E310,11818,0x0221139,12
Pokemon - Version Vert Feuille (France).gba,BPGF,0x00,0x01F7880,7848,0x01F9727,2
Pokemon - Version Vert Feuille (France).gba,BPGF,0x00,0x01EB84E,5806,0x01ECEFB,0
Pokemon - Version Vert Feuille (France).gba,BPGF,0x00,0x02782E4,4512,0x0279483,0
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0xFF,0x070D600,6236672,0x0CFFFFF,924
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0xFF,0x0EB244C,1366964,0x0FFFFFF,508
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0x00,0x034E8E8,15616,0x03525E7,3
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0x00,0x0204B58,14889,0x0208580,8
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0x00,0x0214E70,14889,0x0218898,9
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0x00,0x0225188,14889,0x0228BB0,4
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0x00,0x01F0778,11818,0x01F35A1,12
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0x00,0x01FC978,11818,0x01FF7A1,4
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0x00,0x020CC90,11818,0x020FAB9,2
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0x00,0x021CFA8,11818,0x021FDD1,4
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0x00,0x01F6518,7848,0x01F83BF,4
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0x00,0x01EA4E6,5806,0x01EBB93,2
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0x00,0x0276F74,4512,0x0278113,4
