file,game_code,region_index,start,end,ff_bytes,ff_percent,zero_bytes,zero_percent,pointer_like_sources,pointer_like_targets,sha256
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,14,0x0E00000,0x0EFFFFF,332846,31.7427,205706,19.6177,748,2278,468eb84edc6a2e2fbb51c5758402edec32e355146f128834c170a17d5a91b3ff
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,15,0x0F00000,0x0FFFFFF,1048576,100.0,0,0.0,0,437,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,0,0x0000000,0x00FFFFF,10509,1.0022,106843,10.1893,11861,15047,049ac4db7913953804d5f99711775b814ed0871f609d58cafe36e9b107f9fc11
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,1,0x0100000,0x01FFFFF,17754,1.6932,186078,17.7458,11232,12290,6f7d323b88db0d973731dd3cbf3171b748b37294027579c6706b1b6f273678fd
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,2,0x0200000,0x02FFFFF,16952,1.6167,377981,36.0471,5881,5845,803498410315256f18a65ee5114c92fffc96b35ed1b18d8305057753c5b42d3e
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,3,0x0300000,0x03FFFFF,15203,1.4499,307474,29.323,19964,12469,61151e90e16345f018dd034e64d7a335d67801ba5649894ce0d8323788cc3271
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,4,0x0400000,0x04FFFFF,29942,2.8555,174345,16.6268,9125,8004,bc65679ef9d014b9312ca6cc783c840877250216ee16a170bba7db031691414e
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,5,0x0500000,0x05FFFFF,23741,2.2641,34504,3.2906,680,712,d780c26206096cbeb39d78d05e1199d8e04e45aac4af736d72b4f60147b47bd6
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,6,0x0600000,0x06FFFFF,11782,1.1236,25191,2.4024,2867,2878,d342d1c3ddbdbe93f2bd78b39cfd0c10e11419cd16ea405273c63f0bad6541c2
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,7,0x0700000,0x07FFFFF,944538,90.0782,11129,1.0613,329,164,acf5577f1f72774b9195b4945f2143d6c7017ba9b47e7435aa191e3e0201a9b9
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,8,0x0800000,0x08FFFFF,1048576,100.0,0,0.0,0,187,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,9,0x0900000,0x09FFFFF,1048576,100.0,0,0.0,0,94,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,10,0x0A00000,0x0AFFFFF,1048576,100.0,0,0.0,0,90,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,11,0x0B00000,0x0BFFFFF,1048576,100.0,0,0.0,0,119,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,12,0x0C00000,0x0CFFFFF,1048576,100.0,0,0.0,0,280,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,13,0x0D00000,0x0DFFFFF,21210,2.0227,323681,30.8686,1058,2848,030dff7f9bb59bb397ac46695b95b563735a708f6872d27a364bf05c4f4f78a0
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,14,0x0E00000,0x0EFFFFF,337998,32.234,205200,19.5694,735,2240,fd52cf37c7f828e54160b9b0b21e990695f48e280e622f9c88289e97b845cf7c
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,15,0x0F00000,0x0FFFFFF,1048576,100.0,0,0.0,0,465,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Leaf Green Version (USA).gba,BPGE,0,0x0000000,0x00FFFFF,10578,1.0088,106859,10.1909,11867,15051,9e93c1e8a4dd8ab39df67f72541e86e47ccb52ef413cbf344b13d61a8a145831
Pokemon - Leaf Green Version (USA).gba,BPGE,1,0x0100000,0x01FFFFF,17763,1.694,186081,17.7461,11218,12282,c74297c8a5cebd61c222f2f045a8b53064604f9c37d765a99e3a9704b3242fd7
Pokemon - Leaf Green Version (USA).gba,BPGE,2,0x0200000,0x02FFFFF,16942,1.6157,377915,36.0408,5885,5846,15058096c6bf1d153cbf9557ee76ac924d07488c9256217423b815846f202d1a
Pokemon - Leaf Green Version (USA).gba,BPGE,3,0x0300000,0x03FFFFF,15197,1.4493,307518,29.3272,19960,12464,80b9c393833b33391d7918b614b476ff072cc7e178fd81b8cc3cc4e7b3ac370c
Pokemon - Leaf Green Version (USA).gba,BPGE,4,0x0400000,0x04FFFFF,29941,2.8554,174297,16.6223,9125,8007,1e7f358bff042214fb450662f13393799740ad9ff1c0e6b55fa26fef827bf302
Pokemon - Leaf Green Version (USA).gba,BPGE,5,0x0500000,0x05FFFFF,23754,2.2654,34505,3.2907,680,715,587367d08e7f4f2ce246b8eb5c8cb4e206f03e566ae2107208cc1d5c14d526cc
Pokemon - Leaf Green Version (USA).gba,BPGE,6,0x0600000,0x06FFFFF,11779,1.1233,25201,2.4034,2867,2878,4d2113e7c2d09ff6e3f96baa6215599ab32dbdcbbc66cb6120c422f61387df05
Pokemon - Leaf Green Version (USA).gba,BPGE,7,0x0700000,0x07FFFFF,944650,90.0888,11119,1.0604,329,164,d6a6c99b2ef5a2719cd95177495099f6b46f44f330c03460edd00e219c9c3045
Pokemon - Leaf Green Version (USA).gba,BPGE,8,0x0800000,0x08FFFFF,1048576,100.0,0,0.0,0,186,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Leaf Green Version (USA).gba,BPGE,9,0x0900000,0x09FFFFF,1048576,100.0,0,0.0,0,94,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Leaf Green Version (USA).gba,BPGE,10,0x0A00000,0x0AFFFFF,1048576,100.0,0,0.0,0,89,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Leaf Green Version (USA).gba,BPGE,11,0x0B00000,0x0BFFFFF,1048576,100.0,0,0.0,0,115,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Leaf Green Version (USA).gba,BPGE,12,0x0C00000,0x0CFFFFF,1048576,100.0,0,0.0,0,280,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Leaf Green Version (USA).gba,BPGE,13,0x0D00000,0x0DFFFFF,21210,2.0227,323681,30.8686,1058,2849,030dff7f9bb59bb397ac46695b95b563735a708f6872d27a364bf05c4f4f78a0
Pokemon - Leaf Green Version (USA).gba,BPGE,14,0x0E00000,0x0EFFFFF,337998,32.234,205200,19.5694,735,2239,fd52cf37c7f828e54160b9b0b21e990695f48e280e622f9c88289e97b845cf7c
Pokemon - Leaf Green Version (USA).gba,BPGE,15,0x0F00000,0x0FFFFFF,1048576,100.0,0,0.0,0,465,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Version Vert Feuille (France).gba,BPGF,0,0x0000000,0x00FFFFF,10418,0.9935,106724,10.178,11832,15058,24e2a3cab1a48f22750b4003deaf2d449ce9f2674be91348eb3c99f06c133eef
Pokemon - Version Vert Feuille (France).gba,BPGF,1,0x0100000,0x01FFFFF,18507,1.765,199920,19.0659,11045,12196,8b0ccc9553c939c73abc30081fcd3ce81892bd16a447871eff97b3996e8079a1
Pokemon - Version Vert Feuille (France).gba,BPGF,2,0x0200000,0x02FFFFF,15951,1.5212,357907,34.1327,5913,5883,f9de9903ee3cc25cdf2940d3975aa0aefabcace8b4124831c659d2bba2bf6f51
Pokemon - Version Vert Feuille (France).gba,BPGF,3,0x0300000,0x03FFFFF,15706,1.4978,310443,29.6062,20053,12471,28bfc8712458f181b5f62228b473c45f5300ad3e492fdadb5e0183c09c89a665
Pokemon - Version Vert Feuille (France).gba,BPGF,4,0x0400000,0x04FFFFF,30175,2.8777,166939,15.9205,9123,7949,0c0cb258635f48913ed7c478d5afeb4b65b425008d83ecc1e1cf8ba0c48f3f91
Pokemon - Version Vert Feuille (France).gba,BPGF,5,0x0500000,0x05FFFFF,25149,2.3984,35478,3.3834,603,680,3d24b083636656deba20b2c1623b0b0aae9977afdd2f2e5ba77514d923028210
Pokemon - Version Vert Feuille (France).gba,BPGF,6,0x0600000,0x06FFFFF,10661,1.0167,28565,2.7242,2991,2809,d776eb62fe954d688636f6b6615091cfcd7f5f8704bf78e3b65ae7e1a0bff573
Pokemon - Version Vert Feuille (France).gba,BPGF,7,0x0700000,0x07FFFFF,987215,94.1482,6715,0.6404,181,165,823da8d8851d11caf2c7ca2c0617fd342deb8084d03725d4122153362d0d6894
Pokemon - Version Vert Feuille (France).gba,BPGF,8,0x0800000,0x08FFFFF,1048576,100.0,0,0.0,0,185,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Version Vert Feuille (France).gba,BPGF,9,0x0900000,0x09FFFFF,1048576,100.0,0,0.0,0,90,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Version Vert Feuille (France).gba,BPGF,10,0x0A00000,0x0AFFFFF,1048576,100.0,0,0.0,0,90,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Version Vert Feuille (France).gba,BPGF,11,0x0B00000,0x0BFFFFF,1048576,100.0,0,0.0,0,118,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Version Vert Feuille (France).gba,BPGF,12,0x0C00000,0x0CFFFFF,1048576,100.0,0,0.0,0,277,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Version Vert Feuille (France).gba,BPGF,13,0x0D00000,0x0DFFFFF,21212,2.0229,323681,30.8686,1058,2844,581a51ed40fd01e3c1fb454f68568d73beeb37656d7756698597e1a8fa938520
Pokemon - Version Vert Feuille (France).gba,BPGF,14,0x0E00000,0x0EFFFFF,332994,31.7568,205588,19.6064,749,2277,17cd4285738c929a4c9e6194dfbe009458c1468588597774d65c75a6a5fcc945
Pokemon - Version Vert Feuille (France).gba,BPGF,15,0x0F00000,0x0FFFFFF,1048576,100.0,0,0.0,0,456,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0,0x0000000,0x00FFFFF,10473,0.9988,106896,10.1944,11836,15048,af0a8f105e0ad8fb3581a4f2f1168a62eea0f056e3d947cf6f7bc4bcf7809b9d
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,1,0x0100000,0x01FFFFF,18596,1.7735,201916,19.2562,11051,12188,2cbe338ef027a1607128a0e2e3f5b4f0beae93be417d1315180cda9506015584
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,2,0x0200000,0x02FFFFF,16054,1.531,352958,33.6607,5929,5901,70c2e0f751d2a6c52388f878f679542f52bbb6da2edc80fab9bbbcd9a297911b
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,3,0x0300000,0x03FFFFF,15690,1.4963,310492,29.6108,20039,12462,69269ebb114cd3a268f152c2b557b24aa8273dc5f94783e1021f5bb039c19aad
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,4,0x0400000,0x04FFFFF,30426,2.9016,166063,15.837,9098,7948,7b7210804fb07554e575e4102630ec4b5ee42f18c38d60db9247e926084e3288
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,5,0x0500000,0x05FFFFF,25362,2.4187,35489,3.3845,586,680,9a2bdc9a28f258b0dbdd8da491b1ac5fcd1f6e0163353948f94cdae3ee39c4ee
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,6,0x0600000,0x06FFFFF,10457,0.9973,29404,2.8042,3014,2799,d61dfe862e6d9787dc7428ac75abd6246534aa806da45eff5861f973edf5182d
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,7,0x0700000,0x07FFFFF,994550,94.8477,5931,0.5656,153,167,1ea8ef26fc3819d447b8392f884c7a1a542d91952324864f570b3cdbb5170bb3
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,8,0x0800000,0x08FFFFF,1048576,100.0,0,0.0,0,190,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,9,0x0900000,0x09FFFFF,1048576,100.0,0,0.0,0,89,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,10,0x0A00000,0x0AFFFFF,1048576,100.0,0,0.0,0,88,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,11,0x0B00000,0x0BFFFFF,1048576,100.0,0,0.0,0,118,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,12,0x0C00000,0x0CFFFFF,1048576,100.0,0,0.0,0,281,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,13,0x0D00000,0x0DFFFFF,21212,2.0229,323693,30.8698,1058,2849,3cd09f5ebc095249a102b4f0d9062cef6ff9affbf1dd10ae66707ed08b6405d2
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,14,0x0E00000,0x0EFFFFF,332631,31.7222,205646,19.6119,750,2277,bc0dfe65f2b596ebaef4c3d3f8494cbbe75f988c7e759a193a46c45e8820d930
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,15,0x0F00000,0x0FFFFFF,1048576,100.0,0,0.0,0,429,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec
