target_id,function,file_offset,size,sha256
FRA-AXPF-v1,ResetAllSprites,0x000014A8,64,e9d60aca89ab0c033e648059c9a8ef42ac645875c7be31bf759329414e0fc574
FRA-AXPF-v1,FreeSpriteTiles,0x000014E8,28,e5f37309ad2cd9bf13d4cb50f6c15608e58ae5e5df609667f0716b06561c827c
FRA-AXPF-v1,FreeSpritePalette,0x00001504,16,ba3d15726dc9be811a2528138b9e7301f7a148a9fbed6cd82a342d9cf164c006
FRA-AXPF-v1,FreeSpriteOamMatrix,0x00001514,44,7c604f27bc91ea4a39be0587597323a66fc70dcfdb347d49a9bd4ddea50d8669
FRA-AXPF-v1,DestroySpriteAndFreeResources,0x00001540,32,85c8b9d314bd5c6fa69cec4ff69cbd66200397a66a5cc43b3a6f9dffebe0223c
FRA-AXPF-v0,AllocSpriteTiles,0x000011B8,284,61804c9455a58c22c639fe6c13f1d95f7f2fad85635edee3359bde5358646d0f
FRA-AXPF-v0,SpriteTileAllocBitmapOp,0x000012D4,112,052ad0b238f8d24426769b357e9b943d27f094c195400071c2967e4909527b43
FRA-AXPF-v0,SpriteCallbackDummy,0x00001344,4,6c1871acd4bd9950e81b2850fac7ddd44f28500d6bba63991c2599234ddbe61c
FRA-AXPF-v0,ProcessSpriteCopyRequests,0x00001348,92,b569bd926ec26272e0998a38968cb7beb2172147562e56936ccbf276d9d3dfb2
FRA-AXPF-v0,RequestSpriteFrameImageCopy,0x000013A4,100,c0a7b661f5852d9062a42db42e7d1b1f410d58d5a86aceea2f0717757d6f85da
FRA-AXPF-v0,RequestSpriteCopy,0x00001408,80,1ad6f155c04e4fb71e3288c0f9d60c3ad071e5f0d67b5174e99a8485e9956dc5
FRA-AXPF-v0,CopyFromSprites,0x00001458,40,ccc5f95aa65979c071d28b4a72d2a0fa498a843d37e99730ebdf313692910db0
FRA-AXPF-v0,CopyToSprites,0x00001480,40,2ec3b0a823abf0eab5f717d50c22382d034ee15a177cf70da18ba32c577898b7
FRA-AXPF-v0,ResetAllSprites,0x000014A8,64,e9d60aca89ab0c033e648059c9a8ef42ac645875c7be31bf759329414e0fc574
FRA-AXPF-v0,FreeSpriteTiles,0x000014E8,28,e5f37309ad2cd9bf13d4cb50f6c15608e58ae5e5df609667f0716b06561c827c
FRA-AXPF-v0,FreeSpritePalette,0x00001504,16,ba3d15726dc9be811a2528138b9e7301f7a148a9fbed6cd82a342d9cf164c006
FRA-AXPF-v0,FreeSpriteOamMatrix,0x00001514,44,7c604f27bc91ea4a39be0587597323a66fc70dcfdb347d49a9bd4ddea50d8669
FRA-AXPF-v0,DestroySpriteAndFreeResources,0x00001540,32,85c8b9d314bd5c6fa69cec4ff69cbd66200397a66a5cc43b3a6f9dffebe0223c
ITA-AXPI-v1,AllocSpriteTiles,0x000011B8,284,61804c9455a58c22c639fe6c13f1d95f7f2fad85635edee3359bde5358646d0f
ITA-AXPI-v1,SpriteTileAllocBitmapOp,0x000012D4,112,052ad0b238f8d24426769b357e9b943d27f094c195400071c2967e4909527b43
ITA-AXPI-v1,SpriteCallbackDummy,0x00001344,4,6c1871acd4bd9950e81b2850fac7ddd44f28500d6bba63991c2599234ddbe61c
ITA-AXPI-v1,ProcessSpriteCopyRequests,0x00001348,92,dcd9cd130bce81802cf3f693b21e36737904c79b014e4e4b94f3e4a3efbb1428
ITA-AXPI-v1,RequestSpriteFrameImageCopy,0x000013A4,100,c0a7b661f5852d9062a42db42e7d1b1f410d58d5a86aceea2f0717757d6f85da
ITA-AXPI-v1,RequestSpriteCopy,0x00001408,80,1ad6f155c04e4fb71e3288c0f9d60c3ad071e5f0d67b5174e99a8485e9956dc5
ITA-AXPI-v1,CopyFromSprites,0x00001458,40,ccc5f95aa65979c071d28b4a72d2a0fa498a843d37e99730ebdf313692910db0
ITA-AXPI-v1,CopyToSprites,0x00001480,40,2ec3b0a823abf0eab5f717d50c22382d034ee15a177cf70da18ba32c577898b7
ITA-AXPI-v1,ResetAllSprites,0x000014A8,64,2eb6b877256ae50613793f76bfd62708a71f46e25ecc6945a144e929c17a6757
ITA-AXPI-v1,FreeSpriteTiles,0x000014E8,28,e5f37309ad2cd9bf13d4cb50f6c15608e58ae5e5df609667f0716b06561c827c
ITA-AXPI-v1,FreeSpritePalette,0x00001504,16,ba3d15726dc9be811a2528138b9e7301f7a148a9fbed6cd82a342d9cf164c006
ITA-AXPI-v1,FreeSpriteOamMatrix,0x00001514,44,7c604f27bc91ea4a39be0587597323a66fc70dcfdb347d49a9bd4ddea50d8669
ITA-AXPI-v1,DestroySpriteAndFreeResources,0x00001540,32,85c8b9d314bd5c6fa69cec4ff69cbd66200397a66a5cc43b3a6f9dffebe0223c
ITA-AXPI-v0,AllocSpriteTiles,0x000011B8,284,61804c9455a58c22c639fe6c13f1d95f7f2fad85635edee3359bde5358646d0f
ITA-AXPI-v0,SpriteTileAllocBitmapOp,0x000012D4,112,052ad0b238f8d24426769b357e9b943d27f094c195400071c2967e4909527b43
ITA-AXPI-v0,SpriteCallbackDummy,0x00001344,4,6c1871acd4bd9950e81b2850fac7ddd44f28500d6bba63991c2599234ddbe61c
ITA-AXPI-v0,ProcessSpriteCopyRequests,0x00001348,92,dcd9cd130bce81802cf3f693b21e36737904c79b014e4e4b94f3e4a3efbb1428
ITA-AXPI-v0,RequestSpriteFrameImageCopy,0x000013A4,100,c0a7b661f5852d9062a42db42e7d1b1f410d58d5a86aceea2f0717757d6f85da
ITA-AXPI-v0,RequestSpriteCopy,0x00001408,80,1ad6f155c04e4fb71e3288c0f9d60c3ad071e5f0d67b5174e99a8485e9956dc5
ITA-AXPI-v0,CopyFromSprites,0x00001458,40,ccc5f95aa65979c071d28b4a72d2a0fa498a843d37e99730ebdf313692910db0
ITA-AXPI-v0,CopyToSprites,0x00001480,40,2ec3b0a823abf0eab5f717d50c22382d034ee15a177cf70da18ba32c577898b7
ITA-AXPI-v0,ResetAllSprites,0x000014A8,64,2eb6b877256ae50613793f76bfd62708a71f46e25ecc6945a144e929c17a6757
ITA-AXPI-v0,FreeSpriteTiles,0x000014E8,28,e5f37309ad2cd9bf13d4cb50f6c15608e58ae5e5df609667f0716b06561c827c
ITA-AXPI-v0,FreeSpritePalette,0x00001504,16,ba3d15726dc9be811a2528138b9e7301f7a148a9fbed6cd82a342d9cf164c006
ITA-AXPI-v0,FreeSpriteOamMatrix,0x00001514,44,7c604f27bc91ea4a39be0587597323a66fc70dcfdb347d49a9bd4ddea50d8669
ITA-AXPI-v0,DestroySpriteAndFreeResources,0x00001540,32,85c8b9d314bd5c6fa69cec4ff69cbd66200397a66a5cc43b3a6f9dffebe0223c
