bank_hex,offset_hex,equal,differing_bytes,gold_sha1,silver_sha1
2B,0AC000,True,0,d97affd16f8ca09b887a4d4824870aaddf6c5691,d97affd16f8ca09b887a4d4824870aaddf6c5691
2C,0B0000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
2D,0B4000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
2E,0B8000,False,6803,9fa61b870c32c2faac4952dd270a2dd160af4ce8,340250774ba76d06318b0c90a9a7486ef23b809b
2F,0BC000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
30,0C0000,True,0,8655cd6b958c5d53da5dc7aed0aae9e6eb09b731,8655cd6b958c5d53da5dc7aed0aae9e6eb09b731
31,0C4000,True,0,7151e79186cc7337d12a438602c41b78f8f5ccd5,7151e79186cc7337d12a438602c41b78f8f5ccd5
32,0C8000,True,0,b38ba40873208d591d3dab8fbbb0d0d0501adc51,b38ba40873208d591d3dab8fbbb0d0d0501adc51
33,0CC000,True,0,b174ccc365788fd917fe12db3708d80a6ee99288,b174ccc365788fd917fe12db3708d80a6ee99288
34,0D0000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
35,0D4000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
36,0D8000,True,0,1f67d0e87e47858411a322f2feabd08248101de6,1f67d0e87e47858411a322f2feabd08248101de6
37,0DC000,True,0,fd4efbe19c7c2b8f26537b555877b535c64b3dda,fd4efbe19c7c2b8f26537b555877b535c64b3dda
38,0E0000,True,0,6fbaa7f4fa503ff5d10c278f0d5bb1d213f0d91b,6fbaa7f4fa503ff5d10c278f0d5bb1d213f0d91b
39,0E4000,False,13304,ceb7769992e250b4e04a79141da3dd564f55e841,5700807f26304b78a9da98acb55cf772e8f1fa62
3A,0E8000,True,0,039dabb7386d311a2d306d14793cef67fb2d45bf,039dabb7386d311a2d306d14793cef67fb2d45bf
3B,0EC000,True,0,0817a94053fbd6b83cd3640b2286817814f3346c,0817a94053fbd6b83cd3640b2286817814f3346c
3C,0F0000,True,0,5d36c19cdbe4ed8014d67d2a43e981ac5f7ab136,5d36c19cdbe4ed8014d67d2a43e981ac5f7ab136
3D,0F4000,True,0,bd5b998ef17a222cf209971ec62df27223e0607f,bd5b998ef17a222cf209971ec62df27223e0607f
3E,0F8000,True,0,b2bea93fad49c3a4e21f0179d5c02cbf81c7cdb2,b2bea93fad49c3a4e21f0179d5c02cbf81c7cdb2
3F,0FC000,True,0,2b7986256460ce692a9e8d1f80fe65494219ca89,2b7986256460ce692a9e8d1f80fe65494219ca89
40,100000,True,0,f7f0c2ebb6a976c66cbe8cbb909e08e9c408767d,f7f0c2ebb6a976c66cbe8cbb909e08e9c408767d
41,104000,True,0,04905f3aead7b2bb017e5e0ed4e9e495e02b0e96,04905f3aead7b2bb017e5e0ed4e9e495e02b0e96
42,108000,True,0,34f46d4ce03030761a5a224fab55fee07a33e832,34f46d4ce03030761a5a224fab55fee07a33e832
43,10C000,True,0,a6c80d706469e09cb59612ee57cf79aa6b7c57b8,a6c80d706469e09cb59612ee57cf79aa6b7c57b8
44,110000,True,0,c7578694ac428c12bdac42f08acaf2f4094e40db,c7578694ac428c12bdac42f08acaf2f4094e40db
45,114000,True,0,b2caea3c61d2159cb2e0f88b508193af7ceb5ef2,b2caea3c61d2159cb2e0f88b508193af7ceb5ef2
46,118000,True,0,e9efe907645d4aaee010d8dab63db66448fa2473,e9efe907645d4aaee010d8dab63db66448fa2473
47,11C000,True,0,229db02c09419fd74cad947abfe34adcf5e6f037,229db02c09419fd74cad947abfe34adcf5e6f037
48,120000,True,0,41074396a2faa4fbf4e847caa907fc2d0edf6c01,41074396a2faa4fbf4e847caa907fc2d0edf6c01
49,124000,True,0,e7ab0f722e9ccf41e243611534c801840a44e35e,e7ab0f722e9ccf41e243611534c801840a44e35e
4A,128000,True,0,bd37c0d0ed433a09664e11607a1a231af75c9734,bd37c0d0ed433a09664e11607a1a231af75c9734
4B,12C000,True,0,f6f3a7dcbd7d0ba911daf64b5afd5539d5ab851b,f6f3a7dcbd7d0ba911daf64b5afd5539d5ab851b
4C,130000,True,0,9acffe109399f3a54eb50f4507db18ecf99132d6,9acffe109399f3a54eb50f4507db18ecf99132d6
4D,134000,True,0,e44c433a290d4113d2810dc4251fde22db75e801,e44c433a290d4113d2810dc4251fde22db75e801
4E,138000,True,0,7918cb4cd306bcc80d9f1b60f4d0596caf42eed4,7918cb4cd306bcc80d9f1b60f4d0596caf42eed4
4F,13C000,True,0,61bcd19d6cf1c26d1d5ce5a2bd6b6bf6588c8a9b,61bcd19d6cf1c26d1d5ce5a2bd6b6bf6588c8a9b
50,140000,True,0,f6ffaa6583b1f10bf918341d7e3da3747aad071c,f6ffaa6583b1f10bf918341d7e3da3747aad071c
51,144000,True,0,995d62b3513cf3df2745873c80560b9d095c48b2,995d62b3513cf3df2745873c80560b9d095c48b2
52,148000,True,0,abd1a5009f6ff638a1f63ce987c7f7ccf33f9182,abd1a5009f6ff638a1f63ce987c7f7ccf33f9182
53,14C000,True,0,b9713fd640a0ff0317a52ffa812b783c688536bd,b9713fd640a0ff0317a52ffa812b783c688536bd
54,150000,True,0,a01726f964df0c8f5efd092d30287c452288cfa3,a01726f964df0c8f5efd092d30287c452288cfa3
55,154000,True,0,2b19c41cda624371518969edc2a5e6659d8c358e,2b19c41cda624371518969edc2a5e6659d8c358e
56,158000,True,0,3c03414db54684449b13d5cf9471b5f52b236551,3c03414db54684449b13d5cf9471b5f52b236551
57,15C000,True,0,2552b0760d2c990b9f6a459be2787e6ed105bc91,2552b0760d2c990b9f6a459be2787e6ed105bc91
58,160000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
59,164000,True,0,876ac60c2699d69747cacb975a11142f6980f094,876ac60c2699d69747cacb975a11142f6980f094
5A,168000,True,0,8f486c56063fe04f4ed088a9f19d4c2ca662f55f,8f486c56063fe04f4ed088a9f19d4c2ca662f55f
5B,16C000,True,0,e2df52afa112850f4461275a0d94dad787f223de,e2df52afa112850f4461275a0d94dad787f223de
5C,170000,True,0,2e2e36deeafd04729bdedfd2a45a718b971cf0db,2e2e36deeafd04729bdedfd2a45a718b971cf0db
5D,174000,True,0,d843e6c283f7be38e71bb46657f42cb4b6607b11,d843e6c283f7be38e71bb46657f42cb4b6607b11
5E,178000,True,0,bf5b7515152e1896d8dca431eec9b7d6d9183aad,bf5b7515152e1896d8dca431eec9b7d6d9183aad
5F,17C000,True,0,b6fa806583a2dc2ce60c5cb4bf600a4d2f8c34c8,b6fa806583a2dc2ce60c5cb4bf600a4d2f8c34c8
60,180000,True,0,db6784a7b5d7f39cd714f47f71ae7049e742be71,db6784a7b5d7f39cd714f47f71ae7049e742be71
61,184000,True,0,690ee126c4d2ac2c8944524c2e4457b1e0a91a30,690ee126c4d2ac2c8944524c2e4457b1e0a91a30
62,188000,True,0,bb3e3f2537d739ecb22a39de58ebfa211eaab82b,bb3e3f2537d739ecb22a39de58ebfa211eaab82b
63,18C000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
64,190000,True,0,3f50b4ff2b9e9cf3c13f8fe6c677c0709a14ed30,3f50b4ff2b9e9cf3c13f8fe6c677c0709a14ed30
65,194000,True,0,b4d1ccad5dc48e70da5b8bd93d004ded38e9fea2,b4d1ccad5dc48e70da5b8bd93d004ded38e9fea2
66,198000,True,0,987214680ec9c7604767170ef3ef08518aa224ad,987214680ec9c7604767170ef3ef08518aa224ad
67,19C000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
68,1A0000,False,10368,38a392ecbae983832cf69df0831308cd2ab6d096,a99a18c797e5a1a87e8cbc5883dcd63acc2a3407
69,1A4000,False,10073,a7d6f386e703079bfb84b4462753ba9deeea33f5,f8e3a0b7400dfde4bc4d75667bd8a1d709408785
6A,1A8000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
6B,1AC000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
6C,1B0000,True,0,448981a83f0f487c5faaab1dff27584fd305956d,448981a83f0f487c5faaab1dff27584fd305956d
6D,1B4000,True,0,1788efed70262c51bfd6a06fc15917f55259c5f9,1788efed70262c51bfd6a06fc15917f55259c5f9
6E,1B8000,True,0,12f82b49ee14b4799746841688a1e9ed08f590b2,12f82b49ee14b4799746841688a1e9ed08f590b2
6F,1BC000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
70,1C0000,False,418,39ebc907492a93531596fdddbfe1c1603e630033,1d0299a453eaefe4600d23fad8ba0e78345e54d9
71,1C4000,True,0,8a32854ffc687ce140a36e0932a91d59de04dc79,8a32854ffc687ce140a36e0932a91d59de04dc79
72,1C8000,True,0,3f6222a1a1b306bd11bc2ab8d9239a2b61b5d4b1,3f6222a1a1b306bd11bc2ab8d9239a2b61b5d4b1
73,1CC000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
74,1D0000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
75,1D4000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
76,1D8000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
77,1DC000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
78,1E0000,True,0,424d1bb624a72155b4c79779fb176a2c762c0529,424d1bb624a72155b4c79779fb176a2c762c0529
79,1E4000,True,0,e03d79db440d9ec6780b166e6c98d0190aad7465,e03d79db440d9ec6780b166e6c98d0190aad7465
7A,1E8000,True,0,bdac5f855ed51f060886686fb8f570df98c35cee,bdac5f855ed51f060886686fb8f570df98c35cee
7B,1EC000,True,0,8035ac0dc5c0c80455c4c94cd31ca90cd1aedf27,8035ac0dc5c0c80455c4c94cd31ca90cd1aedf27
7C,1F0000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
7D,1F4000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
7E,1F8000,True,0,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
7F,1FC000,True,0,9d7f3e610e04dae34f246751ae1b952cb2d7f389,9d7f3e610e04dae34f246751ae1b952cb2d7f389
