bank_hex,start_offset_hex,end_offset_hex,different_bytes,difference_percent,rev_0_sha256,rev_a_sha256,identical
0D,034000,037FFF,65,0.396729,6d8d3c6832aff619ddd8bc59d9252d4ebd4b85bd48ac25690f40935d522ceee7,1cf6ec7003245e91e6a2f46a24c430df19491020f6bfaee4de64a4fd42426c2f,False
0E,038000,03BFFF,79,0.482178,e123cd79f6387866078e6471c52bd9a088ab3d2be7316214f3d26c520941aba9,522698c4367cdc4d239446e686192d0274cf5c13d5502a9a0718e0e51083da13,False
0F,03C000,03FFFF,15403,94.012451,988c890788bdf774f0baed30276f1970185ea85f98c5857dfb707affe967f7ea,de0efb0a0221227d5527fb56d1753c40a22e08d238ba8e5581c8958bfcb7c8a6,False
10,040000,043FFF,135,0.823975,1c8b1b57ca1c9e1d1932aa8499b6557fb32845d07d8ddc89576903f1704ce8b8,502dbc723396017316a081b172b1fb2b9b5557abb95c2baf2726f44206caca56,False
11,044000,047FFF,307,1.873779,9eed2ef183b200d827c755800be557c8886f0bd5fa438e7b104c83f04d313b4b,0c9ec263f051e4ee94fba3ff0d19e98a17840aea638ad209cecbd372a1a7a934,False
12,048000,04BFFF,406,2.478027,ecabb17585af9324b3c66f92f9f1d9cdd7c735d26c8615e44a6f774a611637aa,1965e392b9ed784402b2304d0570d187a5bc36fbb8390c4a6147f058189fe4e2,False
13,04C000,04FFFF,36,0.219727,1c28fca1605d7362b5ca320489d7b56d0e931f4ec66c4445f6a92be2e89e2ba8,932b8d92b072f450dbb5e8dc4855220f9a05b27332f4d6d1c91e11ca856c6869,False
14,050000,053FFF,379,2.313232,768a410484a8a94059fe693444f8fbff99026b032fbb3e448e50822ab004f033,a251e9451f378dd754f181dcaa3750ef300189dbaf1a7c229ee6f33c85d52b99,False
15,054000,057FFF,313,1.9104,a3e0bc466c6e1b4a4dee1e8794e27270ddf6aa1b1089ae09553bed60816af4da,2062c3c8e34fee51714f5f972d4ecf84b97a23f66a5210ad55bc978c445d068b,False
16,058000,05BFFF,330,2.01416,66884ce4cbf9e30d7d611598b51c89287de9a03701a339d4a489456baf16934c,2b1bcc7bcfd7f56698b9f6503360d056922adb2e0ab2cf66aafc886f4cfffd53,False
17,05C000,05FFFF,397,2.423096,013e19b8fc13aab1f0ea4deb897b3df6e4ab2101fb05e14effcbb3eb6c1d3d7a,68e54137caea1030df088a28d9e4f785e2f14c8a60e09ce0d8790da471c67af9,False
18,060000,063FFF,359,2.191162,11ae2cc508fb6950a9dc72621ad9eb9c06914c909c7d00f5a1aa8d3eda4a3c60,fccda21285bc732fb2a4b0c5b8b3ac77ab4022cd7060edf887e8015343515300,False
19,064000,067FFF,32,0.195312,595f12b1ecf57c7e6ae430b9ee5cf256a939ab192ce2baa3d3b30cdb4e4f7619,d03c7a0645db4318562a3de2448ce3ebcf452609ccb06bace97c9879f64a5856,False
1A,068000,06BFFF,2,0.012207,fb25a0f866b5b96aa53087b75ff96546f82ba36ddaab0fc2f9869468deb916d3,119217cfeb2a38c8660bc7748e7b38cee68a86d34677d0dbc05293b003d981f7,False
1B,06C000,06FFFF,0,0.0,467f81554dc60b70c05127425e915d4f727b303ea88caa4e988b7dbfaeb4dc8e,467f81554dc60b70c05127425e915d4f727b303ea88caa4e988b7dbfaeb4dc8e,True
1C,070000,073FFF,203,1.239014,3a8b03bbb91f27f63768d1a2d466cafba4df59613d4c38852b4c177a435142a8,12d4d346459554b142530490bf033bc963c326a6c74707020b1d1af67df38760,False
1D,074000,077FFF,425,2.593994,1122f5f5833e1473d2cd5c5d2fff68f250b8c069a08e3977ae4c7c7c91a5da63,fd3d05338382f18686eb270f6a6012bb1cb4e9be67f6b0083810d04790e31f0b,False
1E,078000,07BFFF,132,0.805664,7e919b57c4e8fad1fe14dc0315522fd91c6eb8845eedc13c37146a85183217ca,bdbc0d8e76ce30b2ac82cb4f989379b98a24bc95c6e6566880a842bf4addd637,False
1F,07C000,07FFFF,7,0.042725,9038582544e60af0b53deef13d3994a98019551b0fd89065f7db6f139fe2a2c9,e7808a019a81954f64389f2f29c4c6b77fc663b1428dcb55a79db66c66dfeca2,False
