slot_index_zero_based,item_id_decimal,item_id_hex,slot_kind,original_gs_korean_name,latest_official_korean_name,original_gs_korean_description,final_korean_description,engine_description_source,official_name_source,description_translation_source,verification_status,change_reason,description_cpu_address_hex
50,51,0x33,ITEM_ID,디펜드 업,,사용한 전투중에서만<NEXT>방어력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4875
51,52,0x34,ITEM_ID,스피드 업,,사용한 전투중에서만<NEXT>스피드가 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x489B
52,53,0x35,ITEM_ID,스페셜 업,,사용한 전투중에서만<NEXT>특수공격력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x48C1
53,54,0x36,ITEM_ID,동전 케이스,,손에 넣은 동전을<NEXT>9999개까지 지닐 수 있게된다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x48EB
54,55,0x37,ITEM_ID,다우징 머신,,보이지 않는 도구에 반응해서<NEXT>소리로 가르쳐준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4918
55,56,0x38,ITEM_ID,?,,?,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4946
56,57,0x39,ITEM_ID,학습장치,,지니고 있는 것만으로도 경험치를<NEXT>나누어 받을 수 있다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4949
57,58,0x3A,ITEM_ID,낡은 낚싯대,,물가에서 사용하면<NEXT>포켓몬을 낚을 수 있다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x497D
58,59,0x3B,ITEM_ID,좋은 낚싯대,,포켓몬을 낚기 위한 도구<NEXT>약간 좋은 낚싯대,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x49A5
59,60,0x3C,ITEM_ID,은빛 나뭇잎,,은빛의 신비한 잎사귀,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x49CE
60,61,0x3D,ITEM_ID,대단한 낚싯대,,포켓몬을 낚기 위한 도구<NEXT>최고의 낚싯대로서 유명하다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x49E3
61,62,0x3E,ITEM_ID,포인트 업,,기술포인트의 최대치가 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4A16
62,63,0x3F,ITEM_ID,PP 에이드,,한가지의 기술포인트를<NEXT>10 회복시켜준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4A35
63,64,0x40,ITEM_ID,PP 회복,,한가지의 기술포인트를<NEXT>전부 회복시켜준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4A5B
64,65,0x41,ITEM_ID,PP 에이더,,모든 기술포인트를<NEXT>10 회복시켜준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4A83
65,66,0x42,ITEM_ID,빨간 비늘,,분노의 호수에 나타난<NEXT>빨간 갸라도스의 비늘,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4AA5
66,67,0x43,ITEM_ID,비전 신약,,어떠한 포켓몬이라도 건강해진다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4ACF
67,68,0x44,ITEM_ID,승선 티켓,,쾌속선 아쿠아호에<NEXT>승선하기 위한 물건,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4AEE
68,69,0x45,ITEM_ID,이상한 알,,포켓몬 할아버지가 맡긴 것<NEXT>어떤 알인지 모른다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4B13
69,70,0x46,ITEM_ID,크리스탈 방울,,?,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4B40
70,71,0x47,ITEM_ID,은빛 날개,,은빛으로 빛나는 신비한 날개,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4B43
71,72,0x48,ITEM_ID,튼튼 밀크,,영양만점<NEXT>체력을 100 회복시켜준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4B5F
72,73,0x49,ITEM_ID,선제공격 손톱,,지니게 하면 가끔씩<NEXT>선제공격을 할 수 있다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4B80
73,74,0x4A,ITEM_ID,해독열매,,지니게 하면 자신이<NEXT>중독상태를 회복시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4BA9
74,75,0x4B,ITEM_ID,금빛 나뭇잎,,금빛의 이상한 잎사귀,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4BD2
75,76,0x4C,ITEM_ID,부드러운 모래,,지니게하면 땅타입의<NEXT>기술의 위력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4BE7
76,77,0x4D,ITEM_ID,예리한 부리,,지니게 하면 비행타입의<NEXT>기술의 위력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4C12
77,78,0x4E,ITEM_ID,마비치료열매,,지니게 하면 자신이<NEXT>마비상태를 회복시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4C40
78,79,0x4F,ITEM_ID,불탄 나무열매,,지니게 하면 자신이<NEXT>얼음상태를 회복시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4C69
79,80,0x50,ITEM_ID,얼은 나무열매,,지니게 하면 자신이<NEXT>화상상태를 회복시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4C92
80,81,0x51,ITEM_ID,독바늘,,지니게 하면 독타입의<NEXT>기술의 위력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4CBB
81,82,0x52,ITEM_ID,왕의 징표석,,지니게 하면 가끔씩<NEXT>싸울 상대의 포켓몬이 기가 꺾인다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4CE7
82,83,0x53,ITEM_ID,쓴맛 나무열매,,지니게 하면 자신이<NEXT>혼란상태를 회복시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4D1B
83,84,0x54,ITEM_ID,박하열매,,지니게 하면 자신이<NEXT>졸음상태를 회복시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4D44
84,85,0x55,ITEM_ID,빨간 규토리,,빨간색 규토리,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4D6D
85,86,0x56,ITEM_ID,작은 버섯,,보통의 버섯<NEXT>싸게 팔린다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4D7B
86,87,0x57,ITEM_ID,큰 버섯,,진귀한 버섯<NEXT>비싸게 팔린다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4D93
87,88,0x58,ITEM_ID,은빛 가루,,지니게 하면 벌레타입의<NEXT>기술의 위력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4DAD
88,89,0x59,ITEM_ID,파란 규토리,,파란색 규토리,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4DDB
89,90,0x5A,ITEM_ID,?,,?,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4DE9
90,91,0x5B,ITEM_ID,부적 금화,,지니게 한 포켓몬을 싸움에<NEXT>내보내면 받을 수 있는 돈이 2배,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4DEC
91,92,0x5C,ITEM_ID,노랑 규토리,,노란색 규토리,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4E25
92,93,0x5D,ITEM_ID,초록 규토리,,녹색 규토리,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4E33
93,94,0x5E,ITEM_ID,순결의 부적,,지니게 하면 야생포켓몬과<NEXT>마주치기 어렵게 된다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4E3F
94,95,0x5F,ITEM_ID,신비의 물방울,,지니게 하면 물타입의<NEXT>기술의 위력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4E6D
95,96,0x60,ITEM_ID,휘어진 스푼,,지니게 하면 에스퍼타입의<NEXT>기술의 위력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4E99
96,97,0x61,ITEM_ID,하얀 규토리,,하얀색 규토리,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4EC9
97,98,0x62,ITEM_ID,검은띠,,지니게 하면 격투타입의<NEXT>기술의 위력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4ED7
98,99,0x63,ITEM_ID,검은 규토리,,검은색 규토리,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4F05
99,100,0x64,ITEM_ID,?,,?,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4F13
100,101,0x65,ITEM_ID,담홍 규토리,,복숭아색 규토리,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4F16
101,102,0x66,ITEM_ID,검은 안경,,지니게 하면 악타입의<NEXT>기술의 위력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4F26
102,103,0x67,ITEM_ID,맛있는 꼬리,,매우 맛있음<NEXT>비싸게 팔린다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4F52
103,104,0x68,ITEM_ID,핑크빛 리본,,지니게 하면 노말타입의<NEXT>기술의 위력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4F6C
104,105,0x69,ITEM_ID,대파,,보통의 대파<NEXT>싸게 팔린다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4F9A
105,106,0x6A,ITEM_ID,연막탄,,우연히 마주친 야생포켓몬에게서<NEXT>반드시 도망칠 수 있다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4FB2
106,107,0x6B,ITEM_ID,녹지않는 얼음,,지니게 하면 얼음 타입의<NEXT>기술의 위력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x4FE7
107,108,0x6C,ITEM_ID,자석,,지니게 하면 전기타입의<NEXT>기술의 위력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x5016
108,109,0x6D,ITEM_ID,기적의 열매,,지니게 하면 자신이 모든<NEXT>상태 이상을 회복시킨다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x5044
109,110,0x6E,ITEM_ID,진주,,아름다운 진주<NEXT>싸게 팔린다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x5073
110,111,0x6F,ITEM_ID,큰 진주,,아름답고 알이 큰 진주<NEXT>비싸게 팔린다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x508D
111,112,0x70,ITEM_ID,변함없는 돌,,지니게 한 포켓몬이 진화<NEXT>하지 못하게 되는 이상한 돌,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x50B1
112,113,0x71,ITEM_ID,저주의 부적,,지니게 하면 고스트타입의<NEXT>기술의 위력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x50E4
113,114,0x72,ITEM_ID,분노의 호두과자,,황토마을의 명물인 호두과자<NEXT>체력을 20 회복시켜준다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x5114
114,115,0x73,ITEM_ID,GS볼,,?,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x5146
115,116,0x74,ITEM_ID,블루카드,,?,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x5149
116,117,0x75,ITEM_ID,기적의 씨,,지니게 하면 풀타입의<NEXT>기술의 위력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x514C
117,118,0x76,ITEM_ID,굵은 뼈,,무언가의 뼈<NEXT>싸게 팔린다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x5178
118,119,0x77,ITEM_ID,기합의 머리띠,,지니고 있는 포켓몬은<NEXT>기절하지 않을 때도 있다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x5190
119,120,0x78,ITEM_ID,?,,?,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x51BD
120,121,0x79,ITEM_ID,힘의 가루,,체력을 50 회복시켜주는<NEXT>매우 쓴맛의 가루,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x51C0
121,122,0x7A,ITEM_ID,힘의 뿌리,,체력을 200 회복시켜주는<NEXT>매우 쓴맛의 뿌리,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x51E8
122,123,0x7B,ITEM_ID,만능가루,,모든 상태이상을<NEXT>치료하지만 매우 맛이 쓰다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x5211
123,124,0x7C,ITEM_ID,부활초,,기절한 포켓몬을 회복<NEXT>시켜주지만 매우 맛이 쓰다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x523B
124,125,0x7D,ITEM_ID,딱딱한 돌,,지니게 하면 바위타입의<NEXT>기술의 위력이 올라간다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x526A
125,126,0x7E,ITEM_ID,행복의 알,,지니고 있는 포켓몬은 경험치를<NEXT>약간 많이 얻을 수 있다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x5298
126,127,0x7F,ITEM_ID,카드키,,라디오 방송국의 셔터를<NEXT>올릴 수 있다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x52CD
127,128,0x80,ITEM_ID,기계부품,,발전소의 기계부품,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x52F1
128,129,0x81,ITEM_ID,?,,?,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x5303
129,130,0x82,ITEM_ID,분실물,,흉내내기 아가씨가 잃어버린<NEXT>삐삐인형,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x5306
130,131,0x83,ITEM_ID,별의 모래,,빨갛고 아름다운 모래<NEXT>비싸게 팔린다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x532A
131,132,0x84,ITEM_ID,별의 조각,,빨갛고 아름다운 보석조각<NEXT>매우 비싸게 팔린다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x534D
132,133,0x85,ITEM_ID,지하의 열쇠,,문을 여는 열쇠,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x5379
133,134,0x86,ITEM_ID,정기권,,리니어 기차에 승차할 수 있다,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x5388
134,135,0x87,ITEM_ID,?,,?,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x53A5
135,136,0x88,ITEM_ID,?,,?,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x53A8
136,137,0x89,ITEM_ID,?,,?,,ITEM_DESCRIPTION_BANK_6E,,,PENDING_OFFICIAL_CROSSCHECK,,0x53AB
