internal_id,class,current_use,reclaim_policy
0xCE,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xCF,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xD0,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xD1,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xD2,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xD3,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xD4,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xD5,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xD6,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xD7,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xD8,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xD9,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xDA,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xDB,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xDC,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xDD,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xDE,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xDF,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xE0,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xE1,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xE2,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xE3,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xE4,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xE5,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xE6,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xE7,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xE8,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xE9,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xEA,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xEB,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xEC,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xED,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xEE,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xEF,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xF0,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xF1,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xF2,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xF3,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xF4,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xF5,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xF6,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xF7,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xF8,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xF9,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xFA,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xFB,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xFC,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xFD,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xFE,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xFF,upper_undefined,party_box_hof_terminator,remove_species_list_terminator_semantics_then_reuse
0x00,zero_slot,NO_MON/trainer_party_terminator,replace_zero_sentinel_semantics; use as species #256
