symbol,japan_rev0,english_rev0,english_rev1,english_rev2,germany_rev0,germany_rev1,germany_debug_rev0
CreateSpriteAndAnimate,b44d0ae3739d0a5a3e5e1edf0e538bb4a67d71d4,7c227e71256dd01129660737bebc5bc0d01704b1,8c6dba137169359a3932f2997e07a95702ee4438,8c6dba137169359a3932f2997e07a95702ee4438,740ec8adfb23c65d6a034672d0ad9de676fe8616,740ec8adfb23c65d6a034672d0ad9de676fe8616,dea93b3439a6d5c84120bc0787b9af404df5fc30
DestroySprite,893f8ff8a1cb842f2b04d5e2ba95c5dec220b798,301beeafe51d049e198271266de5cebf91c71e1c,301beeafe51d049e198271266de5cebf91c71e1c,301beeafe51d049e198271266de5cebf91c71e1c,301beeafe51d049e198271266de5cebf91c71e1c,301beeafe51d049e198271266de5cebf91c71e1c,a63a37f3f60b81c39539b4652c9b1fb8e5430687
ResetOamRange,60bb0934c1526a6cd42d2f075e7555a04811bbdc,f449d18d03d9c32c1d6a725e85a133ce8cf0d1a1,793ffeb4f6e8bbe08de55b580828603b07e6cc71,793ffeb4f6e8bbe08de55b580828603b07e6cc71,5702ef3da632b295643c5d5fdae204f5a8d90041,5702ef3da632b295643c5d5fdae204f5a8d90041,3bd6f7d9bc05c35a37294d4133e3ce28977055b2
LoadOam,1ea774b7368b6907d5f842161f898df2403e1769,3ab4473b25aeea6f96add0fa11608614d6c8e969,4e5a4d200a9d353d05ff6941acc4600976ff4f52,4e5a4d200a9d353d05ff6941acc4600976ff4f52,13ab87a65547766a83df8441675f460a49533f09,13ab87a65547766a83df8441675f460a49533f09,f93e0d6b3fe0bd26bfb0bfac916fe7d0874ca07a
ClearSpriteCopyRequests,5c620dba19de3ea61abb824c183e97afcde75ae5,145c80600951e62965719dddfaa1150033cf6e8d,145c80600951e62965719dddfaa1150033cf6e8d,145c80600951e62965719dddfaa1150033cf6e8d,145c80600951e62965719dddfaa1150033cf6e8d,145c80600951e62965719dddfaa1150033cf6e8d,4b53f4be05758478754b68c078f3898ab342c60a
ResetOamMatrices,abe8eb289f546f9eeea5cdf9ad7cc3968397a730,4f22ce538df6e4ff0a5da1bf0abc9fdf7f107694,4f22ce538df6e4ff0a5da1bf0abc9fdf7f107694,4f22ce538df6e4ff0a5da1bf0abc9fdf7f107694,4f22ce538df6e4ff0a5da1bf0abc9fdf7f107694,4f22ce538df6e4ff0a5da1bf0abc9fdf7f107694,f64c97e104a95eec083274472833b930296feb93
SetOamMatrix,75d7e67ceff90c150f8f7f2e3fd9dd9c2784382f,5dbd2c0f8fe2e890373dc517c5ebb49fb2bc3f95,5dbd2c0f8fe2e890373dc517c5ebb49fb2bc3f95,5dbd2c0f8fe2e890373dc517c5ebb49fb2bc3f95,5dbd2c0f8fe2e890373dc517c5ebb49fb2bc3f95,5dbd2c0f8fe2e890373dc517c5ebb49fb2bc3f95,aca3f27141a08f7c684f852c6abdc1263571be1b
ResetSprite,91b577ae979485b25d6b4620d29a87de28dd3010,6ce514fab8ba881584c7ed19ee7a7975233a1aae,feb7d31690e20c410875e2340795406dd61b4366,feb7d31690e20c410875e2340795406dd61b4366,947647db2813662ab9d207973dfb67030748b9fb,947647db2813662ab9d207973dfb67030748b9fb,7202b1cd11c7a1ba217f33541d43e8fbfcf2b402
CalcCenterToCornerVec,f0eeadf7e5dcbd33f81d2843f6679205295d8911,2e8a177375078d7b6037669eafcb45c583a0d342,03748dccb32d0acc40874dafd01e528a80e67f6c,03748dccb32d0acc40874dafd01e528a80e67f6c,348afbc135180c3534da49275544fbbcf778817c,348afbc135180c3534da49275544fbbcf778817c,c0008ecd4bd0b3a5d45f6f9119508f16eb438447
AllocSpriteTiles,495357bc905c679601b8fcff04648dc60a4ba20b,7e7b1f704f3cdf4c0b494168c78100b581374aa1,7e7b1f704f3cdf4c0b494168c78100b581374aa1,7e7b1f704f3cdf4c0b494168c78100b581374aa1,7e7b1f704f3cdf4c0b494168c78100b581374aa1,7e7b1f704f3cdf4c0b494168c78100b581374aa1,4484e03fe12fb1ac89127872e1613296537e1fc8
SpriteTileAllocBitmapOp,6280739490f0ac4526a7b22db682da8ac993be35,f17e6d92cb6d5d4b077675af32f0c59d82ae429a,f17e6d92cb6d5d4b077675af32f0c59d82ae429a,f17e6d92cb6d5d4b077675af32f0c59d82ae429a,f17e6d92cb6d5d4b077675af32f0c59d82ae429a,f17e6d92cb6d5d4b077675af32f0c59d82ae429a,8c17d82be07b625180d0a15e0cdfe66f72a5ffb4
SpriteCallbackDummy,f78bdc5212b300da5e387415d75b463c8c72943e,f78bdc5212b300da5e387415d75b463c8c72943e,f78bdc5212b300da5e387415d75b463c8c72943e,f78bdc5212b300da5e387415d75b463c8c72943e,f78bdc5212b300da5e387415d75b463c8c72943e,f78bdc5212b300da5e387415d75b463c8c72943e,f78bdc5212b300da5e387415d75b463c8c72943e
ProcessSpriteCopyRequests,a9c2f316b6a78d8559d1657b72d0fc47e2533de5,1bb9c8d7aed9ad38a348cd7e134cdaf8173f65cd,353bc1fc11d1934167783c2e8b1372fa7407fa03,353bc1fc11d1934167783c2e8b1372fa7407fa03,b754729079291868a850beb0c3a67be3b9a78a9f,b754729079291868a850beb0c3a67be3b9a78a9f,d2aaa41391f73ad85bad52fb51edd253d9a8547e
RequestSpriteFrameImageCopy,5995e80f52a10ba2ae971fff15a40723b54adcde,2d08a93265a402cfe3fab81354baf1ffc27b9b5b,2d08a93265a402cfe3fab81354baf1ffc27b9b5b,2d08a93265a402cfe3fab81354baf1ffc27b9b5b,2d08a93265a402cfe3fab81354baf1ffc27b9b5b,2d08a93265a402cfe3fab81354baf1ffc27b9b5b,521386d3bd56dbebdc403209fb3946ba746a2f3a
RequestSpriteCopy,e33f33c103ec5e0d80b755da8189d12ad5da240e,cdcc77f801aff5416a337f438a08a21e6e29a89a,cdcc77f801aff5416a337f438a08a21e6e29a89a,cdcc77f801aff5416a337f438a08a21e6e29a89a,cdcc77f801aff5416a337f438a08a21e6e29a89a,cdcc77f801aff5416a337f438a08a21e6e29a89a,5df98220178ea6bc3fec1a6bf657577293d00f17
CopyFromSprites,8905b16eac98d98299a144c4b6424d8bb2e5da85,8905b16eac98d98299a144c4b6424d8bb2e5da85,8905b16eac98d98299a144c4b6424d8bb2e5da85,8905b16eac98d98299a144c4b6424d8bb2e5da85,8905b16eac98d98299a144c4b6424d8bb2e5da85,8905b16eac98d98299a144c4b6424d8bb2e5da85,8905b16eac98d98299a144c4b6424d8bb2e5da85
CopyToSprites,a16b685909936ce163296aaeecf4495e252af825,a16b685909936ce163296aaeecf4495e252af825,a16b685909936ce163296aaeecf4495e252af825,a16b685909936ce163296aaeecf4495e252af825,a16b685909936ce163296aaeecf4495e252af825,a16b685909936ce163296aaeecf4495e252af825,a16b685909936ce163296aaeecf4495e252af825
ResetAllSprites,8090d4cfbfa0f5f3ca34f8cc70777f9f17cd449e,062a138d477080557c7ea81e944c91492b3ab3f8,f3c45dcded01f7b84d74f5e220e48d332baa783c,f3c45dcded01f7b84d74f5e220e48d332baa783c,4ad0554633c72ede51fc74570d71488fb1f36d33,4ad0554633c72ede51fc74570d71488fb1f36d33,b482b00fbf5712921637816da959e2bc05a8f70c
FreeSpriteTiles,5ec528dd570f93429e2e6babe05455cdcebd23d0,e62cbbefde3e13419d4d80641df834257584cdc2,e62cbbefde3e13419d4d80641df834257584cdc2,e62cbbefde3e13419d4d80641df834257584cdc2,e62cbbefde3e13419d4d80641df834257584cdc2,e62cbbefde3e13419d4d80641df834257584cdc2,e62cbbefde3e13419d4d80641df834257584cdc2
FreeSpritePalette,36ebc2f83a881e8be52dd9c633ab8a5268e29ccc,eb44a3751385c5e5c28dd30049cfaca44c769273,eb44a3751385c5e5c28dd30049cfaca44c769273,eb44a3751385c5e5c28dd30049cfaca44c769273,eb44a3751385c5e5c28dd30049cfaca44c769273,eb44a3751385c5e5c28dd30049cfaca44c769273,eb44a3751385c5e5c28dd30049cfaca44c769273
FreeSpriteOamMatrix,b04b4c8681379703f6d7957ce67d209dbc3f57a2,06f383aed1cd41398aef6ce1e7949d5d023ea2df,06f383aed1cd41398aef6ce1e7949d5d023ea2df,06f383aed1cd41398aef6ce1e7949d5d023ea2df,06f383aed1cd41398aef6ce1e7949d5d023ea2df,06f383aed1cd41398aef6ce1e7949d5d023ea2df,06f383aed1cd41398aef6ce1e7949d5d023ea2df
DestroySpriteAndFreeResources,4c9d5e054a8229aad58da5abeff862bed7f47d90,7b301f2ae2ad0eb8e01222551ca1ae123b773f6b,7b301f2ae2ad0eb8e01222551ca1ae123b773f6b,7b301f2ae2ad0eb8e01222551ca1ae123b773f6b,7b301f2ae2ad0eb8e01222551ca1ae123b773f6b,7b301f2ae2ad0eb8e01222551ca1ae123b773f6b,a36594e4a47a58420ac15d609b9761837aac6c90
DrawPartyMenuMonText,,c8a97efe7f7231d7b989a03836f8850ce33dc722,0031140f5d85cac82e59ac224d7eea8086fa993c,0031140f5d85cac82e59ac224d7eea8086fa993c,9ea444097993db32496a2f848ef1d0762a20d8d6,9ea444097993db32496a2f848ef1d0762a20d8d6,8936409ffc6c529fecb70c2b1fa8ae9d5363e1c5
AnimateSprite,ef0d7938adc911eb99d00dfcbe6d788a1d61d8b4,60b8a0df343dfa23e3447ac09e5770a6c640323c,38d80eb6742c017c684e535c5817c5874cd8a449,38d80eb6742c017c684e535c5817c5874cd8a449,fad5de499d2dba3cb1b41429192a40c3f7f7e01e,fad5de499d2dba3cb1b41429192a40c3f7f7e01e,226365482c97ce7ecc88564b6b83963b4bdc476c
BeginAnim,ac4f77f13170a495e82d29b2e841bf262b9a442d,b53b3b84bdd049a3382e0a6c2cfdec91e02123d6,b53b3b84bdd049a3382e0a6c2cfdec91e02123d6,b53b3b84bdd049a3382e0a6c2cfdec91e02123d6,b53b3b84bdd049a3382e0a6c2cfdec91e02123d6,b53b3b84bdd049a3382e0a6c2cfdec91e02123d6,3d8c852ac947839b480ef3a69426284b677cb5ed
ContinueAnim,0dc0b6a6732c6de2a05f1d0320bcaa98afd23a80,858cad3314371a2273e897bafca5134a757fba06,f1d1c5e6a53c009fcb94a76fe18ac5d31e6f880b,f1d1c5e6a53c009fcb94a76fe18ac5d31e6f880b,8ef41cba28cf1889e1555a7fbb60b7972d91dcd6,8ef41cba28cf1889e1555a7fbb60b7972d91dcd6,fda59a7882e2c0b9bc0dc7b1c74fa6430c90fc9d
