bank_dec,bank_hex,role,all5_same_bytes,all5_same_pct,used_union_len,all5_same_pct_used_union,used_common_len,all5_same_pct_used_common,shared_runs_ge32,shared_runs_ge32_bytes,longest_shared_run,DE_BLUE_vs_EN_pct,DE_BLUE_trailing_00,EN_BLUE_vs_EN_pct,EN_BLUE_trailing_00,ES_BLUE_vs_EN_pct,ES_BLUE_trailing_00,FR_BLUE_vs_EN_pct,FR_BLUE_trailing_00,IT_BLUE_vs_EN_pct,IT_BLUE_trailing_00
17,11,maps 5-6 + Pokédex rating + hidden-event core,15376,93.847656,12459,91.909463,12459,91.909463,45,11502,3926,95.367432,3925,100.000000,3925,94.274902,3925,94.702148,3925,95.056152,3925
18,12,maps 7-8 + screen effects,9638,58.825684,9106,25.916978,9102,25.928367,15,8496,7278,61.199951,7278,100.000000,7281,61.102295,7278,62.121582,7282,61.621094,7279
19,13,trainer pics + maps 9 + predefs,16257,99.224854,16290,99.220381,16290,99.220381,6,15896,15633,99.291992,94,100.000000,94,99.310303,94,99.279785,94,99.279785,94
20,14,maps 10 + battle engine 8 + hidden events 2,10067,61.444092,10823,41.633558,10812,41.675916,9,8775,5561,63.580322,5572,100.000000,5566,64.233398,5567,63.684082,5561,64.489746,5564
21,15,maps 11-12 + battle engine 9 + diploma + trainer sight,14675,89.569092,10838,84.231408,10820,84.371534,13,10980,5546,90.197754,5546,100.000000,5557,89.971924,5556,90.228271,5564,90.777588,5552
22,16,maps 13-14 + battle engine 10 + Saffron guards,15390,93.933105,9658,89.708014,9658,89.708014,10,11449,6730,94.482422,6726,100.000000,6726,94.006348,6726,94.165039,6726,94.952393,6726
23,17,maps 15-16 + starter dex + hidden events 3,9269,56.573486,7962,10.638031,7939,10.668850,4,8741,8422,79.711914,8432,100.000000,8427,59.143066,8422,58.837891,8445,64.575195,8432
24,18,maps 17-18 + Cinnabar lab + hidden events 4,15461,94.366455,9514,90.298507,9514,90.298507,29,11861,6871,95.001221,6870,100.000000,6870,94.482422,6870,94.580078,6870,95.336914,6870
25,19,tilesets 1,16346,99.768066,16352,99.767613,16352,99.767613,4,16338,15264,99.841309,32,100.000000,32,99.792480,32,99.768066,32,99.963379,32
26,1A,battle engine 11 + version gfx + tilesets 2,1317,8.038330,16383,8.032717,16367,8.040569,0,0,13,19.079590,1,100.000000,17,99.725342,17,19.018555,1,25.024414,9
27,1B,tilesets 3,16384,100.000000,16384,100.000000,16384,100.000000,1,16384,16384,100.000000,0,100.000000,0,100.000000,0,100.000000,0,100.000000,0
28,1C,splash/Hall of Fame/healing/player anims/transitions/map/icons/trades/palettes/save,1984,12.109375,15325,6.035889,15222,5.978189,3,1548,1059,20.324707,1162,100.000000,1123,26.318359,1141,19.189453,1148,27.081299,1059
29,1D,maps 19-21 + itemfinder + vending + hidden items,6452,39.379883,10499,5.400514,10364,5.470861,4,6141,5885,40.808105,5940,100.000000,6020,41.351318,5885,41.302490,5955,40.875244,5904
30,1E,battle animations + overworld effects + evolution + TM prices,16064,98.046875,16320,98.039216,16320,98.039216,40,13497,7697,98.297119,64,100.000000,64,98.138428,64,98.046875,64,98.297119,64
31,1F,audio headers + SFX + audio engine 3 + music 3,16381,99.981689,16378,99.981683,16378,99.981683,2,16367,11935,99.993896,6,100.000000,6,99.981689,6,99.981689,6,99.993896,6
32,20,Text 1,2720,16.601562,13696,0.233645,10927,0.018303,1,2688,2688,19.311523,2688,100.000000,5457,27.026367,3992,29.003906,4316,30.737305,4549
33,21,Text 2,2535,15.472412,13874,0.180193,11425,0.008753,1,2510,2510,18.426514,2510,100.000000,4959,25.805664,3769,32.849121,4904,29.907227,4445
34,22,Text 3,2458,15.002441,13949,0.164886,11513,0.008686,1,2435,2435,17.529297,2435,100.000000,4871,23.858643,3520,27.728271,4073,28.808594,4269
35,23,Text 4,2530,15.441895,13907,0.381103,11273,0.008871,1,2477,2477,18.218994,2477,100.000000,5111,30.541992,4537,32.366943,4853,32.257080,4860
36,24,Text 5,2671,16.302490,13744,0.225553,10499,0.019049,1,2640,2640,18.927002,2640,100.000000,5885,32.489014,4929,31.896973,4800,34.875488,5315
37,25,Text 6,3064,18.701172,13344,0.179856,10808,0.009252,1,3040,3040,21.374512,3040,100.000000,5576,32.952881,4990,32.580566,4900,31.250000,4701
38,26,Text 7,2815,17.181396,13584,0.110424,11131,0.026952,1,2800,2800,19.671631,2800,100.000000,5253,30.273438,4510,27.288818,3987,34.442139,5202
39,27,Text 8,3669,22.393799,12727,0.094288,10916,0.009161,1,3657,3657,25.152588,3657,100.000000,5468,30.206299,4540,33.013916,5013,33.514404,5073
40,28,Text 9,3418,20.861816,12985,0.146323,10807,0.009253,1,3399,3399,23.602295,3399,100.000000,5577,30.999756,4669,28.259277,4166,35.571289,5416
41,29,Text 10,3260,19.897461,13154,0.228068,11156,0.008964,1,3230,3230,22.467041,3230,100.000000,5228,27.069092,4010,32.360840,4916,30.883789,4652
42,2A,Text 11,15446,94.274902,944,0.635593,785,0.127389,1,15440,15440,94.476318,15440,100.000000,15568,95.190430,15558,95.446777,15582,95.336914,15599
43,2B,Pokédex text,1999,12.200928,14392,0.048638,13371,0.014958,1,1992,1992,16.186523,2489,100.000000,1992,16.351318,2657,16.162109,3013,16.662598,2568
44,2C,move names,14670,89.538574,1714,0.000000,1551,0.000000,1,14670,14670,90.295410,14703,100.000000,14833,90.087891,14670,90.570068,14765,90.472412,14740
45,2D,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
46,2E,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
47,2F,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
48,30,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
49,31,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
50,32,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
51,33,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
52,34,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
53,35,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
54,36,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
55,37,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
56,38,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
57,39,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
58,3A,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
59,3B,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
60,3C,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
61,3D,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
62,3E,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
63,3F,physical blank bank (outside linked 0x00-0x2C content),16384,100.000000,0,,0,,1,16384,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384,100.000000,16384
