national_dex_number,latest_official_korean,official_detail_record_id,official_source,official_index_source,source_accessed_date,selection_rule
11,단데기,18,https://pokemonkorea.co.kr/pokedex/view/18,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
12,버터플,19,https://pokemonkorea.co.kr/pokedex/view/19,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
13,뿔충이,21,https://pokemonkorea.co.kr/pokedex/view/21,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
14,딱충이,22,https://pokemonkorea.co.kr/pokedex/view/22,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
15,독침붕,23,https://pokemonkorea.co.kr/pokedex/view/23,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
16,구구,25,https://pokemonkorea.co.kr/pokedex/view/25,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
17,피죤,26,https://pokemonkorea.co.kr/pokedex/view/26,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
18,피죤투,27,https://pokemonkorea.co.kr/pokedex/view/27,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
19,꼬렛,29,https://pokemonkorea.co.kr/pokedex/view/29,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
20,레트라,31,https://pokemonkorea.co.kr/pokedex/view/31,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
21,깨비참,33,https://pokemonkorea.co.kr/pokedex/view/33,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
22,깨비드릴조,34,https://pokemonkorea.co.kr/pokedex/view/34,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
23,아보,35,https://pokemonkorea.co.kr/pokedex/view/35,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
24,아보크,36,https://pokemonkorea.co.kr/pokedex/view/36,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
25,피카츄,37,https://pokemonkorea.co.kr/pokedex/view/37,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
26,라이츄,39,https://pokemonkorea.co.kr/pokedex/view/39,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
27,모래두지,43,https://pokemonkorea.co.kr/pokedex/view/43,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
28,고지,45,https://pokemonkorea.co.kr/pokedex/view/45,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
29,니드런♀,47,https://pokemonkorea.co.kr/pokedex/view/47,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
30,니드리나,48,https://pokemonkorea.co.kr/pokedex/view/48,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
31,니드퀸,49,https://pokemonkorea.co.kr/pokedex/view/49,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
32,니드런♂,50,https://pokemonkorea.co.kr/pokedex/view/50,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
33,니드리노,51,https://pokemonkorea.co.kr/pokedex/view/51,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
34,니드킹,52,https://pokemonkorea.co.kr/pokedex/view/52,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
35,삐삐,53,https://pokemonkorea.co.kr/pokedex/view/53,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
36,픽시,54,https://pokemonkorea.co.kr/pokedex/view/54,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
37,식스테일,56,https://pokemonkorea.co.kr/pokedex/view/56,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
38,나인테일,58,https://pokemonkorea.co.kr/pokedex/view/58,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
39,푸린,60,https://pokemonkorea.co.kr/pokedex/view/60,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
40,푸크린,61,https://pokemonkorea.co.kr/pokedex/view/61,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
41,주뱃,62,https://pokemonkorea.co.kr/pokedex/view/62,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
42,골뱃,63,https://pokemonkorea.co.kr/pokedex/view/63,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
43,뚜벅쵸,64,https://pokemonkorea.co.kr/pokedex/view/64,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
44,냄새꼬,65,https://pokemonkorea.co.kr/pokedex/view/65,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
45,라플레시아,66,https://pokemonkorea.co.kr/pokedex/view/66,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
46,파라스,67,https://pokemonkorea.co.kr/pokedex/view/67,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
47,파라섹트,68,https://pokemonkorea.co.kr/pokedex/view/68,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
48,콘팡,69,https://pokemonkorea.co.kr/pokedex/view/69,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
49,도나리,70,https://pokemonkorea.co.kr/pokedex/view/70,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
50,디그다,71,https://pokemonkorea.co.kr/pokedex/view/71,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
51,닥트리오,73,https://pokemonkorea.co.kr/pokedex/view/73,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
52,나옹,75,https://pokemonkorea.co.kr/pokedex/view/75,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
53,페르시온,79,https://pokemonkorea.co.kr/pokedex/view/79,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
54,고라파덕,81,https://pokemonkorea.co.kr/pokedex/view/81,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
55,골덕,82,https://pokemonkorea.co.kr/pokedex/view/82,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
56,망키,83,https://pokemonkorea.co.kr/pokedex/view/83,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
57,성원숭,84,https://pokemonkorea.co.kr/pokedex/view/84,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
58,가디,85,https://pokemonkorea.co.kr/pokedex/view/85,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
59,윈디,87,https://pokemonkorea.co.kr/pokedex/view/87,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
60,발챙이,89,https://pokemonkorea.co.kr/pokedex/view/89,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
61,슈륙챙이,90,https://pokemonkorea.co.kr/pokedex/view/90,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
62,강챙이,91,https://pokemonkorea.co.kr/pokedex/view/91,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
63,캐이시,92,https://pokemonkorea.co.kr/pokedex/view/92,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
64,윤겔라,93,https://pokemonkorea.co.kr/pokedex/view/93,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
65,후딘,94,https://pokemonkorea.co.kr/pokedex/view/94,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
66,알통몬,96,https://pokemonkorea.co.kr/pokedex/view/96,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
67,근육몬,97,https://pokemonkorea.co.kr/pokedex/view/97,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
68,괴력몬,98,https://pokemonkorea.co.kr/pokedex/view/98,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
69,모다피,100,https://pokemonkorea.co.kr/pokedex/view/100,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
70,우츠동,101,https://pokemonkorea.co.kr/pokedex/view/101,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
71,우츠보트,102,https://pokemonkorea.co.kr/pokedex/view/102,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
72,왕눈해,104,https://pokemonkorea.co.kr/pokedex/view/104,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
73,독파리,105,https://pokemonkorea.co.kr/pokedex/view/105,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
74,꼬마돌,106,https://pokemonkorea.co.kr/pokedex/view/106,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
75,데구리,108,https://pokemonkorea.co.kr/pokedex/view/108,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
76,딱구리,110,https://pokemonkorea.co.kr/pokedex/view/110,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
77,포니타,112,https://pokemonkorea.co.kr/pokedex/view/112,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
78,날쌩마,114,https://pokemonkorea.co.kr/pokedex/view/114,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
79,야돈,116,https://pokemonkorea.co.kr/pokedex/view/116,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
80,야도란,118,https://pokemonkorea.co.kr/pokedex/view/118,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
81,코일,121,https://pokemonkorea.co.kr/pokedex/view/121,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
82,레어코일,122,https://pokemonkorea.co.kr/pokedex/view/122,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
83,파오리,123,https://pokemonkorea.co.kr/pokedex/view/123,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
84,두두,125,https://pokemonkorea.co.kr/pokedex/view/125,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
85,두트리오,126,https://pokemonkorea.co.kr/pokedex/view/126,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
86,쥬쥬,127,https://pokemonkorea.co.kr/pokedex/view/127,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
87,쥬레곤,128,https://pokemonkorea.co.kr/pokedex/view/128,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
88,질퍽이,129,https://pokemonkorea.co.kr/pokedex/view/129,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
89,질뻐기,131,https://pokemonkorea.co.kr/pokedex/view/131,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
90,셀러,133,https://pokemonkorea.co.kr/pokedex/view/133,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
91,파르셀,134,https://pokemonkorea.co.kr/pokedex/view/134,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
92,고오스,135,https://pokemonkorea.co.kr/pokedex/view/135,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
93,고우스트,136,https://pokemonkorea.co.kr/pokedex/view/136,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
94,팬텀,137,https://pokemonkorea.co.kr/pokedex/view/137,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
95,롱스톤,140,https://pokemonkorea.co.kr/pokedex/view/140,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
96,슬리프,141,https://pokemonkorea.co.kr/pokedex/view/141,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
97,슬리퍼,142,https://pokemonkorea.co.kr/pokedex/view/142,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
98,크랩,143,https://pokemonkorea.co.kr/pokedex/view/143,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
99,킹크랩,144,https://pokemonkorea.co.kr/pokedex/view/144,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
100,찌리리공,146,https://pokemonkorea.co.kr/pokedex/view/146,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
101,붐볼,148,https://pokemonkorea.co.kr/pokedex/view/148,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
102,아라리,150,https://pokemonkorea.co.kr/pokedex/view/150,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
103,나시,151,https://pokemonkorea.co.kr/pokedex/view/151,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
104,탕구리,153,https://pokemonkorea.co.kr/pokedex/view/153,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
105,텅구리,154,https://pokemonkorea.co.kr/pokedex/view/154,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
106,시라소몬,156,https://pokemonkorea.co.kr/pokedex/view/156,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
107,홍수몬,157,https://pokemonkorea.co.kr/pokedex/view/157,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
108,내루미,158,https://pokemonkorea.co.kr/pokedex/view/158,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
109,또가스,159,https://pokemonkorea.co.kr/pokedex/view/159,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
110,또도가스,160,https://pokemonkorea.co.kr/pokedex/view/160,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
111,뿔카노,162,https://pokemonkorea.co.kr/pokedex/view/162,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
112,코뿌리,163,https://pokemonkorea.co.kr/pokedex/view/163,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
113,럭키,164,https://pokemonkorea.co.kr/pokedex/view/164,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
114,덩쿠리,165,https://pokemonkorea.co.kr/pokedex/view/165,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
115,캥카,166,https://pokemonkorea.co.kr/pokedex/view/166,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
116,쏘드라,168,https://pokemonkorea.co.kr/pokedex/view/168,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
117,시드라,169,https://pokemonkorea.co.kr/pokedex/view/169,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
118,콘치,170,https://pokemonkorea.co.kr/pokedex/view/170,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
119,왕콘치,171,https://pokemonkorea.co.kr/pokedex/view/171,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
120,별가사리,172,https://pokemonkorea.co.kr/pokedex/view/172,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
121,아쿠스타,173,https://pokemonkorea.co.kr/pokedex/view/173,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
122,마임맨,175,https://pokemonkorea.co.kr/pokedex/view/175,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
123,스라크,177,https://pokemonkorea.co.kr/pokedex/view/177,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
124,루주라,178,https://pokemonkorea.co.kr/pokedex/view/178,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
125,에레브,179,https://pokemonkorea.co.kr/pokedex/view/179,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
126,마그마,180,https://pokemonkorea.co.kr/pokedex/view/180,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
127,쁘사이저,181,https://pokemonkorea.co.kr/pokedex/view/181,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
128,켄타로스,183,https://pokemonkorea.co.kr/pokedex/view/183,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
129,잉어킹,187,https://pokemonkorea.co.kr/pokedex/view/187,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
130,갸라도스,188,https://pokemonkorea.co.kr/pokedex/view/188,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
131,라프라스,190,https://pokemonkorea.co.kr/pokedex/view/190,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
132,메타몽,192,https://pokemonkorea.co.kr/pokedex/view/192,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
133,이브이,193,https://pokemonkorea.co.kr/pokedex/view/193,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
134,샤미드,195,https://pokemonkorea.co.kr/pokedex/view/195,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
135,쥬피썬더,196,https://pokemonkorea.co.kr/pokedex/view/196,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
136,부스터,197,https://pokemonkorea.co.kr/pokedex/view/197,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
137,폴리곤,198,https://pokemonkorea.co.kr/pokedex/view/198,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
138,암나이트,199,https://pokemonkorea.co.kr/pokedex/view/199,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
139,암스타,200,https://pokemonkorea.co.kr/pokedex/view/200,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
140,투구,201,https://pokemonkorea.co.kr/pokedex/view/201,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
141,투구푸스,202,https://pokemonkorea.co.kr/pokedex/view/202,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
142,프테라,203,https://pokemonkorea.co.kr/pokedex/view/203,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
143,잠만보,205,https://pokemonkorea.co.kr/pokedex/view/205,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
144,프리져,207,https://pokemonkorea.co.kr/pokedex/view/207,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
145,썬더,209,https://pokemonkorea.co.kr/pokedex/view/209,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
146,파이어,211,https://pokemonkorea.co.kr/pokedex/view/211,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
147,미뇽,213,https://pokemonkorea.co.kr/pokedex/view/213,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
148,신뇽,214,https://pokemonkorea.co.kr/pokedex/view/214,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
149,망나뇽,215,https://pokemonkorea.co.kr/pokedex/view/215,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
150,뮤츠,217,https://pokemonkorea.co.kr/pokedex/view/217,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
151,뮤,220,https://pokemonkorea.co.kr/pokedex/view/220,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
152,치코리타,221,https://pokemonkorea.co.kr/pokedex/view/221,https://pokemonkorea.co.kr/pokedex,2026-09-10,FIRST_RECORD_PER_DEX_NUMBER_BASE_FORM
