bank_hex,JP-JA-HV0,US-EU-EN-HV0,EU-DE-HV0,EU-FR-HV0,EU-IT-HV0,EU-ES-HV0
1A,56036658f41b5e1b2a1582ddade0c19b010b4fc4,ac5aa0c95bcae04d82fc0a4d2a44fdcc5de908dd,3619d0a56b9160b2ff0c7021f41a59e207bd1979,866a709c34db4aceaba0ecb297438d4689b6be04,89449748973054316edf7866a506f24036f5883c,997efc040ec4e4cc22446588373b3dec3d03c91b
1B,682b94550690d2e4c4103fe93753ed74ab38fc72,682b94550690d2e4c4103fe93753ed74ab38fc72,682b94550690d2e4c4103fe93753ed74ab38fc72,682b94550690d2e4c4103fe93753ed74ab38fc72,682b94550690d2e4c4103fe93753ed74ab38fc72,682b94550690d2e4c4103fe93753ed74ab38fc72
1C,7b6e17254e6b33add162f0b050e9e0dacba7eed4,ef6a86911a346e202c3a180ff4f376e13a590972,1cacbc73a93cfb7c3a3bf75498fb1ec73879faa6,4e1ac59775ff3745236302b50701d546a9bc07d5,8c3f265ba09de62a8637e9cc6f653741bd6dc8a0,1085e645fc3deb7b2a7d4724b9365c75a77ff5df
1D,ca13e04be321fdacb465d795cf6e34a7781b597b,67815554da087e1129e16ba369348e365b33da50,99f3e0ffd2db73a7e4f7177ad8993c438a89add3,a7692d761cd0e748cca5e06bd34dc7bf20aa894d,416be887c5a9ee0ad3ac70ed0536d7e3eb562f2b,386cd9438659d0282afe104ad91958ef6ab7e31c
1E,b4f66792c3927068d94b1f18b5788e7922aa99ff,48af43ba8782a67364f10e686ac79fa54e1afb32,edf59ac262acb51911941e8aec3d003b019b402a,70636d7b211df8e1f9f1269f83aeb774749781a3,1ca1b0b6cd83ecf657bd99e72436e85ba5a03e47,d641d4810129bfb972be709e2b640acfa2ea122a
1F,e6f56f437aa0818bbca734936d91644434ff803c,b42fad01373c0ac759b78f738e0f5dbeb1984f8f,57de79a8f970180a9591d22bfbf89069923e9e3b,be5f0b82176795895e2e6f7c2e8611fbb6d33cb8,a358404d08fca806687d9741308175689c364bd0,2095c60cec020cb8f90c42814ca1dc7461b84278
20,,70f5deb41463196850f48b40b5abfb73f7d77c74,454d36e4265a95f5e8deeea5a112b1403d2bc4a5,82194da47eef3dc2e804c376c4eb6569aa80fa33,94e8874a1f4fcc423d152b74f6fd18992d143166,7fd1abfa206cc5c41ca6ed5185643316b63f748a
21,,f5b7fc7c0ebbb1273d8e4bf7139554fbfbaee945,5936c9b04d3bf372af7421f90993bee0e795fc3c,e1d00f780806bcb490fe9fda880c200214db0124,5bf86561479d469773c69be49f9c6449b494023d,4585444e6b9ecdc6232255dbb27fa5553024ed33
22,,aea5695ed3feb651b6e0e4be2db91f7b5d4fefc0,bfd69463d3c7fbcbc4115829e9b5cc9d73c86af7,b4289bcfd814688e47e19cf60114793d109f74a9,0ef572ebb71f5be6a35ff96a40ceb33e4de49273,9cc234379011ec2ed6fbdef0c307066c29271711
23,,b383ef3b379addd94260d7fecaf2f07d0481f4e9,90e2fcc228fe88a6032d29bf9c426793cf7025a3,ed84e0cacb81ddd93630961e8c4e4e87a96d7970,e791f149e8d7b6e4fa30f3b58fcdbcb482a932de,d1dea0c45e405f33435fcca4c37d5afc232a6936
24,,514f38957a9a3dd624283a8ea95246b7eb671edf,f8cb1bca47d2b380ed59c203c9dd93825fb737d1,65b99a5d4b3c039eef55dcd6f76faaf20c8b97f5,7ca863e541b9209b8f9f7409449361933cedaeb8,ee0ff5024250c45bac58aa7c82340383fc8c233c
25,,5aa43e94937c8f44ad4f32f2ba406440e3cdcca6,e992207ee0fb9cf49f18fefff2a4a2ee9a3f74eb,56f9c294427745eec539678e8b89d23c515399b5,7e6889b9a7687e946166b51f993dc717115e8b77,5729c6456c76ebde376a6d293624f75b7c815949
26,,2a8101ae6956c7fbd0c424d20e018e99ffde158f,92cd815779dd5665b4de6b0a86215caeec85317f,15044936ee5292ed78c65362a5a8a1f27f2fa523,108504088e4418b7db8b882679e4f01e72858984,319311a62d01454d3d324855e5a214b055d1daea
27,,85218e42077884c662a82190e7dfc37aff52904f,c08490f6c39037989fb65a0dea3650593d147599,92755c85e84a569d03a6b3348b42745b12f6b8d6,d17da2d8f4e13628e0d127e984e96ce808e3b81f,5e2df8955915268c919f7e0e6ca22d3a3019296f
28,,533dcbb39001ec732873c889df17cf2d04ca4f36,fc27300abf2b5ebcff1dedd587c9b86b1712c1c6,79c263b04a51b0ce4c0f03d5f63965d7476ca3fd,e8e8689975989c10ce99659ba96ad55bbe5a0905,b67ac584c106a5a6738a46839db4d21782f12795
29,,c705f9c027307755d13a7f8411c95ea11835feaf,9110b2bf2c2ed85950f2d12ce9a1aa7c7f6629b5,482c024a208e3a8d9e4cf54776b8fe80b714f141,9af0f598774f32cff8979e97413bfcbfc2b5b0b0,396146e50bd5c6e8f306eb66178bcef38b7e06cf
2A,,1a7e39fee5d9b8029045dcb807eeb63f717a40f8,77927e1373573c7a3c42297041e3831ba8ee23c0,40c099b872a37d0def55fb1eab28055bf420b9e1,efbd7064b9da13be968d3506bc5d250a710af267,44a77bbe6db6698898087d81653b4275c0951556
2B,,a9965d84d7e03bcf467d90912bb0150178deab80,224192055130a93a91441238ae9743cb978e2072,40bd97214f6afee533b9d29979a215dac0687f87,96d26b8c86757d4f0293f403740115521bf38c1d,a3c41a46011c5e68643667a7d71f529d44304987
2C,,ef9429bfefb02cfac0e04046d6df0966df3906f9,40e9f75c9fd1ccd90ca7dee64983b4b05f6bdb0b,5fb3d4fe8a67628c33a86adaaffbd64a2378d237,c850c7119ded1c49e68344d3d4e43f7b140cd573,00ca54fa4e37e02ef086323d49493f6c871814bd
2D,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
2E,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
2F,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
30,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
31,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
32,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
33,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
34,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
35,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
36,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
37,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
38,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
39,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
3A,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
3B,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
3C,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
3D,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
3E,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
3F,,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1,897256b6709e1a4da9daba92b6bde39ccfccd8c1
