version,pool_record_index_zero_based,bank_hex,bank_offset_hex,cpu_address_hex,file_offset_hex,record_length,description,next_count,reference_count,referencing_slots,referencing_item_ids_hex,raw_hex,record_raw_hex,undefined_code_count
KOREAN_GOLD,10,0x6E,0x034B,0x434B,0x1B834B,31,얼음상태를 치료하여 회복시킨다,0,1,10,0x0B,06 f3 07 8d 05 c3 09 92 04 36 7f 09 01 04 11 0a 6f 07 09 7f 0a b8 05 19 06 63 09 82 02 d9,06 f3 07 8d 05 c3 09 92 04 36 7f 09 01 04 11 0a 6f 07 09 7f 0a b8 05 19 06 63 09 82 02 d9 50,0
KOREAN_GOLD,11,0x6E,0x036A,0x436A,0x1B836A,31,졸음상태를 치료하여 회복시킨다,0,1,11,0x0C,07 e9 07 8d 05 c3 09 92 04 36 7f 09 01 04 11 0a 6f 07 09 7f 0a b8 05 19 06 63 09 82 02 d9,07 e9 07 8d 05 c3 09 92 04 36 7f 09 01 04 11 0a 6f 07 09 7f 0a b8 05 19 06 63 09 82 02 d9 50,0
KOREAN_GOLD,12,0x6E,0x0389,0x4389,0x1B8389,31,마비상태를 치료하여 회복시킨다,0,1,12,0x0D,04 46 05 61 05 c3 09 92 04 36 7f 09 01 04 11 0a 6f 07 09 7f 0a b8 05 19 06 63 09 82 02 d9,04 46 05 61 05 c3 09 92 04 36 7f 09 01 04 11 0a 6f 07 09 7f 0a b8 05 19 06 63 09 82 02 d9 50,0
KOREAN_GOLD,13,0x6E,0x03A8,0x43A8,0x1B83A8,40,모든 상태 이상과<NEXT>체력을 전부 회복시킨다,1,1,13,0x0E,04 90 03 47 7f 05 c3 09 92 7f 07 9c 05 c3 01 6a 59 08 bc 03 f2 07 8b 7f 07 cc 05 2e 7f 0a b8 05 19 06 63 09 82 02 d9,04 90 03 47 7f 05 c3 09 92 7f 07 9c 05 c3 01 6a 59 08 bc 03 f2 07 8b 7f 07 cc 05 2e 7f 0a b8 05 19 06 63 09 82 02 d9 50,0
KOREAN_GOLD,14,0x6E,0x03D0,0x43D0,0x1B83D0,23,체력을 전부 회복시킨다,0,1,14,0x0F,08 bc 03 f2 07 8b 7f 07 cc 05 2e 7f 0a b8 05 19 06 63 09 82 02 d9,08 bc 03 f2 07 8b 7f 07 cc 05 2e 7f 0a b8 05 19 06 63 09 82 02 d9 50,0
KOREAN_GOLD,15,0x6E,0x03E7,0x43E7,0x1B83E7,22,체력을 200 회복시킨다,0,1,15,0x10,08 bc 03 f2 07 8b 7f f8 f6 f6 7f 0a b8 05 19 06 63 09 82 02 d9,08 bc 03 f2 07 8b 7f f8 f6 f6 7f 0a b8 05 19 06 63 09 82 02 d9 50,0
KOREAN_GOLD,16,0x6E,0x03FD,0x43FD,0x1B83FD,21,체력을 50 회복시킨다,0,1,16,0x11,08 bc 03 f2 07 8b 7f fb f6 7f 0a b8 05 19 06 63 09 82 02 d9,08 bc 03 f2 07 8b 7f fb f6 7f 0a b8 05 19 06 63 09 82 02 d9 50,0
KOREAN_GOLD,17,0x6E,0x0412,0x4412,0x1B8412,21,체력을 20 회복시킨다,0,1,17,0x12,08 bc 03 f2 07 8b 7f f8 f6 7f 0a b8 05 19 06 63 09 82 02 d9,08 bc 03 f2 07 8b 7f f8 f6 7f 0a b8 05 19 06 63 09 82 02 d9 50,0
KOREAN_GOLD,18,0x6E,0x0427,0x4427,0x1B8427,31,동굴 등지에서 빠져나올 수 있다,0,1,18,0x13,03 1f 01 8c 7f 03 4e 08 26 07 01 05 dd 7f 05 6c 07 de 02 3a 07 23 7f 06 26 7f 07 a6 02 d9,03 1f 01 8c 7f 03 4e 08 26 07 01 05 dd 7f 05 6c 07 de 02 3a 07 23 7f 06 26 7f 07 a6 02 d9 50,0
KOREAN_GOLD,19,0x6E,0x0446,0x4446,0x1B8446,45,100보 동안에 약한 포켓몬이랑<NEXT>만나지 않게된다,1,1,19,0x14,f7 f6 f6 05 18 7f 03 1f 06 c8 07 01 7f 06 e0 0a 71 7f 0a 27 09 2f 04 93 07 9c 03 cb 59 04 48 02 3a 08 26 7f 06 ca 01 34 03 28 02 d9,f7 f6 f6 05 18 7f 03 1f 06 c8 07 01 7f 06 e0 0a 71 7f 0a 27 09 2f 04 93 07 9c 03 cb 59 04 48 02 3a 08 26 7f 06 ca 01 34 03 28 02 d9 50,0
KOREAN_GOLD,20,0x6E,0x0473,0x4473,0x1B8473,52,포켓몬 1마리의 모든 기술<NEXT>포인트를 전부 회복시켜준다,1,1,20,0x15,0a 27 09 2f 04 93 7f f7 04 46 04 3e 07 97 7f 04 90 03 47 7f 01 b2 06 2a 59 0a 27 07 9e 09 de 04 36 7f 07 cc 05 2e 7f 0a b8 05 19 06 63 09 31 08 08 02 d9,0a 27 09 2f 04 93 7f f7 04 46 04 3e 07 97 7f 04 90 03 47 7f 01 b2 06 2a 59 0a 27 07 9e 09 de 04 36 7f 07 cc 05 2e 7f 0a b8 05 19 06 63 09 31 08 08 02 d9 50,0
KOREAN_GOLD,21,0x6E,0x04A7,0x44A7,0x1B84A7,25,특정 포켓몬을 진화시킨다,0,1,21,0x16,09 df 07 d4 7f 0a 27 09 2f 04 93 07 8b 7f 08 28 0a ad 06 63 09 82 02 d9,09 df 07 d4 7f 0a 27 09 2f 04 93 07 8b 7f 08 28 0a ad 06 63 09 82 02 d9 50,0
KOREAN_GOLD,22,0x6E,0x04C0,0x44C0,0x1B84C0,25,특정 포켓몬을 진화시킨다,0,1,22,0x17,09 df 07 d4 7f 0a 27 09 2f 04 93 07 8b 7f 08 28 0a ad 06 63 09 82 02 d9,09 df 07 d4 7f 0a 27 09 2f 04 93 07 8b 7f 08 28 0a ad 06 63 09 82 02 d9 50,0
KOREAN_GOLD,23,0x6E,0x04D9,0x44D9,0x1B84D9,25,특정 포켓몬을 진화시킨다,0,1,23,0x18,09 df 07 d4 7f 0a 27 09 2f 04 93 07 8b 7f 08 28 0a ad 06 63 09 82 02 d9,09 df 07 d4 7f 0a 27 09 2f 04 93 07 8b 7f 08 28 0a ad 06 63 09 82 02 d9 50,0
KOREAN_GOLD,24,0x6E,0x04F2,0x44F2,0x1B84F2,3,?,0,1,24,0x19,0b 67,0b 67 50,0
KOREAN_GOLD,25,0x6E,0x04F5,0x44F5,0x1B84F5,29,체력의 기초포인트를 올려준다,0,1,25,0x1A,08 bc 03 f2 07 97 7f 01 b2 08 ca 0a 27 07 9e 09 de 04 36 7f 07 23 03 f1 08 08 02 d9,08 bc 03 f2 07 97 7f 01 b2 08 ca 0a 27 07 9e 09 de 04 36 7f 07 23 03 f1 08 08 02 d9 50,0
KOREAN_GOLD,26,0x6E,0x0512,0x4512,0x1B8512,29,공격의 기초포인트를 올려준다,0,1,26,0x1B,01 68 01 3d 07 97 7f 01 b2 08 ca 0a 27 07 9e 09 de 04 36 7f 07 23 03 f1 08 08 02 d9,01 68 01 3d 07 97 7f 01 b2 08 ca 0a 27 07 9e 09 de 04 36 7f 07 23 03 f1 08 08 02 d9 50,0
KOREAN_GOLD,27,0x6E,0x052F,0x452F,0x1B852F,29,방어의 기초포인트를 올려준다,0,1,27,0x1C,04 e6 06 ee 07 97 7f 01 b2 08 ca 0a 27 07 9e 09 de 04 36 7f 07 23 03 f1 08 08 02 d9,04 e6 06 ee 07 97 7f 01 b2 08 ca 0a 27 07 9e 09 de 04 36 7f 07 23 03 f1 08 08 02 d9 50,0
KOREAN_GOLD,28,0x6E,0x054C,0x454C,0x1B854C,31,스피드의 기초포인트를 올려준다,0,1,28,0x1D,06 4a 0a 67 03 45 07 97 7f 01 b2 08 ca 0a 27 07 9e 09 de 04 36 7f 07 23 03 f1 08 08 02 d9,06 4a 0a 67 03 45 07 97 7f 01 b2 08 ca 0a 27 07 9e 09 de 04 36 7f 07 23 03 f1 08 08 02 d9 50,0
KOREAN_GOLD,29,0x6E,0x056B,0x456B,0x1B856B,44,럭키에게 지니게 하면<NEXT>급소를 맞추기 쉽게된다,1,1,29,0x1E,03 e0 09 80 07 01 01 34 7f 08 26 02 cf 01 34 7f 0a 6f 04 89 59 01 ae 06 02 04 36 7f 04 62 08 df 01 b2 7f 06 41 01 34 03 28 02 d9,03 e0 09 80 07 01 01 34 7f 08 26 02 cf 01 34 7f 0a 6f 04 89 59 01 ae 06 02 04 36 7f 04 62 08 df 01 b2 7f 06 41 01 34 03 28 02 d9 50,0
KOREAN_GOLD,30,0x6E,0x0597,0x4597,0x1B8597,42,특수공격 특수방어의<NEXT>기초포인트를 올려준다,1,1,30,0x1F,09 df 06 26 01 68 01 3d 7f 09 df 06 26 04 e6 06 ee 07 97 59 01 b2 08 ca 0a 27 07 9e 09 de 04 36 7f 07 23 03 f1 08 08 02 d9,09 df 06 26 01 68 01 3d 7f 09 df 06 26 04 e6 06 ee 07 97 59 01 b2 08 ca 0a 27 07 9e 09 de 04 36 7f 07 23 03 f1 08 08 02 d9 50,0
KOREAN_GOLD,31,0x6E,0x05C1,0x45C1,0x1B85C1,27,포켓몬의 레벨을 1 올려준다,0,1,31,0x20,0a 27 09 2f 04 93 07 97 7f 03 e9 05 07 07 8b 7f f7 7f 07 23 03 f1 08 08 02 d9,0a 27 09 2f 04 93 07 97 7f 03 e9 05 07 07 8b 7f f7 7f 07 23 03 f1 08 08 02 d9 50,0
KOREAN_GOLD,32,0x6E,0x05DC,0x45DC,0x1B85DC,45,사용한 전투중에서만<NEXT>기술이 명중하기 쉽게된다,1,1,32,0x21,05 b7 07 4b 0a 71 7f 07 cc 09 c5 08 0f 07 01 05 dd 04 48 59 01 b2 06 2a 07 9c 7f 04 8d 08 0f 0a 6f 01 b2 7f 06 41 01 34 03 28 02 d9,05 b7 07 4b 0a 71 7f 07 cc 09 c5 08 0f 07 01 05 dd 04 48 59 01 b2 06 2a 07 9c 7f 04 8d 08 0f 0a 6f 01 b2 7f 06 41 01 34 03 28 02 d9 50,0
KOREAN_GOLD,33,0x6E,0x0609,0x4609,0x1B8609,25,특정 포켓몬을 진화시킨다,0,1,33,0x22,09 df 07 d4 7f 0a 27 09 2f 04 93 07 8b 7f 08 28 0a ad 06 63 09 82 02 d9,09 df 07 d4 7f 0a 27 09 2f 04 93 07 8b 7f 08 28 0a ad 06 63 09 82 02 d9 50,0
KOREAN_GOLD,34,0x6E,0x0622,0x4622,0x1B8622,40,메타몽에게 지니게하면<NEXT>방어력이 올라간다,1,1,34,0x23,04 7e 09 88 04 99 07 01 01 34 7f 08 26 02 cf 01 34 0a 6f 04 89 59 04 e6 06 ee 03 f2 07 9c 7f 07 23 03 c3 01 03 02 d9,04 7e 09 88 04 99 07 01 01 34 7f 08 26 02 cf 01 34 0a 6f 04 89 59 04 e6 06 ee 03 f2 07 9c 7f 07 23 03 c3 01 03 02 d9 50,0
KOREAN_GOLD,35,0x6E,0x064A,0x464A,0x1B864A,23,순금성분<NEXT>비싸게 팔린다,1,1,35,0x24,06 28 01 ad 05 ea 05 30 59 05 61 06 6e 01 34 7f 09 f8 04 40 02 d9,06 28 01 ad 05 ea 05 30 59 05 61 06 6e 01 34 7f 09 f8 04 40 02 d9 50,0
KOREAN_GOLD,36,0x6E,0x0661,0x4661,0x1B8661,52,우연히 만난 야생 포켓몬에게서<NEXT>반드시 도망칠 수 있다,1,1,36,0x25,07 4c 07 0c 0a f7 7f 04 48 02 3d 7f 06 df 05 cd 7f 0a 27 09 2f 04 93 07 01 01 34 05 dd 59 04 dd 03 45 06 63 7f 03 15 04 61 09 05 7f 06 26 7f 07 a6 02 d9,07 4c 07 0c 0a f7 7f 04 48 02 3d 7f 06 df 05 cd 7f 0a 27 09 2f 04 93 07 01 01 34 05 dd 59 04 dd 03 45 06 63 7f 03 15 04 61 09 05 7f 06 26 7f 07 a6 02 d9 50,0
KOREAN_GOLD,37,0x6E,0x0695,0x4695,0x1B8695,30,모든 상태 이상을<NEXT>회복시켜준다,1,1,37,0x26,04 90 03 47 7f 05 c3 09 92 7f 07 9c 05 c3 07 8b 59 0a b8 05 19 06 63 09 31 08 08 02 d9,04 90 03 47 7f 05 c3 09 92 7f 07 9c 05 c3 07 8b 59 0a b8 05 19 06 63 09 31 08 08 02 d9 50,0
KOREAN_GOLD,38,0x6E,0x06B3,0x46B3,0x1B86B3,47,체력을 절반인 상태로<NEXT>기절상태에서 회복시켜준다,1,1,38,0x27,08 bc 03 f2 07 8b 7f 07 cd 04 dd 07 9e 7f 05 c3 09 92 03 fe 59 01 b2 07 cd 05 c3 09 92 07 01 05 dd 7f 0a b8 05 19 06 63 09 31 08 08 02 d9,08 bc 03 f2 07 8b 7f 07 cd 04 dd 07 9e 7f 05 c3 09 92 03 fe 59 01 b2 07 cd 05 c3 09 92 07 01 05 dd 7f 0a b8 05 19 06 63 09 31 08 08 02 d9 50,0
KOREAN_GOLD,39,0x6E,0x06E2,0x46E2,0x1B86E2,45,체력을 전체 상태로<NEXT>기절상태에서 회복시켜준다,1,1,39,0x28,08 bc 03 f2 07 8b 7f 07 cc 08 bc 7f 05 c3 09 92 03 fe 59 01 b2 07 cd 05 c3 09 92 07 01 05 dd 7f 0a b8 05 19 06 63 09 31 08 08 02 d9,08 bc 03 f2 07 8b 7f 07 cc 08 bc 7f 05 c3 09 92 03 fe 59 01 b2 07 cd 05 c3 09 92 07 01 05 dd 7f 0a b8 05 19 06 63 09 31 08 08 02 d9 50,0
KOREAN_GOLD,40,0x6E,0x070F,0x470F,0x1B870F,47,사용한 전투중에서만<NEXT>능력을 떨어뜨리지 않게된다,1,1,40,0x29,05 b7 07 4b 0a 71 7f 07 cc 09 c5 08 0f 07 01 05 dd 04 48 59 02 c9 03 f2 07 8b 7f 03 83 06 ee 03 af 04 3e 08 26 7f 06 ca 01 34 03 28 02 d9,05 b7 07 4b 0a 71 7f 07 cc 09 c5 08 0f 07 01 05 dd 04 48 59 02 c9 03 f2 07 8b 7f 03 83 06 ee 03 af 04 3e 08 26 7f 06 ca 01 34 03 28 02 d9 50,0
KOREAN_GOLD,41,0x6E,0x073E,0x473E,0x1B873E,45,200보 이내에서 약한 포켓몬과<NEXT>만나지 않게된다,1,1,41,0x2A,f8 f6 f6 05 18 7f 07 9c 02 4b 07 01 05 dd 7f 06 e0 0a 71 7f 0a 27 09 2f 04 93 01 6a 59 04 48 02 3a 08 26 7f 06 ca 01 34 03 28 02 d9,f8 f6 f6 05 18 7f 07 9c 02 4b 07 01 05 dd 7f 06 e0 0a 71 7f 0a 27 09 2f 04 93 01 6a 59 04 48 02 3a 08 26 7f 06 ca 01 34 03 28 02 d9 50,0
KOREAN_GOLD,42,0x6E,0x076B,0x476B,0x1B876B,45,250보 이내에서 약한 포켓몬과<NEXT>만나지 않게된다,1,1,42,0x2B,f8 fb f6 05 18 7f 07 9c 02 4b 07 01 05 dd 7f 06 e0 0a 71 7f 0a 27 09 2f 04 93 01 6a 59 04 48 02 3a 08 26 7f 06 ca 01 34 03 28 02 d9,f8 fb f6 05 18 7f 07 9c 02 4b 07 01 05 dd 7f 06 e0 0a 71 7f 0a 27 09 2f 04 93 01 6a 59 04 48 02 3a 08 26 7f 06 ca 01 34 03 28 02 d9 50,0
KOREAN_GOLD,43,0x6E,0x0798,0x4798,0x1B8798,47,사용한 전투중에서만<NEXT>급소에 명중시키기 쉽게된다,1,1,43,0x2C,05 b7 07 4b 0a 71 7f 07 cc 09 c5 08 0f 07 01 05 dd 04 48 59 01 ae 06 02 07 01 7f 04 8d 08 0f 06 63 09 80 01 b2 7f 06 41 01 34 03 28 02 d9,05 b7 07 4b 0a 71 7f 07 cc 09 c5 08 0f 07 01 05 dd 04 48 59 01 ae 06 02 07 01 7f 04 8d 08 0f 06 63 09 80 01 b2 7f 06 41 01 34 03 28 02 d9 50,0
KOREAN_GOLD,44,0x6E,0x07C7,0x47C7,0x1B87C7,3,?,0,1,44,0x2D,0b 67,0b 67 50,0
KOREAN_GOLD,45,0x6E,0x07CA,0x47CA,0x1B87CA,47,은빛 산에서 손에 넣었다<NEXT>체력을 50 회복시켜준다,1,1,45,0x2E,07 8a 05 6b 7f 05 ba 07 01 05 dd 7f 06 05 07 01 7f 02 76 06 fa 02 d9 59 08 bc 03 f2 07 8b 7f fb f6 7f 0a b8 05 19 06 63 09 31 08 08 02 d9,07 8a 05 6b 7f 05 ba 07 01 05 dd 7f 06 05 07 01 7f 02 76 06 fa 02 d9 59 08 bc 03 f2 07 8b 7f fb f6 7f 0a b8 05 19 06 63 09 31 08 08 02 d9 50,0
KOREAN_GOLD,46,0x6E,0x07F9,0x47F9,0x1B87F9,46,시원하고 상쾌한 맛이다<NEXT>체력을 60 회복시켜준다,1,1,46,0x2F,06 63 07 68 0a 6f 01 4d 7f 05 c3 09 48 0a 71 7f 04 60 07 9c 02 d9 59 08 bc 03 f2 07 8b 7f fc f6 7f 0a b8 05 19 06 63 09 31 08 08 02 d9,06 63 07 68 0a 6f 01 4d 7f 05 c3 09 48 0a 71 7f 04 60 07 9c 02 d9 59 08 bc 03 f2 07 8b 7f fc f6 7f 0a b8 05 19 06 63 09 31 08 08 02 d9 50,0
KOREAN_GOLD,47,0x6E,0x0827,0x4827,0x1B8827,37,매우 달콤하다<NEXT>체력을 80 회복시켜준다,1,1,47,0x30,04 65 07 4c 7f 02 de 09 3e 0a 6f 02 d9 59 08 bc 03 f2 07 8b 7f fe f6 7f 0a b8 05 19 06 63 09 31 08 08 02 d9,04 65 07 4c 7f 02 de 09 3e 0a 6f 02 d9 59 08 bc 03 f2 07 8b 7f fe f6 7f 0a b8 05 19 06 63 09 31 08 08 02 d9 50,0
KOREAN_GOLD,48,0x6E,0x084C,0x484C,0x1B884C,38,사용한 전투중에서만<NEXT>공격력이 올라간다,1,1,48,0x31,05 b7 07 4b 0a 71 7f 07 cc 09 c5 08 0f 07 01 05 dd 04 48 59 01 68 01 3d 03 f2 07 9c 7f 07 23 03 c3 01 03 02 d9,05 b7 07 4b 0a 71 7f 07 cc 09 c5 08 0f 07 01 05 dd 04 48 59 01 68 01 3d 03 f2 07 9c 7f 07 23 03 c3 01 03 02 d9 50,0
KOREAN_GOLD,49,0x6E,0x0872,0x4872,0x1B8872,3,?,0,1,49,0x32,0b 67,0b 67 50,0
KOREAN_GOLD,50,0x6E,0x0875,0x4875,0x1B8875,38,사용한 전투중에서만<NEXT>방어력이 올라간다,1,1,50,0x33,05 b7 07 4b 0a 71 7f 07 cc 09 c5 08 0f 07 01 05 dd 04 48 59 04 e6 06 ee 03 f2 07 9c 7f 07 23 03 c3 01 03 02 d9,05 b7 07 4b 0a 71 7f 07 cc 09 c5 08 0f 07 01 05 dd 04 48 59 04 e6 06 ee 03 f2 07 9c 7f 07 23 03 c3 01 03 02 d9 50,0
KOREAN_GOLD,51,0x6E,0x089B,0x489B,0x1B889B,38,사용한 전투중에서만<NEXT>스피드가 올라간다,1,1,51,0x34,05 b7 07 4b 0a 71 7f 07 cc 09 c5 08 0f 07 01 05 dd 04 48 59 06 4a 0a 67 03 45 01 01 7f 07 23 03 c3 01 03 02 d9,05 b7 07 4b 0a 71 7f 07 cc 09 c5 08 0f 07 01 05 dd 04 48 59 06 4a 0a 67 03 45 01 01 7f 07 23 03 c3 01 03 02 d9 50,0
KOREAN_GOLD,52,0x6E,0x08C1,0x48C1,0x1B88C1,42,사용한 전투중에서만<NEXT>특수공격력이 올라간다,1,1,52,0x35,05 b7 07 4b 0a 71 7f 07 cc 09 c5 08 0f 07 01 05 dd 04 48 59 09 df 06 26 01 68 01 3d 03 f2 07 9c 7f 07 23 03 c3 01 03 02 d9,05 b7 07 4b 0a 71 7f 07 cc 09 c5 08 0f 07 01 05 dd 04 48 59 09 df 06 26 01 68 01 3d 03 f2 07 9c 7f 07 23 03 c3 01 03 02 d9 50,0
KOREAN_GOLD,53,0x6E,0x08EB,0x48EB,0x1B88EB,45,손에 넣은 동전을<NEXT>9999개까지 지닐 수 있게된다,1,1,53,0x36,06 05 07 01 7f 02 76 07 8a 7f 03 1f 07 cc 07 8b 59 ff ff ff ff 01 13 01 be 08 26 7f 08 26 02 d2 7f 06 26 7f 07 a6 01 34 03 28 02 d9,06 05 07 01 7f 02 76 07 8a 7f 03 1f 07 cc 07 8b 59 ff ff ff ff 01 13 01 be 08 26 7f 08 26 02 d2 7f 06 26 7f 07 a6 01 34 03 28 02 d9 50,0
KOREAN_GOLD,54,0x6E,0x0918,0x4918,0x1B8918,46,보이지 않는 도구에 반응해서<NEXT>소리로 가르쳐준다,1,1,54,0x37,05 18 07 9c 08 26 7f 06 ca 02 c2 7f 03 15 01 88 07 01 7f 04 dd 07 90 0a 78 05 dd 59 06 02 04 3e 03 fe 7f 01 01 04 33 08 c4 08 08 02 d9,05 18 07 9c 08 26 7f 06 ca 02 c2 7f 03 15 01 88 07 01 7f 04 dd 07 90 0a 78 05 dd 59 06 02 04 3e 03 fe 7f 01 01 04 33 08 c4 08 08 02 d9 50,0
KOREAN_GOLD,55,0x6E,0x0946,0x4946,0x1B8946,3,?,0,1,55,0x38,0b 67,0b 67 50,0
KOREAN_GOLD,56,0x6E,0x0949,0x4949,0x1B8949,52,지니고 있는 것만으로도 경험치를<NEXT>나누어 받을 수 있다,1,1,56,0x39,08 26 02 cf 01 4d 7f 07 a6 02 c2 7f 01 2d 04 48 07 88 03 fe 03 15 7f 01 46 0a 88 09 01 04 36 59 02 3a 02 a9 06 ee 7f 04 de 07 8b 7f 06 26 7f 07 a6 02 d9,08 26 02 cf 01 4d 7f 07 a6 02 c2 7f 01 2d 04 48 07 88 03 fe 03 15 7f 01 46 0a 88 09 01 04 36 59 02 3a 02 a9 06 ee 7f 04 de 07 8b 7f 06 26 7f 07 a6 02 d9 50,0
KOREAN_GOLD,57,0x6E,0x097D,0x497D,0x1B897D,40,물가에서 사용하면<NEXT>포켓몬을 낚을 수 있다,1,1,57,0x3A,04 b0 01 01 07 01 05 dd 7f 05 b7 07 4b 0a 6f 04 89 59 0a 27 09 2f 04 93 07 8b 7f 02 3c 07 8b 7f 06 26 7f 07 a6 02 d9,04 b0 01 01 07 01 05 dd 7f 05 b7 07 4b 0a 6f 04 89 59 0a 27 09 2f 04 93 07 8b 7f 02 3c 07 8b 7f 06 26 7f 07 a6 02 d9 50,0
KOREAN_GOLD,58,0x6E,0x09A5,0x49A5,0x1B89A5,41,포켓몬을 낚기 위한 도구<NEXT>약간 좋은 낚싯대,1,1,58,0x3B,0a 27 09 2f 04 93 07 8b 7f 02 3c 01 b2 7f 07 77 0a 71 7f 03 15 01 88 59 06 e0 01 03 7f 07 f1 07 8a 7f 02 3c 06 6b 02 eb,0a 27 09 2f 04 93 07 8b 7f 02 3c 01 b2 7f 07 77 0a 71 7f 03 15 01 88 59 06 e0 01 03 7f 07 f1 07 8a 7f 02 3c 06 6b 02 eb 50,0
