generation,game_id,platform_id,package_kind,release_id,dump_id,market,language,filename,size_bytes,md5,sha1,sha256,header_title,header_game_code,header_version,header_checksum_valid,global_checksum_valid,header_complement_valid,coordinate
GEN-02,SILVER,GBC,CART,AAXK-HV0,DUMP-SHA256-EBBAC63C0C4309C8,KOR,ko,Pocket Monsters Eun (Korea).gbc,2097152,f5e14b069eaddee42735572bd23f7ef8,cb22d7e03a74dc3a563fde6be8626626b2b392e7,ebbac63c0c4309c82dbb6723e7163369784f962b4fd3e2f486075307c3008a22,POKEMON_SLV,AAXK,0,True,True,,GEN-02/SILVER/RELEASES/GBC/CART/AAXK-HV0
GEN-02,GOLD,GBC,CART,AAUK-HV0,DUMP-SHA256-9C273E86E6120C6A,KOR,ko,Pocket Monsters Geum (Korea).gbc,2097152,82bd1d9171e60f147d9eeea13ef07a12,c0ff3999e1093e1af59ef3eea3f1bfd7c1f18a65,9c273e86e6120c6a038160ccb0153b8b20425b84fc08a496281c1d1bcac492f6,POKEMON_GLD,AAUK,0,True,True,,GEN-02/GOLD/RELEASES/GBC/CART/AAUK-HV0
GEN-02,SILVER,GBC,CART,AAXJ-HV1,DUMP-SHA256-99E5267FBF5A7748,JPN,ja,Pocket Monsters Gin (Japan) (Rev A).gbc,1048576,75519c8b57cea3ac91133b3dec7658de,a11d5ddc26eb826086593f82370b15d16404d33e,99e5267fbf5a7748d4f3b75ba1990cb5d91348339468607a04bfbc6081c62d71,POKEMON_SLV,AAXJ,1,True,True,,GEN-02/SILVER/RELEASES/GBC/CART/AAXJ-HV1
GEN-02,GOLD,GBC,CART,AAUJ-HV1,DUMP-SHA256-27A07A1D3FAF9C6A,JPN,ja,Pocket Monsters Kin (Japan) (Rev A).gbc,1048576,79aece8a042e4fa57aba9455c4d21a97,a222402235d484ee8e39f3f31bae57cf13daf585,27a07a1d3faf9c6a0b1b60d5e88ee3a4159a751a47b4c46ab09f1202d52bac3e,POKEMON_GLD,AAUJ,1,True,True,,GEN-02/GOLD/RELEASES/GBC/CART/AAUJ-HV1
GEN-01,BLUE,GB,CART,US-EU-EN-HV0,DUMP-SHA256-2A951313C2640E8C,USA-EUR,en,"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",1048576,50927e843568814f7ed45ec4f944bd8b,d7037c83e1ae5b39bde3c30787637ba1d4c48ce2,2a951313c2640e8c2cb21f25d1db019ae6245d9c7121f754fa61afd7bee6452d,POKEMON BLUE,,0,True,True,,GEN-01/BLUE/RELEASES/GB/CART/US-EU-EN-HV0
GEN-02,CRYSTAL,GBC,CART,BYTE-HV1,DUMP-SHA256-FDCC3C8C43813CF8,USA-EUR,en,"Pokemon - Crystal Version (USA, Europe) (Rev A).gbc",2097152,301899b8087289a6436b0a241fbbb474,f2f52230b536214ef7c9924f483392993e226cfb,fdcc3c8c43813cf8731fc037d2a6d191bac75439c34b24ba1c27526e6acdc8a2,PM_CRYSTAL,BYTE,1,True,True,,GEN-02/CRYSTAL/RELEASES/GBC/CART/BYTE-HV1
GEN-03,EMERALD,GBA,CART,BPEE-HV0,DUMP-SHA256-A9DEC84DFE7F62AB,USA-EUR,en,"Pokemon - Emerald Version (USA, Europe).gba",16777216,605b89b67018abcea91e693a4dd25be3,f3ae088181bf583e55daf962a92bb46f4f1d07b7,a9dec84dfe7f62ab2220bafaef7479da0929d066ece16a6885f6226db19085af,POKEMON EMER,BPEE,0,,,True,GEN-03/EMERALD/RELEASES/GBA/CART/BPEE-HV0
GEN-03,FIRERED,GBA,CART,BPRE-HV1,DUMP-SHA256-6D306E01BA04907E,USA-EUR,en,"Pokemon - Fire Red Version (USA, Europe) (Rev 1).gba",16777216,84cea5f7a46531213c7a27bc3d72de95,c4d0119d9bcb36687f41a8f7ca72ab7af60558e4,6d306e01ba04907efaa0611a32fee3b440a1e8ac8b4e0acdd223dc9281afa170,POKEMON FIRE,BPRE,1,,,True,GEN-03/FIRERED/RELEASES/GBA/CART/BPRE-HV1
GEN-02,GOLD,GBC,CART,AAUE-HV0,DUMP-SHA256-FB0016D27B1E5374,USA-EUR,en,"Pokemon - Gold Version (USA, Europe).gbc",2097152,a6924ce1f9ad2228e1c6580779b23878,d8b8a3600a465308c9953dfa04f0081c05bdcb94,fb0016d27b1e5374e1ec9fcad60e6628d8646103b5313ca683417f52b97e7e4e,POKEMON_GLD,AAUE,0,True,True,,GEN-02/GOLD/RELEASES/GBC/CART/AAUE-HV0
GEN-03,LEAFGREEN,GBA,CART,BPGE-HV1,DUMP-SHA256-2F978F635B9593F6,EUR,en,Pokemon - Leaf Green Version (Europe) (Rev 1).gba,16777216,9d33a02159e018d09073e700e1fd10fd,7862c67bdecbe21d1d69ce082ce34327e1c6ed5e,2f978f635b9593f6ca26ec42481c53a6b39f6cddd894ad5c062c1419fac58825,POKEMON LEAF,BPGE,1,,,True,GEN-03/LEAFGREEN/RELEASES/GBA/CART/BPGE-HV1
GEN-01,RED,GB,CART,US-EU-EN-HV0,DUMP-SHA256-5CA7BA01642A3B27,USA-EUR,en,"Pokemon - Red Version (USA, Europe) (SGB Enhanced).gb",1048576,3d45c1ee9abd5738df46d2bdda8b57dc,ea9bcae617fdf159b045185467ae58b2e4a48b9a,5ca7ba01642a3b27b0cc0b5349b52792795b62d3ed977e98a09390659af96b7b,POKEMON RED,,0,True,True,,GEN-01/RED/RELEASES/GB/CART/US-EU-EN-HV0
GEN-03,RUBY,GBA,CART,AXVE-HV2,DUMP-SHA256-0FDD36E92B75BED6,USA-EUR,en,"Pokemon - Ruby Version (USA, Europe) (Rev 2).gba",16777216,3e1b2065b3837c14ffbd03fe205fdfd7,5b64eacf892920518db4ec664e62a086dd5f5bc8,0fdd36e92b75bed65d09df4635ab0b707b288c2bf1dc4c6e7a4a4f0eebe9d64c,POKEMON RUBY,AXVE,2,,,True,GEN-03/RUBY/RELEASES/GBA/CART/AXVE-HV2
GEN-03,SAPPHIRE,GBA,CART,AXPE-HV2,DUMP-SHA256-02CA41513580A8B7,USA-EUR,en,"Pokemon - Sapphire Version (USA, Europe) (Rev 2).gba",16777216,9bc2b765ca6997175fac51e6cdc29089,89b45fb172e6b55d51fc0e61989775187f6fe63c,02ca41513580a8b780989dee428df747b52a0b1a55bec617886b4059eb1152fb,POKEMON SAPP,AXPE,2,,,True,GEN-03/SAPPHIRE/RELEASES/GBA/CART/AXPE-HV2
GEN-02,SILVER,GBC,CART,AAXE-HV0,DUMP-SHA256-72B190859A59623C,USA-EUR,en,"Pokemon - Silver Version (USA, Europe).gbc",2097152,2ac166169354e84d0e2d7cf4cb40b312,49b163f7e57702bc939d642a18f591de55d92dae,72b190859a59623cbef6c49d601f8de52c1d2331b4f08a8d2acc17274fc19a8c,POKEMON_SLV,AAXE,0,True,True,,GEN-02/SILVER/RELEASES/GBC/CART/AAXE-HV0
GEN-01,YELLOW,GBC,CART,US-EU-EN-HV0,DUMP-SHA256-8CBAA499397E4F1A,USA-EUR,en,"Pokemon - Yellow Version (USA, Europe).gbc",1048576,d9290db87b1f0a23b89f99ee4469e34b,cc7d03262ebfaf2f06772c1a480c7d9d5f4a38e1,8cbaa499397e4f1a679c992ea9382a2dd7942ab398b48c19829c2d9529de47bf,POKEMON YELLOW,,0,True,True,,GEN-01/YELLOW/RELEASES/GBC/CART/US-EU-EN-HV0
