national_dex,identifier,source_species_token,introduced_generation,hp,attack,defense,speed,sp_attack,sp_defense,type1_token,type2_token,type1_id,type2_id,catch_rate,base_exp,ev_hp,ev_attack,ev_defense,ev_speed,ev_sp_attack,ev_sp_defense,held_item_common,held_item_rare,gender_token,gender_threshold,hatch_cycles,friendship,growth_token,growth_id,egg_group1_token,egg_group2_token,egg_group1_id,egg_group2_id,ability1_token,ability2_token,ability1_id,ability2_id,safari_flee_rate,body_color_token,no_flip_token,source_path
11,metapod,SPECIES_METAPOD,1,50,20,55,30,25,25,TYPE_BUG,TYPE_BUG,6,6,120,72,0,0,2,0,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,15,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_BUG,EGG_GROUP_BUG,3,3,ABILITY_SHED_SKIN,ABILITY_NONE,61,0,0,BODY_COLOR_GREEN,FALSE,pokeemerald/src/data/pokemon/species_info.h
12,butterfree,SPECIES_BUTTERFREE,1,60,45,50,70,80,80,TYPE_BUG,TYPE_FLYING,6,2,45,160,0,0,0,0,2,1,ITEM_NONE,ITEM_SILVER_POWDER,PERCENT_FEMALE(50),127,15,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_BUG,EGG_GROUP_BUG,3,3,ABILITY_COMPOUND_EYES,ABILITY_NONE,14,0,0,BODY_COLOR_WHITE,FALSE,pokeemerald/src/data/pokemon/species_info.h
13,weedle,SPECIES_WEEDLE,1,40,35,30,50,20,20,TYPE_BUG,TYPE_POISON,6,3,255,52,0,0,0,1,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,15,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_BUG,EGG_GROUP_BUG,3,3,ABILITY_SHIELD_DUST,ABILITY_NONE,19,0,0,BODY_COLOR_BROWN,FALSE,pokeemerald/src/data/pokemon/species_info.h
14,kakuna,SPECIES_KAKUNA,1,45,25,50,35,25,25,TYPE_BUG,TYPE_POISON,6,3,120,71,0,0,2,0,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,15,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_BUG,EGG_GROUP_BUG,3,3,ABILITY_SHED_SKIN,ABILITY_NONE,61,0,0,BODY_COLOR_YELLOW,FALSE,pokeemerald/src/data/pokemon/species_info.h
15,beedrill,SPECIES_BEEDRILL,1,65,80,40,75,45,80,TYPE_BUG,TYPE_POISON,6,3,45,159,0,2,0,0,0,1,ITEM_NONE,ITEM_POISON_BARB,PERCENT_FEMALE(50),127,15,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_BUG,EGG_GROUP_BUG,3,3,ABILITY_SWARM,ABILITY_NONE,68,0,0,BODY_COLOR_YELLOW,FALSE,pokeemerald/src/data/pokemon/species_info.h
16,pidgey,SPECIES_PIDGEY,1,40,45,40,56,35,35,TYPE_NORMAL,TYPE_FLYING,0,2,255,55,0,0,0,1,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,15,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_FLYING,EGG_GROUP_FLYING,4,4,ABILITY_KEEN_EYE,ABILITY_NONE,51,0,0,BODY_COLOR_BROWN,FALSE,pokeemerald/src/data/pokemon/species_info.h
17,pidgeotto,SPECIES_PIDGEOTTO,1,63,60,55,71,50,50,TYPE_NORMAL,TYPE_FLYING,0,2,120,113,0,0,0,2,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,15,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_FLYING,EGG_GROUP_FLYING,4,4,ABILITY_KEEN_EYE,ABILITY_NONE,51,0,0,BODY_COLOR_BROWN,FALSE,pokeemerald/src/data/pokemon/species_info.h
18,pidgeot,SPECIES_PIDGEOT,1,83,80,75,91,70,70,TYPE_NORMAL,TYPE_FLYING,0,2,45,172,0,0,0,3,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,15,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_FLYING,EGG_GROUP_FLYING,4,4,ABILITY_KEEN_EYE,ABILITY_NONE,51,0,0,BODY_COLOR_BROWN,FALSE,pokeemerald/src/data/pokemon/species_info.h
19,rattata,SPECIES_RATTATA,1,30,56,35,72,25,35,TYPE_NORMAL,TYPE_NORMAL,0,0,255,57,0,0,0,1,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,15,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FIELD,EGG_GROUP_FIELD,5,5,ABILITY_RUN_AWAY,ABILITY_GUTS,50,62,0,BODY_COLOR_PURPLE,FALSE,pokeemerald/src/data/pokemon/species_info.h
20,raticate,SPECIES_RATICATE,1,55,81,60,97,50,70,TYPE_NORMAL,TYPE_NORMAL,0,0,127,116,0,0,0,2,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,15,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FIELD,EGG_GROUP_FIELD,5,5,ABILITY_RUN_AWAY,ABILITY_GUTS,50,62,0,BODY_COLOR_BROWN,FALSE,pokeemerald/src/data/pokemon/species_info.h
21,spearow,SPECIES_SPEAROW,1,40,60,30,70,31,31,TYPE_NORMAL,TYPE_FLYING,0,2,255,58,0,0,0,1,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,15,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FLYING,EGG_GROUP_FLYING,4,4,ABILITY_KEEN_EYE,ABILITY_NONE,51,0,0,BODY_COLOR_BROWN,FALSE,pokeemerald/src/data/pokemon/species_info.h
22,fearow,SPECIES_FEAROW,1,65,90,65,100,61,61,TYPE_NORMAL,TYPE_FLYING,0,2,90,162,0,0,0,2,0,0,ITEM_NONE,ITEM_SHARP_BEAK,PERCENT_FEMALE(50),127,15,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FLYING,EGG_GROUP_FLYING,4,4,ABILITY_KEEN_EYE,ABILITY_NONE,51,0,0,BODY_COLOR_BROWN,FALSE,pokeemerald/src/data/pokemon/species_info.h
23,ekans,SPECIES_EKANS,1,35,60,44,55,40,54,TYPE_POISON,TYPE_POISON,3,3,255,62,0,1,0,0,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FIELD,EGG_GROUP_DRAGON,5,14,ABILITY_INTIMIDATE,ABILITY_SHED_SKIN,22,61,0,BODY_COLOR_PURPLE,FALSE,pokeemerald/src/data/pokemon/species_info.h
24,arbok,SPECIES_ARBOK,1,60,85,69,80,65,79,TYPE_POISON,TYPE_POISON,3,3,90,147,0,2,0,0,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FIELD,EGG_GROUP_DRAGON,5,14,ABILITY_INTIMIDATE,ABILITY_SHED_SKIN,22,61,0,BODY_COLOR_PURPLE,FALSE,pokeemerald/src/data/pokemon/species_info.h
25,pikachu,SPECIES_PIKACHU,1,35,55,30,90,50,40,TYPE_ELECTRIC,TYPE_ELECTRIC,12,12,190,82,0,0,0,2,0,0,ITEM_ORAN_BERRY,ITEM_LIGHT_BALL,PERCENT_FEMALE(50),127,10,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FIELD,EGG_GROUP_FAIRY,5,6,ABILITY_STATIC,ABILITY_NONE,9,0,6,BODY_COLOR_YELLOW,FALSE,pokeemerald/src/data/pokemon/species_info.h
26,raichu,SPECIES_RAICHU,1,60,90,55,100,90,80,TYPE_ELECTRIC,TYPE_ELECTRIC,12,12,75,122,0,0,0,3,0,0,ITEM_NONE,ITEM_ORAN_BERRY,PERCENT_FEMALE(50),127,10,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FIELD,EGG_GROUP_FAIRY,5,6,ABILITY_STATIC,ABILITY_NONE,9,0,0,BODY_COLOR_YELLOW,FALSE,pokeemerald/src/data/pokemon/species_info.h
27,sandshrew,SPECIES_SANDSHREW,1,50,75,85,40,20,30,TYPE_GROUND,TYPE_GROUND,4,4,255,93,0,0,1,0,0,0,ITEM_NONE,ITEM_QUICK_CLAW,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FIELD,EGG_GROUP_FIELD,5,5,ABILITY_SAND_VEIL,ABILITY_NONE,8,0,0,BODY_COLOR_YELLOW,FALSE,pokeemerald/src/data/pokemon/species_info.h
28,sandslash,SPECIES_SANDSLASH,1,75,100,110,65,45,55,TYPE_GROUND,TYPE_GROUND,4,4,90,163,0,0,2,0,0,0,ITEM_NONE,ITEM_QUICK_CLAW,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FIELD,EGG_GROUP_FIELD,5,5,ABILITY_SAND_VEIL,ABILITY_NONE,8,0,0,BODY_COLOR_YELLOW,FALSE,pokeemerald/src/data/pokemon/species_info.h
29,nidoran_f,SPECIES_NIDORAN_F,1,55,47,52,41,40,40,TYPE_POISON,TYPE_POISON,3,3,235,59,1,0,0,0,0,0,ITEM_NONE,ITEM_NONE,MON_FEMALE,254,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_FIELD,1,5,ABILITY_POISON_POINT,ABILITY_NONE,38,0,0,BODY_COLOR_BLUE,FALSE,pokeemerald/src/data/pokemon/species_info.h
30,nidorina,SPECIES_NIDORINA,1,70,62,67,56,55,55,TYPE_POISON,TYPE_POISON,3,3,120,117,2,0,0,0,0,0,ITEM_NONE,ITEM_NONE,MON_FEMALE,254,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_NO_EGGS_DISCOVERED,EGG_GROUP_NO_EGGS_DISCOVERED,15,15,ABILITY_POISON_POINT,ABILITY_NONE,38,0,0,BODY_COLOR_BLUE,FALSE,pokeemerald/src/data/pokemon/species_info.h
31,nidoqueen,SPECIES_NIDOQUEEN,1,90,82,87,76,75,85,TYPE_POISON,TYPE_GROUND,3,4,45,194,3,0,0,0,0,0,ITEM_NONE,ITEM_NONE,MON_FEMALE,254,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_NO_EGGS_DISCOVERED,EGG_GROUP_NO_EGGS_DISCOVERED,15,15,ABILITY_POISON_POINT,ABILITY_NONE,38,0,0,BODY_COLOR_BLUE,FALSE,pokeemerald/src/data/pokemon/species_info.h
32,nidoran_m,SPECIES_NIDORAN_M,1,46,57,40,50,40,40,TYPE_POISON,TYPE_POISON,3,3,235,60,0,1,0,0,0,0,ITEM_NONE,ITEM_NONE,MON_MALE,0,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_FIELD,1,5,ABILITY_POISON_POINT,ABILITY_NONE,38,0,0,BODY_COLOR_PURPLE,FALSE,pokeemerald/src/data/pokemon/species_info.h
33,nidorino,SPECIES_NIDORINO,1,61,72,57,65,55,55,TYPE_POISON,TYPE_POISON,3,3,120,118,0,2,0,0,0,0,ITEM_NONE,ITEM_NONE,MON_MALE,0,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_FIELD,1,5,ABILITY_POISON_POINT,ABILITY_NONE,38,0,0,BODY_COLOR_PURPLE,FALSE,pokeemerald/src/data/pokemon/species_info.h
34,nidoking,SPECIES_NIDOKING,1,81,92,77,85,85,75,TYPE_POISON,TYPE_GROUND,3,4,45,195,0,3,0,0,0,0,ITEM_NONE,ITEM_NONE,MON_MALE,0,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_MONSTER,EGG_GROUP_FIELD,1,5,ABILITY_POISON_POINT,ABILITY_NONE,38,0,0,BODY_COLOR_PURPLE,FALSE,pokeemerald/src/data/pokemon/species_info.h
35,clefairy,SPECIES_CLEFAIRY,1,70,45,48,35,60,65,TYPE_NORMAL,TYPE_NORMAL,0,0,150,68,2,0,0,0,0,0,ITEM_LEPPA_BERRY,ITEM_MOON_STONE,PERCENT_FEMALE(75),191,10,140,GROWTH_FAST,4,EGG_GROUP_FAIRY,EGG_GROUP_FAIRY,6,6,ABILITY_CUTE_CHARM,ABILITY_NONE,56,0,0,BODY_COLOR_PINK,FALSE,pokeemerald/src/data/pokemon/species_info.h
36,clefable,SPECIES_CLEFABLE,1,95,70,73,60,85,90,TYPE_NORMAL,TYPE_NORMAL,0,0,25,129,3,0,0,0,0,0,ITEM_LEPPA_BERRY,ITEM_MOON_STONE,PERCENT_FEMALE(75),191,10,140,GROWTH_FAST,4,EGG_GROUP_FAIRY,EGG_GROUP_FAIRY,6,6,ABILITY_CUTE_CHARM,ABILITY_NONE,56,0,0,BODY_COLOR_PINK,FALSE,pokeemerald/src/data/pokemon/species_info.h
37,vulpix,SPECIES_VULPIX,1,38,41,40,65,50,65,TYPE_FIRE,TYPE_FIRE,9,9,190,63,0,0,0,1,0,0,ITEM_RAWST_BERRY,ITEM_RAWST_BERRY,PERCENT_FEMALE(75),191,20,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FIELD,EGG_GROUP_FIELD,5,5,ABILITY_FLASH_FIRE,ABILITY_NONE,18,0,0,BODY_COLOR_BROWN,FALSE,pokeemerald/src/data/pokemon/species_info.h
38,ninetales,SPECIES_NINETALES,1,73,76,75,100,81,100,TYPE_FIRE,TYPE_FIRE,9,9,75,178,0,0,0,1,0,1,ITEM_RAWST_BERRY,ITEM_RAWST_BERRY,PERCENT_FEMALE(75),191,20,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FIELD,EGG_GROUP_FIELD,5,5,ABILITY_FLASH_FIRE,ABILITY_NONE,18,0,0,BODY_COLOR_YELLOW,FALSE,pokeemerald/src/data/pokemon/species_info.h
39,jigglypuff,SPECIES_JIGGLYPUFF,1,115,45,20,20,45,25,TYPE_NORMAL,TYPE_NORMAL,0,0,170,76,2,0,0,0,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(75),191,10,70,GROWTH_FAST,4,EGG_GROUP_FAIRY,EGG_GROUP_FAIRY,6,6,ABILITY_CUTE_CHARM,ABILITY_NONE,56,0,0,BODY_COLOR_PINK,FALSE,pokeemerald/src/data/pokemon/species_info.h
40,wigglytuff,SPECIES_WIGGLYTUFF,1,140,70,45,45,75,50,TYPE_NORMAL,TYPE_NORMAL,0,0,50,109,3,0,0,0,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(75),191,10,70,GROWTH_FAST,4,EGG_GROUP_FAIRY,EGG_GROUP_FAIRY,6,6,ABILITY_CUTE_CHARM,ABILITY_NONE,56,0,0,BODY_COLOR_PINK,FALSE,pokeemerald/src/data/pokemon/species_info.h
41,zubat,SPECIES_ZUBAT,1,40,45,35,55,30,40,TYPE_POISON,TYPE_FLYING,3,2,255,54,0,0,0,1,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,15,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FLYING,EGG_GROUP_FLYING,4,4,ABILITY_INNER_FOCUS,ABILITY_NONE,39,0,0,BODY_COLOR_PURPLE,FALSE,pokeemerald/src/data/pokemon/species_info.h
42,golbat,SPECIES_GOLBAT,1,75,80,70,90,65,75,TYPE_POISON,TYPE_FLYING,3,2,90,171,0,0,0,2,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,15,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FLYING,EGG_GROUP_FLYING,4,4,ABILITY_INNER_FOCUS,ABILITY_NONE,39,0,0,BODY_COLOR_PURPLE,FALSE,pokeemerald/src/data/pokemon/species_info.h
43,oddish,SPECIES_ODDISH,1,45,50,55,30,75,65,TYPE_GRASS,TYPE_POISON,11,3,255,78,0,0,0,0,1,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_GRASS,EGG_GROUP_GRASS,7,7,ABILITY_CHLOROPHYLL,ABILITY_NONE,34,0,4,BODY_COLOR_BLUE,FALSE,pokeemerald/src/data/pokemon/species_info.h
44,gloom,SPECIES_GLOOM,1,60,65,70,40,85,75,TYPE_GRASS,TYPE_POISON,11,3,120,132,0,0,0,0,2,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_GRASS,EGG_GROUP_GRASS,7,7,ABILITY_CHLOROPHYLL,ABILITY_NONE,34,0,6,BODY_COLOR_BLUE,FALSE,pokeemerald/src/data/pokemon/species_info.h
45,vileplume,SPECIES_VILEPLUME,1,75,80,85,50,100,90,TYPE_GRASS,TYPE_POISON,11,3,45,184,0,0,0,0,3,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_SLOW,3,EGG_GROUP_GRASS,EGG_GROUP_GRASS,7,7,ABILITY_CHLOROPHYLL,ABILITY_NONE,34,0,0,BODY_COLOR_RED,FALSE,pokeemerald/src/data/pokemon/species_info.h
46,paras,SPECIES_PARAS,1,35,70,55,25,45,55,TYPE_BUG,TYPE_GRASS,6,11,190,70,0,1,0,0,0,0,ITEM_TINY_MUSHROOM,ITEM_BIG_MUSHROOM,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_BUG,EGG_GROUP_GRASS,3,7,ABILITY_EFFECT_SPORE,ABILITY_NONE,27,0,0,BODY_COLOR_RED,FALSE,pokeemerald/src/data/pokemon/species_info.h
47,parasect,SPECIES_PARASECT,1,60,95,80,30,60,80,TYPE_BUG,TYPE_GRASS,6,11,75,128,0,2,1,0,0,0,ITEM_TINY_MUSHROOM,ITEM_BIG_MUSHROOM,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_BUG,EGG_GROUP_GRASS,3,7,ABILITY_EFFECT_SPORE,ABILITY_NONE,27,0,0,BODY_COLOR_RED,FALSE,pokeemerald/src/data/pokemon/species_info.h
48,venonat,SPECIES_VENONAT,1,60,55,50,45,40,55,TYPE_BUG,TYPE_POISON,6,3,190,75,0,0,0,0,0,1,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_BUG,EGG_GROUP_BUG,3,3,ABILITY_COMPOUND_EYES,ABILITY_NONE,14,0,0,BODY_COLOR_PURPLE,FALSE,pokeemerald/src/data/pokemon/species_info.h
49,venomoth,SPECIES_VENOMOTH,1,70,65,60,90,90,75,TYPE_BUG,TYPE_POISON,6,3,75,138,0,0,0,1,1,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_BUG,EGG_GROUP_BUG,3,3,ABILITY_SHIELD_DUST,ABILITY_NONE,19,0,0,BODY_COLOR_PURPLE,FALSE,pokeemerald/src/data/pokemon/species_info.h
50,diglett,SPECIES_DIGLETT,1,10,55,25,95,35,45,TYPE_GROUND,TYPE_GROUND,4,4,255,81,0,0,0,1,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FIELD,EGG_GROUP_FIELD,5,5,ABILITY_SAND_VEIL,ABILITY_ARENA_TRAP,8,71,0,BODY_COLOR_BROWN,FALSE,pokeemerald/src/data/pokemon/species_info.h
51,dugtrio,SPECIES_DUGTRIO,1,35,80,50,120,50,70,TYPE_GROUND,TYPE_GROUND,4,4,50,153,0,0,0,2,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FIELD,EGG_GROUP_FIELD,5,5,ABILITY_SAND_VEIL,ABILITY_ARENA_TRAP,8,71,0,BODY_COLOR_BROWN,FALSE,pokeemerald/src/data/pokemon/species_info.h
52,meowth,SPECIES_MEOWTH,1,40,45,35,90,40,40,TYPE_NORMAL,TYPE_NORMAL,0,0,255,69,0,0,0,1,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FIELD,EGG_GROUP_FIELD,5,5,ABILITY_PICKUP,ABILITY_NONE,53,0,0,BODY_COLOR_YELLOW,FALSE,pokeemerald/src/data/pokemon/species_info.h
53,persian,SPECIES_PERSIAN,1,65,70,60,115,65,65,TYPE_NORMAL,TYPE_NORMAL,0,0,90,148,0,0,0,2,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FIELD,EGG_GROUP_FIELD,5,5,ABILITY_LIMBER,ABILITY_NONE,7,0,0,BODY_COLOR_YELLOW,FALSE,pokeemerald/src/data/pokemon/species_info.h
54,psyduck,SPECIES_PSYDUCK,1,50,52,48,55,65,50,TYPE_WATER,TYPE_WATER,10,10,190,80,0,0,0,0,1,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_WATER_1,EGG_GROUP_FIELD,2,5,ABILITY_DAMP,ABILITY_CLOUD_NINE,6,13,6,BODY_COLOR_YELLOW,FALSE,pokeemerald/src/data/pokemon/species_info.h
55,golduck,SPECIES_GOLDUCK,1,80,82,78,85,95,80,TYPE_WATER,TYPE_WATER,10,10,75,174,0,0,0,0,2,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_WATER_1,EGG_GROUP_FIELD,2,5,ABILITY_DAMP,ABILITY_CLOUD_NINE,6,13,8,BODY_COLOR_BLUE,FALSE,pokeemerald/src/data/pokemon/species_info.h
56,mankey,SPECIES_MANKEY,1,40,80,35,70,35,45,TYPE_FIGHTING,TYPE_FIGHTING,1,1,190,74,0,1,0,0,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(50),127,20,70,GROWTH_MEDIUM_FAST,0,EGG_GROUP_FIELD,EGG_GROUP_FIELD,5,5,ABILITY_VITAL_SPIRIT,ABILITY_NONE,72,0,0,BODY_COLOR_BROWN,FALSE,pokeemerald/src/data/pokemon/species_info.h
