national_dex,identifier,source_species_token,introduced_generation,hp,attack,defense,speed,sp_attack,sp_defense,type1_token,type2_token,type1_id,type2_id,catch_rate,base_exp,held_item_common,held_item_rare,held_item_common_id,held_item_rare_id,gender_token,gender_threshold,hatch_cycles,friendship_base,friendship_source_token,growth_token,growth_id,egg_group1_token,egg_group2_token,egg_group1_id,egg_group2_id,tmhm_tokens,tmhm_flag_count,tmhm_bits_hex,source_path
11,metapod,METAPOD,1,50,20,55,30,25,25,BUG,BUG,6,6,120,72,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,15,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_BUG,EGG_BUG,3,3,,60,0000000000000000,pokecrystal/data/pokemon/base_stats/metapod.asm
12,butterfree,BUTTERFREE,1,60,45,50,70,80,80,BUG,FLYING,6,2,45,160,NO_ITEM,SILVERPOWDER,0,88,GENDER_F50,127,15,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_BUG,EGG_BUG,3,3,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|HYPER_BEAM|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|PSYCHIC_M|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|REST|ATTRACT|NIGHTMARE|FLASH,60,245e3d9446184200,pokecrystal/data/pokemon/base_stats/butterfree.asm
13,weedle,WEEDLE,1,40,35,30,50,20,20,BUG,POISON,6,3,255,52,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,15,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_BUG,EGG_BUG,3,3,,60,0000000000000000,pokecrystal/data/pokemon/base_stats/weedle.asm
14,kakuna,KAKUNA,1,45,25,50,35,25,25,BUG,POISON,6,3,120,71,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,15,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_BUG,EGG_BUG,3,3,,60,0000000000000000,pokecrystal/data/pokemon/base_stats/kakuna.asm
15,beedrill,BEEDRILL,1,65,80,40,75,45,80,BUG,POISON,6,3,45,159,NO_ITEM,POISON_BARB,0,81,GENDER_F50,127,15,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_BUG,EGG_BUG,3,3,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|HYPER_BEAM|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|SWIFT|REST|ATTRACT|FURY_CUTTER|CUT,60,245e1d844e180500,pokecrystal/data/pokemon/base_stats/beedrill.asm
16,pidgey,PIDGEY,1,40,45,40,56,35,35,NORMAL,FLYING,0,2,255,55,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,15,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_FLYING,EGG_FLYING,4,4,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|ENDURE|FRUSTRATION|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DETECT|REST|ATTRACT|THIEF|STEEL_WING|FLY,60,241619c4467c0800,pokecrystal/data/pokemon/base_stats/pidgey.asm
17,pidgeotto,PIDGEOTTO,1,63,60,55,71,50,50,NORMAL,FLYING,0,2,120,113,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,15,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_FLYING,EGG_FLYING,4,4,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|ENDURE|FRUSTRATION|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DETECT|REST|ATTRACT|THIEF|STEEL_WING|FLY,60,241619c4467c0800,pokecrystal/data/pokemon/base_stats/pidgeotto.asm
18,pidgeot,PIDGEOT,1,83,80,75,91,70,70,NORMAL,FLYING,0,2,45,172,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,15,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_FLYING,EGG_FLYING,4,4,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|ENDURE|FRUSTRATION|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DETECT|REST|ATTRACT|THIEF|STEEL_WING|FLY,60,245619c4467c0800,pokecrystal/data/pokemon/base_stats/pidgeot.asm
19,rattata,RATTATA,1,30,56,35,72,25,35,NORMAL,NORMAL,0,0,255,57,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,15,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_GROUND,5,5,HEADBUTT|CURSE|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|BLIZZARD|ICY_WIND|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|RETURN|DIG|SHADOW_BALL|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DEFENSE_CURL|REST|ATTRACT|THIEF,60,a6b659edc6380000,pokecrystal/data/pokemon/base_stats/rattata.asm
20,raticate,RATICATE,1,55,81,60,97,50,70,NORMAL,NORMAL,0,0,90,116,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,15,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_GROUND,5,5,HEADBUTT|CURSE|ROAR|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|BLIZZARD|HYPER_BEAM|ICY_WIND|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|RETURN|DIG|SHADOW_BALL|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DEFENSE_CURL|REST|ATTRACT|THIEF|CUT|STRENGTH|THUNDERBOLT|ICE_BEAM,60,b6f659edc638240c,pokecrystal/data/pokemon/base_stats/raticate.asm
21,spearow,SPEAROW,1,40,60,30,70,31,31,NORMAL,FLYING,0,2,255,58,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,15,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_FLYING,EGG_FLYING,4,4,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|ENDURE|FRUSTRATION|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DETECT|REST|ATTRACT|THIEF|STEEL_WING|FLY,60,241619c4467c0800,pokecrystal/data/pokemon/base_stats/spearow.asm
22,fearow,FEAROW,1,65,90,65,100,61,61,NORMAL,FLYING,0,2,90,162,NO_ITEM,SHARP_BEAK,0,77,GENDER_F50,127,15,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_FLYING,EGG_FLYING,4,4,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|ENDURE|FRUSTRATION|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DETECT|REST|ATTRACT|THIEF|STEEL_WING|FLY,60,245619c4467c0800,pokecrystal/data/pokemon/base_stats/fearow.asm
23,ekans,EKANS,1,35,60,44,55,40,54,POISON,POISON,3,3,255,62,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_DRAGON,5,14,HEADBUTT|CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|EARTHQUAKE|RETURN|DIG|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|REST|ATTRACT|THIEF|STRENGTH,60,26161d8e0e382000,pokecrystal/data/pokemon/base_stats/ekans.asm
24,arbok,ARBOK,1,60,85,69,80,65,79,POISON,POISON,3,3,90,147,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_DRAGON,5,14,HEADBUTT|CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|EARTHQUAKE|RETURN|DIG|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|REST|ATTRACT|THIEF|STRENGTH,60,26561d8e0e382000,pokecrystal/data/pokemon/base_stats/arbok.asm
25,pikachu,PIKACHU,1,35,55,30,90,50,40,ELECTRIC,ELECTRIC,12,12,190,82,NO_ITEM,BERRY,0,173,GENDER_F50,127,10,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_FAIRY,5,6,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|TOXIC|ZAP_CANNON|HIDDEN_POWER|SNORE|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DEFENSE_CURL|THUNDERPUNCH|DETECT|REST|ATTRACT|STRENGTH|FLASH|THUNDERBOLT,60,6f125bc5c61d6004,pokecrystal/data/pokemon/base_stats/pikachu.asm
26,raichu,RAICHU,1,60,90,55,100,90,80,ELECTRIC,ELECTRIC,12,12,75,122,NO_ITEM,BERRY,0,173,GENDER_F50,127,10,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_FAIRY,5,6,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|TOXIC|ZAP_CANNON|HIDDEN_POWER|SNORE|HYPER_BEAM|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DEFENSE_CURL|THUNDERPUNCH|DETECT|REST|ATTRACT|THIEF|STRENGTH|FLASH|THUNDERBOLT,60,6f525bc5c63d6004,pokecrystal/data/pokemon/base_stats/raichu.asm
27,sandshrew,SANDSHREW,1,50,75,85,40,20,30,GROUND,GROUND,4,4,255,93,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_GROUND,5,5,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|EARTHQUAKE|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SANDSTORM|SWIFT|DEFENSE_CURL|DETECT|REST|ATTRACT|THIEF|FURY_CUTTER|CUT|STRENGTH,60,af1659ced63c2500,pokecrystal/data/pokemon/base_stats/sandshrew.asm
28,sandslash,SANDSLASH,1,75,100,110,65,45,55,GROUND,GROUND,4,4,90,163,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_GROUND,5,5,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|EARTHQUAKE|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SANDSTORM|SWIFT|DEFENSE_CURL|DETECT|REST|ATTRACT|THIEF|FURY_CUTTER|CUT|STRENGTH,60,af5659ced63c2500,pokecrystal/data/pokemon/base_stats/sandslash.asm
29,nidoran_f,NIDORAN_F,1,55,47,52,41,40,40,POISON,POISON,3,3,235,59,NO_ITEM,NO_ITEM,0,0,GENDER_F100,254,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_GROUND,1,5,HEADBUTT|CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|BLIZZARD|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|DEFENSE_CURL|DETECT|REST|ATTRACT|THIEF|THUNDERBOLT,60,26365bc5863c0004,pokecrystal/data/pokemon/base_stats/nidoran_f.asm
30,nidorina,NIDORINA,1,70,62,67,56,55,55,POISON,POISON,3,3,120,117,NO_ITEM,NO_ITEM,0,0,GENDER_F100,254,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_NONE,EGG_NONE,15,15,HEADBUTT|CURSE|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|BLIZZARD|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|DEFENSE_CURL|DETECT|REST|ATTRACT|THIEF|STRENGTH|THUNDERBOLT|ICE_BEAM,60,a6365bc5863c200c,pokecrystal/data/pokemon/base_stats/nidorina.asm
31,nidoqueen,NIDOQUEEN,1,90,82,87,76,75,85,POISON,GROUND,3,4,45,194,NO_ITEM,NO_ITEM,0,0,GENDER_F100,254,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_NONE,EGG_NONE,15,15,DYNAMICPUNCH|HEADBUTT|CURSE|ROAR|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|BLIZZARD|HYPER_BEAM|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|EARTHQUAKE|RETURN|SHADOW_BALL|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|SANDSTORM|FIRE_BLAST|DEFENSE_CURL|THUNDERPUNCH|DETECT|REST|ATTRACT|THIEF|FIRE_PUNCH|FURY_CUTTER|SURF|STRENGTH|FLAMETHROWER|THUNDERBOLT|ICE_BEAM,60,b7f65be7b7bd310e,pokecrystal/data/pokemon/base_stats/nidoqueen.asm
32,nidoran_m,NIDORAN_M,1,46,57,40,50,40,40,POISON,POISON,3,3,235,60,NO_ITEM,NO_ITEM,0,0,GENDER_F0,0,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_GROUND,1,5,HEADBUTT|CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|BLIZZARD|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|DEFENSE_CURL|DETECT|REST|ATTRACT|THIEF|THUNDERBOLT,60,26365bc5863c0004,pokecrystal/data/pokemon/base_stats/nidoran_m.asm
33,nidorino,NIDORINO,1,61,72,57,65,55,55,POISON,POISON,3,3,120,118,NO_ITEM,NO_ITEM,0,0,GENDER_F0,0,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_GROUND,1,5,HEADBUTT|CURSE|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|BLIZZARD|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|DEFENSE_CURL|DETECT|REST|ATTRACT|THIEF|STRENGTH|THUNDERBOLT|ICE_BEAM,60,a6365bc5863c200c,pokecrystal/data/pokemon/base_stats/nidorino.asm
34,nidoking,NIDOKING,1,81,92,77,85,85,75,POISON,GROUND,3,4,45,195,NO_ITEM,NO_ITEM,0,0,GENDER_F0,0,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_GROUND,1,5,DYNAMICPUNCH|HEADBUTT|CURSE|ROAR|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|BLIZZARD|HYPER_BEAM|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|EARTHQUAKE|RETURN|SHADOW_BALL|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|SANDSTORM|FIRE_BLAST|DEFENSE_CURL|THUNDERPUNCH|DETECT|REST|ATTRACT|THIEF|FIRE_PUNCH|FURY_CUTTER|SURF|STRENGTH|FLAMETHROWER|THUNDERBOLT|ICE_BEAM,60,b7f65be7b7bd310e,pokecrystal/data/pokemon/base_stats/nidoking.asm
35,clefairy,CLEFAIRY,1,70,45,48,35,60,65,NORMAL,NORMAL,0,0,150,68,MYSTERYBERRY,MOON_STONE,150,8,GENDER_F75,191,10,70,BASE_HAPPINESS,GROWTH_FAST,4,EGG_FAIRY,EGG_FAIRY,6,6,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|TOXIC|ZAP_CANNON|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|BLIZZARD|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|SOLARBEAM|IRON_TAIL|THUNDER|RETURN|PSYCHIC_M|SHADOW_BALL|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|FIRE_BLAST|DEFENSE_CURL|THUNDERPUNCH|DREAM_EATER|DETECT|REST|ATTRACT|FIRE_PUNCH|NIGHTMARE|STRENGTH|FLASH|FLAMETHROWER|THUNDERBOLT|ICE_BEAM,60,6f377bf5a79f620e,pokecrystal/data/pokemon/base_stats/clefairy.asm
36,clefable,CLEFABLE,1,95,70,73,60,85,90,NORMAL,NORMAL,0,0,25,129,MYSTERYBERRY,MOON_STONE,150,8,GENDER_F75,191,10,70,BASE_HAPPINESS,GROWTH_FAST,4,EGG_FAIRY,EGG_FAIRY,6,6,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|TOXIC|ZAP_CANNON|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|BLIZZARD|HYPER_BEAM|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|SOLARBEAM|IRON_TAIL|THUNDER|RETURN|PSYCHIC_M|SHADOW_BALL|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|FIRE_BLAST|DEFENSE_CURL|THUNDERPUNCH|DREAM_EATER|DETECT|REST|ATTRACT|FIRE_PUNCH|NIGHTMARE|STRENGTH|FLASH|FLAMETHROWER|THUNDERBOLT|ICE_BEAM,60,6f777bf5a79f620e,pokecrystal/data/pokemon/base_stats/clefable.asm
37,vulpix,VULPIX,1,38,41,40,65,50,65,FIRE,FIRE,9,9,190,63,BURNT_BERRY,BURNT_BERRY,79,79,GENDER_F75,191,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_GROUND,5,5,HEADBUTT|CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|RETURN|DIG|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|FIRE_BLAST|SWIFT|REST|ATTRACT|FLAMETHROWER,60,2616598c66180002,pokecrystal/data/pokemon/base_stats/vulpix.asm
