national_dex,identifier,source_species_token,introduced_generation,hp,attack,defense,speed,sp_attack,sp_defense,type1_token,type2_token,type1_id,type2_id,catch_rate,base_exp,held_item_common,held_item_rare,gender_token,gender_threshold,hatch_cycles,friendship,growth_token,growth_id,egg_group1_token,egg_group2_token,egg_group1_id,egg_group2_id,tmhm_tokens,source_path
162,furret,FURRET,2,85,76,64,90,45,55,NORMAL,NORMAL,0,0,90,116,BERRY,GOLD_BERRY,GENDER_F50,127,15,70,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_GROUND,5,5,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|RETURN|DIG|SHADOW_BALL|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|SWIFT|DEFENSE_CURL|THUNDERPUNCH|DETECT|REST|ATTRACT|THIEF|FIRE_PUNCH|FURY_CUTTER|CUT|SURF|STRENGTH,pokecrystal/data/pokemon/base_stats/furret.asm
163,hoothoot,HOOTHOOT,2,60,30,30,50,36,56,NORMAL,FLYING,0,2,255,58,NO_ITEM,NO_ITEM,GENDER_F50,127,15,70,GROWTH_MEDIUM_FAST,0,EGG_FLYING,EGG_FLYING,4,4,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|ENDURE|FRUSTRATION|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DREAM_EATER|DETECT|REST|ATTRACT|THIEF|STEEL_WING|NIGHTMARE|FLY|FLASH,pokecrystal/data/pokemon/base_stats/hoothoot.asm
164,noctowl,NOCTOWL,2,100,50,50,70,76,96,NORMAL,FLYING,0,2,90,162,NO_ITEM,NO_ITEM,GENDER_F50,127,15,70,GROWTH_MEDIUM_FAST,0,EGG_FLYING,EGG_FLYING,4,4,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|ENDURE|FRUSTRATION|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DREAM_EATER|DETECT|REST|ATTRACT|THIEF|STEEL_WING|NIGHTMARE|FLY|FLASH,pokecrystal/data/pokemon/base_stats/noctowl.asm
165,ledyba,LEDYBA,2,40,20,30,55,40,80,BUG,FLYING,6,2,255,54,NO_ITEM,NO_ITEM,GENDER_F50,127,15,70,GROWTH_FAST,4,EGG_BUG,EGG_BUG,3,3,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|DIG|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|SWIFT|THUNDERPUNCH|REST|ATTRACT|THIEF|FLASH,pokecrystal/data/pokemon/base_stats/ledyba.asm
166,ledian,LEDIAN,2,55,35,50,85,55,110,BUG,FLYING,6,2,90,134,NO_ITEM,NO_ITEM,GENDER_F50,127,15,70,GROWTH_FAST,4,EGG_BUG,EGG_BUG,3,3,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|HYPER_BEAM|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|DIG|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|SWIFT|THUNDERPUNCH|REST|ATTRACT|THIEF|FLASH,pokecrystal/data/pokemon/base_stats/ledian.asm
167,spinarak,SPINARAK,2,40,60,40,30,40,40,BUG,POISON,6,3,255,54,NO_ITEM,NO_ITEM,GENDER_F50,127,15,70,GROWTH_FAST,4,EGG_BUG,EGG_BUG,3,3,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|DIG|PSYCHIC_M|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|REST|ATTRACT|THIEF|FLASH,pokecrystal/data/pokemon/base_stats/spinarak.asm
168,ariados,ARIADOS,2,70,90,70,40,60,60,BUG,POISON,6,3,90,134,NO_ITEM,NO_ITEM,GENDER_F50,127,15,70,GROWTH_FAST,4,EGG_BUG,EGG_BUG,3,3,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|DIG|PSYCHIC_M|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|REST|ATTRACT|THIEF|FLASH,pokecrystal/data/pokemon/base_stats/ariados.asm
169,crobat,CROBAT,2,85,90,80,130,70,80,POISON,FLYING,3,2,90,204,NO_ITEM,NO_ITEM,GENDER_F50,127,15,70,GROWTH_MEDIUM_FAST,0,EGG_FLYING,EGG_FLYING,4,4,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DETECT|REST|ATTRACT|THIEF|STEEL_WING|FLY,pokecrystal/data/pokemon/base_stats/crobat.asm
170,chinchou,CHINCHOU,2,75,38,38,67,56,56,WATER,ELECTRIC,10,12,190,90,NO_ITEM,NO_ITEM,GENDER_F50,127,20,70,GROWTH_SLOW,5,EGG_WATER_2,EGG_WATER_2,12,12,CURSE|TOXIC|ZAP_CANNON|HIDDEN_POWER|SNORE|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|THUNDER|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|REST|ATTRACT|SURF|FLASH|WHIRLPOOL|WATERFALL|THUNDERBOLT|ICE_BEAM,pokecrystal/data/pokemon/base_stats/chinchou.asm
171,lanturn,LANTURN,2,125,58,58,67,76,76,WATER,ELECTRIC,10,12,75,156,NO_ITEM,NO_ITEM,GENDER_F50,127,20,70,GROWTH_SLOW,5,EGG_WATER_2,EGG_WATER_2,12,12,CURSE|TOXIC|ZAP_CANNON|HIDDEN_POWER|SNORE|HYPER_BEAM|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|THUNDER|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|REST|ATTRACT|SURF|FLASH|WHIRLPOOL|WATERFALL|THUNDERBOLT|ICE_BEAM,pokecrystal/data/pokemon/base_stats/lanturn.asm
172,pichu,PICHU,2,20,40,15,60,35,35,ELECTRIC,ELECTRIC,12,12,190,42,NO_ITEM,BERRY,GENDER_F50,127,10,70,GROWTH_MEDIUM_FAST,0,EGG_NONE,EGG_NONE,15,15,HEADBUTT|CURSE|ROLLOUT|TOXIC|ZAP_CANNON|HIDDEN_POWER|SNORE|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|RETURN|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DEFENSE_CURL|DETECT|REST|ATTRACT|FLASH|THUNDERBOLT,pokecrystal/data/pokemon/base_stats/pichu.asm
173,cleffa,CLEFFA,2,50,25,28,15,45,55,NORMAL,NORMAL,0,0,150,37,MYSTERYBERRY,MOON_STONE,GENDER_F75,191,10,70,GROWTH_FAST,4,EGG_NONE,EGG_NONE,15,15,HEADBUTT|CURSE|ROLLOUT|TOXIC|ZAP_CANNON|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|SOLARBEAM|IRON_TAIL|RETURN|PSYCHIC_M|SHADOW_BALL|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|FIRE_BLAST|DEFENSE_CURL|DREAM_EATER|DETECT|REST|ATTRACT|NIGHTMARE|FLASH|FLAMETHROWER,pokecrystal/data/pokemon/base_stats/cleffa.asm
174,igglybuff,IGGLYBUFF,2,90,30,15,15,40,20,NORMAL,NORMAL,0,0,170,39,NO_ITEM,NO_ITEM,GENDER_F75,191,10,70,GROWTH_FAST,4,EGG_NONE,EGG_NONE,15,15,HEADBUTT|CURSE|ROLLOUT|TOXIC|ZAP_CANNON|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|PSYCHIC_M|SHADOW_BALL|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|FIRE_BLAST|DEFENSE_CURL|DREAM_EATER|DETECT|REST|ATTRACT|NIGHTMARE|FLASH|FLAMETHROWER,pokecrystal/data/pokemon/base_stats/igglybuff.asm
175,togepi,TOGEPI,2,35,20,65,20,40,65,NORMAL,NORMAL,0,0,190,74,NO_ITEM,NO_ITEM,GENDER_F12_5,31,10,70,GROWTH_FAST,4,EGG_NONE,EGG_NONE,15,15,HEADBUTT|CURSE|ROLLOUT|TOXIC|ZAP_CANNON|ROCK_SMASH|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|PSYCHIC_M|SHADOW_BALL|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|FIRE_BLAST|SWIFT|DEFENSE_CURL|DREAM_EATER|DETECT|REST|ATTRACT|FLASH|FLAMETHROWER,pokecrystal/data/pokemon/base_stats/togepi.asm
176,togetic,TOGETIC,2,55,40,85,40,80,105,NORMAL,FLYING,0,2,75,114,NO_ITEM,NO_ITEM,GENDER_F12_5,31,10,70,GROWTH_FAST,4,EGG_FLYING,EGG_FAIRY,4,6,HEADBUTT|CURSE|ROLLOUT|TOXIC|ZAP_CANNON|ROCK_SMASH|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|PSYCHIC_M|SHADOW_BALL|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|FIRE_BLAST|SWIFT|DEFENSE_CURL|DREAM_EATER|DETECT|REST|ATTRACT|STEEL_WING|FLY|FLASH|FLAMETHROWER,pokecrystal/data/pokemon/base_stats/togetic.asm
177,natu,NATU,2,40,50,45,70,70,45,PSYCHIC_TYPE,FLYING,13,2,190,73,NO_ITEM,NO_ITEM,GENDER_F50,127,20,70,GROWTH_MEDIUM_FAST,0,EGG_FLYING,EGG_FLYING,4,4,CURSE|TOXIC|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|PSYCHIC_M|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DREAM_EATER|DETECT|REST|ATTRACT|THIEF|NIGHTMARE|FLASH,pokecrystal/data/pokemon/base_stats/natu.asm
178,xatu,XATU,2,65,75,70,95,95,70,PSYCHIC_TYPE,FLYING,13,2,75,171,NO_ITEM,NO_ITEM,GENDER_F50,127,20,70,GROWTH_MEDIUM_FAST,0,EGG_FLYING,EGG_FLYING,4,4,CURSE|TOXIC|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|PSYCHIC_M|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DREAM_EATER|DETECT|REST|ATTRACT|THIEF|NIGHTMARE|FLY|FLASH,pokecrystal/data/pokemon/base_stats/xatu.asm
179,mareep,MAREEP,2,55,40,40,35,65,45,ELECTRIC,ELECTRIC,12,12,235,59,NO_ITEM,NO_ITEM,GENDER_F50,127,20,70,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_GROUND,1,5,HEADBUTT|CURSE|TOXIC|ZAP_CANNON|HIDDEN_POWER|SNORE|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DEFENSE_CURL|REST|ATTRACT|FLASH|THUNDERBOLT,pokecrystal/data/pokemon/base_stats/mareep.asm
180,flaaffy,FLAAFFY,2,70,55,55,45,80,60,ELECTRIC,ELECTRIC,12,12,120,117,NO_ITEM,NO_ITEM,GENDER_F50,127,20,70,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_GROUND,1,5,DYNAMICPUNCH|HEADBUTT|CURSE|TOXIC|ZAP_CANNON|ROCK_SMASH|HIDDEN_POWER|SNORE|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DEFENSE_CURL|THUNDERPUNCH|REST|ATTRACT|FIRE_PUNCH|STRENGTH|FLASH|THUNDERBOLT,pokecrystal/data/pokemon/base_stats/flaaffy.asm
181,ampharos,AMPHAROS,2,90,75,75,55,115,90,ELECTRIC,ELECTRIC,12,12,45,194,NO_ITEM,NO_ITEM,GENDER_F50,127,20,70,GROWTH_MEDIUM_SLOW,3,EGG_MONSTER,EGG_GROUND,1,5,DYNAMICPUNCH|HEADBUTT|CURSE|TOXIC|ZAP_CANNON|ROCK_SMASH|HIDDEN_POWER|SNORE|HYPER_BEAM|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DEFENSE_CURL|THUNDERPUNCH|REST|ATTRACT|FIRE_PUNCH|STRENGTH|FLASH|THUNDERBOLT,pokecrystal/data/pokemon/base_stats/ampharos.asm
182,bellossom,BELLOSSOM,2,75,80,85,50,90,100,GRASS,GRASS,11,11,45,184,NO_ITEM,NO_ITEM,GENDER_F50,127,20,70,GROWTH_MEDIUM_SLOW,3,EGG_PLANT,EGG_PLANT,7,7,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|HYPER_BEAM|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|REST|ATTRACT|CUT|FLASH,pokecrystal/data/pokemon/base_stats/bellossom.asm
183,marill,MARILL,2,70,20,50,40,20,50,WATER,WATER,10,10,190,58,NO_ITEM,NO_ITEM,GENDER_F50,127,20,70,GROWTH_FAST,4,EGG_WATER_1,EGG_FAIRY,2,6,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|TOXIC|HIDDEN_POWER|SNORE|BLIZZARD|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|RETURN|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|SWIFT|DEFENSE_CURL|REST|ATTRACT|SURF|WHIRLPOOL|WATERFALL|ICE_BEAM,pokecrystal/data/pokemon/base_stats/marill.asm
184,azumarill,AZUMARILL,2,100,50,80,50,50,80,WATER,WATER,10,10,75,153,NO_ITEM,NO_ITEM,GENDER_F50,127,20,70,GROWTH_FAST,4,EGG_WATER_1,EGG_FAIRY,2,6,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|TOXIC|ROCK_SMASH|HIDDEN_POWER|SNORE|BLIZZARD|HYPER_BEAM|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|RETURN|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|SWIFT|DEFENSE_CURL|REST|ATTRACT|SURF|STRENGTH|WHIRLPOOL|WATERFALL|ICE_BEAM,pokecrystal/data/pokemon/base_stats/azumarill.asm
185,sudowoodo,SUDOWOODO,2,70,100,115,30,30,65,ROCK,ROCK,5,5,65,135,NO_ITEM,NO_ITEM,GENDER_F50,127,20,70,GROWTH_MEDIUM_FAST,0,EGG_MINERAL,EGG_MINERAL,10,10,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|TOXIC|ROCK_SMASH|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|ENDURE|FRUSTRATION|EARTHQUAKE|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|SANDSTORM|DEFENSE_CURL|THUNDERPUNCH|REST|ATTRACT|THIEF|FIRE_PUNCH|STRENGTH,pokecrystal/data/pokemon/base_stats/sudowoodo.asm
186,politoed,POLITOED,2,90,75,75,70,90,100,WATER,WATER,10,10,45,185,NO_ITEM,KINGS_ROCK,GENDER_F50,127,20,70,GROWTH_MEDIUM_SLOW,3,EGG_WATER_1,EGG_WATER_1,2,2,DYNAMICPUNCH|HEADBUTT|CURSE|TOXIC|ROCK_SMASH|HIDDEN_POWER|SNORE|BLIZZARD|HYPER_BEAM|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|EARTHQUAKE|RETURN|PSYCHIC_M|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|DEFENSE_CURL|DETECT|REST|ATTRACT|THIEF|SURF|STRENGTH|WHIRLPOOL|WATERFALL|ICE_BEAM,pokecrystal/data/pokemon/base_stats/politoed.asm
187,hoppip,HOPPIP,2,35,35,40,50,35,55,GRASS,FLYING,11,2,255,74,NO_ITEM,NO_ITEM,GENDER_F50,127,20,70,GROWTH_MEDIUM_SLOW,3,EGG_FAIRY,EGG_PLANT,6,7,HEADBUTT|CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|DEFENSE_CURL|REST|ATTRACT|FLASH,pokecrystal/data/pokemon/base_stats/hoppip.asm
188,skiploom,SKIPLOOM,2,55,45,50,80,45,65,GRASS,FLYING,11,2,120,136,NO_ITEM,NO_ITEM,GENDER_F50,127,20,70,GROWTH_MEDIUM_SLOW,3,EGG_FAIRY,EGG_PLANT,6,7,HEADBUTT|CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|DEFENSE_CURL|REST|ATTRACT|FLASH,pokecrystal/data/pokemon/base_stats/skiploom.asm
189,jumpluff,JUMPLUFF,2,75,55,70,110,55,85,GRASS,FLYING,11,2,45,176,NO_ITEM,NO_ITEM,GENDER_F50,127,20,70,GROWTH_MEDIUM_SLOW,3,EGG_FAIRY,EGG_PLANT,6,7,HEADBUTT|CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|HYPER_BEAM|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|DEFENSE_CURL|REST|ATTRACT|FLASH,pokecrystal/data/pokemon/base_stats/jumpluff.asm
