file_id,path,member_index,size_black,size_white,type_black,type_white,sha1_black,sha1_white,same
420,/a/1/7/8,574,249,249,raw/other,raw/other,64e03b383cfee94d20bec1089dc8c0d78eea4a7d,99eb6edaf00c52a450bfe81aebc591393a2919c9,False
420,/a/1/7/8,575,249,249,raw/other,raw/other,411bf9b6ffffb57d555ff8b728d7c2cd13fa57b8,99eb6edaf00c52a450bfe81aebc591393a2919c9,False
420,/a/1/7/8,576,249,249,raw/other,raw/other,99eb6edaf00c52a450bfe81aebc591393a2919c9,b72aa0aeef0a380fa8f29187e7475f78fb42841d,False
420,/a/1/7/8,577,249,249,raw/other,raw/other,99eb6edaf00c52a450bfe81aebc591393a2919c9,64e03b383cfee94d20bec1089dc8c0d78eea4a7d,False
420,/a/1/7/8,578,249,249,raw/other,raw/other,99eb6edaf00c52a450bfe81aebc591393a2919c9,411bf9b6ffffb57d555ff8b728d7c2cd13fa57b8,False
420,/a/1/7/8,626,249,249,raw/other,raw/other,99eb6edaf00c52a450bfe81aebc591393a2919c9,7b84363282b44acfdbd013d29d68bfdbd53a42c8,False
420,/a/1/7/8,627,249,249,raw/other,raw/other,99eb6edaf00c52a450bfe81aebc591393a2919c9,3ef4860233a7099d14ed545a867c759468b05026,False
420,/a/1/7/8,628,249,249,raw/other,raw/other,7b84363282b44acfdbd013d29d68bfdbd53a42c8,99eb6edaf00c52a450bfe81aebc591393a2919c9,False
420,/a/1/7/8,629,249,249,raw/other,raw/other,3ef4860233a7099d14ed545a867c759468b05026,99eb6edaf00c52a450bfe81aebc591393a2919c9,False
473,/a/2/3/1,1,24943,26277,LZ compressed,LZ compressed,04c351ae8c4566001d88b8a918ccb40fbda57980,ca50c422a49c11f973a657aca2f46e44c57b8b39,False
473,/a/2/3/1,63,14670,14684,LZ compressed,LZ compressed,df8b8b36d12c73efc9814c6a13d4d6d38298eb94,3f23c88a6f415cedcd281351da017c0489853ff3,False
