left,right,block_index,file_offset_hex,differing_bytes,difference_ratio
JA-JP/REV-0,EN-USA/REV-0,9,0x00900000,0,0.00000000
JA-JP/REV-0,EN-USA/REV-0,10,0x00A00000,0,0.00000000
JA-JP/REV-0,EN-USA/REV-0,11,0x00B00000,0,0.00000000
JA-JP/REV-0,EN-USA/REV-0,12,0x00C00000,1027343,0.97975063
JA-JP/REV-0,EN-USA/REV-0,13,0x00D00000,984566,0.93895531
JA-JP/REV-0,EN-USA/REV-0,14,0x00E00000,710578,0.67765999
JA-JP/REV-0,EN-USA/REV-0,15,0x00F00000,682613,0.65099049
JA-JP/REV-0,FR-FR/REV-0,0,0x00000000,1010760,0.96393585
JA-JP/REV-0,FR-FR/REV-0,1,0x00100000,966363,0.92159557
JA-JP/REV-0,FR-FR/REV-0,2,0x00200000,940801,0.89721775
JA-JP/REV-0,FR-FR/REV-0,3,0x00300000,935742,0.89239311
JA-JP/REV-0,FR-FR/REV-0,4,0x00400000,1011145,0.96430302
JA-JP/REV-0,FR-FR/REV-0,5,0x00500000,1040917,0.99269581
JA-JP/REV-0,FR-FR/REV-0,6,0x00600000,1041791,0.99352932
JA-JP/REV-0,FR-FR/REV-0,7,0x00700000,61361,0.05851841
JA-JP/REV-0,FR-FR/REV-0,8,0x00800000,0,0.00000000
JA-JP/REV-0,FR-FR/REV-0,9,0x00900000,0,0.00000000
JA-JP/REV-0,FR-FR/REV-0,10,0x00A00000,0,0.00000000
JA-JP/REV-0,FR-FR/REV-0,11,0x00B00000,0,0.00000000
JA-JP/REV-0,FR-FR/REV-0,12,0x00C00000,1027343,0.97975063
JA-JP/REV-0,FR-FR/REV-0,13,0x00D00000,984568,0.93895721
JA-JP/REV-0,FR-FR/REV-0,14,0x00E00000,715582,0.68243217
JA-JP/REV-0,FR-FR/REV-0,15,0x00F00000,682613,0.65099049
JA-JP/REV-0,IT-IT/REV-0,0,0x00000000,1010849,0.96402073
JA-JP/REV-0,IT-IT/REV-0,1,0x00100000,964318,0.91964531
JA-JP/REV-0,IT-IT/REV-0,2,0x00200000,949278,0.90530205
JA-JP/REV-0,IT-IT/REV-0,3,0x00300000,935974,0.89261436
JA-JP/REV-0,IT-IT/REV-0,4,0x00400000,1011834,0.96496010
JA-JP/REV-0,IT-IT/REV-0,5,0x00500000,1040609,0.99240208
JA-JP/REV-0,IT-IT/REV-0,6,0x00600000,1041574,0.99332237
JA-JP/REV-0,IT-IT/REV-0,7,0x00700000,54026,0.05152321
JA-JP/REV-0,IT-IT/REV-0,8,0x00800000,0,0.00000000
JA-JP/REV-0,IT-IT/REV-0,9,0x00900000,0,0.00000000
JA-JP/REV-0,IT-IT/REV-0,10,0x00A00000,0,0.00000000
JA-JP/REV-0,IT-IT/REV-0,11,0x00B00000,0,0.00000000
JA-JP/REV-0,IT-IT/REV-0,12,0x00C00000,1027343,0.97975063
JA-JP/REV-0,IT-IT/REV-0,13,0x00D00000,984491,0.93888378
JA-JP/REV-0,IT-IT/REV-0,14,0x00E00000,715945,0.68277836
JA-JP/REV-0,IT-IT/REV-0,15,0x00F00000,682613,0.65099049
DE-DE/REV-0,ES-ES/REV-0,0,0x00000000,998132,0.95189285
DE-DE/REV-0,ES-ES/REV-0,1,0x00100000,962165,0.91759205
DE-DE/REV-0,ES-ES/REV-0,2,0x00200000,837492,0.79869461
DE-DE/REV-0,ES-ES/REV-0,3,0x00300000,873551,0.83308315
DE-DE/REV-0,ES-ES/REV-0,4,0x00400000,991184,0.94526672
DE-DE/REV-0,ES-ES/REV-0,5,0x00500000,1040315,0.99212170
DE-DE/REV-0,ES-ES/REV-0,6,0x00600000,1036645,0.98862171
DE-DE/REV-0,ES-ES/REV-0,7,0x00700000,96083,0.09163189
DE-DE/REV-0,ES-ES/REV-0,8,0x00800000,0,0.00000000
DE-DE/REV-0,ES-ES/REV-0,9,0x00900000,0,0.00000000
DE-DE/REV-0,ES-ES/REV-0,10,0x00A00000,0,0.00000000
DE-DE/REV-0,ES-ES/REV-0,11,0x00B00000,0,0.00000000
DE-DE/REV-0,ES-ES/REV-0,12,0x00C00000,0,0.00000000
DE-DE/REV-0,ES-ES/REV-0,13,0x00D00000,691953,0.65989780
DE-DE/REV-0,ES-ES/REV-0,14,0x00E00000,565895,0.53967953
DE-DE/REV-0,ES-ES/REV-0,15,0x00F00000,0,0.00000000
DE-DE/REV-0,EN-EUROPE/REV-1,0,0x00000000,999871,0.95355129
DE-DE/REV-0,EN-EUROPE/REV-1,1,0x00100000,944492,0.90073776
DE-DE/REV-0,EN-EUROPE/REV-1,2,0x00200000,705447,0.67276669
DE-DE/REV-0,EN-EUROPE/REV-1,3,0x00300000,779884,0.74375534
DE-DE/REV-0,EN-EUROPE/REV-1,4,0x00400000,970625,0.92566013
DE-DE/REV-0,EN-EUROPE/REV-1,5,0x00500000,1040523,0.99232006
DE-DE/REV-0,EN-EUROPE/REV-1,6,0x00600000,1035692,0.98771286
DE-DE/REV-0,EN-EUROPE/REV-1,7,0x00700000,103261,0.09847736
DE-DE/REV-0,EN-EUROPE/REV-1,8,0x00800000,0,0.00000000
DE-DE/REV-0,EN-EUROPE/REV-1,9,0x00900000,0,0.00000000
DE-DE/REV-0,EN-EUROPE/REV-1,10,0x00A00000,0,0.00000000
DE-DE/REV-0,EN-EUROPE/REV-1,11,0x00B00000,0,0.00000000
DE-DE/REV-0,EN-EUROPE/REV-1,12,0x00C00000,0,0.00000000
DE-DE/REV-0,EN-EUROPE/REV-1,13,0x00D00000,691855,0.65980434
DE-DE/REV-0,EN-EUROPE/REV-1,14,0x00E00000,577012,0.55028152
DE-DE/REV-0,EN-EUROPE/REV-1,15,0x00F00000,0,0.00000000
DE-DE/REV-0,EN-USA/REV-0,0,0x00000000,944761,0.90099430
DE-DE/REV-0,EN-USA/REV-0,1,0x00100000,958817,0.91439915
DE-DE/REV-0,EN-USA/REV-0,2,0x00200000,725640,0.69202423
DE-DE/REV-0,EN-USA/REV-0,3,0x00300000,760979,0.72572613
DE-DE/REV-0,EN-USA/REV-0,4,0x00400000,970039,0.92510128
DE-DE/REV-0,EN-USA/REV-0,5,0x00500000,1040556,0.99235153
DE-DE/REV-0,EN-USA/REV-0,6,0x00600000,1035659,0.98768139
DE-DE/REV-0,EN-USA/REV-0,7,0x00700000,103215,0.09843349
DE-DE/REV-0,EN-USA/REV-0,8,0x00800000,0,0.00000000
DE-DE/REV-0,EN-USA/REV-0,9,0x00900000,0,0.00000000
DE-DE/REV-0,EN-USA/REV-0,10,0x00A00000,0,0.00000000
DE-DE/REV-0,EN-USA/REV-0,11,0x00B00000,0,0.00000000
DE-DE/REV-0,EN-USA/REV-0,12,0x00C00000,0,0.00000000
DE-DE/REV-0,EN-USA/REV-0,13,0x00D00000,691855,0.65980434
DE-DE/REV-0,EN-USA/REV-0,14,0x00E00000,577012,0.55028152
DE-DE/REV-0,EN-USA/REV-0,15,0x00F00000,0,0.00000000
DE-DE/REV-0,FR-FR/REV-0,0,0x00000000,994814,0.94872856
DE-DE/REV-0,FR-FR/REV-0,1,0x00100000,959089,0.91465855
DE-DE/REV-0,FR-FR/REV-0,2,0x00200000,839622,0.80072594
DE-DE/REV-0,FR-FR/REV-0,3,0x00300000,870167,0.82985592
DE-DE/REV-0,FR-FR/REV-0,4,0x00400000,968103,0.92325497
DE-DE/REV-0,FR-FR/REV-0,5,0x00500000,1040679,0.99246883
DE-DE/REV-0,FR-FR/REV-0,6,0x00600000,1036810,0.98877907
DE-DE/REV-0,FR-FR/REV-0,7,0x00700000,96009,0.09156132
DE-DE/REV-0,FR-FR/REV-0,8,0x00800000,0,0.00000000
DE-DE/REV-0,FR-FR/REV-0,9,0x00900000,0,0.00000000
DE-DE/REV-0,FR-FR/REV-0,10,0x00A00000,0,0.00000000
DE-DE/REV-0,FR-FR/REV-0,11,0x00B00000,0,0.00000000
DE-DE/REV-0,FR-FR/REV-0,12,0x00C00000,0,0.00000000
DE-DE/REV-0,FR-FR/REV-0,13,0x00D00000,691975,0.65991879
DE-DE/REV-0,FR-FR/REV-0,14,0x00E00000,575498,0.54883766
DE-DE/REV-0,FR-FR/REV-0,15,0x00F00000,0,0.00000000
DE-DE/REV-0,IT-IT/REV-0,0,0x00000000,689661,0.65771198
DE-DE/REV-0,IT-IT/REV-0,1,0x00100000,933533,0.89028645
DE-DE/REV-0,IT-IT/REV-0,2,0x00200000,846107,0.80691051
DE-DE/REV-0,IT-IT/REV-0,3,0x00300000,870235,0.82992077
DE-DE/REV-0,IT-IT/REV-0,4,0x00400000,997429,0.95122242
DE-DE/REV-0,IT-IT/REV-0,5,0x00500000,1040657,0.99244785
DE-DE/REV-0,IT-IT/REV-0,6,0x00600000,1037219,0.98916912
DE-DE/REV-0,IT-IT/REV-0,7,0x00700000,96058,0.09160805
DE-DE/REV-0,IT-IT/REV-0,8,0x00800000,0,0.00000000
DE-DE/REV-0,IT-IT/REV-0,9,0x00900000,0,0.00000000
DE-DE/REV-0,IT-IT/REV-0,10,0x00A00000,0,0.00000000
DE-DE/REV-0,IT-IT/REV-0,11,0x00B00000,0,0.00000000
DE-DE/REV-0,IT-IT/REV-0,12,0x00C00000,0,0.00000000
DE-DE/REV-0,IT-IT/REV-0,13,0x00D00000,608149,0.57997608
DE-DE/REV-0,IT-IT/REV-0,14,0x00E00000,501685,0.47844410
DE-DE/REV-0,IT-IT/REV-0,15,0x00F00000,0,0.00000000
ES-ES/REV-0,EN-EUROPE/REV-1,0,0x00000000,1002310,0.95587730
ES-ES/REV-0,EN-EUROPE/REV-1,1,0x00100000,958651,0.91424084
ES-ES/REV-0,EN-EUROPE/REV-1,2,0x00200000,838116,0.79928970
ES-ES/REV-0,EN-EUROPE/REV-1,3,0x00300000,863837,0.82381916
ES-ES/REV-0,EN-EUROPE/REV-1,4,0x00400000,995498,0.94938087
ES-ES/REV-0,EN-EUROPE/REV-1,5,0x00500000,1040215,0.99202633
ES-ES/REV-0,EN-EUROPE/REV-1,6,0x00600000,1037076,0.98903275
ES-ES/REV-0,EN-EUROPE/REV-1,7,0x00700000,103709,0.09890461
ES-ES/REV-0,EN-EUROPE/REV-1,8,0x00800000,0,0.00000000
ES-ES/REV-0,EN-EUROPE/REV-1,9,0x00900000,0,0.00000000
ES-ES/REV-0,EN-EUROPE/REV-1,10,0x00A00000,0,0.00000000
ES-ES/REV-0,EN-EUROPE/REV-1,11,0x00B00000,0,0.00000000
ES-ES/REV-0,EN-EUROPE/REV-1,12,0x00C00000,0,0.00000000
ES-ES/REV-0,EN-EUROPE/REV-1,13,0x00D00000,350,0.00033379
ES-ES/REV-0,EN-EUROPE/REV-1,14,0x00E00000,171528,0.16358185
ES-ES/REV-0,EN-EUROPE/REV-1,15,0x00F00000,0,0.00000000
ES-ES/REV-0,EN-USA/REV-0,0,0x00000000,1002437,0.95599842
ES-ES/REV-0,EN-USA/REV-0,1,0x00100000,959528,0.91507721
ES-ES/REV-0,EN-USA/REV-0,2,0x00200000,840522,0.80158424
ES-ES/REV-0,EN-USA/REV-0,3,0x00300000,871917,0.83152485
ES-ES/REV-0,EN-USA/REV-0,4,0x00400000,968198,0.92334557
ES-ES/REV-0,EN-USA/REV-0,5,0x00500000,1040065,0.99188328
ES-ES/REV-0,EN-USA/REV-0,6,0x00600000,1037018,0.98897743
ES-ES/REV-0,EN-USA/REV-0,7,0x00700000,103490,0.09869576
ES-ES/REV-0,EN-USA/REV-0,8,0x00800000,0,0.00000000
ES-ES/REV-0,EN-USA/REV-0,9,0x00900000,0,0.00000000
ES-ES/REV-0,EN-USA/REV-0,10,0x00A00000,0,0.00000000
ES-ES/REV-0,EN-USA/REV-0,11,0x00B00000,0,0.00000000
ES-ES/REV-0,EN-USA/REV-0,12,0x00C00000,0,0.00000000
ES-ES/REV-0,EN-USA/REV-0,13,0x00D00000,350,0.00033379
ES-ES/REV-0,EN-USA/REV-0,14,0x00E00000,171528,0.16358185
ES-ES/REV-0,EN-USA/REV-0,15,0x00F00000,0,0.00000000
ES-ES/REV-0,FR-FR/REV-0,0,0x00000000,840795,0.80184460
ES-ES/REV-0,FR-FR/REV-0,1,0x00100000,939577,0.89605045
ES-ES/REV-0,FR-FR/REV-0,2,0x00200000,788831,0.75228786
ES-ES/REV-0,FR-FR/REV-0,3,0x00300000,838340,0.79950333
ES-ES/REV-0,FR-FR/REV-0,4,0x00400000,978655,0.93331814
ES-ES/REV-0,FR-FR/REV-0,5,0x00500000,1039841,0.99166965
ES-ES/REV-0,FR-FR/REV-0,6,0x00600000,1034822,0.98688316
ES-ES/REV-0,FR-FR/REV-0,7,0x00700000,65373,0.06234455
ES-ES/REV-0,FR-FR/REV-0,8,0x00800000,0,0.00000000
ES-ES/REV-0,FR-FR/REV-0,9,0x00900000,0,0.00000000
ES-ES/REV-0,FR-FR/REV-0,10,0x00A00000,0,0.00000000
ES-ES/REV-0,FR-FR/REV-0,11,0x00B00000,0,0.00000000
ES-ES/REV-0,FR-FR/REV-0,12,0x00C00000,0,0.00000000
ES-ES/REV-0,FR-FR/REV-0,13,0x00D00000,404,0.00038528
ES-ES/REV-0,FR-FR/REV-0,14,0x00E00000,162251,0.15473461
ES-ES/REV-0,FR-FR/REV-0,15,0x00F00000,0,0.00000000
ES-ES/REV-0,IT-IT/REV-0,0,0x00000000,884601,0.84362125
ES-ES/REV-0,IT-IT/REV-0,1,0x00100000,949093,0.90512562
ES-ES/REV-0,IT-IT/REV-0,2,0x00200000,828340,0.78996658
ES-ES/REV-0,IT-IT/REV-0,3,0x00300000,858203,0.81844616
ES-ES/REV-0,IT-IT/REV-0,4,0x00400000,949053,0.90508747
ES-ES/REV-0,IT-IT/REV-0,5,0x00500000,1040145,0.99195957
ES-ES/REV-0,IT-IT/REV-0,6,0x00600000,1036452,0.98843765
ES-ES/REV-0,IT-IT/REV-0,7,0x00700000,65500,0.06246567
ES-ES/REV-0,IT-IT/REV-0,8,0x00800000,0,0.00000000
ES-ES/REV-0,IT-IT/REV-0,9,0x00900000,0,0.00000000
ES-ES/REV-0,IT-IT/REV-0,10,0x00A00000,0,0.00000000
ES-ES/REV-0,IT-IT/REV-0,11,0x00B00000,0,0.00000000
ES-ES/REV-0,IT-IT/REV-0,12,0x00C00000,0,0.00000000
ES-ES/REV-0,IT-IT/REV-0,13,0x00D00000,663612,0.63286972
ES-ES/REV-0,IT-IT/REV-0,14,0x00E00000,557046,0.53124046
ES-ES/REV-0,IT-IT/REV-0,15,0x00F00000,0,0.00000000
EN-EUROPE/REV-1,EN-USA/REV-0,0,0x00000000,987232,0.94149780
EN-EUROPE/REV-1,EN-USA/REV-0,1,0x00100000,948415,0.90447903
EN-EUROPE/REV-1,EN-USA/REV-0,2,0x00200000,669244,0.63824081
EN-EUROPE/REV-1,EN-USA/REV-0,3,0x00300000,723058,0.68956184
EN-EUROPE/REV-1,EN-USA/REV-0,4,0x00400000,943391,0.89968777
EN-EUROPE/REV-1,EN-USA/REV-0,5,0x00500000,1030283,0.98255444
EN-EUROPE/REV-1,EN-USA/REV-0,6,0x00600000,1020178,0.97291756
EN-EUROPE/REV-1,EN-USA/REV-0,7,0x00700000,102213,0.09747791
EN-EUROPE/REV-1,EN-USA/REV-0,8,0x00800000,0,0.00000000
EN-EUROPE/REV-1,EN-USA/REV-0,9,0x00900000,0,0.00000000
EN-EUROPE/REV-1,EN-USA/REV-0,10,0x00A00000,0,0.00000000
EN-EUROPE/REV-1,EN-USA/REV-0,11,0x00B00000,0,0.00000000
EN-EUROPE/REV-1,EN-USA/REV-0,12,0x00C00000,0,0.00000000
EN-EUROPE/REV-1,EN-USA/REV-0,13,0x00D00000,0,0.00000000
EN-EUROPE/REV-1,EN-USA/REV-0,14,0x00E00000,0,0.00000000
EN-EUROPE/REV-1,EN-USA/REV-0,15,0x00F00000,0,0.00000000
EN-EUROPE/REV-1,FR-FR/REV-0,0,0x00000000,1002855,0.95639706
EN-EUROPE/REV-1,FR-FR/REV-0,1,0x00100000,957425,0.91307163
EN-EUROPE/REV-1,FR-FR/REV-0,2,0x00200000,840422,0.80148888
EN-EUROPE/REV-1,FR-FR/REV-0,3,0x00300000,863582,0.82357597
EN-EUROPE/REV-1,FR-FR/REV-0,4,0x00400000,997830,0.95160484
EN-EUROPE/REV-1,FR-FR/REV-0,5,0x00500000,1040831,0.99261379
EN-EUROPE/REV-1,FR-FR/REV-0,6,0x00600000,1037253,0.98920155
EN-EUROPE/REV-1,FR-FR/REV-0,7,0x00700000,103550,0.09875298
EN-EUROPE/REV-1,FR-FR/REV-0,8,0x00800000,0,0.00000000
EN-EUROPE/REV-1,FR-FR/REV-0,9,0x00900000,0,0.00000000
EN-EUROPE/REV-1,FR-FR/REV-0,10,0x00A00000,0,0.00000000
EN-EUROPE/REV-1,FR-FR/REV-0,11,0x00B00000,0,0.00000000
EN-EUROPE/REV-1,FR-FR/REV-0,12,0x00C00000,0,0.00000000
EN-EUROPE/REV-1,FR-FR/REV-0,13,0x00D00000,296,0.00028229
EN-EUROPE/REV-1,FR-FR/REV-0,14,0x00E00000,171654,0.16370201
EN-EUROPE/REV-1,FR-FR/REV-0,15,0x00F00000,0,0.00000000
EN-EUROPE/REV-1,IT-IT/REV-0,0,0x00000000,1000592,0.95423889
EN-EUROPE/REV-1,IT-IT/REV-0,1,0x00100000,933819,0.89055920
EN-EUROPE/REV-1,IT-IT/REV-0,2,0x00200000,845254,0.80609703
EN-EUROPE/REV-1,IT-IT/REV-0,3,0x00300000,872008,0.83161163
EN-EUROPE/REV-1,IT-IT/REV-0,4,0x00400000,998474,0.95221901
EN-EUROPE/REV-1,IT-IT/REV-0,5,0x00500000,1040991,0.99276638
EN-EUROPE/REV-1,IT-IT/REV-0,6,0x00600000,1037316,0.98926163
EN-EUROPE/REV-1,IT-IT/REV-0,7,0x00700000,103614,0.09881401
EN-EUROPE/REV-1,IT-IT/REV-0,8,0x00800000,0,0.00000000
EN-EUROPE/REV-1,IT-IT/REV-0,9,0x00900000,0,0.00000000
EN-EUROPE/REV-1,IT-IT/REV-0,10,0x00A00000,0,0.00000000
EN-EUROPE/REV-1,IT-IT/REV-0,11,0x00B00000,0,0.00000000
EN-EUROPE/REV-1,IT-IT/REV-0,12,0x00C00000,0,0.00000000
EN-EUROPE/REV-1,IT-IT/REV-0,13,0x00D00000,663554,0.63281441
EN-EUROPE/REV-1,IT-IT/REV-0,14,0x00E00000,561550,0.53553581
EN-EUROPE/REV-1,IT-IT/REV-0,15,0x00F00000,0,0.00000000
EN-USA/REV-0,FR-FR/REV-0,0,0x00000000,1002137,0.95571232
EN-USA/REV-0,FR-FR/REV-0,1,0x00100000,956831,0.91250515
EN-USA/REV-0,FR-FR/REV-0,2,0x00200000,840627,0.80168438
EN-USA/REV-0,FR-FR/REV-0,3,0x00300000,867539,0.82734966
EN-USA/REV-0,FR-FR/REV-0,4,0x00400000,997804,0.95158005
EN-USA/REV-0,FR-FR/REV-0,5,0x00500000,1040686,0.99247551
EN-USA/REV-0,FR-FR/REV-0,6,0x00600000,1037302,0.98924828
EN-USA/REV-0,FR-FR/REV-0,7,0x00700000,103512,0.09871674
EN-USA/REV-0,FR-FR/REV-0,8,0x00800000,0,0.00000000
EN-USA/REV-0,FR-FR/REV-0,9,0x00900000,0,0.00000000
EN-USA/REV-0,FR-FR/REV-0,10,0x00A00000,0,0.00000000
EN-USA/REV-0,FR-FR/REV-0,11,0x00B00000,0,0.00000000
EN-USA/REV-0,FR-FR/REV-0,12,0x00C00000,0,0.00000000
EN-USA/REV-0,FR-FR/REV-0,13,0x00D00000,296,0.00028229
EN-USA/REV-0,FR-FR/REV-0,14,0x00E00000,171654,0.16370201
EN-USA/REV-0,FR-FR/REV-0,15,0x00F00000,0,0.00000000
EN-USA/REV-0,IT-IT/REV-0,0,0x00000000,1000214,0.95387840
EN-USA/REV-0,IT-IT/REV-0,1,0x00100000,956081,0.91178989
EN-USA/REV-0,IT-IT/REV-0,2,0x00200000,840222,0.80129814
EN-USA/REV-0,IT-IT/REV-0,3,0x00300000,868088,0.82787323
EN-USA/REV-0,IT-IT/REV-0,4,0x00400000,977052,0.93178940
EN-USA/REV-0,IT-IT/REV-0,5,0x00500000,1040872,0.99265289
EN-USA/REV-0,IT-IT/REV-0,6,0x00600000,1037167,0.98911953
EN-USA/REV-0,IT-IT/REV-0,7,0x00700000,103515,0.09871960
EN-USA/REV-0,IT-IT/REV-0,8,0x00800000,0,0.00000000
EN-USA/REV-0,IT-IT/REV-0,9,0x00900000,0,0.00000000
EN-USA/REV-0,IT-IT/REV-0,10,0x00A00000,0,0.00000000
EN-USA/REV-0,IT-IT/REV-0,11,0x00B00000,0,0.00000000
EN-USA/REV-0,IT-IT/REV-0,12,0x00C00000,0,0.00000000
EN-USA/REV-0,IT-IT/REV-0,13,0x00D00000,663554,0.63281441
EN-USA/REV-0,IT-IT/REV-0,14,0x00E00000,561550,0.53553581
EN-USA/REV-0,IT-IT/REV-0,15,0x00F00000,0,0.00000000
FR-FR/REV-0,IT-IT/REV-0,0,0x00000000,995623,0.94950008
FR-FR/REV-0,IT-IT/REV-0,1,0x00100000,942250,0.89859962
FR-FR/REV-0,IT-IT/REV-0,2,0x00200000,805346,0.76803780
FR-FR/REV-0,IT-IT/REV-0,3,0x00300000,840729,0.80178165
FR-FR/REV-0,IT-IT/REV-0,4,0x00400000,981707,0.93622875
FR-FR/REV-0,IT-IT/REV-0,5,0x00500000,1040106,0.99192238
FR-FR/REV-0,IT-IT/REV-0,6,0x00600000,1035508,0.98753738
FR-FR/REV-0,IT-IT/REV-0,7,0x00700000,60930,0.05810738
FR-FR/REV-0,IT-IT/REV-0,8,0x00800000,0,0.00000000
FR-FR/REV-0,IT-IT/REV-0,9,0x00900000,0,0.00000000
FR-FR/REV-0,IT-IT/REV-0,10,0x00A00000,0,0.00000000
FR-FR/REV-0,IT-IT/REV-0,11,0x00B00000,0,0.00000000
FR-FR/REV-0,IT-IT/REV-0,12,0x00C00000,0,0.00000000
FR-FR/REV-0,IT-IT/REV-0,13,0x00D00000,663308,0.63257980
FR-FR/REV-0,IT-IT/REV-0,14,0x00E00000,552553,0.52695560
FR-FR/REV-0,IT-IT/REV-0,15,0x00F00000,0,0.00000000
