language_region,revision,source_block,pointer_count,distinct_target_blocks,top_target_blocks
EN-USA,REV-0,0,11867,14,0:7985;3:1497;2:1056;4:602;1:502
EN-USA,REV-0,1,11218,16,1:6938;4:1854;0:1398;3:590;2:163
EN-USA,REV-0,2,5885,16,2:2691;13:1417;0:841;14:742;1:70
EN-USA,REV-0,3,19960,15,3:10097;0:2994;1:2801;2:1501;14:1035
EN-USA,REV-0,4,9125,16,4:4068;1:1591;0:903;6:794;5:561
EN-USA,REV-0,5,680,16,0:126;15:89;1:83;2:80;3:73
EN-USA,REV-0,6,2867,15,6:1857;4:378;12:159;0:146;1:101
EN-USA,REV-0,7,329,16,0:71;4:52;1:40;2:27;7:21
EN-USA,REV-0,8,0,0,
EN-USA,REV-0,9,0,0,
EN-USA,REV-0,10,0,0,
EN-USA,REV-0,11,0,0,
EN-USA,REV-0,12,0,0,
EN-USA,REV-0,13,1058,16,0:318;4:315;1:86;7:41;3:36
EN-USA,REV-0,14,735,16,0:269;1:70;4:62;8:50;6:45
EN-USA,REV-0,15,0,0,
FR-FR,REV-0,0,11832,14,0:7983;3:1534;2:1061;4:538;1:488
FR-FR,REV-0,1,11045,16,1:6843;4:1792;0:1413;3:584;2:170
FR-FR,REV-0,2,5913,16,2:2719;13:1417;0:841;14:742;1:70
FR-FR,REV-0,3,20053,16,3:10067;0:3072;1:2805;2:1500;14:1035
FR-FR,REV-0,4,9123,16,4:4107;1:1620;0:850;6:768;5:525
FR-FR,REV-0,5,603,16,0:98;3:73;2:71;15:71;1:67
FR-FR,REV-0,6,2991,16,6:1850;4:405;0:176;12:161;1:114
FR-FR,REV-0,7,181,16,0:35;1:29;4:26;7:15;2:13
FR-FR,REV-0,8,0,0,
FR-FR,REV-0,9,0,0,
FR-FR,REV-0,10,0,0,
FR-FR,REV-0,11,0,0,
FR-FR,REV-0,12,0,0,
FR-FR,REV-0,13,1058,16,0:318;4:315;1:86;7:41;3:36
FR-FR,REV-0,14,749,16,0:272;1:74;4:62;8:52;6:46
FR-FR,REV-0,15,0,0,
IT-IT,REV-0,0,11836,14,0:7983;3:1536;2:1060;4:541;1:488
IT-IT,REV-0,1,11051,16,1:6859;4:1790;0:1409;3:587;2:169
IT-IT,REV-0,2,5929,16,2:2735;13:1417;0:841;14:742;1:70
IT-IT,REV-0,3,20039,16,3:10052;0:3073;1:2803;2:1501;14:1037
IT-IT,REV-0,4,9098,16,4:4105;1:1604;0:850;6:766;5:526
IT-IT,REV-0,5,586,16,0:96;3:73;2:71;15:63;1:62
IT-IT,REV-0,6,3014,16,6:1849;4:413;0:179;12:161;1:115
IT-IT,REV-0,7,153,16,0:33;1:27;4:18;7:14;6:11
IT-IT,REV-0,8,0,0,
IT-IT,REV-0,9,0,0,
IT-IT,REV-0,10,0,0,
IT-IT,REV-0,11,0,0,
IT-IT,REV-0,12,0,0,
IT-IT,REV-0,13,1058,16,0:318;4:315;1:86;7:41;3:36
IT-IT,REV-0,14,750,16,0:266;1:74;4:61;8:52;6:44
IT-IT,REV-0,15,0,0,
