language_region,revision,block_index,file_offset_hex,gba_address_hex,size,sha256,zero_ratio,ff_ratio,entropy_bits_per_byte
DE-DE,REV-0,6,0x00600000,0x08600000,1048576,f638ed0587e50b7187421d05280aa47e51237d73424dd25de80b18e41d6289b2,0.02460861,0.01113224,7.656115
DE-DE,REV-0,7,0x00700000,0x08700000,1048576,391fd9345a5e32a341be96a6cd50cc0a3a87c23424281f2c1c50afc1d24da42b,0.01046467,0.90801525,1.093604
DE-DE,REV-0,8,0x00800000,0x08800000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
DE-DE,REV-0,9,0x00900000,0x08900000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
DE-DE,REV-0,10,0x00A00000,0x08A00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
DE-DE,REV-0,11,0x00B00000,0x08B00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
DE-DE,REV-0,12,0x00C00000,0x08C00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
DE-DE,REV-0,13,0x00D00000,0x08D00000,1048576,b3acd379afbc3e7fdac51d8f06132f6ca55fed56a391377b3ae093531680f562,0.30870152,0.02024841,5.600187
DE-DE,REV-0,14,0x00E00000,0x08E00000,1048576,9e79cb295fceffd48651e0cc8c3aca8b3cca90c9f0ab040d49cc74b0c8714859,0.19607258,0.31750393,4.814055
DE-DE,REV-0,15,0x00F00000,0x08F00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
ES-ES,REV-0,0,0x00000000,0x08000000,1048576,2434c4ee1400bbf50c9c622a7aaba5b35687caf229e5350de3e04a3d5260d837,0.10179234,0.01000595,6.609197
ES-ES,REV-0,1,0x00100000,0x08100000,1048576,21a6d622790d2a444bce879bada4b39e9065a8bfe719351cf7742fed733bb161,0.18662262,0.01771736,6.469314
ES-ES,REV-0,2,0x00200000,0x08200000,1048576,78d28b4f5329e945be5d2daa88cbb4647e438fc78c70a62a806f028a35b2a2a4,0.34607315,0.01541042,5.667177
ES-ES,REV-0,3,0x00300000,0x08300000,1048576,2e8ae290fa65d0fdf94f745ee3973a1ece6345d2ab971d03870b818c0a86922a,0.29579353,0.01476955,5.786833
ES-ES,REV-0,4,0x00400000,0x08400000,1048576,29cce4b0d444a5fd5886bf542f5c113d51dae3024fb98c2a49fd99ec42773546,0.15998554,0.02925777,6.873857
ES-ES,REV-0,5,0x00500000,0x08500000,1048576,ecfa5fc5a3bab494a74ae7cbfddb1d65312450d32f8ff7955c393574369127c2,0.03356266,0.02380657,7.570832
ES-ES,REV-0,6,0x00600000,0x08600000,1048576,d16bd448bdd223e2171cab6d1daed8f7ee22745f53305d9cef2b812532c86173,0.02717876,0.01032734,7.654565
ES-ES,REV-0,7,0x00700000,0x08700000,1048576,00ebc4f6069aeed4c356a6339e618248e35f967d651cc98f9d8548f669845238,0.00680542,0.93710899,0.786979
ES-ES,REV-0,8,0x00800000,0x08800000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
ES-ES,REV-0,9,0x00900000,0x08900000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
ES-ES,REV-0,10,0x00A00000,0x08A00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
ES-ES,REV-0,11,0x00B00000,0x08B00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
ES-ES,REV-0,12,0x00C00000,0x08C00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
ES-ES,REV-0,13,0x00D00000,0x08D00000,1048576,a2ad61252c9e97976b8717137586e3b4a51443d12cd88182e7d4f83ea5fc1ada,0.30868626,0.02021980,5.600763
ES-ES,REV-0,14,0x00E00000,0x08E00000,1048576,468eb84edc6a2e2fbb51c5758402edec32e355146f128834c170a17d5a91b3ff,0.19617653,0.31742668,4.814163
ES-ES,REV-0,15,0x00F00000,0x08F00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
EN-EUROPE,REV-1,0,0x00000000,0x08000000,1048576,049ac4db7913953804d5f99711775b814ed0871f609d58cafe36e9b107f9fc11,0.10189342,0.01002216,6.610096
EN-EUROPE,REV-1,1,0x00100000,0x08100000,1048576,6f7d323b88db0d973731dd3cbf3171b748b37294027579c6706b1b6f273678fd,0.17745781,0.01693153,6.534284
EN-EUROPE,REV-1,2,0x00200000,0x08200000,1048576,803498410315256f18a65ee5114c92fffc96b35ed1b18d8305057753c5b42d3e,0.36047077,0.01616669,5.589056
EN-EUROPE,REV-1,3,0x00300000,0x08300000,1048576,61151e90e16345f018dd034e64d7a335d67801ba5649894ce0d8323788cc3271,0.29323006,0.01449871,5.774955
EN-EUROPE,REV-1,4,0x00400000,0x08400000,1048576,bc65679ef9d014b9312ca6cc783c840877250216ee16a170bba7db031691414e,0.16626835,0.02855492,6.833901
EN-EUROPE,REV-1,5,0x00500000,0x08500000,1048576,d780c26206096cbeb39d78d05e1199d8e04e45aac4af736d72b4f60147b47bd6,0.03290558,0.02264118,7.593870
EN-EUROPE,REV-1,6,0x00600000,0x08600000,1048576,d342d1c3ddbdbe93f2bd78b39cfd0c10e11419cd16ea405273c63f0bad6541c2,0.02402401,0.01123619,7.656120
EN-EUROPE,REV-1,7,0x00700000,0x08700000,1048576,acf5577f1f72774b9195b4945f2143d6c7017ba9b47e7435aa191e3e0201a9b9,0.01061344,0.90078163,1.172042
EN-EUROPE,REV-1,8,0x00800000,0x08800000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
EN-EUROPE,REV-1,9,0x00900000,0x08900000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
EN-EUROPE,REV-1,10,0x00A00000,0x08A00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
EN-EUROPE,REV-1,11,0x00B00000,0x08B00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
EN-EUROPE,REV-1,12,0x00C00000,0x08C00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
EN-EUROPE,REV-1,13,0x00D00000,0x08D00000,1048576,030dff7f9bb59bb397ac46695b95b563735a708f6872d27a364bf05c4f4f78a0,0.30868626,0.02022743,5.600634
EN-EUROPE,REV-1,14,0x00E00000,0x08E00000,1048576,fd52cf37c7f828e54160b9b0b21e990695f48e280e622f9c88289e97b845cf7c,0.19569397,0.32234001,4.801987
EN-EUROPE,REV-1,15,0x00F00000,0x08F00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
EN-USA,REV-0,0,0x00000000,0x08000000,1048576,9e93c1e8a4dd8ab39df67f72541e86e47ccb52ef413cbf344b13d61a8a145831,0.10190868,0.01008797,6.608706
EN-USA,REV-0,1,0x00100000,0x08100000,1048576,c74297c8a5cebd61c222f2f045a8b53064604f9c37d765a99e3a9704b3242fd7,0.17746067,0.01694012,6.533546
EN-USA,REV-0,2,0x00200000,0x08200000,1048576,15058096c6bf1d153cbf9557ee76ac924d07488c9256217423b815846f202d1a,0.36040783,0.01615715,5.590100
EN-USA,REV-0,3,0x00300000,0x08300000,1048576,80b9c393833b33391d7918b614b476ff072cc7e178fd81b8cc3cc4e7b3ac370c,0.29327202,0.01449299,5.768875
EN-USA,REV-0,4,0x00400000,0x08400000,1048576,1e7f358bff042214fb450662f13393799740ad9ff1c0e6b55fa26fef827bf302,0.16622257,0.02855396,6.833551
EN-USA,REV-0,5,0x00500000,0x08500000,1048576,587367d08e7f4f2ce246b8eb5c8cb4e206f03e566ae2107208cc1d5c14d526cc,0.03290653,0.02265358,7.593732
EN-USA,REV-0,6,0x00600000,0x08600000,1048576,4d2113e7c2d09ff6e3f96baa6215599ab32dbdcbbc66cb6120c422f61387df05,0.02403355,0.01123333,7.655763
EN-USA,REV-0,7,0x00700000,0x08700000,1048576,d6a6c99b2ef5a2719cd95177495099f6b46f44f330c03460edd00e219c9c3045,0.01060390,0.90088844,1.170937
EN-USA,REV-0,8,0x00800000,0x08800000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
EN-USA,REV-0,9,0x00900000,0x08900000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
EN-USA,REV-0,10,0x00A00000,0x08A00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
EN-USA,REV-0,11,0x00B00000,0x08B00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
EN-USA,REV-0,12,0x00C00000,0x08C00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
EN-USA,REV-0,13,0x00D00000,0x08D00000,1048576,030dff7f9bb59bb397ac46695b95b563735a708f6872d27a364bf05c4f4f78a0,0.30868626,0.02022743,5.600634
EN-USA,REV-0,14,0x00E00000,0x08E00000,1048576,fd52cf37c7f828e54160b9b0b21e990695f48e280e622f9c88289e97b845cf7c,0.19569397,0.32234001,4.801987
EN-USA,REV-0,15,0x00F00000,0x08F00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
FR-FR,REV-0,0,0x00000000,0x08000000,1048576,24e2a3cab1a48f22750b4003deaf2d449ce9f2674be91348eb3c99f06c133eef,0.10177994,0.00993538,6.610843
FR-FR,REV-0,1,0x00100000,0x08100000,1048576,8b0ccc9553c939c73abc30081fcd3ce81892bd16a447871eff97b3996e8079a1,0.19065857,0.01764965,6.440116
FR-FR,REV-0,2,0x00200000,0x08200000,1048576,f9de9903ee3cc25cdf2940d3975aa0aefabcace8b4124831c659d2bba2bf6f51,0.34132671,0.01521206,5.694890
FR-FR,REV-0,3,0x00300000,0x08300000,1048576,28bfc8712458f181b5f62228b473c45f5300ad3e492fdadb5e0183c09c89a665,0.29606152,0.01497841,5.794214
FR-FR,REV-0,4,0x00400000,0x08400000,1048576,0c0cb258635f48913ed7c478d5afeb4b65b425008d83ecc1e1cf8ba0c48f3f91,0.15920544,0.02877712,6.878255
FR-FR,REV-0,5,0x00500000,0x08500000,1048576,3d24b083636656deba20b2c1623b0b0aae9977afdd2f2e5ba77514d923028210,0.03383446,0.02398396,7.565971
FR-FR,REV-0,6,0x00600000,0x08600000,1048576,d776eb62fe954d688636f6b6615091cfcd7f5f8704bf78e3b65ae7e1a0bff573,0.02724171,0.01016712,7.656535
FR-FR,REV-0,7,0x00700000,0x08700000,1048576,823da8d8851d11caf2c7ca2c0617fd342deb8084d03725d4122153362d0d6894,0.00640392,0.94148159,0.738540
FR-FR,REV-0,8,0x00800000,0x08800000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
FR-FR,REV-0,9,0x00900000,0x08900000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
FR-FR,REV-0,10,0x00A00000,0x08A00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
FR-FR,REV-0,11,0x00B00000,0x08B00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
FR-FR,REV-0,12,0x00C00000,0x08C00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
FR-FR,REV-0,13,0x00D00000,0x08D00000,1048576,581a51ed40fd01e3c1fb454f68568d73beeb37656d7756698597e1a8fa938520,0.30868626,0.02022934,5.600585
FR-FR,REV-0,14,0x00E00000,0x08E00000,1048576,17cd4285738c929a4c9e6194dfbe009458c1468588597774d65c75a6a5fcc945,0.19606400,0.31756783,4.813094
FR-FR,REV-0,15,0x00F00000,0x08F00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
IT-IT,REV-0,0,0x00000000,0x08000000,1048576,af0a8f105e0ad8fb3581a4f2f1168a62eea0f056e3d947cf6f7bc4bcf7809b9d,0.10194397,0.00998783,6.610338
IT-IT,REV-0,1,0x00100000,0x08100000,1048576,2cbe338ef027a1607128a0e2e3f5b4f0beae93be417d1315180cda9506015584,0.19256210,0.01773453,6.418485
IT-IT,REV-0,2,0x00200000,0x08200000,1048576,70c2e0f751d2a6c52388f878f679542f52bbb6da2edc80fab9bbbcd9a297911b,0.33660698,0.01531029,5.721442
IT-IT,REV-0,3,0x00300000,0x08300000,1048576,69269ebb114cd3a268f152c2b557b24aa8273dc5f94783e1021f5bb039c19aad,0.29610825,0.01496315,5.796463
IT-IT,REV-0,4,0x00400000,0x08400000,1048576,7b7210804fb07554e575e4102630ec4b5ee42f18c38d60db9247e926084e3288,0.15837002,0.02901649,6.881722
IT-IT,REV-0,5,0x00500000,0x08500000,1048576,9a2bdc9a28f258b0dbdd8da491b1ac5fcd1f6e0163353948f94cdae3ee39c4ee,0.03384495,0.02418709,7.561790
IT-IT,REV-0,6,0x00600000,0x08600000,1048576,d61dfe862e6d9787dc7428ac75abd6246534aa806da45eff5861f973edf5182d,0.02804184,0.00997257,7.656623
IT-IT,REV-0,7,0x00700000,0x08700000,1048576,1ea8ef26fc3819d447b8392f884c7a1a542d91952324864f570b3cdbb5170bb3,0.00565624,0.94847679,0.659966
IT-IT,REV-0,8,0x00800000,0x08800000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
IT-IT,REV-0,9,0x00900000,0x08900000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
IT-IT,REV-0,10,0x00A00000,0x08A00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
IT-IT,REV-0,11,0x00B00000,0x08B00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
IT-IT,REV-0,12,0x00C00000,0x08C00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
IT-IT,REV-0,13,0x00D00000,0x08D00000,1048576,3cd09f5ebc095249a102b4f0d9062cef6ff9affbf1dd10ae66707ed08b6405d2,0.30869770,0.02022934,5.600540
IT-IT,REV-0,14,0x00E00000,0x08E00000,1048576,bc0dfe65f2b596ebaef4c3d3f8494cbbe75f988c7e759a193a46c45e8820d930,0.19611931,0.31722164,4.816384
IT-IT,REV-0,15,0x00F00000,0x08F00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
