game_variant,species,variant,source_url,status,byte_size,width,height,sha256,output_path,evidence_class,collected_at_utc,note
x-y,652,female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/female/652.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,652,shiny-female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/female/652.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,653,default,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/653.png,fetched,2074,51,59,64b343ca90e6ef87ccf1fff612ec0b465edd0e7f7b7822a5b72ed4ecb4cbf976,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/653.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,653,shiny,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/653.png,fetched,1907,50,59,f0194c15b33240f806035972a9f426370202a1cda414e9dc9beb96c32f2d4044,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/shiny/653.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,653,female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/female/653.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,653,shiny-female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/female/653.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,654,default,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/654.png,fetched,2813,73,86,9951cabf15fe24ff9669b6ce41e5e98f9688634cbd4bf8cfb88259c4c3341dc6,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/654.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,654,shiny,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/654.png,fetched,2665,74,86,28518425d2e3dd17a2255b4664a1c416d9a878cd454b7bfc427878eef5fc8813,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/shiny/654.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,654,female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/female/654.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,654,shiny-female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/female/654.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,655,default,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/655.png,fetched,4126,91,109,06e410d58cf75b932b7465f8ac332331be981264c93ad6284bec6beb1a44b66f,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/655.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,655,shiny,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/655.png,fetched,3302,94,110,e57ae31bbc0824bee9403ce9e2dc8fe258a1a8f28541f87375afa592e3e9305a,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/shiny/655.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,655,female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/female/655.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,655,shiny-female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/female/655.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,656,default,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/656.png,fetched,2175,45,51,b930265ec1c6898ed4b4a19cfcc3a854feabedfae484720891352657efd21f33,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/656.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,656,shiny,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/656.png,fetched,2208,45,51,6ed410d7fa4116cb2bded75153052ed60e3261909a660ab8a9d340b2a63d82db,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/shiny/656.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,656,female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/female/656.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,656,shiny-female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/female/656.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,657,default,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/657.png,fetched,2693,73,56,a1780643b2025285f463f9df7634f3569e1341733233c7a964f02732152ed183,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/657.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,657,shiny,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/657.png,fetched,2714,73,55,36678b9dfcddbb17668cdaab56b2a9358a797e695940f209a59ca15a2d759810,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/shiny/657.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,657,female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/female/657.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,657,shiny-female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/female/657.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,658,default,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/658.png,fetched,3351,128,73,79120eed42c3a98a5498b72aefecbeeac31bb31cc4ae5ff40b13c01684ddc12d,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/658.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,658,shiny,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/658.png,fetched,3287,128,72,966d76441e25a720cc70f174acb0b4361c88e7117892f8545f57687f181f9779,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/shiny/658.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,658,female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/female/658.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,658,shiny-female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/female/658.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,659,default,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/659.png,fetched,2559,58,90,d0c07285fc064eebc1782dfe4952d3d53417fc47143fd0e11acc67ccfcf7a3f4,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/659.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,659,shiny,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/659.png,fetched,2484,56,90,115483cda096b5475259df043bda364d2455b49a808a695164cf2bfb3847ae85,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/shiny/659.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,659,female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/female/659.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,659,shiny-female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/female/659.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
