bank	offset_hex	unique_images	groups
24	0x00180000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
25	0x00190000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
26	0x001A0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
27	0x001B0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
28	0x001C0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
29	0x001D0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
30	0x001E0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
31	0x001F0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
32	0x00200000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
33	0x00210000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
34	0x00220000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
35	0x00230000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
36	0x00240000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
37	0x00250000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
38	0x00260000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
39	0x00270000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
40	0x00280000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
41	0x00290000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
42	0x002A0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
43	0x002B0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
44	0x002C0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
45	0x002D0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
46	0x002E0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
47	0x002F0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
48	0x00300000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
49	0x00310000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
50	0x00320000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
51	0x00330000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
52	0x00340000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
53	0x00350000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
54	0x00360000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
55	0x00370000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
56	0x00380000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
57	0x00390000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
58	0x003A0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
59	0x003B0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
60	0x003C0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
61	0x003D0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
62	0x003E0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
63	0x003F0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
64	0x00400000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
65	0x00410000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
66	0x00420000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
67	0x00430000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
68	0x00440000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
69	0x00450000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
70	0x00460000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
71	0x00470000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
72	0x00480000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
73	0x00490000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
74	0x004A0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
75	0x004B0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
76	0x004C0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
77	0x004D0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
78	0x004E0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
79	0x004F0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
80	0x00500000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
81	0x00510000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
82	0x00520000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
83	0x00530000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
84	0x00540000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
85	0x00550000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
86	0x00560000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
87	0x00570000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
88	0x00580000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
89	0x00590000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
90	0x005A0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
91	0x005B0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
92	0x005C0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
93	0x005D0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
94	0x005E0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
95	0x005F0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
96	0x00600000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
97	0x00610000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
98	0x00620000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
99	0x00630000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
100	0x00640000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
101	0x00650000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
102	0x00660000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
103	0x00670000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
104	0x00680000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
105	0x00690000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
106	0x006A0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
107	0x006B0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
108	0x006C0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
109	0x006D0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
110	0x006E0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
111	0x006F0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
112	0x00700000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
113	0x00710000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
114	0x00720000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
115	0x00730000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
116	0x00740000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
117	0x00750000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
118	0x00760000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
119	0x00770000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
120	0x00780000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
121	0x00790000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
122	0x007A0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
123	0x007B0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
124	0x007C0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
125	0x007D0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
126	0x007E0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
127	0x007F0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
128	0x00800000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
129	0x00810000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
130	0x00820000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
131	0x00830000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
132	0x00840000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
133	0x00850000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
134	0x00860000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
135	0x00870000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
136	0x00880000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
137	0x00890000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
138	0x008A0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
139	0x008B0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
140	0x008C0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
141	0x008D0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
142	0x008E0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
143	0x008F0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
144	0x00900000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
145	0x00910000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
146	0x00920000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
147	0x00930000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
148	0x00940000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
149	0x00950000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
150	0x00960000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
151	0x00970000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
152	0x00980000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
153	0x00990000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
154	0x009A0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
155	0x009B0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
156	0x009C0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
157	0x009D0000	3	BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPED-R0 | BPEJ-R0
158	0x009E0000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
159	0x009F0000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
160	0x00A00000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
161	0x00A10000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
162	0x00A20000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
163	0x00A30000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
164	0x00A40000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
165	0x00A50000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
166	0x00A60000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
167	0x00A70000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
168	0x00A80000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
169	0x00A90000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
170	0x00AA0000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
171	0x00AB0000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
172	0x00AC0000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
173	0x00AD0000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
174	0x00AE0000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
175	0x00AF0000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
176	0x00B00000	1	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPEJ-R0+BPES-R0
177	0x00B10000	1	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPEJ-R0+BPES-R0
178	0x00B20000	1	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPEJ-R0+BPES-R0
179	0x00B30000	1	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPEJ-R0+BPES-R0
180	0x00B40000	1	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPEJ-R0+BPES-R0
181	0x00B50000	1	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPEJ-R0+BPES-R0
182	0x00B60000	1	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPEJ-R0+BPES-R0
183	0x00B70000	1	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPEJ-R0+BPES-R0
184	0x00B80000	1	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPEJ-R0+BPES-R0
185	0x00B90000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
186	0x00BA0000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
187	0x00BB0000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
188	0x00BC0000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
189	0x00BD0000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
190	0x00BE0000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
191	0x00BF0000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
192	0x00C00000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
193	0x00C10000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
194	0x00C20000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
195	0x00C30000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
196	0x00C40000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
197	0x00C50000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
198	0x00C60000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
199	0x00C70000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
200	0x00C80000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
201	0x00C90000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
202	0x00CA0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
203	0x00CB0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
204	0x00CC0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
205	0x00CD0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
206	0x00CE0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
207	0x00CF0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
208	0x00D00000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
209	0x00D10000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
210	0x00D20000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
211	0x00D30000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
212	0x00D40000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
213	0x00D50000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
214	0x00D60000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
215	0x00D70000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
216	0x00D80000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
217	0x00D90000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
218	0x00DA0000	5	BPED-R0+BPEI-R0 | BPEE-R0 | BPEF-R0 | BPEJ-R0 | BPES-R0
219	0x00DB0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
220	0x00DC0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
221	0x00DD0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
222	0x00DE0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
223	0x00DF0000	2	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPES-R0 | BPEJ-R0
224	0x00E00000	1	BPED-R0+BPEE-R0+BPEF-R0+BPEI-R0+BPEJ-R0+BPES-R0
