rom,bank,candidate_strings,en_role_reference
ES,27,98,unassigned/padding/unknown
ES,33,2,Move Animations/Extra Songs 2
ES,38,27,Diploma/minigames/Bills PC
ES,39,6,Copyright/Title Screen 2
ES,3D,1,Songs 4
ES,40,37,Standard Scripts
ES,41,34,Phone Scripts
ES,53,1,Map Scripts 18
ES,56,1,Map Scripts 21
ES,57,13,Map Scripts 22
ES,58,1,unassigned/padding/unknown
ES,5C,2,Map Scripts 26
ES,5E,11,Map Scripts 28
ES,64,51,Text 1
ES,65,43,Text 2
ES,66,12,Text 3
ES,68,175,Pokedex 001-064
ES,69,179,Pokedex 065-128
ES,6A,178,Pokedex 129-192
ES,6B,169,Pokedex 193-251
ES,6C,716,Names
ES,6D,251,Move Descriptions
ES,6E,160,Item Descriptions
ES,70,88,Tileset 6/Pokegear GFX/Credits Strings
