bank_hex,semantic_role_summary,provenance
28,phone scripts,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
29,phone text,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
2A,map blocks,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
2B,map blocks,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
2C,map blocks,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
2D,tileset data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
2E,engine/mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
2F,phone scripts,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
30,sprite graphics,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
31,sprite graphics,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
32,ending/engine,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
33,move animation and audio,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
34,picture animation,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
35,picture animation,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
36,font and picture animation,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
37,tileset data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
38,engine/mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
39,copyright/engine,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
3A,audio,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
3B,audio,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
3C,audio/SFX/cries,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
3D,audio,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
3E,engine/mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
3F,engine/mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
40,mobile/Crystal feature/UI/Battle Tower mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
41,mobile/Crystal feature/UI/Battle Tower mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
42,mobile/Crystal feature/UI/Battle Tower mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
43,mobile/Crystal feature/UI/Battle Tower mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
44,mobile/Crystal feature/UI/Battle Tower mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
45,mobile/Crystal feature/UI/Battle Tower mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
46,mobile/Crystal feature/UI/Battle Tower mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
47,mobile/Crystal feature/UI/Battle Tower mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
48,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
49,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
4A,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
4B,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
4C,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
4D,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
4E,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
4F,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
50,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
51,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
52,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
53,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
54,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
55,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
56,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
57,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
58,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
59,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
5A,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
5B,Pokémon/trainer picture graphics and pointers,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
5C,mobile + picture graphics,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
5D,phone text + picture graphics,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
5E,battle HUD/audio/mobile/picture graphics,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
5F,mobile + picture graphics,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
60,map scripts + Pokédex text,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
61,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
62,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
63,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
64,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
65,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
66,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
67,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
68,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
69,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
6A,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
6B,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
6C,phone text + map scripts,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
6D,special phone text,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
6E,Pokédex text,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
6F,general text,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
70,general text,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
71,general text,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
72,miscellaneous text,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
73,Pokédex text,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
74,Pokédex text,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
75,unused/empty in English baseline,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
76,unused/empty in English baseline,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
77,font/UI/tileset/mail graphics,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
78,debug/tileset data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
79,unused/empty in English baseline,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
7A,unused/empty in English baseline,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
7B,Battle Tower text,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
7C,Battle Tower trainer data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
7D,mobile news data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
7E,Crystal event data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
7F,checksums/end-of-ROM data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
