symbol,relative,japan,usa,europe_rev1,germany,france,italy,spain
IsDma3ManagerBusyWithBgCopy,0x0938,0x08001960,0x08001960,0x08001974,0x08001970,0x0800195C,0x08001970,0x0800195C
ShowBg,0x0994,0x080019BC,0x080019BC,0x080019D0,0x080019CC,0x080019B8,0x080019CC,0x080019B8
HideBg,0x09A8,0x080019D0,0x080019D0,0x080019E4,0x080019E0,0x080019CC,0x080019E0,0x080019CC
SetBgAttribute,0x09BC,0x080019E4,0x080019E4,0x080019F8,0x080019F4,0x080019E0,0x080019F4,0x080019E0
GetBgAttribute,0x0A80,0x08001AA8,0x08001AA8,0x08001ABC,0x08001AB8,0x08001AA4,0x08001AB8,0x08001AA4
ChangeBgX,0x0B68,0x08001B90,0x08001B90,0x08001BA4,0x08001BA0,0x08001B8C,0x08001BA0,0x08001B8C
GetBgX,0x0CA4,0x08001CCC,0x08001CCC,0x08001CE0,0x08001CDC,0x08001CC8,0x08001CDC,0x08001CC8
ChangeBgY,0x0CE0,0x08001D08,0x08001D08,0x08001D1C,0x08001D18,0x08001D04,0x08001D18,0x08001D04
GetBgY,0x0E1C,0x08001E44,0x08001E44,0x08001E58,0x08001E54,0x08001E40,0x08001E54,0x08001E40
SetBgAffine,0x0E58,0x08001E80,0x08001E80,0x08001E94,0x08001E90,0x08001E7C,0x08001E90,0x08001E7C
AdjustBgMosaic,0x0E98,0x08001EC0,0x08001EC0,0x08001ED4,0x08001ED0,0x08001EBC,0x08001ED0,0x08001EBC
SetBgTilemapBuffer,0x0F78,0x08001FA0,0x08001FA0,0x08001FB4,0x08001FB0,0x08001F9C,0x08001FB0,0x08001F9C
UnsetBgTilemapBuffer,0x0FAC,0x08001FD4,0x08001FD4,0x08001FE8,0x08001FE4,0x08001FD0,0x08001FE4,0x08001FD0
GetBgTilemapBuffer,0x0FE0,0x08002008,0x08002008,0x0800201C,0x08002018,0x08002004,0x08002018,0x08002004
CopyToBgTilemapBuffer,0x1018,0x08002040,0x08002040,0x08002054,0x08002050,0x0800203C,0x08002050,0x0800203C
CopyBgTilemapBufferToVram,0x1094,0x080020BC,0x080020BC,0x080020D0,0x080020CC,0x080020B8,0x080020CC,0x080020B8
CopyToBgTilemapBufferRect,0x10FC,0x08002124,0x08002124,0x08002138,0x08002134,0x08002120,0x08002134,0x08002120
CopyToBgTilemapBufferRect_ChangePalette,0x1200,0x08002228,0x08002228,0x0800223C,0x08002238,0x08002224,0x08002238,0x08002224
CopyRectToBgTilemapBufferRect,0x1244,0x0800226C,0x0800226C,0x08002280,0x0800227C,0x08002268,0x0800227C,0x08002268
FillBgTilemapBufferRect_Palette0,0x142C,0x08002454,0x08002454,0x08002468,0x08002464,0x08002450,0x08002464,0x08002450
FillBgTilemapBufferRect,0x152C,0x08002554,0x08002554,0x08002568,0x08002564,0x08002550,0x08002564,0x08002550
WriteSequenceToBgTilemapBuffer,0x1568,0x08002590,0x08002590,0x080025A4,0x080025A0,0x0800258C,0x080025A0,0x0800258C
GetBgMetricTextMode,0x1714,0x0800273C,0x0800273C,0x08002750,0x0800274C,0x08002738,0x0800274C,0x08002738
GetBgMetricAffineMode,0x1784,0x080027AC,0x080027AC,0x080027C0,0x080027BC,0x080027A8,0x080027BC,0x080027A8
GetTileMapIndexFromCoords,0x17DC,0x08002804,0x08002804,0x08002818,0x08002814,0x08002800,0x08002814,0x08002800
CopyTileMapEntry,0x1814,0x0800283C,0x0800283C,0x08002850,0x0800284C,0x08002838,0x0800284C,0x08002838
GetBgType,0x1870,0x08002898,0x08002898,0x080028AC,0x080028A8,0x08002894,0x080028A8,0x08002894
IsInvalidBg32,0x18C4,0x080028EC,0x080028EC,0x08002900,0x080028FC,0x080028E8,0x080028FC,0x080028E8
IsTileMapOutsideWram,0x18D8,0x08002900,0x08002900,0x08002914,0x08002910,0x080028FC,0x08002910,0x080028FC
