ID,Event / System,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class,Evidence
PH11-013,Falkner phone / rematch schedule,No HGSS Fighting Dojo phone schedule.,No HGSS Fighting Dojo phone schedule.,"Phone registration: Monday, any time, Celadon Dept. Store 4F; Soul Badge required. Rematch call window: Saturday morning.",Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-014,Bugsy phone / rematch schedule,No HGSS Fighting Dojo phone schedule.,No HGSS Fighting Dojo phone schedule.,"Phone registration: Thursday, any time, Viridian Forest. Rematch call window: Thursday daytime.",Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-015,Whitney phone / rematch schedule,No HGSS Fighting Dojo phone schedule.,No HGSS Fighting Dojo phone schedule.,"Phone registration: Any day, 12:00–16:00, Goldenrod Dept. Store 6F. Rematch call window: Saturday daytime.",Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-016,Morty phone / rematch schedule,No HGSS Fighting Dojo phone schedule.,No HGSS Fighting Dojo phone schedule.,"Phone registration: Monday or Tuesday, any time, Bellchime Trail. Rematch call window: Tuesday night.",Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-017,Chuck phone / rematch schedule,No HGSS Fighting Dojo phone schedule.,No HGSS Fighting Dojo phone schedule.,"Phone registration: Any day/time, from Chuck's wife in Cianwood. Rematch call window: Wednesday night.",Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-018,Jasmine phone / rematch schedule,No HGSS Fighting Dojo phone schedule.,No HGSS Fighting Dojo phone schedule.,"Phone registration: Any day, 13:00–14:00, Olivine Café. Rematch call window: Wednesday daytime.",Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-019,Pryce phone / rematch schedule,No HGSS Fighting Dojo phone schedule.,No HGSS Fighting Dojo phone schedule.,"Phone registration: Any day, 06:00–10:00, Lake of Rage. Rematch call window: Monday morning.",Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-020,Clair phone / rematch schedule,No HGSS Fighting Dojo phone schedule.,No HGSS Fighting Dojo phone schedule.,"Phone registration: Any day, 06:00–10:00, Dragon's Den; Lance+Clair Multi Battle prerequisite. Rematch call window: Friday night.",Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-021,Brock phone / rematch schedule,No HGSS Fighting Dojo phone schedule.,No HGSS Fighting Dojo phone schedule.,"Phone registration: Any day, 12:00–15:00, Diglett's Cave Route 2 side; all 16 Badges. Rematch call window: Saturday night.",Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-022,Misty phone / rematch schedule,No HGSS Fighting Dojo phone schedule.,No HGSS Fighting Dojo phone schedule.,"Phone registration: Any day, 16:00–18:00, Cerulean Cape; all 16 Badges; conflicts with Suicune presence. Rematch call window: Wednesday morning.",Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-023,Lt. Surge phone / rematch schedule,No HGSS Fighting Dojo phone schedule.,No HGSS Fighting Dojo phone schedule.,"Phone registration: Any day, 09:00–11:00, Route 10 Power Plant area; all 16 Badges; walking Pikachu; conflicts with Zapdos presence. Rematch call window: Friday morning.",Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-024,Erika phone / rematch schedule,No HGSS Fighting Dojo phone schedule.,No HGSS Fighting Dojo phone schedule.,"Phone registration: Saturday/Sunday, 15:00–17:00, Celadon fountain; all 16 Badges. Rematch call window: Sunday morning.",Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-025,Janine phone / rematch schedule,No HGSS Fighting Dojo phone schedule.,No HGSS Fighting Dojo phone schedule.,"Phone registration: Any day, 16:00–18:00, League Reception Gate; Soul Badge required. Rematch call window: Monday daytime.",Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-026,Sabrina phone / rematch schedule,No HGSS Fighting Dojo phone schedule.,No HGSS Fighting Dojo phone schedule.,"Phone registration: Friday, any time, Olivine Port; Marsh Badge required. Rematch call window: Sunday daytime.",Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-027,Blaine phone / rematch schedule,No HGSS Fighting Dojo phone schedule.,No HGSS Fighting Dojo phone schedule.,"Phone registration: Tuesday, any time, Cinnabar Island; all 16 Badges. Rematch call window: Tuesday daytime.",Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-028,Blue phone / rematch schedule,No HGSS Fighting Dojo phone schedule.,No HGSS Fighting Dojo phone schedule.,"Phone registration: Any day/time, from Daisy in Pallet; all 16 Badges + max-friendship Pokémon after Daisy massage requirement. Rematch call window: Sunday night.",Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-029,Leader phone registration locations are normal-world content,Leaders remain primarily Gym/world NPCs.,Same.,Most leaders temporarily appear outside their Gyms to give phone numbers; Chuck and Blue use family intermediaries.,Do not teleport/replace the original Gym Leader object. World appearances are time-conditioned alternate actors.,NPC scheduling,pokeheartgold leader-specific field scripts; pmtel_book.json
PH11-030,Leader rematch call while on same map section,Not applicable to HGSS leader framework.,Not applicable.,Gym Leader phone code checks whether player and contact are in the same map section and uses local-call behavior.,Preserve this special case so map-local calls do not schedule through the generic remote-call path.,phone edge case,pokeheartgold phone_scripts_gym_leader.c
PH11-031,Incoming Gym Leader calls,No HGSS leader call family.,No HGSS leader call family.,"Incoming leader calls select pending-rematch text when a booking exists, otherwise random generic lines.",Incoming and outgoing call states must share the same persistent reservation record.,phone dialogue state,pokeheartgold phone_scripts_gym_leader.c
PH11-032,Bug-Catching Contest schedule,The National Park contest is recurring content.,"Explicitly held Tuesday, Thursday and Saturday.",HGSS retains Tuesday/Thursday/Saturday contest days.,Preserve as a recurring weekly facility; never set a permanent 'contest completed' story flag.,weekly event,pokecrystal Route35/36 NationalParkGate; pokeheartgold Bug Contest messages/scripts
PH11-033,Bug-Catching Contest active-run state,Contest has temporary capture/judging state.,Same family.,"HGSS tracks time remaining, registered contestants, Sport Ball/contest encounter handling and judging.",Separate `BUG_CONTEST_ACTIVE_RUN` from weekday availability and historical participation.,temporary facility state,pokeheartgold scr_seq_0151.s; encounter.c
PH11-034,Bug-Catching Contest caught Pokémon handling,Player keeps the selected contest catch under source rules.,Same broad rule.,HGSS contest encounter code treats a caught Pokémon specially and routes end-of-run judging through dedicated contest logic.,Do not reuse ordinary wild-catch cleanup blindly; contest party/storage transition needs its own transaction.,capture-system interaction,pokeheartgold encounter.c
PH11-035,Buena's Password / Blue Card,No Crystal-exclusive Buena system in original G/S.,"Adds Buena's Password, Blue Card and weekly password lifecycle.","HGSS retains Buena, `ITEM_BLUE_CARD`, phone registration and a dedicated Buena radio-show implementation.",Preserve Crystal's system as a legacy expansion and map HGSS presentation/data on top of it rather than replacing it.,Crystal→HGSS recurring content,pokecrystal radio.asm; pokeheartgold buenas_password.c; scr_seq_0030_D23R0102.s
PH11-036,Buena weekly password lifecycle,Not applicable.,Password generator stores the selected password and prevents a new password from being generated again in the same week.,HGSS retains a dedicated Buena radio show driven by save/radio state.,"Use `BUENA_WEEK_ID`, `BUENA_PASSWORD_ID`, and per-week participation state; do not make password completion permanent.",weekly state,pokecrystal engine/pokegear/radio.asm; pokeheartgold radio show code
PH11-037,Buena contact vs Blue Card ownership,Not applicable.,Separate system concepts.,HGSS has both `PHONE_CONTACT_BUENA` and `ITEM_BLUE_CARD` checks.,"Phone registration, Blue Card possession, weekly password and prize points must remain separate save fields.",save-state separation,pokeheartgold pmtel_book.json; scr_seq_0030_D23R0102.s
PH11-038,Goldenrod haircut daily flag,Haircut brothers are recurring Underground services.,Daily flag `ENGINE_GOLDENROD_UNDERGROUND_GOT_HAIRCUT` prevents repeated same-day use.,HGSS retains a dedicated `FLAG_DAILY_GOT_HAIRCUT`.,Preserve daily reset semantics; Rocket-takeover and tunnel-story states must never consume the haircut flag.,daily service,pokecrystal engine_flags.asm; pokeheartgold flags.h / Goldenrod Underground scripts
PH11-039,Daily reset engine,Gen II uses daily/weekly flag groups tied to RTC.,Crystal exposes multiple daily-engine flags.,HGSS calls `ClearDailyFlags(fieldSystem)` when the day advances and also updates other day-based save systems.,"Centralize RTC day rollover. Map scripts should query reset state, not manually clear their own flags.",RTC architecture,pokeheartgold unk_02055418.c; pokecrystal engine flags
PH11-040,RTC manipulation / elapsed-day safety,RTC-dependent events assume valid clock progression.,Same.,HGSS system code includes RTC penalty/decrement handling around time progression and daily resets.,Do not treat manual clock changes as normal day transitions. Preserve source penalty/cooldown semantics where verified.,RTC boundary handling,pokeheartgold unk_02055418.c
PH11-041,Friday Union Cave Lapras,Recurring Friday fixed encounter exists in Gen II.,Union Cave B2F callback makes Lapras appear on Friday and uses a dedicated daily/engine flag.,HGSS retains Union Cave and source-era recurring content in expanded form; exact remake encounter script/data remains a separate direct pass.,Preserve Friday recurrence and species-specific caught/weekly-return semantics; do not convert it into a one-time legendary-style flag.,weekly fixed encounter,pokecrystal maps/UnionCaveB2F.asm; engine_flags.asm
PH11-042,Weekday siblings,Weekday NPC/item content is part of Gen II world scheduling.,"Explicit flags include Monica(Mon), Tuscany(Tue), Wesley(Wed), Arthur(Thu), Frieda(Fri), Santos(Sat), Sunny(Sun).",HGSS retains weekday-dependent world NPC systems and adds further scheduled characters.,Keep each sibling's one-time gift fact separate from the NPC's weekday visibility.,weekday NPC system,pokecrystal constants/event_flags.asm
PH11-043,Mt. Moon Square Clefairy daily/weekly state,Gen II contains time/weekday-dependent Mt. Moon Square content.,Crystal has a dedicated `ENGINE_MT_MOON_SQUARE_CLEFAIRY` daily-engine flag.,HGSS has its own time-based world events elsewhere; exact Mt. Moon remake behavior is deferred to map-event audit.,Preserve Crystal event state independently; do not generalize all scheduled NPCs into one generic weekly bit.,time event,pokecrystal engine_flags.asm / Mt Moon scripts
PH11-044,Daisy grooming / massage daily state,GSC includes daily friendship-oriented grooming content.,Crystal keeps dedicated daily grooming state.,HGSS expands Daisy's role; Blue's phone-number requirement can depend on repeated Daisy massages and maximum friendship.,"Store daily-use state, lifetime massage count and friendship check independently.",daily service + prerequisite,pokecrystal daily flags; HGSS Blue phone requirement / field scripts
PH11-045,S.S. Aqua recurring timetable,"After the first voyage, the Fast Ship changes to recurring weekday/destination service.",Same recurring transport concept.,"HGSS uses weekday, boat direction and voyage-state variables for repeat Olivine↔Vermilion trips.",Keep first-voyage granddaughter story state separate from recurring timetable state.,recurring transport,Phase 9 source manifest; HGSS S.S. Aqua scripts
PH11-046,Mass outbreak unlock,No HGSS mass-outbreak subsystem.,Gen II/Crystal have swarm-style phone/world content but not the same HGSS postgame unlock function.,"After Oak's post-League Olivine scene, `EnableMassOutbreaks` sets the outbreak system active.",Use `MASS_OUTBREAKS_UNLOCKED` separately from current outbreak species/location/date.,HGSS postgame system,pokeheartgold ScrCmd_EnableMassOutbreaks; Phase 9 Olivine Oak script
PH11-047,Current mass outbreak state,Phone/swarm content is event-specific.,Crystal maintains swarm flags separately from daily flags.,HGSS outbreak activity is stored in save/roamer-related state and consumed by encounter/phone systems.,"Separate global unlock from `CURRENT_OUTBREAK_ID`, start cycle and announced state.",encounter scheduler,pokecrystal WRAM swarm flags; pokeheartgold outbreak save code
PH11-048,Story phone calls vs recurring phone calls,Elm/Oak and trainer calls share the phone UI but represent different state classes.,Same.,"HGSS additionally has Lyra/Ethan, Baoba, leaders and other specialized contact types.",Contact ID must dispatch to a behavior class; story completion cannot be inferred from having a phone number.,phone architecture,pokeheartgold pmtel_book.json / phone scripts
PH11-049,Kurt / Day-Care recurring contacts,Kurt and Day-Care are persistent facilities whose progress can be checked repeatedly.,Same broad service model.,"HGSS phonebook includes Kurt, Day-Care Man and Day-Care Lady as non-rematch contact types.",Do not force all contacts through trainer-rematch fields. Preserve specialized service callbacks.,phone service integration,pokeheartgold pmtel_book.json
PH11-050,Battle/frontier/facility daily flags,Gen II has daily Trainer Hall and other facility-state flags.,Crystal exposes `ENGINE_FOUGHT_IN_TRAINER_HALL_TODAY` among daily flags.,HGSS adds many larger facilities whose daily/record state is more complex.,Keep facility cooldown/record namespaces separate from map/story daily flags. Deep Frontier/Pokéathlon audit is deferred.,facility state,pokecrystal engine_flags.asm; HGSS facility systems
PH11-051,Post-Hall-of-Fame legendary restoration,Gen II fixed/roaming legendary permanence follows its own source rules.,Crystal likewise has species/event-specific rules.,HGSS Hall of Fame may restore eligible uncaught static encounters and recreate some roamers according to their status.,Never implement a blanket 'all legendaries respawn after League'. Use per-species `eligible_to_restore()` rules.,recurring/recovery world state,Phase 9 Hall of Fame source audit
PH11-052,Recurring content save/load reconstruction,Map callbacks reconstruct time/flag-dependent visibility.,Crystal uses callbacks plus daily/weekday flags extensively.,"HGSS uses scene vars, hide flags, RTC and persistent phone-rematch state.","After loading, derive NPC visibility from authoritative state. Do not serialize transient object visibility as the sole truth.",save architecture,GSC callbacks; HGSS field/phone state
PH11-053,Daily reset must not erase permanent claims,One-time gifts and daily availability are separate.,"Weekday siblings, daily grooming and repeat facilities demonstrate this.",HGSS daily flags coexist with permanent item/badge/contact flags.,For every recurring event keep `UNLOCKED/ONE_TIME_REWARD_CLAIMED` outside daily-reset blocks.,data-integrity rule,Gen II daily flags; HGSS flags.h
PH11-054,Weekly reset must not replay story cinematics,Story flags remain permanent even when weekday content returns.,Same.,HGSS phone/leader/world schedules recur without replaying their original Gym/story events.,Recurring availability may reappear; story introduction/cinematics remain one-shot unless source explicitly repeats them.,integration rule,HGSS leader rematches + GSC recurring events
PH11-055,Phase 11 completion criterion,Original phone/time/day content must continue functioning after story completion.,Crystal daily/weekly/radio additions must remain available.,"HGSS adds 16-Leader rematches, larger phonebook behavior, daily reset infrastructure and postgame outbreaks.","Phase 11 is complete at the architecture/research level only when recurring state survives save/load, day rollover, whiteout and story transitions without consuming one-shot content.",verification,combined Phase 11 sources
