class_id_decimal,class_id_hex,internal_class_id,original_gs_korean,final_korean,name_changed,change_category,verification_status,direct_first_party_source_verified,original_encoded_length_bytes,final_encoded_length_bytes,record_byte_delta_with_terminator,original_display_tiles,final_display_tiles,final_encoded_hex,bank_hex,cpu_address_hex,file_offset_hex,original_raw_hex,usage_note
15,0x0F,KOGA,사천왕,사천왕,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,6,6,0,3,3,05 b7 08 b5 07 35,0x6C,0x4A38,0x1B0A38,05 b7 08 b5 07 35,ACTIVE_CLASS_SLOT
16,0x10,CHAMPION,챔피언,챔피언,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,6,6,0,3,3,08 a8 0a 67 06 f0,0x6C,0x4A3F,0x1B0A3F,08 a8 0a 67 06 f0,ACTIVE_CLASS_SLOT
17,0x11,BROCK,체육관 관장,체육관 관장,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,11,11,0,6,6,08 bc 07 80 01 6c 7f 01 6c 07 b5,0x6C,0x4A46,0x1B0A46,08 bc 07 80 01 6c 7f 01 6c 07 b5,ACTIVE_CLASS_SLOT
18,0x12,MISTY,체육관 관장,체육관 관장,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,11,11,0,6,6,08 bc 07 80 01 6c 7f 01 6c 07 b5,0x6C,0x4A52,0x1B0A52,08 bc 07 80 01 6c 7f 01 6c 07 b5,ACTIVE_CLASS_SLOT
19,0x13,LT_SURGE,체육관 관장,체육관 관장,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,11,11,0,6,6,08 bc 07 80 01 6c 7f 01 6c 07 b5,0x6C,0x4A5E,0x1B0A5E,08 bc 07 80 01 6c 7f 01 6c 07 b5,ACTIVE_CLASS_SLOT
20,0x14,SCIENTIST,괴짜 연구원,연구원,True,CURRENT_OFFICIAL_CLASS_NAME,CURRENT_LOCALIZATION_CORPUS,False,11,6,-5,6,3,07 0c 01 88 07 68,0x6C,0x4A6A,0x1B0A6A,01 7b 08 35 7f 07 0c 01 88 07 68,ACTIVE_CLASS_SLOT
21,0x15,ERIKA,체육관 관장,체육관 관장,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,11,11,0,6,6,08 bc 07 80 01 6c 7f 01 6c 07 b5,0x6C,0x4A76,0x1B0A76,08 bc 07 80 01 6c 7f 01 6c 07 b5,ACTIVE_CLASS_SLOT
22,0x16,YOUNGSTER,반바지 꼬마,반바지 꼬마,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,11,11,0,6,6,04 dd 04 d9 08 26 7f 01 ef 04 46,0x6C,0x4A82,0x1B0A82,04 dd 04 d9 08 26 7f 01 ef 04 46,ACTIVE_CLASS_SLOT
23,0x17,SCHOOLBOY,학원끝난 아이,학원 끝난 아이,True,ORTHOGRAPHY_NORMALIZATION,CURRENT_LOCALIZATION_CORPUS,False,13,14,1,7,8,0a 70 07 68 7f 02 31 02 3d 7f 06 c6 07 9c,0x6C,0x4A8E,0x1B0A8E,0a 70 07 68 02 31 02 3d 7f 06 c6 07 9c,ACTIVE_CLASS_SLOT
24,0x18,BIRD_KEEPER,새 조련사,새 조련사,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,9,9,0,5,5,05 c5 7f 07 e6 03 f3 05 b7,0x6C,0x4A9C,0x1B0A9C,05 c5 7f 07 e6 03 f3 05 b7,ACTIVE_CLASS_SLOT
25,0x19,LASS,짧은치마,짧은 치마,True,ORTHOGRAPHY_NORMALIZATION,CURRENT_LOCALIZATION_CORPUS,False,8,9,1,4,5,08 3a 07 8a 7f 09 01 04 46,0x6C,0x4AA6,0x1B0AA6,08 3a 07 8a 09 01 04 46,ACTIVE_CLASS_SLOT
26,0x1A,JANINE,체육관 관장,체육관 관장,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,11,11,0,6,6,08 bc 07 80 01 6c 7f 01 6c 07 b5,0x6C,0x4AAF,0x1B0AAF,08 bc 07 80 01 6c 7f 01 6c 07 b5,ACTIVE_CLASS_SLOT
27,0x1B,COOLTRAINERM,엘리트트레이너,엘리트 트레이너,True,ORTHOGRAPHY_NORMALIZATION,CURRENT_LOCALIZATION_CORPUS,False,14,15,1,7,8,07 04 04 3e 09 de 7f 09 de 03 e9 07 9c 02 6a,0x6C,0x4ABB,0x1B0ABB,07 04 04 3e 09 de 09 de 03 e9 07 9c 02 6a,ACTIVE_CLASS_SLOT
28,0x1C,COOLTRAINERF,엘리트트레이너,엘리트 트레이너,True,ORTHOGRAPHY_NORMALIZATION,CURRENT_LOCALIZATION_CORPUS,False,14,15,1,7,8,07 04 04 3e 09 de 7f 09 de 03 e9 07 9c 02 6a,0x6C,0x4ACA,0x1B0ACA,07 04 04 3e 09 de 09 de 03 e9 07 9c 02 6a,ACTIVE_CLASS_SLOT
29,0x1D,BEAUTY,아가씨,아가씨,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,6,6,0,3,3,06 c6 01 01 06 be,0x6C,0x4AD9,0x1B0AD9,06 c6 01 01 06 be,ACTIVE_CLASS_SLOT
30,0x1E,POKEMANIAC,포켓몬 매니아,포켓몬 매니아,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,13,13,0,7,7,0a 27 09 2f 04 93 7f 04 65 02 cf 06 c6,0x6C,0x4AE0,0x1B0AE0,0a 27 09 2f 04 93 7f 04 65 02 cf 06 c6,ACTIVE_CLASS_SLOT
31,0x1F,GRUNTM,로켓단,로켓단 조무래기,True,ROLE_RESTORATION,CURRENT_OFFICIAL_TERMINOLOGY_SECONDARY_REFERENCE,False,6,15,9,3,8,03 fe 09 2f 02 dc 7f 07 e6 04 ab 03 d1 01 b2,0x6C,0x4AEE,0x1B0AEE,03 fe 09 2f 02 dc,ACTIVE_CLASS_SLOT
32,0x20,GENTLEMAN,신사,신사,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,4,4,0,2,2,06 65 05 b7,0x6C,0x4AF5,0x1B0AF5,06 65 05 b7,ACTIVE_CLASS_SLOT
33,0x21,SKIER,스키선수,스키어,True,LATER_OFFICIAL_CLASS_NAME,LATER_OFFICIAL_NAME_SECONDARY_REFERENCE,False,8,6,-2,4,3,06 4a 09 80 06 ee,0x6C,0x4AFA,0x1B0AFA,06 4a 09 80 05 e1 06 26,ACTIVE_CLASS_SLOT
34,0x22,TEACHER,선생님,선생님,False,UNCHANGED,LEGACY_OFFICIAL_RETAINED_NO_NEWER_GAME_TEXT,False,6,6,0,3,3,05 e1 05 cd 02 d4,0x6C,0x4B03,0x1B0B03,05 e1 05 cd 02 d4,ACTIVE_CLASS_SLOT
35,0x23,SABRINA,체육관 관장,체육관 관장,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,11,11,0,6,6,08 bc 07 80 01 6c 7f 01 6c 07 b5,0x6C,0x4B0A,0x1B0B0A,08 bc 07 80 01 6c 7f 01 6c 07 b5,ACTIVE_CLASS_SLOT
36,0x24,BUG_CATCHER,곤충채집,곤충채집소년,True,CURRENT_OFFICIAL_CLASS_NAME,CURRENT_LOCALIZATION_CORPUS,False,8,12,4,4,6,01 4f 08 e6 08 a4 08 2d 06 02 02 82,0x6C,0x4B16,0x1B0B16,01 4f 08 e6 08 a4 08 2d,ACTIVE_CLASS_SLOT
37,0x25,FISHER,낚시꾼,낚시꾼,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,6,6,0,3,3,02 3c 06 63 02 0b,0x6C,0x4B1F,0x1B0B1F,02 3c 06 63 02 0b,ACTIVE_CLASS_SLOT
38,0x26,SWIMMERM,수영팬티 소년,수영팬티소년,True,ORTHOGRAPHY_NORMALIZATION,CURRENT_LOCALIZATION_CORPUS,False,13,12,-1,7,6,06 26 07 15 0a 02 09 ec 06 02 02 82,0x6C,0x4B26,0x1B0B26,06 26 07 15 0a 02 09 ec 7f 06 02 02 82,ACTIVE_CLASS_SLOT
39,0x27,SWIMMERF,비키니 아가씨,비키니 아가씨,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,13,13,0,7,7,05 61 09 80 02 cf 7f 06 c6 01 01 06 be,0x6C,0x4B34,0x1B0B34,05 61 09 80 02 cf 7f 06 c6 01 01 06 be,ACTIVE_CLASS_SLOT
40,0x28,SAILOR,선원,선원,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,4,4,0,2,2,05 e1 07 68,0x6C,0x4B42,0x1B0B42,05 e1 07 68,ACTIVE_CLASS_SLOT
41,0x29,SUPER_NERD,이과계의 남자,이과계의 남자,False,UNCHANGED,LEGACY_OFFICIAL_RETAINED_NO_NEWER_GAME_TEXT,False,13,13,0,7,7,07 9c 01 6a 01 48 07 97 7f 02 42 07 aa,0x6C,0x4B47,0x1B0B47,07 9c 01 6a 01 48 07 97 7f 02 42 07 aa,ACTIVE_CLASS_SLOT
42,0x2A,RIVAL2,라이벌,라이벌,False,UNCHANGED,LEGACY_OFFICIAL_RETAINED_NO_NEWER_GAME_TEXT,False,6,6,0,3,3,03 c3 07 9c 04 fa,0x6C,0x4B55,0x1B0B55,03 c3 07 9c 04 fa,ACTIVE_CLASS_SLOT
43,0x2B,GUITARIST,기타리스트,기타리스트,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,10,10,0,5,5,01 b2 09 88 04 3e 06 4a 09 de,0x6C,0x4B5C,0x1B0B5C,01 b2 09 88 04 3e 06 4a 09 de,ACTIVE_CLASS_SLOT
44,0x2C,HIKER,등산가,등산가,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,6,6,0,3,3,03 4e 05 ba 01 01,0x6C,0x4B67,0x1B0B67,03 4e 05 ba 01 01,ACTIVE_CLASS_SLOT
45,0x2D,BIKER,폭주족,폭주족,False,UNCHANGED,LEGACY_OFFICIAL_RETAINED_NO_NEWER_GAME_TEXT,False,6,6,0,3,3,0a 28 08 06 07 e7,0x6C,0x4B6E,0x1B0B6E,0a 28 08 06 07 e7,ACTIVE_CLASS_SLOT
46,0x2E,BLAINE,체육관 관장,체육관 관장,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,11,11,0,6,6,08 bc 07 80 01 6c 7f 01 6c 07 b5,0x6C,0x4B75,0x1B0B75,08 bc 07 80 01 6c 7f 01 6c 07 b5,ACTIVE_CLASS_SLOT
47,0x2F,BURGLAR,불난집 전문털이범,불난집 전문털이범,False,UNCHANGED,LATER_OFFICIAL_SCRIPT_CORPUS,False,17,17,0,9,9,05 32 02 3d 08 2d 7f 07 cc 04 ae 09 a0 07 9c 04 fc,0x6C,0x4B81,0x1B0B81,05 32 02 3d 08 2d 7f 07 cc 04 ae 09 a0 07 9c 04 fc,ACTIVE_CLASS_SLOT
48,0x30,FIREBREATHER,불놀이꾼,불놀이꾼,False,UNCHANGED,LEGACY_OFFICIAL_RETAINED_NO_NEWER_GAME_TEXT,False,8,8,0,4,4,05 32 02 8e 07 9c 02 0b,0x6C,0x4B93,0x1B0B93,05 32 02 8e 07 9c 02 0b,ACTIVE_CLASS_SLOT
49,0x31,JUGGLER,집시저글러,저글러,True,OUTDATED_EXONYM_REMOVAL,PROJECT_EDITORIAL_MODERNIZATION,False,10,6,-4,5,3,07 ca 01 ab 03 df,0x6C,0x4B9C,0x1B0B9C,08 2d 06 63 07 ca 01 ab 03 df,ACTIVE_CLASS_SLOT
50,0x32,BLACKBELT_T,태권왕,태권왕,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,6,6,0,3,3,09 92 01 97 07 35,0x6C,0x4BA7,0x1B0BA7,09 92 01 97 07 35,ACTIVE_CLASS_SLOT
51,0x33,EXECUTIVEM,로켓단,로켓단 간부,True,ROLE_RESTORATION,CURRENT_OFFICIAL_TERMINOLOGY_SECONDARY_REFERENCE,False,6,11,5,3,6,03 fe 09 2f 02 dc 7f 01 03 05 2e,0x6C,0x4BAE,0x1B0BAE,03 fe 09 2f 02 dc,ACTIVE_CLASS_SLOT
52,0x34,PSYCHIC_T,초능력자,초능력자,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,8,8,0,4,4,08 ca 02 c9 03 f2 07 aa,0x6C,0x4BB5,0x1B0BB5,08 ca 02 c9 03 f2 07 aa,ACTIVE_CLASS_SLOT
53,0x35,PICNICKER,피크닉 걸,피크닉걸,True,ORTHOGRAPHY_NORMALIZATION,CURRENT_LOCALIZATION_CORPUS,False,9,8,-1,5,4,0a 67 09 79 02 d0 01 29,0x6C,0x4BBE,0x1B0BBE,0a 67 09 79 02 d0 7f 01 29,ACTIVE_CLASS_SLOT
54,0x36,CAMPER,캠프보이,캠프보이,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,8,8,0,4,4,09 17 0a 61 05 18 07 9c,0x6C,0x4BC8,0x1B0BC8,09 17 0a 61 05 18 07 9c,ACTIVE_CLASS_SLOT
55,0x37,EXECUTIVEF,로켓단,로켓단 간부,True,ROLE_RESTORATION,CURRENT_OFFICIAL_TERMINOLOGY_SECONDARY_REFERENCE,False,6,11,5,3,6,03 fe 09 2f 02 dc 7f 01 03 05 2e,0x6C,0x4BD1,0x1B0BD1,03 fe 09 2f 02 dc,ACTIVE_CLASS_SLOT
56,0x38,SAGE,중,수행자,True,LATER_OFFICIAL_CLASS_NAME,LATER_OFFICIAL_NAME_SECONDARY_REFERENCE,False,2,6,4,1,3,06 26 0a 80 07 aa,0x6C,0x4BD8,0x1B0BD8,08 0f,ACTIVE_CLASS_SLOT
57,0x39,MEDIUM,무당,무당,False,UNCHANGED,LEGACY_OFFICIAL_RETAINED_NO_NEWER_GAME_TEXT,False,4,4,0,2,2,04 ab 02 e7,0x6C,0x4BDB,0x1B0BDB,04 ab 02 e7,ACTIVE_CLASS_SLOT
58,0x3A,BOARDER,보더,보더,False,UNCHANGED,LEGACY_OFFICIAL_RETAINED_NO_NEWER_GAME_TEXT,False,4,4,0,2,2,05 18 02 f5,0x6C,0x4BE0,0x1B0BE0,05 18 02 f5,ACTIVE_CLASS_SLOT
59,0x3B,POKEFANM,애호가 클럽,애호가클럽,True,ORTHOGRAPHY_NORMALIZATION,CURRENT_LOCALIZATION_CORPUS,False,11,10,-1,6,5,06 d6 0a a3 01 01 09 7c 03 e4,0x6C,0x4BE5,0x1B0BE5,06 d6 0a a3 01 01 7f 09 7c 03 e4,ACTIVE_CLASS_SLOT
60,0x3C,KIMONO_GIRL,전통 무용수,전통 무용수,False,UNCHANGED,LEGACY_OFFICIAL_RETAINED_NO_NEWER_GAME_TEXT,False,11,11,0,6,6,07 cc 09 bb 7f 04 ab 07 4b 06 26,0x6C,0x4BF1,0x1B0BF1,07 cc 09 bb 7f 04 ab 07 4b 06 26,ACTIVE_CLASS_SLOT
61,0x3D,TWINS,쌍둥이,쌍둥이,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,6,6,0,3,3,06 76 03 35 07 9c,0x6C,0x4BFD,0x1B0BFD,06 76 03 35 07 9c,ACTIVE_CLASS_SLOT
62,0x3E,POKEFANF,애호가 클럽,애호가클럽,True,ORTHOGRAPHY_NORMALIZATION,CURRENT_LOCALIZATION_CORPUS,False,11,10,-1,6,5,06 d6 0a a3 01 01 09 7c 03 e4,0x6C,0x4C04,0x1B0C04,06 d6 0a a3 01 01 7f 09 7c 03 e4,ACTIVE_CLASS_SLOT
63,0x3F,RED,포켓몬 트레이너,포켓몬 트레이너,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,15,15,0,8,8,0a 27 09 2f 04 93 7f 09 de 03 e9 07 9c 02 6a,0x6C,0x4C10,0x1B0C10,0a 27 09 2f 04 93 7f 09 de 03 e9 07 9c 02 6a,ACTIVE_CLASS_SLOT
64,0x40,BLUE,체육관 관장,체육관 관장,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,11,11,0,6,6,08 bc 07 80 01 6c 7f 01 6c 07 b5,0x6C,0x4C20,0x1B0C20,08 bc 07 80 01 6c 7f 01 6c 07 b5,ACTIVE_CLASS_SLOT
65,0x41,OFFICER,경찰관,경찰관,False,UNCHANGED,LEGACY_OFFICIAL_RETAINED_NO_NEWER_GAME_TEXT,False,6,6,0,3,3,01 46 08 9b 01 6c,0x6C,0x4C2C,0x1B0C2C,01 46 08 9b 01 6c,ACTIVE_CLASS_SLOT
66,0x42,GRUNTF,로켓단,로켓단 조무래기,True,ROLE_RESTORATION,CURRENT_OFFICIAL_TERMINOLOGY_SECONDARY_REFERENCE,False,6,15,9,3,8,03 fe 09 2f 02 dc 7f 07 e6 04 ab 03 d1 01 b2,0x6C,0x4C33,0x1B0C33,03 fe 09 2f 02 dc,ACTIVE_CLASS_SLOT
67,0x43,MYSTICALMAN_COMPAT_SLOT,수수께끼의 청년,수수께끼의 청년,False,UNCHANGED,UNUSED_SLOT_LEGACY_OFFICIAL_RETAINED,False,15,15,0,8,8,06 26 06 26 01 e2 02 32 07 97 7f 08 bb 02 82,0x6C,0x4C3A,0x1B0C3A,06 26 06 26 01 e2 02 32 07 97 7f 08 bb 02 82,TRAILING_COMPATIBILITY_STRING_NOT_A_GS_CLASS_ID
