bank,semantic_label_en,JP0_diff_vs_EN0,JP0_same_as_EN0,EN0_diff_vs_EN0,EN0_same_as_EN0,EN1_diff_vs_EN0,EN1_same_as_EN0,ES0_diff_vs_EN0,ES0_same_as_EN0,DE0_diff_vs_EN0,DE0_same_as_EN0,FR0_diff_vs_EN0,FR0_same_as_EN0,IT0_diff_vs_EN0,IT0_same_as_EN0,all7_identical
39,Copyright + options/splash/intro,15056,False,0,True,0,True,14204,False,14170,False,6009,False,14140,False,False
3A,Audio + Songs 1,11,False,0,True,0,True,5,False,6,False,6,False,6,False,False
3B,Songs 2,0,True,0,True,0,True,0,True,0,True,0,True,0,True,True
3C,Songs 3 + SFX + cries,0,True,0,True,0,True,0,True,0,True,0,True,0,True,True
3D,Songs 4,0,True,0,True,0,True,0,True,0,True,0,True,0,True,True
3E,font/time capsule/name rater/new dex/Unown dex/Hidden Power,12037,False,0,True,8,False,1081,False,1055,False,1052,False,1065,False,False
3F,tileset animations/NPC trade/mom phone,10077,False,0,True,0,True,121,False,142,False,140,False,118,False,False
40,Mobile 40,8196,False,0,True,0,True,3603,False,4125,False,4117,False,4093,False,False
41,DMA/emotes/warp/mystery gift/used move text/mobile/font,10004,False,0,True,0,True,9006,False,9017,False,7286,False,6897,False,False
42,Mobile 42 + Intro Logo + Credits,10315,False,0,True,0,True,2300,False,2285,False,2205,False,2357,False,False
43,Title,4073,False,0,True,0,True,135,False,145,False,127,False,172,False,False
44,Mobile Adapter SDK,2,False,0,True,0,True,1,False,1,False,1,False,1,False,False
45,Mobile Adapter SDK Mail + Mobile 45,1977,False,0,True,0,True,127,False,116,False,119,False,117,False,False
46,Mobile 46,14920,False,0,True,0,True,6421,False,6709,False,6718,False,6694,False,False
47,Battle Tower,13610,False,0,True,1,False,233,False,302,False,323,False,232,False,False
48,Pic pointers + Pics 1,500,False,0,True,0,True,0,True,0,True,0,True,0,True,False
49,Unown pic pointers + Pics 2,90,False,0,True,0,True,0,True,0,True,0,True,0,True,False
4A,Trainer pic pointers + Pics 3,495,False,0,True,0,True,0,True,0,True,0,True,0,True,False
4B,Pics 4,0,True,0,True,0,True,0,True,0,True,0,True,0,True,True
4C,Pics 5,0,True,0,True,0,True,0,True,0,True,0,True,0,True,True
4D,Pics 6,597,False,0,True,0,True,0,True,0,True,0,True,0,True,False
4E,Pics 7,1703,False,0,True,0,True,0,True,0,True,0,True,0,True,False
4F,Pics 8,9934,False,0,True,0,True,0,True,0,True,0,True,0,True,False
50,Pics 9,10129,False,0,True,0,True,0,True,0,True,0,True,0,True,False
51,Pics 10,16153,False,0,True,0,True,0,True,0,True,0,True,0,True,False
52,Pics 11,6168,False,0,True,0,True,0,True,0,True,0,True,0,True,False
53,Pics 12,9278,False,0,True,0,True,0,True,0,True,0,True,0,True,False
54,Pics 13,8201,False,0,True,0,True,0,True,0,True,0,True,0,True,False
55,Pics 14,11915,False,0,True,0,True,0,True,0,True,0,True,0,True,False
56,Pics 15,9767,False,0,True,0,True,0,True,0,True,0,True,0,True,False
57,Pics 16,12886,False,0,True,0,True,0,True,0,True,0,True,0,True,False
58,Pics 17,15985,False,0,True,0,True,0,True,0,True,0,True,0,True,False
59,Pics 18,10132,False,0,True,0,True,0,True,0,True,0,True,0,True,False
5A,Pics 19,10132,False,0,True,0,True,0,True,0,True,0,True,0,True,False
5B,link trade/mobile + Pics 20,765,False,0,True,0,True,442,False,441,False,447,False,444,False,False
5C,Mobile 5C + Pics 21,13322,False,0,True,546,False,9644,False,767,False,773,False,770,False,False
5D,Crystal Phone Text 2 + Pics 22,15501,False,0,True,0,True,13097,False,14025,False,13151,False,13105,False,False
5E,Battle HUD/Songs 5/Crystal SFX/Mobile 5E + Pics 23,141,False,0,True,0,True,32,False,32,False,34,False,30,False,False
5F,Mobile 5F + Pics 24,10834,False,0,True,0,True,3518,False,7447,False,9500,False,10422,False,False
60,Map Scripts 13 + Pokédex Entries 001-064,12425,False,0,True,0,True,11778,False,12325,False,11845,False,11895,False,False
61,Map Scripts 14,8900,False,0,True,0,True,9198,False,9940,False,8939,False,9011,False,False
62,Map Scripts 15,13592,False,0,True,0,True,13713,False,15168,False,13779,False,13748,False,False
63,Map Scripts 16,12713,False,0,True,0,True,13016,False,14231,False,13202,False,13017,False,False
64,Map Scripts 17,13189,False,0,True,0,True,13122,False,14656,False,13346,False,13339,False,False
65,Map Scripts 18,13346,False,0,True,0,True,13054,False,14950,False,13061,False,13264,False,False
66,Map Scripts 19,14444,False,0,True,0,True,14265,False,14316,False,14323,False,14193,False,False
67,Map Scripts 20,13255,False,0,True,0,True,13454,False,15529,False,13286,False,13485,False,False
68,Map Scripts 21,11859,False,0,True,0,True,11654,False,13413,False,11746,False,11726,False,False
69,Map Scripts 22,12579,False,0,True,0,True,12437,False,14402,False,12562,False,12664,False,False
6A,Map Scripts 23,13810,False,0,True,0,True,13815,False,14112,False,13738,False,13826,False,False
6B,Map Scripts 24,9641,False,0,True,0,True,9594,False,10470,False,9569,False,9467,False,False
6C,Phone Text 2 + Map Scripts 25,8213,False,0,True,0,True,9242,False,10424,False,9099,False,9406,False,False
6D,Special Phone Text,13449,False,0,True,0,True,13417,False,13759,False,13361,False,13363,False,False
6E,Pokédex Entries 065-128,6846,False,0,True,0,True,6901,False,6615,False,6563,False,6587,False,False
6F,Text 1,7956,False,0,True,0,True,8217,False,8794,False,8024,False,8017,False,False
70,Text 2,7572,False,0,True,0,True,7973,False,8626,False,7561,False,7557,False,False
71,Text 3,8196,False,0,True,0,True,8518,False,8948,False,8150,False,8158,False,False
72,Misc text: item names/move names/landmarks,11971,False,0,True,0,True,11819,False,11121,False,11521,False,11543,False,False
73,Pokédex Entries 129-192,6931,False,0,True,0,True,6825,False,6665,False,6689,False,6697,False,False
74,Pokédex Entries 193-251,6408,False,0,True,0,True,6200,False,6150,False,6185,False,6179,False,False
75,UNMAPPED,0,True,0,True,0,True,8096,False,9324,False,8025,False,7964,False,False
76,UNMAPPED,0,True,0,True,0,True,10090,False,10949,False,10314,False,8687,False,False
77,Unown font/Print Party/Tileset Data 7/Pokégear GFX/European Mail,11135,False,0,True,0,True,11602,False,11329,False,11104,False,11389,False,False
78,Debug Room (conditional) + Tileset Data 8,4096,False,0,True,0,True,844,False,856,False,812,False,844,False,False
79,UNMAPPED,0,True,0,True,0,True,2262,False,2506,False,2366,False,2340,False,False
7A,UNMAPPED,0,True,0,True,0,True,0,True,0,True,0,True,0,True,True
7B,Battle Tower Text,3722,False,0,True,0,True,3682,False,4391,False,3710,False,3658,False,False
7C,Battle Tower Trainer Data,2365,False,0,True,0,True,0,True,0,True,0,True,0,True,False
7D,Mobile News Data,8836,False,0,True,0,True,11,False,11,False,11,False,11,False,False
7E,Crystal Events / Battle Tower load + Odd Egg,11243,False,0,True,2,False,800,False,500,False,533,False,406,False,False
7F,Stadium 2 checksums at $7DE0-$7FFF,438,False,0,True,12,False,351,False,350,False,346,False,346,False,False
