bank_hex,bank_dec,file_start_hex,file_end_hex,sha1,sha256,entropy_bits_per_byte,ff_bytes,ff_percent,zero_bytes,zero_percent,longest_ff_run,longest_zero_run
16,22,058000,05BFFF,b0940397d70235a1192c6a440af6be89c9a55db0,2b1bcc7bcfd7f56698b9f6503360d056922adb2e0ab2cf66aafc886f4cfffd53,7.151137,133,0.8118,384,2.3438,2,3
17,23,05C000,05FFFF,9a0d7997c1c885d3b2fc518e5276010648eb6b64,68e54137caea1030df088a28d9e4f785e2f14c8a60e09ce0d8790da471c67af9,7.093362,193,1.1780,371,2.2644,2,5
18,24,060000,063FFF,e6d9783d74055b6b2400872cbc0b138966aeeeb9,fccda21285bc732fb2a4b0c5b8b3ac77ab4022cd7060edf887e8015343515300,7.033718,188,1.1475,382,2.3315,2,6
19,25,064000,067FFF,35c5fa205c031e2ea47b43740a33cadc320bffef,d03c7a0645db4318562a3de2448ce3ebcf452609ccb06bace97c9879f64a5856,6.504074,1588,9.6924,1475,9.0027,17,23
1A,26,068000,06BFFF,59ed004f46ec877f512faad982d51e8c427d8c19,119217cfeb2a38c8660bc7748e7b38cee68a86d34677d0dbc05293b003d981f7,6.370778,1293,7.8918,1043,6.3660,18,17
1B,27,06C000,06FFFF,682b94550690d2e4c4103fe93753ed74ab38fc72,467f81554dc60b70c05127425e915d4f727b303ea88caa4e988b7dbfaeb4dc8e,6.201428,1810,11.0474,1420,8.6670,19,80
1C,28,070000,073FFF,02237adf7b392abe694f0a5ad7b435d9fda01ebf,12d4d346459554b142530490bf033bc963c326a6c74707020b1d1af67df38760,6.879579,431,2.6306,2107,12.8601,16,256
1D,29,074000,077FFF,3b7cc2fa3a82a2b76fb9b481bd3a01f7b52fa47f,fd3d05338382f18686eb270f6a6012bb1cb4e9be67f6b0083810d04790e31f0b,7.083362,178,1.0864,323,1.9714,2,2
1E,30,078000,07BFFF,82b68e0ed9c8765fa36645f1ea15f122ca7e7d9a,bdbc0d8e76ce30b2ac82cb4f989379b98a24bc95c6e6566880a842bf4addd637,6.785580,613,3.7415,2200,13.4277,16,15
1F,31,07C000,07FFFF,ac511d8b454da83f87cc82c3425e56fd62f8aa1f,e7808a019a81954f64389f2f29c4c6b77fc663b1428dcb55a79db66c66dfeca2,7.071512,290,1.7700,402,2.4536,3,3
