slot_index_zero_based,lookup_species_byte_hex,slot_kind,national_dex_number,original_gs_korean,latest_official_korean,final_korean,name_changed,change_reason,verification_status,official_source,official_index_source,source_accessed_date,encoded_length_bytes,encoded_hex,fixed_slot_capacity_bytes,fits_fixed_slot,bank_hex,cpu_address_hex,file_offset_hex,original_raw_hex
20,0x15,NATIONAL_DEX_SPECIES,21,깨비참,깨비참,깨비참,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/33,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,01 ca 05 61 08 9c,10,True,0x6C,0x4D12,0x1B0D12,01 ca 05 61 08 9c
21,0x16,NATIONAL_DEX_SPECIES,22,깨비드릴조,깨비드릴조,깨비드릴조,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/34,https://pokemonkorea.co.kr/pokedex,2026-09-10,10,01 ca 05 61 03 45 04 41 07 e6,10,True,0x6C,0x4D1C,0x1B0D1C,01 ca 05 61 03 45 04 41 07 e6
22,0x17,NATIONAL_DEX_SPECIES,23,아보,아보,아보,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/35,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,06 c6 05 18,10,True,0x6C,0x4D26,0x1B0D26,06 c6 05 18
23,0x18,NATIONAL_DEX_SPECIES,24,아보크,아보크,아보크,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/36,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,06 c6 05 18 09 79,10,True,0x6C,0x4D30,0x1B0D30,06 c6 05 18 09 79
24,0x19,NATIONAL_DEX_SPECIES,25,피카츄,피카츄,피카츄,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/37,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,0a 67 09 0b 08 f2,10,True,0x6C,0x4D3A,0x1B0D3A,0a 67 09 0b 08 f2
25,0x1A,NATIONAL_DEX_SPECIES,26,라이츄,라이츄,라이츄,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/39,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,03 c3 07 9c 08 f2,10,True,0x6C,0x4D44,0x1B0D44,03 c3 07 9c 08 f2
26,0x1B,NATIONAL_DEX_SPECIES,27,모래두지,모래두지,모래두지,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/43,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,04 90 03 d1 03 2e 08 26,10,True,0x6C,0x4D4E,0x1B0D4E,04 90 03 d1 03 2e 08 26
27,0x1C,NATIONAL_DEX_SPECIES,28,고지,고지,고지,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/45,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,01 4d 08 26,10,True,0x6C,0x4D58,0x1B0D58,01 4d 08 26
28,0x1D,NATIONAL_DEX_SPECIES,29,니드런♀,니드런♀,니드런♀,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/47,https://pokemonkorea.co.kr/pokedex,2026-09-10,7,02 cf 03 45 03 e1 f5,10,True,0x6C,0x4D62,0x1B0D62,02 cf 03 45 03 e1 f5
29,0x1E,NATIONAL_DEX_SPECIES,30,니드리나,니드리나,니드리나,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/48,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,02 cf 03 45 04 3e 02 3a,10,True,0x6C,0x4D6C,0x1B0D6C,02 cf 03 45 04 3e 02 3a
30,0x1F,NATIONAL_DEX_SPECIES,31,니드퀸,니드퀸,니드퀸,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/49,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,02 cf 03 45 09 6d,10,True,0x6C,0x4D76,0x1B0D76,02 cf 03 45 09 6d
31,0x20,NATIONAL_DEX_SPECIES,32,니드런♂,니드런♂,니드런♂,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/50,https://pokemonkorea.co.kr/pokedex,2026-09-10,7,02 cf 03 45 03 e1 ef,10,True,0x6C,0x4D80,0x1B0D80,02 cf 03 45 03 e1 ef
32,0x21,NATIONAL_DEX_SPECIES,33,니드리노,니드리노,니드리노,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/51,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,02 cf 03 45 04 3e 02 8b,10,True,0x6C,0x4D8A,0x1B0D8A,02 cf 03 45 04 3e 02 8b
33,0x22,NATIONAL_DEX_SPECIES,34,니드킹,니드킹,니드킹,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/52,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,02 cf 03 45 09 87,10,True,0x6C,0x4D94,0x1B0D94,02 cf 03 45 09 87
34,0x23,NATIONAL_DEX_SPECIES,35,삐삐,삐삐,삐삐,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/53,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,05 af 05 af,10,True,0x6C,0x4D9E,0x1B0D9E,05 af 05 af
35,0x24,NATIONAL_DEX_SPECIES,36,픽시,픽시,픽시,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/54,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,0a 68 06 63,10,True,0x6C,0x4DA8,0x1B0DA8,0a 68 06 63
36,0x25,NATIONAL_DEX_SPECIES,37,식스테일,식스테일,식스테일,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/56,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,06 64 06 4a 09 a7 07 9f,10,True,0x6C,0x4DB2,0x1B0DB2,06 64 06 4a 09 a7 07 9f
37,0x26,NATIONAL_DEX_SPECIES,38,나인테일,나인테일,나인테일,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/58,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,02 3a 07 9e 09 a7 07 9f,10,True,0x6C,0x4DBC,0x1B0DBC,02 3a 07 9e 09 a7 07 9f
38,0x27,NATIONAL_DEX_SPECIES,39,푸린,푸린,푸린,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/60,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,0a 3a 04 40,10,True,0x6C,0x4DC6,0x1B0DC6,0a 3a 04 40
39,0x28,NATIONAL_DEX_SPECIES,40,푸크린,푸크린,푸크린,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/61,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,0a 3a 09 79 04 40,10,True,0x6C,0x4DD0,0x1B0DD0,0a 3a 09 79 04 40
40,0x29,NATIONAL_DEX_SPECIES,41,주뱃,주뱃,주뱃,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/62,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,08 06 04 ee,10,True,0x6C,0x4DDA,0x1B0DDA,08 06 04 ee
41,0x2A,NATIONAL_DEX_SPECIES,42,골뱃,골뱃,골뱃,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/63,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,01 61 04 ee,10,True,0x6C,0x4DE4,0x1B0DE4,01 61 04 ee
42,0x2B,NATIONAL_DEX_SPECIES,43,뚜벅쵸,뚜벅쵸,뚜벅쵸,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/64,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,03 a1 04 f7 08 dd,10,True,0x6C,0x4DEE,0x1B0DEE,03 a1 04 f7 08 dd
43,0x2C,NATIONAL_DEX_SPECIES,44,냄새꼬,냄새꼬,냄새꼬,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/65,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,02 4f 05 c5 01 ef,10,True,0x6C,0x4DF8,0x1B0DF8,02 4f 05 c5 01 ef
44,0x2D,NATIONAL_DEX_SPECIES,45,라플레시아,라플레시아,라플레시아,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/66,https://pokemonkorea.co.kr/pokedex,2026-09-10,10,03 c3 0a 63 03 e9 06 63 06 c6,10,True,0x6C,0x4E02,0x1B0E02,03 c3 0a 63 03 e9 06 63 06 c6
45,0x2E,NATIONAL_DEX_SPECIES,46,파라스,파라스,파라스,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/67,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,09 f4 03 c3 06 4a,10,True,0x6C,0x4E0C,0x1B0E0C,09 f4 03 c3 06 4a
46,0x2F,NATIONAL_DEX_SPECIES,47,파라섹트,파라섹트,파라섹트,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/68,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,09 f4 03 c3 05 ed 09 de,10,True,0x6C,0x4E16,0x1B0E16,09 f4 03 c3 05 ed 09 de
47,0x30,NATIONAL_DEX_SPECIES,48,콘팡,콘팡,콘팡,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/69,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,09 3c 09 fe,10,True,0x6C,0x4E20,0x1B0E20,09 3c 09 fe
48,0x31,NATIONAL_DEX_SPECIES,49,도나리,도나리,도나리,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/70,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,03 15 02 3a 04 3e,10,True,0x6C,0x4E2A,0x1B0E2A,03 15 02 3a 04 3e
49,0x32,NATIONAL_DEX_SPECIES,50,디그다,디그다,디그다,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/71,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,03 60 01 a7 02 d9,10,True,0x6C,0x4E34,0x1B0E34,03 60 01 a7 02 d9
50,0x33,NATIONAL_DEX_SPECIES,51,닥트리오,닥트리오,닥트리오,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/73,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,02 da 09 de 04 3e 07 20,10,True,0x6C,0x4E3E,0x1B0E3E,02 da 09 de 04 3e 07 20
51,0x34,NATIONAL_DEX_SPECIES,52,나옹,나옹,나옹,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/75,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,02 3a 07 2b,10,True,0x6C,0x4E48,0x1B0E48,02 3a 07 2b
52,0x35,NATIONAL_DEX_SPECIES,53,페르시온,페르시온,페르시온,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/79,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,0a 14 04 33 06 63 07 22,10,True,0x6C,0x4E52,0x1B0E52,0a 14 04 33 06 63 07 22
53,0x36,NATIONAL_DEX_SPECIES,54,고라파덕,고라파덕,고라파덕,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/81,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,01 4d 03 c3 09 f4 02 f6,10,True,0x6C,0x4E5C,0x1B0E5C,01 4d 03 c3 09 f4 02 f6
54,0x37,NATIONAL_DEX_SPECIES,55,골덕,골덕,골덕,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/82,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,01 61 02 f6,10,True,0x6C,0x4E66,0x1B0E66,01 61 02 f6
55,0x38,NATIONAL_DEX_SPECIES,56,망키,망키,망키,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/83,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,04 61 09 80,10,True,0x6C,0x4E70,0x1B0E70,04 61 09 80
56,0x39,NATIONAL_DEX_SPECIES,57,성원숭,성원숭,성원숭,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/84,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,05 ea 07 68 06 2e,10,True,0x6C,0x4E7A,0x1B0E7A,05 ea 07 68 06 2e
57,0x3A,NATIONAL_DEX_SPECIES,58,가디,가디,가디,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/85,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,01 01 03 60,10,True,0x6C,0x4E84,0x1B0E84,01 01 03 60
58,0x3B,NATIONAL_DEX_SPECIES,59,윈디,윈디,윈디,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/87,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,07 79 03 60,10,True,0x6C,0x4E8E,0x1B0E8E,07 79 03 60
59,0x3C,NATIONAL_DEX_SPECIES,60,발챙이,발챙이,발챙이,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/89,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,04 df 08 ac 07 9c,10,True,0x6C,0x4E98,0x1B0E98,04 df 08 ac 07 9c
60,0x3D,NATIONAL_DEX_SPECIES,61,수륙챙이,슈륙챙이,슈륙챙이,True,LATEST_OFFICIAL_KOREAN_NAME,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/90,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,06 44 04 2a 08 ac 07 9c,10,True,0x6C,0x4EA2,0x1B0EA2,06 26 04 2a 08 ac 07 9c
61,0x3E,NATIONAL_DEX_SPECIES,62,강챙이,강챙이,강챙이,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/91,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,01 0d 08 ac 07 9c,10,True,0x6C,0x4EAC,0x1B0EAC,01 0d 08 ac 07 9c
62,0x3F,NATIONAL_DEX_SPECIES,63,캐이시,캐이시,캐이시,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/92,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,09 13 07 9c 06 63,10,True,0x6C,0x4EB6,0x1B0EB6,09 13 07 9c 06 63
63,0x40,NATIONAL_DEX_SPECIES,64,윤겔라,윤겔라,윤겔라,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/93,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,07 81 01 36 03 c3,10,True,0x6C,0x4EC0,0x1B0EC0,07 81 01 36 03 c3
64,0x41,NATIONAL_DEX_SPECIES,65,후딘,후딘,후딘,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/94,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,0a c4 03 62,10,True,0x6C,0x4ECA,0x1B0ECA,0a c4 03 62
65,0x42,NATIONAL_DEX_SPECIES,66,알통몬,알통몬,알통몬,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/96,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,06 cb 09 bb 04 93,10,True,0x6C,0x4ED4,0x1B0ED4,06 cb 09 bb 04 93
66,0x43,NATIONAL_DEX_SPECIES,67,근육몬,근육몬,근육몬,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/97,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,01 a9 07 80 04 93,10,True,0x6C,0x4EDE,0x1B0EDE,01 a9 07 80 04 93
67,0x44,NATIONAL_DEX_SPECIES,68,괴력몬,괴력몬,괴력몬,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/98,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,01 7b 03 f2 04 93,10,True,0x6C,0x4EE8,0x1B0EE8,01 7b 03 f2 04 93
68,0x45,NATIONAL_DEX_SPECIES,69,모다피,모다피,모다피,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/100,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,04 90 02 d9 0a 67,10,True,0x6C,0x4EF2,0x1B0EF2,04 90 02 d9 0a 67
69,0x46,NATIONAL_DEX_SPECIES,70,우츠동,우츠동,우츠동,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/101,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,07 4c 08 f7 03 1f,10,True,0x6C,0x4EFC,0x1B0EFC,07 4c 08 f7 03 1f
70,0x47,NATIONAL_DEX_SPECIES,71,우츠보트,우츠보트,우츠보트,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/102,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,07 4c 08 f7 05 18 09 de,10,True,0x6C,0x4F06,0x1B0F06,07 4c 08 f7 05 18 09 de
71,0x48,NATIONAL_DEX_SPECIES,72,왕눈해,왕눈해,왕눈해,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/104,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,07 35 02 ab 0a 78,10,True,0x6C,0x4F10,0x1B0F10,07 35 02 ab 0a 78
72,0x49,NATIONAL_DEX_SPECIES,73,독파리,독파리,독파리,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/105,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,03 16 09 f4 04 3e,10,True,0x6C,0x4F1A,0x1B0F1A,03 16 09 f4 04 3e
73,0x4A,NATIONAL_DEX_SPECIES,74,꼬마돌,꼬마돌,꼬마돌,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/106,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,01 ef 04 46 03 19,10,True,0x6C,0x4F24,0x1B0F24,01 ef 04 46 03 19
74,0x4B,NATIONAL_DEX_SPECIES,75,데구리,데구리,데구리,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/108,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,03 05 01 88 04 3e,10,True,0x6C,0x4F2E,0x1B0F2E,03 05 01 88 04 3e
75,0x4C,NATIONAL_DEX_SPECIES,76,딱구리,딱구리,딱구리,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/110,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,03 6c 01 88 04 3e,10,True,0x6C,0x4F38,0x1B0F38,03 6c 01 88 04 3e
76,0x4D,NATIONAL_DEX_SPECIES,77,포니타,포니타,포니타,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/112,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,0a 27 02 cf 09 88,10,True,0x6C,0x4F42,0x1B0F42,0a 27 02 cf 09 88
77,0x4E,NATIONAL_DEX_SPECIES,78,날쌩마,날쌩마,날쌩마,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/114,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,02 3f 06 7f 04 46,10,True,0x6C,0x4F4C,0x1B0F4C,02 3f 06 7f 04 46
78,0x4F,NATIONAL_DEX_SPECIES,79,야돈,야돈,야돈,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/116,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,06 df 03 17,10,True,0x6C,0x4F56,0x1B0F56,06 df 03 17
79,0x50,NATIONAL_DEX_SPECIES,80,야도란,야도란,야도란,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/118,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,06 df 03 15 03 c5,10,True,0x6C,0x4F60,0x1B0F60,06 df 03 15 03 c5
